egyptian	egiziano
eidolon	apparizione
eidolon	fantasma
eight	otto
eighteen	diciotto
eighteenth	diciottesimo
eightfold	ottuplo
eighth	croma
eighth	ottavo
eighty	ottanta
einsteinium	einsteinio
either	ambedue
either	ambo
either	entrambi
ejaculate	esclamare
ejaculation	eiaculazione
eject	espellere
ejection	eiezione
ejector	eiettore
elaborate	complesso
elaborate	complicato
elaborate	elaborare
elapse	decorrere
elapse	intercorrere
elapse	scorrere
elastic	elastico
elbow	curva
elbow	gomito
elder	anziani
elder	anziano
elder	maggiore
elect	eleggere
elect	scegliere
election	elezione
election	scelta
elector	elettore
electoral	elettorale
electorate	elettorato
electric	elettrico
electrical	elettrico
electrical engineering	elettrotecnica
electrician	elettricista
electrification	elettrificazione
electrification	elettrizzazione
electrify	elettrificare
electrify	elettrizzare
electroacoustics	elettroacustica
electrocardiograph	elettrocardiografo
electrochemical	elettrochimico
electrode	elettrodo
electrodynamic	elettrodinamico
electrodynamics	elettrodinamica
electrolysis	elettrolisi
electrolyte	elettrolito
electrolytic	elettrolitico
electromagnet	elettrocalamita
electromagnet	elettromagnete
electromagnetic	elettromagnetico
electromagnetism	elettromagnetismo
electromechanical	elettromeccanico
electrometer	elettrometro
electron	elettrone
electron tube	valvola elettronica
electronic	elettronico
electronics	elettronica
electrophoresis	elettroforesi
electrophysiology	elettrofisiologia
electroscope	elettroscopio
electrostatics	elettrostatica
electrotechnic	elettrotecnico
electrothermal	elettrotermico
electrotyping	elettrotipia
electrotyping	galvanotipia
eleemosynary	caritatevole
elegance	eleganza
elegant	elegante
elegantly	elegantemente
elegiac	elegiaco
elegy	elegia
element	elemento
elemental	elementare
elemental	fondamentale
elementary	elementare
elementary	rudimentale
elephant	elefante
elephantine	elefantesco
elevate	alzare
elevate	elevare
elevate	esaltare
elevated	elevato
elevation	altitudine
elevation	elevazione
elevation	innalzamento
elevator	ascensore
elevator	elevatore
elevator	montacarichi
eleven	undici
eleventh	decimoprimo
eleventh	undecimo
elf	elfo
elfin	minuscolo
elfin	piccolo
elfish	birichino
elicit	dedurre
elide	elidere
eligible	adatto
eligible	appropriato
eligible	idoneo
eliminate	eliminare
eliminate	rimuovere
eliminate	sopprimere
elimination	eliminazione
elision	elisione
elk	alce
ellipse	ellisse
ellipsis	ellissi
ellipsoid	ellissoide
ellipsoidal	ellissoidale
elliptic	ellittico
elliptical	ellittico
elm	olmo
elocutionary	oratorio
elongate	allungare
elongate	prolungare
elongation	allungamento
elopement	evasione
elopement	fuga
eloquence	eloquenza
eloquent	eloquente
eloquent	facondo
else	altrimenti
else	altro
else	se no
elsewhere	altrove
elucidate	delucidare
elucidate	spiegare
elucidation	chiarimento
elucidation	schiarimento
elucidation	spiegazione
elude	eludere
elude	schivare
elusion	elusione
elusion	sotterfugio
elusive	inafferrabile
elusive	sfuggente
elver	ceca
elysian	elisio
elysian	paradisiaco
elytron	elitra
emaciated	emaciato
emaciated	smunto
emanate	emanare
emanation	emanazione
emancipation	emancipazione
emancipator	emancipatore
emasculate	infiacchire
emasculation	evirazione
emasculation	indebolimento
embalm	imbalsamare
embalmer	imbalsamatore
embalmment	imbalsamazione
embankment	argine
embankment	banchina
embankment	terrapieno
embargo	embargo
embark	imbarcare
embarkation	imbarco
embarkment	imbarco
embarrass	complicare
embarrass	imbarazzare
embarrass	imbarazzarsi
embarrass	impedire
embarrassment	imbarazzo
embarrassment	impaccio
embassy	ambasciata
embed	incassare
embed	incastrare
embellish	abbellire
embellish	fregiare
embellish	imbellire
embellish	ornare
embellishment	abbellimento
embellishment	ornamento
embezzlement	malversazione
embezzler	malversatore
embitter	amareggiare
emblazon	adornare
emblazon	decorare
emblem	emblema
emblem	simbolo
emblem	stemma
emblematical	emblematico
emblematical	simbolico
embodiment	personificazione
embody	incarnare
embody	includere
embody	personificare
embolden	incoraggiare
embolism	embolia
embolus	embolo
