audio frequency	15-2722-B
audiometer	15-2753-B
audiovisual	15-2775-B
audit	15-2799-B,15-2817-B,15-2835-B
audition	15-2851-B
auditive	15-2868-B
auditor	15-2885-B,15-2905-B
auditory	15-2921-B
auger	15-2938-B,15-2955-B,15-2969-B,15-2984-B
augment	15-2998-B,15-3017-B,15-3035-B,15-3052-B
augmentation	15-3071-B,15-3098-B,15-3119-B
augmentative	15-3146-B
augury	15-3172-B,15-3187-B
august	1-302-B,15-3203-B,15-3218-B,15-3234-B
auk	15-3248-B
auld	15-3257-B
aunt	15-3270-B,79-1188-S
aural	15-3279-B
aureole	15-3296-B,15-3312-B
auric	15-3329-B,15-3341-B
auricular	15-3356-B
auriferous	15-3377-B
aurist	15-3397-B
aurochs	15-3413-B
aurora	15-3425-B
auscultation	15-3439-B
auspicious	15-3466-B
austere	15-3484-B,15-3500-B,15-3515-B,15-3532-B
austral	15-3547-B,15-3564-B
australian	1-316-B
autarchic	15-3584-B
autarchy	15-3605-B
autarkic	15-3624-B
autarky	15-3644-B
authentic	15-3662-B,15-3682-B,15-3700-B
authenticate	15-3715-B,15-3740-B,16-0-B
authentication	16-22-B,16-47-B,16-77-B
author	16-107-B,16-123-B,16-137-B,16-152-B
authoress	16-168-B,16-186-B
authorial	16-207-B
authoritarian	16-226-B
authoritarianism	16-252-B
authoritative	16-283-B
authority	16-307-B
authorization	16-332-B,16-361-B
authorize	16-387-B
auto	16-409-B,16-419-B
autobiographic	16-435-B
autobiography	16-465-B
autochthon	16-493-B,16-514-B
autoclave	16-535-B,16-555-B
autocracy	16-585-B
autocrat	16-606-B
autocratic	16-625-B
autocratical	16-648-B
autodidact	16-673-B
autogiro	16-696-B
autograph	16-714-B
autographic	16-734-B,16-758-B
autogyro	16-780-B
automat	16-798-B,16-813-B
automate	16-827-B
automatic	16-850-B,166-2344-S
automation	16-871-B
automatism	16-894-B
automatize	16-917-B
automaton	16-942-B
automobile	16-959-B,16-981-B
automotive	16-1000-B
autonomic	16-1027-B
autonomous	16-1046-B
autonomy	16-1066-B
autopilot	16-1085-B
autopsy	16-1113-B
autosuggestion	16-1130-B
autotype	16-1161-B
autumn	16-1180-B
autumnal	16-1195-B
auxiliary	16-1214-B,16-1234-B,16-1255-B
avail	16-1277-B
available	16-1292-B,16-1314-B,16-1336-B
avalanche	16-1357-B,16-1374-B
avant garde	16-1392-B
avarice	16-1416-B
avaricious	16-1433-B,16-1450-B
avatar	16-1467-B
avenger	16-1487-B,16-1507-B
aventurine	16-1523-B
avenue	16-1544-B
aver	16-1557-B,16-1572-B
average	16-1586-B,16-1600-B
averment	16-1614-B,16-1636-B
aversion	16-1656-B,16-1675-B,16-1695-B
avert	16-1715-B,16-1731-B
avertable	16-1746-B
aviary	16-1766-B,16-1784-B
aviation	16-1799-B
aviator	16-1818-B,16-1835-B
aviatrix	16-1850-B
avid	16-1869-B,16-1880-B
avidity	16-1892-B
avifauna	16-1910-B
avocation	16-1928-B
avoid	16-1944-B,16-1958-B,16-1973-B
avouch	16-1988-B,16-2005-B
avow	16-2022-B
avowal	16-2037-B
await	16-2056-B,16-2072-B
awake	16-2088-B,16-2102-B,16-2117-B,16-2129-B,16-2147-B,16-2166-B,16-2183-B,16-2197-B
awakening	16-2210-B
award	16-2230-B,16-2248-B,16-2264-B,16-2283-B,16-2302-B,16-2315-B
awareness	16-2332-B
away	16-2357-B,16-2371-B,16-2384-B,32-1014-S,49-3559-S,56-67-S,130-863-S,130-882-S,130-899-S,158-1105-S,158-1131-S,161-767-S,161-784-S,190-1924-S,194-3232-S
awe	16-2393-B
awful	16-2403-B,16-2417-B,16-2432-B,16-2449-B,16-2465-B,16-2484-B
awkward	16-2499-B,16-2513-B
awl	16-2531-B,16-2542-B
awn	16-2557-B
ax	16-2567-B,16-2578-B,16-2587-B,16-2598-B
axe	16-2607-B,16-2619-B,16-2629-B,16-2641-B,88-1377-S,134-2137-S
axial	16-2651-B
axillary	16-2665-B
axiom	16-2684-B
axiomatic	16-2698-B
axis	16-2720-B
axle	16-2730-B,16-2742-B
axonometry	16-2752-B
azalea	16-2776-B
azimuth	16-2790-B
azimuthal	16-2805-B
azote	16-2825-B
aztec	1-339-B
azure	16-2837-B
azurite	16-2851-B
b	16-2869-B
baa	16-2873-B,16-2884-B
babbitt	16-2895-B
babble	16-2924-B,16-2945-B,16-2963-B
babe	16-2980-B
babel	16-2993-B
baboon	16-3006-B
baby	16-3022-B,16-3033-B
babyish	16-3046-B,16-3065-B,16-3083-B
baccalaureate	16-3099-B
bacillary	16-3127-B
bacillus	16-3147-B
back	16-3164-B,16-3178-B,16-3194-B,16-3209-B,16-3220-B,16-3231-B,16-3251-B,16-3265-B,16-3281-B,16-3293-B,16-3304-B,16-3318-B,16-3331-B,16-3346-B,16-3365-B,16-3376-B,74-1994-S,76-3198-S,81-2792-S,86-759-S,100-697-S,100-715-S,106-1254-S,166-2891-S,166-2911-S
backbite	16-3389-B
backbiter	16-3409-B
backbone	16-3432-B
backbreaking	16-3455-B,16-3480-B
backdrop	16-3503-B
backer	16-3519-B,17-0-B
background	17-19-B,17-42-B,17-59-B,17-81-B
backhand	17-99-B
backing	17-117-B,17-134-B,17-149-B
backpack	17-166-B
backrest	17-181-B
backsheesh	17-200-B
backside	17-218-B
backslider	17-236-B
backstage	17-256-B
backup	17-277-B
backward	17-292-B,17-311-B
backwardness	17-329-B
backwards	17-355-B
bacon	17-374-B,17-386-B
bacterial	17-401-B
bacteriological	17-421-B
bacteriologist	17-452-B
bacteriology	17-480-B
bacterium	17-507-B
bad	17-526-B,17-537-B,17-549-B,17-560-B,17-569-B,17-578-B
bad luck	17-592-B,17-610-B
badge	17-628-B,17-642-B,17-656-B
badger	17-671-B,17-688-B,17-705-B,17-718-B
badly	17-736-B
badman	17-747-B,17-762-B
badness	17-780-B
bag	17-799-B,17-809-B,17-824-B,17-837-B,17-849-B,17-865-B,17-879-B,17-889-B,17-903-B,17-913-B,17-923-B,173-2773-S
bagatelle	17-935-B
baggage	17-956-B,17-972-B
baggage car	17-989-B
bagpipe	17-1012-B,17-1030-B
bagpiper	17-1047-B
bail	17-1067-B,17-1081-B,17-1099-B
bailer	17-1113-B
bailor	17-1132-B
bailsman	17-1151-B,17-1168-B
bairn	17-1189-B,17-1203-B
bait	17-1216-B
bake	17-1226-B
bakehouse	17-1239-B,17-1255-B
bakelite	17-1275-B
baker	17-1294-B,17-1308-B
bakery	17-1325-B,17-1338-B,17-1356-B
baking	17-1373-B,17-1386-B
baksheesh	17-1401-B,17-1422-B
balance	17-1439-B,17-1456-B,17-1478-B,17-1497-B,17-1517-B,17-1534-B,17-1549-B,17-1568-B,17-1589-B,17-1614-B,17-1634-B,17-1653-B,17-1671-B,17-1690-B,17-1707-B,17-1726-B,17-1744-B,17-1760-B
balanced	17-1774-B,212-1073-S
balancer	17-1795-B
