libro di testo	193-423-B
libro giornale	97-1849-B
libro in brossura	129-610-B
licantropo	108-314-B,212-1367-B
liceale	81-1221-B
licenza	102-653-B,103-1341-B,103-1456-B,132-3505-B,132-3600-B
licenziamento	161-2174-B
licenziare	28-596-B,52-58-B
licenzioso	74-713-B,76-65-B,103-1511-B,106-1732-B,158-1818-B,210-1563-B,213-1839-B
liceo	108-362-B,165-1617-B
licitazione	15-2495-B,207-1802-B
licopodio	108-375-B
lieto	30-1622-B,77-0-B,77-155-B,82-2632-B,97-821-B,97-2319-B,97-2435-B,112-3465-B,205-2434-B
lieve	76-1065-B,103-2687-B,113-3051-B
lievitare	102-748-B,158-2254-B,216-1026-B
lievito	68-1936-B,102-765-B,216-1042-B
ligio	107-995-B
ligneo	103-3357-B,214-2901-B,214-3093-B
lignificarsi	103-3373-B
lignina	103-3394-B
lignite	103-3409-B
ligustro	142-467-B
lilla	104-447-B
lima	69-947-B
limaccioso	174-2206-B
limare	69-957-B,149-1738-B
limbo	104-598-B
limitare	31-2029-B,37-2896-B,104-838-B,146-3279-B,156-2219-B,156-2418-B,157-0-B,183-65-B,184-464-B
limitativo	156-2584-B
limitato	37-2933-B,39-1203-B,43-26-B,69-2337-B,104-970-B,119-199-B,129-2956-B,156-2474-B,163-1884-B
limitatore	104-1005-B
limitazione	37-2970-B,39-1135-B,104-924-B,146-3117-B,156-2315-B,156-2536-B
limite	23-1570-B,23-1648-B,58-3548-B,104-853-B,104-2798-B,111-2696-B
limitrofo	4-2861-B,4-2938-B,23-585-B,120-426-B
limo	117-2603-B,125-68-B,171-3082-B,174-652-B,174-2164-B
limonata	102-2022-B
limone	102-2009-B
limonite	104-1066-B
limousine	104-1102-B
limpidezza	31-3576-B,107-1365-B
limpido	104-1151-B,107-1307-B,201-3286-B
lince	28-1456-B,108-483-B
linciaggio	108-463-B
linciare	108-448-B
lindo	32-524-B,119-2006-B,195-608-B
linea	30-2283-S,104-1365-B,108-3043-S,183-2942-S
linea aerea	7-288-B
lineare	104-1526-B
lineetta	45-1515-B,88-809-B
linfa	108-416-B,162-2681-B
linfatico	108-428-B
lingotto	92-3228-B
lingua	100-1797-B,104-1699-B,178-1218-B,196-1242-B
linguaggio	100-1813-B,178-1232-B,190-2398-B
linguista	104-1733-B
linguistica	104-1799-B
linguistico	104-1776-B
linimento	58-166-B,104-1823-B
lino	70-2184-B,104-1582-S
linoleum	104-2159-B,104-2173-B
linotype	104-2191-B
liocorno	203-1645-B
liofilizzazione	108-494-B
lipide	104-2277-B
lipoma	104-2290-B
