biancheria da letto	19-2338-B
bianchezza	213-562-B
bianchiccio	213-678-B
bianco	21-2643-B,86-2156-B,213-400-B,213-488-B
biancore	213-583-B
biancospino	83-2934-B
biasimare	21-2517-B,150-2069-B,155-291-B,155-1240-B
biasimo	9-2860-B,150-2086-B,155-352-B,155-916-B
biatomico	49-3076-B
bibbia	1-412-B,20-3194-B
bibita	20-2869-B,54-2245-B
bibliofilo	20-3289-B
bibliografia	20-3263-B
bibliografico	20-3233-B
bibliografo	20-3207-B
biblioteca	23-274-S,103-1241-B
bibliotecario	103-1217-B
bicamerale	20-3331-B
bicarbonato	20-3352-B
bicchiere	77-361-B,176-245-B
bicefalo	21-0-B
bicicletta	21-100-B,44-3034-S,44-3061-B
bicolore	21-42-B
biconcavo	21-60-B
biconvesso	21-80-B
bicromato	21-21-B
bidello	96-2060-B
bidone	26-2835-B
biennale	21-239-B
bienne	21-257-B
bietta	30-3259-B,32-1175-B,199-499-B,211-3188-B
bifase	50-1991-B
bifido	21-298-B
bifocale	21-311-B
biforcazione	53-693-B,72-2179-B,74-3042-B
biforcuto	72-2264-B
bigamia	21-382-B
bigamo	21-350-B,21-366-B
bigatto	171-2912-B
bighellonare	45-1874-B,105-1583-B,106-595-B,106-2876-B
bighellone	105-1615-B,106-2974-B
bigio	79-2258-B
bigiotteria	41-3132-B
bigliettaio	37-1863-B
biglietteria	23-171-B
biglietto	27-2219-B,121-2711-B,195-427-B
biglietto di banca	18-81-B,21-588-B,79-1804-B
bigoncio	200-266-B
bigotteria	21-428-B
bigotto	162-2349-B
bilancia	17-1439-B,163-1463-B,163-1559-B
bilanciamento	17-1456-B
bilanciare	17-1478-B,42-883-B,137-2638-B
bilanciarsi	17-1497-B
bilanciere	17-1795-B,127-182-B
bilancio	17-1517-B,25-276-B
bilaterale	21-484-B,150-3427-B
bile	21-523-B,75-1259-B
biliardo	21-778-B
biliare	21-533-B,21-549-B
bilico	17-1534-B,18-2421-B
bilione	114-90-B,199-667-B
bimensile	72-3292-B,166-2569-B
bimestrale	21-894-B
binario	148-2059-B,148-2282-B,197-1090-B
binda	96-1400-B
binocolo	21-1081-B
bioccolo	70-3304-B,105-2437-B
biochimica	21-1125-B
biofisica	21-1290-B
biografia	21-1195-B
biografico	21-1149-B,21-1171-B
biologia	21-1273-B
biologico	21-1215-B,21-1234-B
biologo	21-1255-B
biondo	22-606-B,66-1705-B,66-1826-B
biossido	50-1893-B
biotecnologia	21-1311-B
bipede	21-1339-B
biplano	21-1352-B
bipolare	21-1368-B
birbante	149-1413-B,159-947-B
birbanteria	159-1074-B,159-1231-B
birichinata	114-2602-B,159-1094-B
birichino	57-2200-B,89-2982-B,114-2623-B,120-3252-B,159-962-B,159-1194-B,163-1658-B,206-149-B,208-2428-B
birillo	37-1998-B,120-3100-B,173-864-B
birra	7-1522-B,19-2654-B,210-813-B
bisavola	79-1290-B
bisbetico	116-2166-B,170-2871-B,192-2445-B
bisbigliamento	213-261-B
bisbigliare	213-125-B
bisbiglio	213-145-B
biscotto	21-1532-B,40-3269-B,161-1390-B
bisessuale	21-1569-B
bisestile	101-3129-S
bisettrice	21-1549-B
bislungo	123-500-B
bismuto	21-1642-B
bisnonna	79-1317-B
bisnonno	79-1263-B
bisogno	52-4015-B,64-303-B,119-2323-B,119-2629-B,119-2782-B,210-1318-B
bisognoso	119-2703-B,119-2967-B,138-2242-B
bisonte	21-1658-B
bistecca	181-3201-B
bisticcio	145-1793-B
bistrattare	109-1037-B,109-2622-B
bisturi	100-1141-B
bit	21-1672-B
bitume	21-1986-B,135-1928-B
bituminoso	21-2001-B
bivaccare	21-2042-B
bivacco	21-2060-B
bivalente	21-2023-B
bivio	43-2259-B,72-2197-B
bizantino	26-352-B
bizzarria	65-2956-B,65-3004-B,73-2422-B,123-3671-B
bizzarro	21-2076-B,65-3052-B,67-524-B,67-762-B,73-2404-B,73-2469-B,74-2903-B,99-572-B,123-3536-B,126-3013-B,131-1268-B,146-3011-B,147-598-B,172-1243-B,184-530-B,212-625-B
blandire	177-121-B
blando	113-3015-B,176-489-B
blasfemo	142-2821-B
blasone	21-2990-B
blaterare	134-3164-B,139-3317-B,209-3090-B
blatta	33-2173-B
blenda	21-3268-B,178-2023-B
blenorragia	77-2886-B
bleso	104-2593-S
blindare	12-3075-B
blindatura	12-3091-B
bloccaggio	22-551-B,45-2345-B,105-2451-B,105-2727-B
bloccare	22-394-B,31-3136-B,73-2944-B,96-1937-B,105-2467-B,183-1404-B
bloccarsi	96-1950-B
blocchetto	44-262-B
blocco	22-409-B,22-571-B,105-2481-B,128-762-B
blu	22-1256-B
bluffare	73-818-B
blusa	22-881-B
boa	22-1722-B,25-1202-B
boato	159-57-B
bobina	34-194-B,151-3758-B,179-1024-B
bobina d arresto	31-0-B
bobinatrice	213-2793-B
bocca	96-2313-B,117-1739-B,117-1859-S,126-466-B,207-2118-B
boccaccia	79-2907-B,117-1034-B,117-1751-B
boccaglio	121-2250-B,122-858-B
boccale	117-2882-B,190-3387-B
boccaporto	83-2087-B,83-2198-B
boccata	81-417-B,117-1825-B
boccetta	23-1304-B,208-1030-B
bocciare	66-1330-B
boccio	25-234-B
boccola	25-2478-B,25-2534-B
boccone	21-1787-B,116-3174-B,117-1842-B
boia	63-2921-B,82-2045-B,84-936-B
boicottaggio	23-2171-B,23-2211-B
boicottare	23-2192-B
bolero	22-2776-B
bolide	22-2806-B
bolla	19-895-B,22-221-B,24-3364-B
