Xmas	vianoce
Yankee	americký
a	akýsi
a	nejaký
a	neurčitý člen
a	za
a basket case	ruina
a basket case	zrúcanina
a bee in her bonnet	čudák
a big shot	papaláš
a billion	miliarda
a bit	trochu
a bit mental	neracionálny
a bit mental	nevyrovnaný
a bit of fluff	mačka
a bit of fluff	žena
a bit off	neracionálny
a blast	zničiť
a brick	tehla
a caution	varovať
a checkup	vyšetrovanie
a cold	nádcha
a couple of	dvojice
a cut-up	bavič
a different kettle of fish	iný
a falsehood	klamstvo
a far cry	ďaleko
a feeling	pocit
a few	niekoľko
a good deal	veľa
a hassle	problém
a little	trochu
a lot	moc
a lot of	veľa
a man of the cloth	farár
a million	milión
a number of	rada
a nut case	blázon
a speech	prejav
a steal	zľava
a wash-out	zlyhať
a window of opportunity	príližitosť
a wordsmith	spisovatel
a/c	klimatizácia
aardvark	mravčiar
aback	nazad
aback	prekvapený
aback	späť
abacus	počítadlo
abacuses	počítadla
abaft	dozadu
abaft	za
abandon	opustiť
abandon	opúšťať
abandon	prerušiť
abandon	vzdať sa
abandon	zanechať
abandon	zanedbať
abandoned	nemravný
abandoned	opustený
abandoned	opustil
abandoned	pokazený
abandoned	spustlý
abandoned	zanechaný
abandoned	zhýralý
abandoning	opustenie
abandoning	opúšťajúci
abandonment	opustenie
abandonment	zrieknutie sa
abase	degradovať
abase	pokoriť
abase	ponížiť
abased	degradovaný
abasement	pokorenie
abasement	poníženie
abash	zahanbiť
abash	zakríknuť
abash	zastrašiť
abashed	zastrašený
abashing	zahanbujúci
abashing	zastrašovanie
abashment	rozpaky
abashment	zahanbenie
abasic	abazický
abate	klesnúť
abate	odčítať
abate	popustiť
abate	poľaviť
abate	rušiť
abate	slabnúť
abate	snížiť
abate	ustávať
abate	zastaviť
abate	zmenšiť
abate	zmenšovať
abate	zmiernenie
abate	zmierniť
abate	znížiť
abate	zrušiť
abated	poľavil
abated	rušil
abated	slabol
abated	zastavil
abated	zmenšoval
abated	zmiernil
abated	znížil
abated	zrušil
abatement	zastavenie
abatement	zmenšenie
abatement	zmiernenie
abatement	zníženie
abatement	zrušenie
abatement	zľava
abatements	povolenie
abatements	zmiernenie
abatements	zrušenie
abbacy	opátstvo
abbatial	opátsky
abbey	opátstvo
abbot	opát
abbrevation	skratka
abbreviate	skracovať
abbreviate	skrátiť
abbreviate	zostručniť
abbreviation	skratka
abbreviation	skrátenie
abdomen	brucho
abdomen	zadoček
abdomens	bruchá
abdominal	brušný
abduct	uniesť
abducted	unesený
abduction	únos
abductor	únosca
abecedarian	abecedný
abecedarian	začiatočník
abecedarian	žiak
aberrance	odchýlka
aberrant	nenormálny
aberration	anomália
aberration	odchýlka
aberration	úchylka
abet	navádzať
abet	podporovať
abetment	napomáhanie
abettor	podnecovateľ
abeyance	odklad
abhor	desiť sa
abhorrence	odpor
abide	dodržať
abide	strpieť
abide	trpieť
abide	vydržať
abide	vystáť
abide	vyčkať
abide	zniesť
abide	znášať
abide	zotrvať
abide	čakať
abide by	rešpektovať
abiding	stály
abiding	trvalý
abient	negatívny
ability	nadanie
ability	obratnosť
ability	schopnosť
ability	spôsobilosť
ability	talent
ability	zdatnosť
ability	zručnosť
abject	biedny
abjection	poníženie
abjection	skleslosť
abjectly	biedny
abjuration	odvolanie
abjure	odprisahať
abjure	odvolať
ablate	odňať
ablation	odstránenie
ablaze	planúci
able	nadaný
able	oprávnený
able	schopný
able	zdatný
able to pay	solventný
able-bodied	schopný
able-bodied	silný
ably	obratne
abnegation	zrieknutie sa
abnormal	abnormálny
abnormal	nenormálny
abnormal	neprirodzený
abnormal	nesprávny
abnormal	vynímočný
abnormal	výnimočný
abnormal	úchylný
abnormality	abnormalita
abnormality	anomália
abnormality	odchýlka
abode	bydlisko
