zlatanina	261-871-B
zlatko	57-1956-B
zlatnik	101-1391-B
zlato	101-1277-B
zlatokop	177-2196-B
zlatonosny	19-425-B
zlaty	101-1288-B,101-1358-B
zlava	2-720-B,2-2058-B,10-3025-B,47-1052-B,56-1937-B,59-3498-B,66-2478-B,137-2705-B,175-337-B,184-1631-B,186-1998-B
zlavit	59-3384-B
zlaza	100-367-B
zlc	24-2906-B,96-3190-B
zlcnik	96-3201-B,97-219-B
zlcnikovy	24-2975-B
zlcovy	24-2933-B
zle	8-3521-B,11-2940-B,20-2017-B,20-2243-B,80-65-B,112-2809-B,112-3618-B,172-221-B,272-3440-B,273-2254-B,273-2350-B
zle zaobchadzat	144-1480-B,144-2730-B
zlepit	9-742-B,229-1074-B
zlepovat	224-512-B
zlepsenie	8-819-B,11-2209-B,24-1725-B,77-798-B,114-1145-B,114-1168-B,117-617-B,140-2572-B,187-81-B,259-445-B,259-2210-B
zlepsit	11-2188-B,24-1681-B,49-4184-B,77-671-B,114-1020-B,135-2544-B,140-2552-B,187-19-B
zlepsit sa	114-1038-B
zlepsovatel	114-1192-B,117-658-B
zliabok	91-2773-B,103-2069-B,218-1323-B
zliat	58-2199-B
zliatina	10-3109-B,46-2260-B
zlievac	36-1258-B,94-1935-B
zlievaren	94-1991-B
zlievat	10-3124-B
zlikvidovat	55-1431-B,74-3641-B
zlo	80-46-B,144-585-B,273-2264-B
zloba	136-200-B,136-432-B,136-845-B
zlocin	54-2397-B,122-789-B,136-81-B,144-906-B
zlocinec	54-2487-B,97-1405-B,136-123-B,161-1559-B,264-198-B
zlocinnost	54-2411-B,61-1943-B
zlocinny	54-2506-B
zlodej	31-449-B,126-2264-B,152-2144-B,169-296-S,212-2532-B,219-2647-B,228-2066-B,244-1721-B
zlodejsky	244-1790-B
zlodejstvo	244-1770-B
zloduch	87-1131-B,264-167-B
zlom	68-126-B,85-1958-B
zlomenina	94-2524-B
zlomeny	3-1525-B,29-3506-B,30-37-B
zlomil	29-3521-B
zlomit	28-2882-B,28-2984-B,219-2313-B
zlomkovity	94-2664-B
zlomkovy	94-2456-B
zlomok	94-2631-B,203-2442-B,210-2734-B
zlomyselnost	36-3025-B,64-1115-B,136-218-B,136-445-B,136-466-B,136-557-B,144-717-B,218-2402-B
zlomyselny	36-3095-B,63-2449-B,136-268-B,136-488-B,136-603-B,136-762-B,144-652-B,223-3233-B,263-1726-B
zlopovestny	154-1586-B
zlost	12-2635-B,13-347-B,39-3321-B,57-1200-B,80-1294-B,96-1814-B,120-1391-B,154-2832-B,163-1320-B,181-2084-B,191-3400-B,263-893-B,273-567-B
zlostit	248-843-B
zlostny	12-2802-B,136-785-B,263-1747-B
zlosyn	264-183-B
zlovestny	158-1176-B,215-2142-B
zlozenie	46-175-B,46-2281-B,46-2505-B,49-2844-B,83-355-B,87-414-B,93-2874-B,135-3179-B,209-2276-B,232-3346-B
zlozenina	46-2524-B
zlozenka	39-840-B
zlozeny	46-1305-B,46-2149-B,46-2544-B
zlozit	46-2033-B,46-2582-B,47-3529-B,62-2396-B,72-126-B,92-738-B,96-1306-B,169-1457-B,179-2963-B,239-3441-B,240-383-B,258-1540-B
zlozitejsi	251-1071-B
zlozity	46-1323-B,46-1495-B,46-2563-B,119-2370-B,251-1216-B
zlozka	46-1850-B,74-2756-B,83-1601-B,92-835-B,116-3084-B,165-445-B
zlozvyk	32-600-B,263-1490-B
zltacka	108-1435-B,121-1853-B
zltnut	274-397-B
zltohnedy	241-729-B
zltok	274-444-B,274-1187-B
zltost	274-414-B
zlty	273-2432-B,273-2447-B,274-430-B
zlucenie	141-2044-B
zlucenina	44-1350-B,46-2600-B
zlucit	49-1844-B,96-1901-B,122-1512-B,141-1978-B,257-452-B
zlucitelnost	45-3109-B
zlucovanie	141-2062-B
zlucovat	44-1490-B,141-1961-B,257-435-B
zlutovanie	101-3081-B,141-1691-B
zly	20-2025-B,80-55-B,84-1343-B,90-1755-B,112-2817-B,133-1482-B,133-2067-B,136-623-B,144-677-B,150-1001-B,150-2649-B,167-3367-B,172-155-B,215-2162-B,257-943-B,263-1764-B,263-3165-B,264-315-B,264-2466-B,270-1633-B,273-2274-B
zlyhanie	60-981-B,83-2224-B,83-2436-B,144-1311-B
zlyhat	2-735-B,3-345-B,28-3003-B,29-273-B,83-2238-B,83-2270-B,83-2453-B,84-900-B,136-412-B,144-1328-B,152-3083-B,218-259-B
zmaknut	101-282-B,140-3106-B,220-2279-B
zmarenie	60-704-B,95-2881-B
zmarit	20-2305-B,48-1535-B,60-720-B,92-528-B,95-2841-B,224-1329-B,233-2457-B
zmateny	20-2320-B,23-3262-B,24-1916-B,48-1754-B,68-2008-B,68-2115-B,96-2246-B,139-1404-B,141-2975-B,142-3466-B,144-3577-B,148-1557-B,148-1581-B,155-2116-B,167-3678-B,168-1353-B,179-3306-B,248-638-B,259-1772-B
zmatky	167-3719-B
zmatok	12-1865-B,20-475-B,21-560-B,23-856-B,24-1937-B,38-1014-B,45-1518-B,48-1122-B,48-1810-B,66-422-B,67-1818-B,68-2077-B,72-891-B,91-2718-B,91-2895-B,95-2973-B,96-2045-B,111-700-B,123-1584-B,139-1296-B,139-1391-B,141-2757-B,144-3512-B,148-1542-B,149-793-B,164-903-B,167-3759-B,168-1332-B,179-3343-B,180-940-B,210-1938-B,240-1926-B,242-590-B,247-1261-B,252-2433-B,253-110-B,259-1788-B,269-1115-B
zmazat	73-2281-B,156-0-B,271-964-B
zmena	11-449-B,11-709-B,11-2465-B,38-632-B,38-660-B,38-823-B,38-855-B,51-988-B,80-2322-B,117-468-B,145-1712-B,149-1207-B,186-960-B,188-3328-B,192-43-B,194-1920-B,210-1351-B,212-114-B,249-3260-B,250-54-B,261-1904-B,261-2096-B,261-2481-B,263-1828-B
zmenarnik	146-258-B
zmenil	38-751-B,238-2557-B
zmenit	11-416-B,11-2379-B,38-645-B,44-2372-B,45-2212-B,145-1863-B,261-2922-B
zmenka	24-3070-B,24-3122-B,70-1407-B
zmensenie	2-1975-B,59-2651-B,65-1234-B,129-243-B,186-1829-B,275-388-B
zmensit	2-1731-B,18-2425-B,56-1670-B,56-1708-B,56-1787-B,59-2671-B,65-1215-B,70-1094-B,82-2188-B,129-171-B,135-3020-B,164-3190-B,178-402-B,186-1579-B,201-3185-B,212-3331-B,213-2267-B,216-2614-B
zmensoval	2-1889-B,23-2650-B
zmensovanie	186-1850-B
zmensovat	2-1747-B,23-2629-B,143-1469-B
zmerat	98-551-B,139-2927-B
zmeraveny	154-3145-B
zmes	25-2908-B,46-2303-B,46-2621-B,123-1572-B,140-1476-B,140-2495-B,141-2747-B,144-427-B,144-3387-B,144-3647-B
zmesi	46-2673-B,144-3679-B
zmeskanie	60-515-B
zmeskat	144-2056-B,267-2583-B
zmetak	30-314-B,30-731-B
zmiast	21-649-B,23-787-B,23-1416-B,23-3247-B,24-1899-B,48-1552-B,48-1738-B,62-3382-B,66-1695-B,67-1930-B,85-2544-B,148-1527-B,149-2164-B,155-2098-B,167-3662-B,179-3255-B,245-2537-B,256-3535-B
zmieneny	141-949-B,199-2246-B
zmienit sa	10-3139-B
zmienka	141-933-B,186-2963-B
zmier	185-1975-B
zmierenie	47-1182-B,185-1996-B
zmierit	5-3528-B,47-1138-B,177-578-B,185-1837-B
zmierit sa	185-1856-B
zmierlivy	47-1205-B,177-598-B
zmiernenie	2-1765-B,2-1996-B,2-2096-B,10-2153-B,72-2733-B,72-2786-B,79-1742-B,82-2248-B,144-3212-B,145-1250-B,186-1873-B
zmiernil	2-1907-B,17-2607-B,18-2485-B,60-3574-B,82-2228-B
zmiernit	2-1782-B,10-1811-B,10-2133-B,14-1759-B,17-2589-B,18-2445-B,56-926-B,57-934-B,60-3537-B,72-2645-B,82-2208-B,83-1066-B,129-2066-B,133-269-B,144-3147-B,145-1156-B,145-2814-B,163-498-B,163-2781-B,180-1783-B,186-1596-B,188-1986-B,188-2702-B,188-3552-B,216-2632-B,242-231-B,247-2685-B,255-3653-B,267-3268-B
zmiernovat	58-191-B
zmiesanie	144-3660-B
zmiesany	17-2451-B,144-351-B,144-3560-B
zmiesat	25-2919-B,25-2935-B,45-1071-B,46-2635-B,140-2508-B,143-1228-B,144-3396-B,144-3482-B,229-3250-B
zmiesavanie	144-3609-B
zmietat sa	91-1253-B
zmija	6-3123-B,17-13-B,264-1602-B
zmiznut	41-1922-B,58-2127-B,66-63-B,78-2900-B,79-2363-B,83-1987-B,135-2786-B,179-1747-B,218-106-B,261-1052-B
