deep-fry	smažiť
deep-rooted	zakorenený
deep-rooted	zarytý
deep-seated	zakorenený
deepen	prehĺbiť
deepen	vyhĺbiť
deepening	prehĺbenie
deeply	hlboko
deeply	intenzívne
deepness	hĺbka
deer	jeleň
deer	srnec
deerskin	jelenica
deface	znetvoriť
deface	zohaviť
defalcate	spreneveriť
defalcation	sprenevera
defalcator	defraudant
defamation	hanobenie
defamation	klebeta
defamation	ohováranie
defamatory	ohováračský
defame	hanobiť
defame	ohovárať
defamer	ohovárač
default	sprenevera
default	zanedbanie
default	zmeškanie
default	štandardný
defeasible	zrušiteľný
defeat	anulovať
defeat	poraziť
defeat	porážka
defeat	prehlasovať
defeat	premôcť
defeat	zamietnutie
defeat	zamietnuť
defeat	zmarenie
defeat	zmariť
defeat	zničiť
defeat	zrušiť
defeat	zvíťaziť
defeatism	porazenectvo
defeatist	defetista
defeatist	porazenec
defect	chyba
defect	kaz
defect	nedostatok
defect	porucha
defect	poškodenie
defect	vada
defection	odpadnutie
defection	prestúpenie
defection	zlyhanie
defective	chybný
defective	kazový
defective	neúplný
defective	vadný
defectiveness	kazovosť
defector	dezertér
defector	odpadlík
defector	utečenec
defence	obhajoba
defence	obrana
defence	ochrana
defence	ospravedlnenie
defenceless	bezbranný
defencelessness	bezbrannosť
defend	brániť
defend	brániť sa
defend	chrániť
defend	obhajovať
defend	udržať
defendant	obžalovaný
defender	obhajca
defender	obranca
defense	obhajoba
defense	obrana
defense	ochrana
defensible	udržateľný
defensive	defenzíva
defensive	defenzívny
defensive	obrana
defensive	obranný
defer	oddialiť
defer	odložiť
defer	oneskoriť
defer	otáľať
deference	podriadenosť
deference	úcta
deferential	úctivý
deferment	odklad
defiance	vzdor
defiant	vzdorovitý
deficiencies	manká
deficiency	chyba
deficiency	deficit
deficiency	nedostatok
deficiency	schodok
deficiency	vada
deficient	nedostatočný
deficient	neúplný
deficit	deficit
deficit	manko
deficit	schodok
defile	defilovať
defile	poškvrniť
defile	pošpiniť
defile	priesmyk
defile	znesvätiť
defile	zneuctiť
defile	znečistiť
defilement	znesvätenie
defilement	zneuctenie
defilement	znečistenie
defiler	ohovárač
definable	definovateľný
define	charakterizovať
define	definovať
define	ohraničiť
define	určiť
define	vymedziť
definite	istý
definite	jednoznačný
definite	konečný
definite	pevný
definite	presný
definite	rozhodný
definite	určitý
definite	výslovný
definite	záväzný
definitely	definitívne
definitely	rozhodne
definitely	samozrejme
definitely	určite
definiteness	jednoznačnosť
definiteness	určitosť
definition	definícia
definition	jasnosť
definition	ohraničenie
definition	vymedzenie
definitive	definitívny
definitive	konečný
definitive	rozhodný
definitive	rozhodujúci
definitively	definitívne
definitively	konečne
definitively	rozhodne
deflate	spľasnúť
deflate	vyprázdniť
deflate	vypustiť
deflation	deflácia
deflation	vypustenie
deflect	odbočiť
deflect	odkloniť
deflect	vychyľovať
deflection	odchýlka
deflection	odklonenie
deflection	vychyľovanie
deforest	odlesniť
deform	deformovať
deform	znetvoriť
deformation	deformácia
deformation	pretvorenie
deformation	znetvorenie
deformed	deformovaný
deformed	zmrzačený
deformed	znetvorený
deformity	znetvorenie
defraud	defraudovať
defraud	oklamať
defraud	podviesť
defraud	spreneveriť
defrauder	podvodník
defray	uhradiť
defray	zaplatiť
defrost	rozmraziť
defrosting	rozmrazovanie
deft	obratný
deftness	obratnosť
defunct	zaniknutý
defuse	stlmiť
defuse	tlmiť
defuse	zmierniť
defuse	zneškodniť
defused	zmiernil
defy	pohŕdať
defy	vzdorovať
degenerate	degenerovaný
degenerate	degenerovať
degeneration	degenerácia
degenerative	degeneratívny
degradation	degradovanie
degradation	degradácia
degradation	poníženie
degradation	zníženie
degradation	zosadenie
degrade	degradovať
degrade	ponížiť
degrade	znehodnotiť
