klenot	98-1273-B,122-244-B,250-2590-B
klenotnictvo	122-329-B,122-371-B
klenotnik	122-270-B,122-289-B
klenutie	33-857-B,261-3300-B
klenuty	261-3267-B
klepat	22-3218-B,125-1163-B
klepeto	152-2690-B,169-1854-B
klepnut	182-1883-B
klesajuci	59-2727-B,218-945-B
klesanie	84-539-B
klesat	59-965-B,59-2562-B,63-141-B,71-1120-B,84-553-B,126-2101-B,184-2612-B,199-1935-B,215-2186-B,234-1051-B,266-2793-B
klesnut	2-1588-B,59-2579-B,63-157-B,71-1134-B,84-581-B,100-3133-B,126-2115-B,199-1947-B,215-2199-B,218-2192-B
klesnutie	84-566-B
kliat	238-438-B
kliatba	21-667-B,56-523-B,136-38-B
klicek	99-68-B,225-1107-B
klicenie	99-247-B
klicit	30-1270-B,99-82-B,99-191-B,225-1123-B
klient	41-3182-B
klientela	41-3214-B
klieste	169-1869-B,170-3116-B,247-2739-B
klietka	32-1175-B
klika	40-3365-B,83-1443-B,196-153-B
klima	41-3261-B
klimaticky	41-3293-B
klimatizacia	2-816-B,9-2880-B,9-2910-B,9-3061-B,9-3089-B,47-2790-B
klin	124-1237-B,251-1471-B,268-2168-B
klinec	149-2397-B
klinicky	42-152-B
klinika	42-137-B
klinovity	268-2179-B
klinovy	55-2962-B
klobasa	201-819-B
klobucik	34-450-B
klobucnik	107-128-B
klobuk	106-3277-B
klokan	124-158-B
kloktadlo	97-2094-B
kloktanie	97-2111-B
kloktat	97-2128-B,104-2404-B
klopat	22-3231-B,40-3480-B,125-1177-B,169-2050-B,240-2251-B
klozet	127-1583-B
klub	42-1966-B
klubovna	42-2069-B
kluc	42-2102-B,124-1258-B,138-1852-S,146-807-S,222-1557-B
klucka	105-2893-B
kluckovat	174-3874-B
klucny	41-963-B
klucovy	124-1270-B
kluka	54-46-B
klukatit sa	139-1946-B
klukato	274-2720-B
klukaty	208-3168-B,215-2413-B,226-214-B,271-201-B,274-2736-B
klus	251-2908-B
klusak	251-2959-B
klusat	122-1222-B,251-2918-B
klyisko	112-1046-B,196-552-B,216-280-B
klzacka	40-949-B,217-2408-B
klzak	100-856-B,199-2552-B
klzanie	100-794-B
klzat	22-2141-B,100-809-B,216-897-B,217-2424-B,218-135-B
klzisko	196-565-B
klzky	102-3404-B,217-2298-B,217-3102-B,218-330-B,218-367-B,218-565-B
kmasat	189-3049-B
kmen	27-122-B,33-2725-B,132-1657-B,168-3613-B,168-3643-B,222-3012-B,228-2752-B,229-812-B,230-284-B,231-1180-B,251-579-B,252-894-B
kmenovy	251-562-B
kmin	55-2950-B
kmit	263-1324-B
kmitanie	111-2497-B,160-2815-B,263-1339-B
kmitat	160-2698-B,263-1222-B
kmitocet	95-935-B
kmotor	224-1693-B
kmotra	97-1106-B,224-1708-B
knaz	40-912-B,41-2865-B,73-507-B,157-2984-B,175-697-B
knazka	175-710-B
knazna	175-1250-B
knazsky	175-729-B,199-756-B
knedla	72-192-B
knieza	71-2846-B,175-1199-B
kniezatstvo	175-1227-B,175-1429-B
kniha	27-973-B,265-2081-B
knihar	25-160-B,27-1179-B
knihkupectvo	27-1379-B,27-1402-B
knihomol	27-1426-B
knihovna	129-2337-B
knihovnik	129-2316-B
knihtlac	129-1033-B
kniznica	24-2335-B,27-1198-B,129-2355-B
knizny	27-1279-B
knot	270-1543-B
koalicia	42-2888-B
koaxialny	43-179-B
kobalt	43-216-B
koberec	35-1549-B
kobyla	137-1865-B
koc	35-1639-B,42-2641-B
kociar	35-1653-B,42-2652-B
kocik	179-1869-B
kocis	42-2728-B,216-1622-B,269-3000-B
kocka	26-314-B,55-2050-B,64-2060-B,64-2376-B,134-319-B,225-2506-B
kockovany	39-97-B,39-869-B
kockovy	55-2061-B
kocovnik	153-995-B
kocovny	153-1012-B
kocur	247-2430-B
kod	43-698-B
kodifikovat	43-842-B
kodovac	43-795-B
kodovanie	43-862-B,76-1078-B
kodovany	43-778-B
kodovat	43-708-B,76-727-B
koeficient	43-940-B
koexistencia	43-1136-B
kofein	32-1105-B
kohezia	43-1789-B
kohut	38-983-B,43-314-B,43-433-B,197-1296-B
kohutik	43-326-B,43-351-B,43-449-B,85-1804-B,223-1869-B,230-1813-B,240-2263-B,251-1481-B,271-2494-B
kojenec	20-365-B,20-545-B,235-248-B
kojit	29-526-B
kokain	43-282-B,43-2214-B
koketa	51-3314-B,143-2610-B,261-848-B
koketny	51-3330-B
koketovanie	57-166-B,90-3210-B
koketovat	90-3193-B
koks	43-2227-B,220-203-B
koktail	43-567-B
koktat	84-1540-B,226-3074-B,233-2135-B
koktejl	43-584-B
kol	163-2485-B,169-246-B,172-2139-B,226-2323-B,229-2271-B
kolaboracia	43-2698-B
kolaborant	43-2751-B
kolaborovat	43-2616-B
kolac	32-1414-B,169-673-B,240-3030-S
kolacik	51-2225-B,219-2224-B
kolaj	44-18-B,69-3033-B,69-3109-B,105-1528-B,130-2649-B,132-1431-B,181-2400-B,249-263-B
kolajnica	181-2412-B
