jut	výstupok
jute	juta
juvenile	mladistvý
juvenile	mladý
juvenile	nezrelý
juvenility	mladistvosť
juxtapose	klásť
k	k
kale	kel
kaleidoscope	kaleidoskop
kangaroo	klokan
kaolin	kaolín
kayak	kajak
keel	kýl
keen	bystrý
keen	dychtivý
keen	horlivý
keen	náruživý
keen	ostrý
keen	posadnutý
keen	prenikavý
keen	prudký
keen	veľký
keen	vášnivý
keep	chovať
keep	chrániť
keep	dodržiavať
keep	držať
keep	dávať
keep	mať
keep	nechať
keep	obživa
keep	opatrovať
keep	ponechať
keep	tvrdza
keep	udržať
keep	udržovať
keep	vydržať
keep	väzenie
keep	výživa
keep	zachovať
keep	zachovávať
keep	zadržať
keep	zdržať
keep at	držať
keep down	uhasiť
keep on	zostávať
keep track	sledovať
keep up	zachovať
keep watch	dávať
keeper	dozorca
keeper	opatrovník
keeper	strážca
keeping	ochrana
keeping	opatera
keeping	opatrovanie
keeping	starostlivosť
keeping	vlastníctvo
keeping	vydržiavanie
keeping	úschova
keester	zadok
keg	sud
keg	súdok
keister	zadok
kennel	brloh
kennel	búda
kennel	chovať
kept	držal
kerbstone	obrubník
kerchief	šatka
kerf	rez
kern	jadro
kernel	jadro
kernel	kôstka
kernel	podstata
kernel	zrno
kerosene	petrolej
ketchup	kečup
kettle	konvica
kettle	kotlík
key	hlavný
key	klapka
key	klin
key	kláves
key	kľúč
key	kľúčový
key	naladiť
key	tlačítko
key	tónina
keyboard	klaviatúra
keyboard	klávesnica
keypad	klávesnica
keystone	podstata
kick	kop
kick	kopať
kick	kopnutie
kick	kopnúť
kick out	vyhodiť
kick-off	výkop
kickback	provízia
kickshaw	maličkosť
kicky	vzrušujúci
kid	chrobáčik
kid	decko
kid	detinský
kid	detský
kid	dieťa
kid	kozliatko
kid	kozľa
kid	krpec
kid	mláďa
kiddie	detský
kiddish	detinský
kiddish	detský
kiddy	decko
kidnap	uniesť
kidnapper	únosca
kidnapping	únos
kidney	oblička
kidney	ľadvina
kidney	ľadvinka
kids	deti
kill	korisť
kill	usmrtiť
kill	zabitie
kill	zabiť
kill	zastreliť
kill	znemožniť
kill	zničiť
kill off	vyhubiť
kill off	vyvraždiť
killer	vrah
killer	zabijak
killing	ničivý
killing	usmrtenie
killing	zabitie
killing	zabíjanie
killing	zhubný
kiln	pec
kiln	sušiareň
kilo	kilo
kilocycle	kilohertz
kilogram	kilogram
kilogramme	kilogram
kilometer	kilometer
kilometre	kilometer
kilter	poriadok
kin	príbuzenstvo
kin	príbuzný
kin	rodina
kind	druh
kind	láskavý
kind	milý
kind	ohľaduplný
kind	priateľský
kind	spôsob
kind	trieda
kind	typ
kind	vľúdny
kind	žáner
kind of	druh
kind of	trochu
kind-hearted	dobrosrdečný
kinda	trochu
kindergarten	skôlka
kindle	rozdúchať
kindle	roznietiť
kindle	vznietiť
kindle	zapaľovať
kindle	zapáliť
kindliness	láskavosť
kindly	láskavo
kindly	láskavý
kindly	mierny
kindly	milý
kindly	priateľský
kindly	vľúdne
kindly	vľúdny
kindness	dobrota
kindness	láskavosť
kindness	vľúdnosť
kindred	príbuzenstvo
kindred	príbuzní
kindred	príbuzný
kindred	rodina
kindred	spriaznený
kine	dobytok
kinetic	pohybový
king	král
king	kráľ
king	vládnuť
kingdom	kráľovstvo
kingdom	ríša
kingly	kráľovský
kink	slučka
kink	vrtoch
kink	zvláštnosť
kinkiness	zvláštnosť
kinky	výstredný
kinky	zvláštny
