servomechanism	servomechanizmus
servomotor	servomotor
session	konferencia
session	porada
session	schôdza
session	sedenie
session	semester
session	zasadanie
session	zhromaždenie
set	aparát
set	dať
set	garnitúra
set	kolekcia
set	komplet
set	napraviť
set	nastaviť
set	položiť
set	postaviť
set	prístroj
set	rad
set	rada
set	skupina
set	stanovenie
set	stanovený
set	stanoviť
set	stuhnúť
set	sádzať
set	séria
set	súbor
set	súprava
set	sústava
set	umiestnený
set	umiestniť
set	upevniť
set	určený
set	určiť
set	usadiť
set	ustanoviť
set	vsadiť
set	zariadiť
set	zbierka
set apart	nahradiť
set aside	zrušiť
set down	stanoviť
set down	určiť
set forth	vysvetliť
set in	nastať
set of	súbor
set off	vydať sa
set off	vyvolať
set on	napadnúť
set on	zaútočiť
set out	rozložiť
set out	vydať sa
set up	nastaviť
set up	pripraviť
set up	príprava
set up	vytvoriť
set up	založiť
set up	zariadiť
set up	zaviesť
set up	zriadiť
set upon	napadnúť
set-back	prekážka
set-to	hádka
set-to	zvada
set-up	zostava
setback	neúspech
setback	prekážka
settee	diván
settee	gauč
settee	pohovka
setter	montér
setter	sádzač
setting	nasadenie
setting	nastavenie
setting	prostredie
setting	príbor
setting	stanovenie
setting	umiestnenie
setting	zhudobnenie
settle	dohodnúť
settle	dohodnúť sa
settle	dohovoriť
settle	dojednať
settle	osídliť
settle	stanoviť
settle	uhradiť
settle	upokojiť
settle	urovnať
settle	určiť
settle	usadiť
settle	usadiť sa
settle	ustanoviť
settle	utíšiť
settle	vybaviť
settle	vyriešiť
settle	zaplatiť
settle down	usadiť sa
settle on	dohodnúť sa
settle up	vybaviť
settled	nemenný
settled	pevný
settled	stály
settled	trvalý
settled	ustálený
settled	vyrovnaný
settled	zastavaný
settlement	dedina
settlement	dedičstvo
settlement	dohoda
settlement	kolonizácia
settlement	likvidácia
settlement	odkaz
settlement	osada
settlement	osídlenie
settlement	osídľovanie
settlement	prevedenie
settlement	prevod
settlement	sídlisko
settlement	sídlo
settlement	urovnanie
settlement	usadenie
settlement	vyrovnanie
settlement	zaplatenie
settlement	úhrada
settler	kolonista
settler	osadník
settling	vybavenie
settling	zúčtovanie
setup	nastaviť
setup	organizácia
setup	situácia
setup	usporiadanie
setup	zloženie
setup	zostava
seven	sedem
seven	sedmička
sevenfold	sedemnásobný
seventeen	sedemnásť
seventeenth	sedemnáste
seventeenth	sedemnásty
seventh	sedmina
seventh	siedmy
seventieth	sedemdesiaty
seventy	sedemdesiat
sever	deliť
sever	oddeliť
sever	odlúčiť
sever	odseknúť
sever	prerušiť
sever	preseknúť
sever	pretrhnúť
sever	rozlúčiť
sever	separovať
severable	oddelený
several	niekoľko
several	oddelený
several	rôzny
several	vlastný
several times	viac krát
severally	jednotlivo
severally	oddelene
severance	oddelenie
severance	prerušenie
severance	rozdelenie
severe	bolestivý
severe	drsný
severe	krutý
severe	náročný
severe	ostrý
severe	prudký
severe	prísny
severe	silný
severe	surový
severe	tvrdý
severe	vážny
severe	závažný
severe	ťažký
severed	oddelený
severely	hrozne
severely	vážne
severely	ťažko
severity	drsnosť
severity	prudkosť
severity	prísnosť
severity	sila
severity	tvrdosť
severity	vážnosť
severity	závažnosť
severity	ťažkosť
sew	ušiť
sew	šiť
sew up	zašiť
sewer	kanalizovať
sewer	kanál
sewer	stoka
sewerage	kanalizácia
sewing	šitie
sewing-machine	šijací stroj
