eat into	trápiť
eat out	vyžrať
eat up	pohltiť
eat up	zjesť
eat up	zničiť
eat!	jedz
eat! weir	jedz
eatable	jedlý
eatable	potravina
eatable	požívatina
eaten	zjedený
eater	jedák
eatery	jedáleň
eatery	reštaurácia
eats	ju
eaves	odkvap
eavesdropper	sliediť
ebb	odliv
ebb	ubúdať
ebb	úbytok
ebb away	slabnúť
ebullient	kypiaci
ebullition	vzkypenie
eccentric	výstredník
eccentric	výstredný
eccentricity	výstrednosť
eccentricity	zvláštnosť
ecclesiastic	cirkevný
ecclesiastic	duchovný
ecclesiastic	kňaz
ecclesiastical	cirkevný
ecclesiastical	duchovný
echo	echo
echo	opakovať
echo	ozvena
eclampsia	kŕč
eclipse	zatieniť
eclipse	zatmenie
ecological	ekologický
ecologist	ekológ
ecology	ekológia
economic	ekonomický
economic	hospodárny
economic	hospodársky
economic	úsporný
economical	ekonomický
economical	hospodárny
economical	úsporný
economical	šetrný
economically	ekonomicky
economics	ekonomika
economics	ekonómia
economise	šetriť
economist	ekonóm
economize	sporiť
economize	šetriť
economy	ekonómia
economy	hospodárenie
economy	hospodárnosť
economy	hospodárstvo
ecstasy	extáza
ecstatic	búrlivý
eddy	krútňava
eddy	vír
eddy	víriť
edge	hrana
edge	lem
edge	lemovať
edge	okraj
edge	ostrie
edge	prudkosť
edge	roh
edge in	vsunúť
edgeless	tupý
edgeways	bokom
edgewise	bokom
edging	okraj
edgy	ostrý
edible	jedlý
edible boletus	hríb
edible wild mushroom	hríb
edict	nariadenie
edict	vyhláška
edification	osveta
edifice	budova
edifying	poučný
edit	editovať
edit	redigovať
edit	upraviť
edit	upravovať
edit	usporiadať
edit out	vynechať
editing	úprava
edition	náklad
edition	vydanie
editions	vydanie
editor	editor
editor	redaktor
editor	vydavateľ
editorial	redakčný
editorial	úvodník
editorial	článok
editorship	redakcia
editorship	vydavateľstvo
educate	vychovávať
educate	vzdelať
educate	vzdelávať
educated	vzdelaný
educating	vzdelávací
education	vzdelanie
education	vzdelávanie
education	výchova
education	výcvik
education	výučba
education	školstvo
educational	vzdelávací
educational	výchovný
educationalist	pedagóg
educationist	pedagóg
educator	vychovávateľ
educe	odvodiť
educe	vyvodiť
educe	vyvolať
eerie	tajomný
eery	tajomný
efface	vyhladiť
efface	vymazal
efface	vymazať
efface	zmazať
effacement	vymazanie
effect	dojem
effect	efekt
effect	jav
effect	následok
effect	previesť
effect	pôsobenie
effect	uskutočniť
effect	uzavrieť
effect	vplyv
effect	vykonať
effect	výsledok
effect	zjednať
effect	zmysel
effect	účinnosť
effect	účinok
effective	aktívny
effective	efektný
effective	efektívny
effective	pôsobivý
effective	skutočný
effective	užitočný
effective	zdatný
effective	účelný
effective	účinný
effectively	účinne
effectiveness	efektívnosť
effectiveness	účinnosť
effectivity	účinnosť
effectual	mocný
effectual	účinný
effectuality	účinnosť
effectuate	uskutočniť
effectuate	vykonať
effectuation	prevedenie
effeminate	precitlivený
effervesce	bublať
effervesce	kvasiť
effervesce	kypieť
effervescent	šumivý
efficacious	pôsobivý
efficacious	účinný
efficaciousness	účinnosť
efficacy	pôsobivosť
efficacy	účinnosť
efficiency	schopnosť
efficiency	výkonnosť
efficiency	zdatnosť
efficiency	účinnosť
efficient	schopný
efficient	výkonný
efficient	zdatný
efficient	účinný
effigy	podobizeň
effloresce	rozkvitnúť
effloresce	zvetrať
efflorescence	doba kvitnutia
effluence	vyžarovanie
effluence	výlev
effluence	výtok
effluent	výtok
efflux	vytekanie
effort	námaha
effort	pokus
effort	práca
effort	snaha
effort	usilovať
effort	vypätie
effort	úsilie
effortless	ľahký
effortlessly	ľahko
