a	12-2319-B
abazicky	2-1571-B
abeceda	11-161-B
abecedny	2-2468-B,11-178-B,11-199-B
abnormalita	2-3602-B
abnormalny	2-3454-B
abonent	234-625-B
absencia	3-1797-B,153-1764-B
absenter	3-1972-B,252-169-B
absenterstvo	3-1991-B
absolutisticky	3-2017-B,3-2282-B
absolutizmus	3-2258-B
absolutne	3-2141-B,260-1801-B
absolutny	3-2042-B,10-1759-B,211-1630-B,227-1858-B,244-3037-B,248-1374-B,257-1901-B,257-3012-B,260-1532-B
absolvent	11-1221-B,101-3316-B,102-336-B,255-2264-B
absolventi	11-1203-B,102-399-B,255-2340-B
absolvovanie	102-420-B
absolvovat	102-355-B,165-2190-B
absorbovat	3-2344-B,237-3464-B
absorpcia	3-2620-B,259-2143-B
abstinencia	241-2595-B,242-345-B
abstinent	3-2793-B,241-2619-B
abstrahovat	3-2961-B
abstrakcia	3-3345-B
abstrakcny	3-3441-B
abstraktne	3-3240-B
abstraktny	3-2983-B,154-1394-B
abstraktny pojem	3-3004-B
absurdne	174-1003-B
absurdnost	3-3583-B
absurdny	3-3482-B,43-378-B,43-467-B,103-2236-B,116-405-B,133-2986-B,174-931-B,195-1431-B
aby	114-2174-B,220-798-B,220-949-B,243-3015-B,247-988-B
aby si	220-961-B,220-1012-B
aby sme	114-2149-B
aby ste	220-976-B,220-992-B
acetat	5-1967-B
aceton	5-2032-B
acetyl	5-2048-B
achromaticky	5-2430-B
acidofilny	5-2646-B
acidoza	5-2671-B
adaptabilny	6-2427-B
adaptacia	4-2884-B,6-2504-B
adapter	6-2639-B
adaptovany	6-2596-B
adaptovat	6-2289-B
adekvatny	7-507-B
adenom	7-381-B
adept	154-2090-B
adhezia	7-644-B,7-834-B
adhezny	7-891-B
adjektivny	7-1267-B,7-1290-B
administrativa	7-2632-B,164-1679-B
administrativny	7-2809-B
administrator	7-2865-B
admiral	7-3026-B
admiralita	7-3043-B
adolescencia	7-3919-B
adoptivny	8-58-B
adoptovanie	8-0-B
adoptovat	7-3993-B
adresa	7-58-B,65-2293-B
adresar	7-227-B,7-288-B,65-2932-B,92-778-B
adresat	7-249-B,49-1242-B
adresovanie	7-307-B
adresovat	7-73-B,65-2051-B
adsorpcia	8-316-B
advent	8-975-B
advokat	8-1864-B,21-2821-B,52-2960-B,52-3029-B,123-2416-B,127-1990-B
aerodynamicky	231-2977-B
aerolinie	9-3276-B,9-3430-B,9-3448-B
afektovanost	8-2388-B,98-2903-B,137-426-B
afektovany	8-2414-B,143-447-B
afera	8-2233-B
africky	1-262-B
agent	9-496-B,83-1475-B,159-1577-B,220-2976-B
agentura	9-368-B
agilny	9-1393-B
agitacia	9-1555-B,34-350-B
agitator	9-1615-B,34-306-B
agitovat	9-1466-B,34-268-B
aglomeracia	9-604-B
agonia	9-1741-B
agrarny	9-1781-B
agregacia	9-1131-B
agregat	9-1014-B,257-270-B
agresia	9-1197-B
agresivny	9-1233-B,106-1491-B,157-1981-B,252-337-B
agresor	9-1297-B
agronomicky	9-2203-B,9-2255-B
aj	11-288-B,247-2936-B
ak	112-2312-B,114-1889-B,257-1200-S
ak nie	257-1186-B
akademia	4-417-B,4-658-B,43-3699-B
akademicky	4-436-B,4-541-B,4-591-B,202-3379-B
akademik	4-615-B
akademizmus	4-636-B
akceleracia	4-902-B
akcelerator	4-1006-B
akceptacia	4-1577-B
akceptovat	4-1430-B
akcia	6-553-B,53-2671-B,210-2788-B
akcionar	210-2967-B,230-538-B
akciovy	122-1833-B
akcny	6-566-B
aker	6-38-B
akiste	130-1503-B
aklimatizacia	4-2543-B
aklimatizovat	4-2574-B,205-536-B
akne	5-3155-B
ako	16-2155-B,111-470-B,130-1306-B,235-75-B,243-2793-B
akoby	16-2354-B,16-2406-B,130-1315-B
akokolvek	13-3488-B,13-3722-B,13-3885-B,111-541-B,111-657-B
akomodacia	4-2909-B
akonahle	16-2385-B,158-1796-B,269-2227-B
akontacia	8-665-B
akord	40-258-B
akordeon	4-4017-B
akosi	183-247-B,221-928-B,221-1251-B
akost	41-423-B,102-45-B,180-760-B,221-2529-B
akreditiv	129-968-B
akrobacia	6-226-B
akrobat	6-187-B,252-2448-B
akrobaticky	6-203-B
akt	6-306-B,154-2573-B
aktivacia	6-852-B
aktivator	6-894-B
aktivita	6-1089-B
aktivny	3-471-B,6-915-B,73-2554-B,76-2997-B,131-1997-B
aktivovany	6-830-B
aktivovat	6-810-B,75-3839-B
aktivum	17-1225-B
aktovka	29-1603-B,200-2905-B
aktualita	6-1454-B
