axiom	zásada
axiomatic	axiomatický
axiomatically	samozrejme
axis	os
axle	os
axonometric	axonometrický
ay	ano
aye	ano
azeotrope	azeotrop
azimuth	azimut
azure	azúr
azure	azúrový
azure	modrý
azurite	azurit
b	b
babbitt	kompoyícia
babble	bľabot
babble	bľabotanie
babble	bľabotať
babble	džavotať
babble	kecať
babbler	tlčhuba
babe	chrobáčik
babe	dievča
babe	kojenec
babe	miláčik
babe	nemluvňa
babel	babylon
babel	motanica
babel	rámus
babel	spleť
babel	vrava
babel	zmätok
baboon	pavián
baby	benjamínok
baby	dieťa
baby	dojča
baby	kojenec
baby	miminko
baby	nemluvňa
baby-sit	dávať
babyish	detinský
babyish	detský
baccate	bobuľovitý
baccy	tabak
bachelor	bakalár
bachelor	starý mládenec
bachelors	bakalári
bacillus	bacil
back	chrbtica
back	chrbát
back	cúvať
back	nazad
back	obranca
back	oneskorený
back	operadlo
back	podporovať
back	rub
back	spiatočný
back	spätný
back	späť
back	zadný
back off	odstúpiť
back off	ustúpiť
back up	podložiť
back-up	zabezpečenie
backbite	ohovárať
backbone	chrbtica
backbreaking	vyčerpávajúci
backdate	antedatovať
backdown	ústup
backdrop	horizont
backdrop	pozadie
backdrop	prospekt
backer	pomocník
background	minulosť
background	podklad
background	pozadie
background	pôvod
backing	opora
backing	podpora
backing	pomoc
backing	vystuženie
backlash	vôľa
backlog	nedoplatok
backlog	rezerva
backpack	batoh
backsheesh	sprepitné
backside	zadok
backslider	odpadlík
backstair	nepoctivý
backstop	zarážka
backstreet	pokútny
backstroke	znak
backup	záloha
backup	zálohovanie
backward	dozadu
backward	naspäť
backward	nazad
backward	spätný
backward	späť
backward	zaostalý
backwardness	zaostalosť
bacon	slanina
bacterial	bakteriálny
bactericidal	baktericídny
bacteriological	bakteriologický
bacteriologist	bakteriológ
bacteriology	bakteriológia
bacteriolysis	bakteriolýza
bacteriophage	bakteriofág
bacterium	baktéria
bad	chorý
bad	chybný
bad	hrubý
bad	nekrytý
bad	nepríjemný
bad	pochybný
bad	pokazený
bad	skazený
bad	zle
bad	zlý
bad	škodlivý
bad hat	povaľač
bad luck	nešťastie
bad luck	smola
bad-mouth	ohovárať
bad-tempered	mrzutý
badge	medaila
badge	odznak
badge	znak
badge	znamenie
badger	sužovať
badger	trápiť
badly	silne
badly	zle
badmouth	ohovárať
badness	hnev
badness	skazenosť
baffle	zmariť
baffled	zmätený
baffling	záhadný
bag	kabelka
bag	obsadiť
bag	peňaženka
bag	taška
bag	uloviť
bag	vak
bag	vemeno
bag	vrece
bag	vrecko
bag	vrecúško
bagatelle	maličkosť
baggage	batožina
baggy	vydutý
bagpipe	dudy
bagpipe	gajdy
bagpipes	dudy
bags	batožina
bail	kaucia
bail	záruka
bailiff	správca
bailout	pomoc
bairn	dieťa
bait	návnada
bait	vnadidlo
bake	piecť
bake	upiecť
bake	vypaľovať
baker	pekár
bakery	pekárstvo
baking	bankovníctvo
baking	vypaľovanie
baksheesh	sprepitné
balance	balansovať
balance	bilancia
balance	bilancovať
balance	porovnávať
balance	rovnováha
balance	saldo
balance	saldovať
balance	súvaha
balance	uvážiť
balance	vyrovnanie
balance	vyrovnanosť
balance	vyrovnať
balance	vyrovnávať
balance	vyvažovanie
balance	vyvažovať
balance	vyváženie
balance	vyvážiť
balance	váha
balance	vážiť
balance	zostatok
balance sheet	bilancia
balance sheet	súvaha
balanced	symetrický
balanced	súmerný
balanced	vyrovnaný
balanced	vyvážený
