vypuklina	30-2224-B
vysmech	62-3500-B,121-2388-B,145-456-B,145-526-B,165-147-B,195-1413-B,200-3242-B,203-1003-B,203-1783-B,219-2777-B,241-485-B,250-2202-B
vysmesny	200-3318-B
vysmievat sa	91-1509-B,145-421-B,241-465-B
vysmyknut sa	218-238-B
vysocina	108-3374-B,259-835-B
vysoko	108-3009-B,109-180-B,258-3845-B
vysokoskolak	255-2288-B
vysokoskolsky	4-516-B,4-564-B
vysoky	24-2646-B,108-3021-B,108-3225-B,240-1231-B
vysost	109-194-B
vysplhat	41-3445-B
vyssi	108-3287-B,207-2938-B,236-1331-B,240-1244-B,259-980-B
vystacit	127-178-B
vystahovalec	75-2180-B
vystahovalectvo	75-2203-B
vystahovanie	79-1982-B,79-3512-B
vystahovat	79-1896-B,79-3493-B
vystahovat sa	180-3101-B
vystat	2-2825-B
vystatovacny	160-3355-B,260-3129-B
vystava	67-2898-B,81-1137-B,82-889-B,213-1212-B,213-1514-B
vystavat	78-2684-B
vystavba	49-3466-B
vystavenie	82-825-B,82-974-B
vystavit	67-2864-B,81-1061-B,82-808-B
vystavovat	6-1742-B,81-1079-B,213-1181-B
vystavovatel	81-1183-B
vystraha	7-3834-B,37-77-B,146-525-B,267-1366-B
vystrasen	9-1375-B,14-870-B,110-2260-B
vystrasit	227-2437-B
vystrazny	7-3875-B,81-174-B,267-1384-B
vystrbeny	121-1151-B
vystrednik	73-362-B
vystrednost	73-407-B,82-3458-B,157-834-B
vystredny	73-385-B,124-3066-B,157-774-B
vystreknut	225-1791-B
vystrel	21-1218-B,25-2489-B,104-2372-B,197-2820-B,212-2015-B,213-398-B
vystrelit	66-1275-B,88-2932-B,129-611-B,212-1983-B
vystriedanie	188-2205-B,190-2091-B
vystriedat	188-3516-B,212-82-B
vystriekat	226-433-B
vystrih	151-490-B,151-569-B
vystrihat	267-1294-B
vystrihat sa	78-3411-B
vystrihnut	56-1530-B,56-1900-B
vystrizok	42-365-B,56-2272-B
vystroj	5-702-B,15-3645-B,78-2106-B,98-1012-B,125-289-B,138-3301-B,161-1059-B,195-1758-B,195-1817-B
vystrojit	5-682-B,78-2030-B,89-1907-B,161-1010-B
vystuha	229-1624-B
vystup	16-2698-B,41-3395-B,81-1747-B,161-1791-B,161-2508-B,196-1368-B,202-1840-B,259-1440-B
vystupeni	14-1560-B,14-1658-B
vystupenie	14-1582-B
vystupit	10-736-B,16-2549-B,41-3378-B,147-2927-B,192-727-B
vystupnovat	77-649-B,78-3302-B
vystupok	124-0-B,128-1916-B,152-2787-B,153-3005-B,176-2433-B,211-2184-B,213-563-B
vystupovanie	23-2093-B,35-1768-B
vystupovat	123-3321-B,148-689-B
vystuz	188-494-B,236-3308-B
vystuzenie	20-1302-B
vystuzit	188-349-B
vysunut	74-911-B,177-2918-B,179-1787-B
vysusit	63-952-B,70-1733-B,71-2087-B,71-2179-B,164-2961-B,204-3314-B,213-2345-B
vysvatenie	49-44-B,59-3209-B
vysvatit	59-3069-B
vysvedcenie	37-2639-B,186-2923-B,190-2886-B,243-2329-B
vysvetlenie	41-102-B,75-149-B,81-3736-B,81-3886-B,82-847-B
vysvetlil	81-3865-B
vysvetlit	29-2700-B,41-205-B,75-105-B,77-1412-B,81-3598-B,81-3667-B,81-3691-B,81-3844-B,82-1012-B,161-2025-B,179-2157-B,192-1892-B,209-667-B,211-1357-B,223-1068-B,227-2964-B
vysvetlitelny	81-3817-B
vysvetlivky	81-3787-B
vysvetlovat	5-302-B,81-3617-B,183-2786-B
vysvetlujuci	81-3760-B
vysychat	71-2196-B,100-3225-B,204-3329-B,271-2460-B
vysypat	75-3688-B,223-2037-B,223-2052-B
vyt	111-632-B,203-3120-B,254-1365-B,274-2061-B
vytah	3-1198-B,3-3142-B,74-3279-B,82-3001-B,109-1899-B,130-0-B,199-483-B,235-2704-B
vytahovat	82-2963-B,178-1919-B,181-3133-B
vytazit	143-989-B
vytazok	79-210-B,82-3017-B,82-3146-B,96-2796-B,120-3747-B,161-2523-B,180-2968-B,239-3104-B,246-2575-B,274-960-B
vytekanie	73-3514-B
vytekat	120-3676-B,128-472-B,161-1111-B
vyter	237-3426-B
vytesat	35-3196-B,204-1707-B,204-1859-B
vytiahnut	70-1547-B,70-2221-B,82-1774-B,82-2925-B,107-292-B,109-1882-B,178-1903-B,178-2071-B,181-3082-B,189-2673-B,232-501-B,240-420-B,271-2155-B
vytiahnutie	82-3123-B
vytiahol	82-3086-B
vytiect	128-490-B,161-1128-B
vytierat	237-3411-B,271-1109-B
vytknutie	224-3075-B
vytlacenie	190-2116-B
vytlacit	55-1465-B,67-1217-B,82-1151-B,86-3161-B,160-3706-B,190-1958-B,226-91-B,232-1349-B,236-1604-B
vytlacok	51-3277-B,175-1643-B,175-1678-B
vytlak	67-2740-B
vytok	66-1296-B,73-3481-B,73-3498-B,91-2958-B,120-3734-B,161-1160-B,161-1806-B
vytopenie	107-3050-B
vytopit	107-2889-B
vytrhavat	171-40-B,196-949-B,241-1658-B
vytrhnut	82-2944-B,121-2897-B,178-2091-B,196-915-B,196-930-B,241-1529-B,241-1638-B,273-905-B,273-941-B
vytriedit	221-2728-B
vytriet	271-882-B,271-1127-B
vytriezvenie	67-582-B
vytriezviet	220-1449-B
vytrvalost	17-1344-B,17-1406-B,65-860-B,76-2834-B,76-2955-B,127-194-B,142-816-B,166-190-B,168-130-B,168-269-B,168-293-B,168-1184-B,188-2787-B,228-918-B,228-1518-B,228-1757-B,242-1460-B
vytrvaly	17-1386-B,168-362-B,188-2766-B,206-753-B,228-1405-B,228-2019-B,242-1416-B,247-439-B,257-3567-B
vytrvat	168-155-B,189-431-B
vytrysknut	226-452-B
vytrzenie	182-2347-B,249-2056-B
vytrznik	28-2283-B,196-797-B
vytrznost	8-3390-B,28-2264-B,68-2920-B,196-747-B,198-2033-B
vytusit	207-3275-B
vytvara	53-2998-B,54-924-B,176-453-B
vytvaranie	54-1011-B,98-2139-B
vytvarat	54-875-B,98-2039-B
vytvarnik	63-1712-B
vytvor	54-1032-B,272-1597-B
vytvorenie	54-991-B
vytvorit	5-2204-B,30-1821-B,43-1992-B,54-858-B,79-433-B,83-430-B,85-597-B,85-3229-B,93-2744-B,98-2020-B,135-2407-B,143-2169-B,160-2199-B,176-348-B,209-878-B,210-2620-B
vytvrdzovanie	106-1824-B
vyucba	73-2002-B,241-1263-B,249-1628-B,252-2308-B
vyuceny	216-1209-B
