zip on	zapnúť
zipper	zips
zippy	energický
zippy	živý
zircon	zirkón
zodiac	zverokruh
zoetrope	stroboskop
zombie	hlupák
zonal	pásmový
zonal	zonálny
zonal	zónový
zone	oblasť
zone	obvod
zone	pásmo
zone	sféra
zone	zóna
zonked	omámený
zoo	zoo
zoological	zoologický
zoologist	zoológ
zoology	fauna
zoology	zoológia
zoom	zväčšenie
zoom in	priblížiť
zoom in	zväčšenie
zoom out	zmenšenie
zoophilia	zoofília
zucchini	cuketa
zymosis	kvasenie
