buoy	bója
bur	ráčkovať
burble	mrmlať
burden	bremeno
burden	naložiť
burden	príťaž
burden	zaťaženie
burden	zaťažiť
burden	záťaž
burdensome	ťažký
burdock	lopúch
bureau	kancelária
bureau	úrad
bureaucracy	byrokracia
bureaucrat	byrokrat
bureaucratic	byrokratický
bureaucratically	byrokraticky
bureaucrats	byrokrati
bureaus	kancelárie
bureaux	kancelária
burg	mesto
burgeon	rašiť
burgess	mešťan
burglar	lupič
burglar	vlamač
burglar	zlodej
burglary	vlámanie
burgundy	burgundské
burial	pohreb
burl	chuchvalec
burlesque	burleska
burlesque	paródia
burly	hrmotný
burly	statný
burn	horieť
burn	popálenina
burn	popáliť
burn	prepáliť
burn	páliť
burn	spáliť
burn	zhorieť
burn down	spáliť
burn down	vyhorieť
burn down	vypáliť
burn low	dohorievať
burn out	vyhorieť
burn out	vypáliť
burn up	spáliť
burn up	vzplanúť
burner	horák
burner	kahan
burning	horúci
burning	spaľovanie
burnish	leštiť
burr	ráčkovať
burrow	nora
burrow	skrýša
bursary	štipendium
burst	prasknúť
burst	prepuknúť
burst	pretrhnúť
burst	puknúť
burst	zhluk
burst forth	prepuknúť
burst out	prepuknúť
bury	pochovať
bury	zahrabať
bury	zakopať
bus	autobus
bus	autobusový
bus	zbernica
busbar	zbernica
bush	buš
bush	ker
bush	krovie
bush	púzdro
bushing	objímka
bushing	priechodka
bushing	puzdro
bushland	buš
bushy	huňatý
bushy	krovinatý
business	obchod
business	podnikanie
business	vec
business	zamestnanie
business	záležitosť
business cycle	hospodársky
business enterprise	podnikanie
business manager	manažér
businesslike	vecný
businessman	obchodník
businessman	podnikateľ
busman	sprievodca
busman	vodič
bust	busta
bust	poprsie
bust	prsia
bust	rozbiť
bust	ňadra
bustle	ruch
busy	obsadený
busy	rušný
busy	zamestnaný
busy	zamestnať
busy	zaneprázdnený
busy	čulý
busy	živý
but	ale
but	avšak
but	iba
but	len
but	okrem
but	však
but good	dôkladne
butcher	mäsiar
butt	koniec
butt	pažba
butt	terč
butt	zadok
butt	zvyšok
butter	maslo
butter	máslo
butter up	rozmazlovať
butterfingers	babrák
butterfly	motýľ
buttermilk	cmar
buttocks	riť
buttocks	zadok
button	gombík
button	tlačidlo
buy	kupovať
buy	kúp
buy	kúpa
buy	kúpiť
buy	nakupovať
buy	zakúpiť
buy back	vykúpiť
buy in	nakupovať
buy out	vykúpiť
buy the farm	havarovať
buy up	vykúpiť
buyer	kupec
buying	nakupovanie
buzz	bzukot
buzz	bzučať
buzz	hučať
buzz	šum
buzzard	kaňa
buzzed	opitý
buzzer	bzučiak
by	cez
by	o
by	od
by	okolo
by	podľa
by	pomocou
by	popri
by	počas
by	prostredníctvom
by	vedľa
by	vedľajší
by	za
by and large	vcelku
by car	autom
by far	zďaleka
by leaps and bounds	rýchlo
by name	menom
by now	teraz
by the same mail	súčastne
by the skin of their teeth	ťažko
by the way	mimochodom
by which	kade
by-product	následok
by-product	vedľajší produkt
bygone	dávny
bylaw	predpis
bylaw	smernica
bylaw	štatút
bypass	obchádzka
bypass	obtok
bypass	preklenúť
bypass	vynechať
byproduct	následok
byre	chliev
byte	byte
c	c
c satisfactory	dostatočná
cab	búdka
cab	drožka
cab	kabína
cab	taxík
cabal	intrigovať
cabaret	kabaret
cabbage	kapusta
cabbage	kel
cabdriver	taxikár
cabin	búda
cabin	chata
cabin	chatrč
