break-in	vlámanie
break-resistant	nerozbitný
break-up	rozklad
break-up	rozpad
breakable	krehký
breakable	rozbitný
breakage	lom
breakage	rozbitie
breakaway	únik
breakaway	útek
breakdown	analýza
breakdown	havária
breakdown	porucha
breakdown	prehľad
breakdown	rozpis
breakdown	zlyhať
breakdown	zrútenie
breaker	drtvič
breaker	prerušovač
breakfast	raňajkovať
breakfast	raňajky
breakfasts	raňajky
breakneck	krkolomný
breakthrough	prielom
breakwater	vlnolam
breast	hruď
breast	prsia
breast	prsník
breast	ňadra
breastfeed	kojiť
breastpin	brošňa
breasts	prsia
breasts	ňadra
breastwork	zábradlie
breath	dych
breath	dýchanie
breath	nádych
breath	závan
breathalyser	balńik
breathe	dýchať
breathe	šepkať
breathe in	vdýchnuť
breathing	dýchanie
breathless	zadychčaný
breathtaking	úchvatný
breathtakingly	úžasne
breed	chovať
breed	druh
breed	pestovať
breed	plemeno
breed	plodiť
breed	rasa
breed	rodiť
breed	vychovávať
breeder	chovateľ
breeder	pestovateľ
breeding	plodenie
breeding	výchova
breeds	pestuje
breeze	vetrík
breeze	viať
breeze	vánok
breeze	škvara
breezy	svieži
breezy	veterný
brethren	bratia
brevity	krátkosť
brevity	stručnosť
brewery	pivovar
bribe	podplatiť
bribe	podplácať
bribe	uplatniť
bribe	úplatok
brick	murovaný
brick	tehla
brick	tehlový
bricklayer	murár
bridal	svadobný
bride	nevesta
bridegroom	ženích
bridge	bridž
bridge	most
bridge	mostík
bridge	prekonať
bridge	premostiť
bridge over	preklenúť
bridge over	premostiť
bridgehead	predmostie
bridgework	mostík
bridle	uzda
brief	informovať
brief	krátky
brief	stručný
briefcase	aktovka
briefly	krátko
briefly	stručne
briefness	stručnosť
brier	šípka
brigade	brigáda
brigand	lupič
brigand	zbojník
bright	bystrý
bright	chytrý
bright	jasný
bright	svetlý
bright	veselý
bright	číry
brighten	oživiť
brightly	jasno
brightly	svetle
brightness	jas
brightness	lesk
brightness	múdrosť
brightness	svetlosť
brightness	žiara
brill	fajn
brilliance	lesk
brilliance	nádhera
brilliance	žiara
brilliancy	lesk
brilliant	briliant
brilliant	skvelý
brilliant	svietivý
brilliant	trblietajúci
brilliant	vynikajúci
brilliant	žiarivý
brilliantly	báječne
brilliantly	výborne
brilliantly	úžasne
brim	okraj
brimful	plný
brindle	strakatý
brindle	škvrnitý
bring	niesť
bring	postaviť
bring	priniesť
bring	prinášať
bring	priviesť
bring	priviezť
bring	privážať
bring about	spôsobiť
bring about	zapríčiniť
bring back	pripomenúť
bring down	zastreliť
bring down	zostreliť
bring forward	predložiť
bring nearer	priblížiť
bring off	zachrániť
bring off	zvládnuť
bring on	spôsobiť
bring out	ukázať
bring out	upozorniť
bring out	uviesť
bring out	vysvetliť
bring to a close	dokončiť
bring to bear	použiť
bring up	vychovať
bringer	dodávateľ
brink	okraj
brink	pokraj
briquet	briketa
brisk	rezký
brisk	čulý
brisk	živý
brisk up	zrýchliť
bristle	naježiť
bristle	štetina
bristly	ježatý
bristly	štetinatý
briton	angličan
brittle	krehký
brittleness	krehkosť
bro	brat
broach	brošňa
broad	kurva
broad	približný
broad	tolerantný
broad	veľkorysý
broad	všeobecný
broad	zrejme
broad	široko
broad	široký
broad	šíry
broadcast	rozhlas
broadcast	vysielanie
broadcast	vysielať
broadcasting	vysielanie
broadcasts	vysiela
broadened	rozšírený
broadening	šírenie
broadly	široko
broadminded	tolerantný
broadmindedness	veľkorysosť
broadness	šírka
brocade	brokát
broccoli	brokolica
brochure	brožúra
broil	grilovať
broke	zlomený
broke	zlomil
