red-hot	rozžeravený
red-letter day	sviatok
redact	redigovať
redact	revidovať
redaction	redakcia
redaction	vydanie
redactor	redaktor
redden	očervenieť
reddish	červenkastý
reddish	červený
redeem	amortizovať
redeem	kompenzovať
redeem	obnoviť
redeem	oslobodiť
redeem	spasiť
redeem	splatiť
redeem	splniť
redeem	umoriť
redeem	vyplatiť
redeem	vyrovnávať
redeem	vyvažovať
redeem	zachraňovať
redeem	zachrániť
redeem	zaplatiť
redeemable	splatiteľný
redeemable	umoriteľný
redeemer	spasiteľ
redeemer	vykupiteľ
redemption	amortizácia
redemption	kompenzácia
redemption	náhrada
redemption	odkúpenie
redemption	oslobodenie
redemption	splatenie
redemption	splnenie
redemption	splácanie
redemption	spása
redemption	umorenie
redemption	vykúpenie
redemption	vyplatenie
redemption	vyrovnanie
redemption	zaplatenie
redemption	záchrana
redeploy	presunúť
redeployment	preradenie
redeployment	presun
redesign	prebudovať
redesign	prestavať
redesign	zmena
redevelop	prestavať
redevelopment	prestavba
redevelopment	sanácia
redolence	vôňa
redolent	coniaci
redolent	voňajúci
redouble	zdvojiť
redouble	zdvojnásobiť
redoubt	pevnosť
redoubtable	hrozný
redoubtable	obávaný
redoubtable	strašný
redound	prispievať
redound	prispieť
redraft	prepísať
redraft	prerobiť
redraw	prekresliť
redress	nahradiť
redress	napraviť
redress	náhrada
redress	náprava
redress	odškodné
redress	opraviť
redskin	indián
reduce	degradovať
reduce	krátiť
reduce	obmedziť
reduce	premeniť
reduce	redukovať
reduce	rozložiť
reduce	snížiť
reduce	zjednodušiť
reduce	zmenšiť
reduce	zmierniť
reduce	znížiť
reduce	zoslabiť
reduce	zredukovať
reduce	zúžiť
reducing	redukovanie
reduction	obmedzenie
reduction	redukcia
reduction	rozklad
reduction	rozloženie
reduction	skrátenie
reduction	zjednodušenie
reduction	zmenšenie
reduction	zmenšovanie
reduction	zmiernenie
reduction	znižovanie
reduction	zníženie
reduction	zoslabnutie
reduction	zrážka
reduction	zúženie
reduction	zľava
redundance	nadmernosť
redundancy	nadbytok
redundancy	redundancia
redundant	nadbytočný
redundant	nepotrebný
redundant	prebytočný
redundant	zbytočný
reduplicate	opakovať
reduplicate	zdvojnásobiť
reduplication	zdvojenie
reed	jazýček
reed	trstina
reed	tŕstie
reeducation	prevýchova
reef	rif
reef	skala
reef	úskalie
reef	útes
reek	dym
reek	páchnuť
reek	zapáchať
reek	zápach
reel	cievka
reel	kotúč
reel	motať
reel	navijak
reel	navíjať
reel	rola
reel	tackanie
reel	valec
reel off	odvíjať
reestablish	obnoviť
reeve	starosta
ref	referencie
refection	občerstvenie
refer	odvolávať sa
refer	postúpiť
refer	poukázať
refer	priraďovať
referee	referent
referee	rozhodca
referee	sudca
reference	doporuečnie
reference	narážka
reference	odkaz
reference	odporúčanie
reference	odvolanie
reference	odvolávka
reference	osvedčenie
reference	posudok
reference	poukaz
reference	svedectvo
reference	vysvedčenie
reference	vzťah
reference	zmienka
references	doporuečnie
referendum	referendum
refill	doplniť
refilling	doplnenie
refine	rafinovať
refine	zušľachťovať
refined	jemný
refined	prečistený
refined	rafinovaný
refined	uhladený
refined	čistý
refinement	rafinácia
refinement	zušľachťovanie
refiner	rafinér
refinery	rafinéria
refit	opraviť
reflect	odraziť
reflect	odrážať
reflect	premýšľať
reflect	uvažovať
reflect	zobrazovať
reflect	zrkadliť
reflection	obraz
reflection	odraz
reflection	pochybnosť
reflection	premýšľanie
reflection	reflex
reflection	rozmýšľanie
reflection	uvažovanie
reflection	zrkadlenie
reflection	úvaha
reflector	reflektor
reflex	odraz
reflex	reflex
reflexion	odraz
reflexion	premietanie
reflexion	reflex
reflexion	zrkadlenie
reflexive	zvratný
reform	napraviť
reform	náprava
reform	reforma
