dig in	zakopať
dig out	objaviť
dig out	vyhrabať
dig out	vykopať
digest	prehľad
digest	stráviť
digest	súhrn
digest	tráviť
digest	zažívať
digest	zbierka
digestible	stráviteľný
digestion	trávenie
digestion	zažívanie
digests	trávi
digger	kopáč
digger	rýpadlo
digging	kopanie
digging	kopačka
diggings	baňa
digit	prst
digit	číslica
digital	digitálny
digital	číslicový
digitisation	digitalizácia
digitizing	digitalizácia
dignified	dôstojný
dignify	poctiť
dignify	povýšiť
dignitary	hodnostár
dignity	dôstojnosť
dignity	hodnosť
digress	odbočiť
digression	odbočka
digression	odchýlka
dike	hrádza
dike	násyp
dike	priekopa
dilatation	dilatácia
dilatation	roztiahnutie
dilate	rozšíriť sa
dilated	rozšírený
dilation	zväčšenie
dilatory	váhavý
dilettantish	amatérsky
diligence	starostlivosť
diligence	usilovnosť
diligence	vytrvalosť
diligent	usilovný
dill	kôpor
dilly-dally	váhať
dilute	riediť
dilute	zriediť
dilution	rozriedenie
dilution	roztok
dilution	zriedenie
dim	hlúpy
dim	kalný
dim	matný
dim	nejasný
dim	stlmiť
dim	tupý
dim	zakaliť
dim	šerý
dimension	dimenzia
dimension	rozmer
dimension	veľkosť
dimensionless	bezrozmerný
dimensions	dimenzia
diminish	zmenšiť
diminution	zmenšenie
diminution	zníženie
diminution	úbytok
diminutive	maličký
diminutive	zdrobnelina
diminutive of	dievča
diminutiveness	drobnosť
dimmer	tlmič
dimple	jamka
din	hluk
din	hrmot
dine	jesť
dine	obedovať
dine	večerať
ding	zvoniť
ding	zvučať
dingy	špinavý
dining room	jedáleň
dining-car	jedálny vozeň
dining-hall	jedáleň
dining-room	jedáleň
dinky	elegantný
dinky	malá
dinky	pekne
dinner	večera
dinner party	večierok
dinners	večera
dint	pomocou
diode	dióda
diopter	dioptria
dioptre	dioptria
dip	naberať
dip	nabrať
dip	namočiť
dip	pokles
dip	ponoriť
dip	potopiť
dip	skloniť
dip	tlmiť
diphtheria	záškrt
diploma	diplom
diplomacy	diplomacia
diplomat	diplomat
diplomatic	diplomatický
diplomatist	diplomat
dipper	naberačka
dipper	potápač
dipper	potápka
dire	zúfalý
direct	adresovať
direct	bezprostredný
direct	kontrolovať
direct	namieriť
direct	nariadiť
direct	nasmerovať
direct	poučiť
direct	priamo
direct	priamy
direct	riadiť
direct	smerovať
direct	usmerňovať
direct	viesť
directing	riadiaci
direction	adresa
direction	dozor
direction	kontrola
direction	návod
direction	pokyn
direction	príkaz
direction	riadenie
direction	smer
direction	smernica
direction	správa
direction	vedenie
direction finder	zameriavač
directional	smerový
directional	zameraný
directions	smernica
directive	direktíva
directive	nariadenie
directive	predpis
directive	príkaz
directive	smernica
directives	smernica
directly	hneď
directly	ihneď
directly	okamžite
directly	priamo
directly	rovno
director	režisér
director	riaditeľ
director	riaditeľka
director	vedúci
directorate	riaditeľstvo
directorship	predstavenstvo
directorship	riaditeľstvo
directory	adresár
directory	súpis
directory	zoznam
dirt	nečistota
dirt	špina
dirty	nečistý
dirty	oplzlý
dirty	zamazaný
dirty	špinavý
disability	invalidita
disability	neschopnosť
disability	nespôsobilosť
disability	slabosť
disable	odpojiť
disable	vypnúť
disable	zablokovať
disable	zakázať
disable	zneškodniť
disabled	invalidný
disabled person	invalid
disablement	invalidita
disablement	neschopnosť
disadvantage	neprospech
disadvantage	nevýhoda
disadvantage	škoda
disadvantageous	nevýhodný
disaffirm	anulovať
disaggregate	rozložiť
disagree	neschvaľovať
disagree	nesúhlasiť
disagreeable	nepríjemný
disagreeableness	nepríjemnosť
disagreement	hádka
disagreement	nesúhlas
disagreement	spor
