pohryznutie	25-1324-B
pohyb	81-349-B,99-381-B,147-1051-B,148-442-B,148-725-B,223-689-B,229-3117-B
pohyblivost	132-994-B,145-258-B
pohyblivy	6-949-B,91-2124-B,132-1041-B,145-100-B,148-298-B,148-936-B
pohybovat	148-453-B
pohybovat sa	250-1814-B
pohybovy	124-2886-B,147-1134-B,147-1621-B
poistenie	115-2415-B,118-1024-B,118-1113-B,118-1141-B,174-443-B
poisteny	118-1235-B,205-3247-B
poistit	17-2961-B,53-1741-B,118-1166-B,205-3264-B,255-4107-B
poistka	17-2861-B,96-1842-B,118-1044-B,171-2329-B
poistne	174-461-B
poistny	6-1631-B
poistovna	118-1083-B
pojaseny	54-592-B
pojat	75-1514-B
pojazdny	145-118-B
pojd	97-2488-B,132-1514-B
pojde	270-2844-B
pojednavanie	251-299-B
pojednavat	58-869-B
pojem	3-3004-S,47-621-B,154-1319-B
pojistenie	17-2879-B,115-2435-B,118-1062-B
pojmovy	154-1458-B
pokanie	166-3281-B,190-1615-B
pokarhanie	184-2120-B,190-3463-B,191-951-B
pokarhat	7-3685-B,184-2138-B,190-3395-B,191-1005-B,203-1049-B
pokazenie	265-402-B
pokazeny	2-1126-B,20-1990-B,35-1062-B,52-1774-B,52-1913-B,58-2450-B,64-96-B,94-1517-B,137-3352-B,166-2005-B,182-962-B,182-1528-B,197-2057-B,224-1358-B,224-1391-B,226-2461-B
pokazit	27-2379-B,48-1517-B,52-1792-B,54-109-B,57-341-B,62-2560-B,64-53-B,100-3014-B,137-1474-B,148-1714-B,168-1461-B,198-1364-B,204-172-B,224-1300-B,265-369-B
poklad	250-2606-B
pokladat	59-3611-B,187-1276-B
pokladna	27-1255-B,28-860-B,28-880-B,28-901-B,36-122-B,36-176-B,36-195-B,36-241-B,39-199-B,179-964-B,187-1993-B,199-1494-B,199-1508-B,246-1507-B
pokladnica	246-1521-B
pokladnik	36-303-B,241-3404-B,250-2643-B
poklepat	240-2276-B
pokles	59-1039-B,59-2598-B,59-2877-B,62-2865-B,65-1805-B,70-1129-B,71-1186-B,84-651-B,185-112-B,187-2632-B,189-1665-B,194-611-B,199-1961-B,234-1121-B,266-2820-B
poklesnut	100-3151-B,215-2214-B,234-1083-B
poklona	28-513-B,46-1647-B,155-1856-B
poklonit sa	28-525-B
pokoj	33-212-B,33-379-B,46-2378-B,72-2618-B,111-3043-B,160-410-B,166-1428-B,180-2588-B,180-2803-B,190-3213-B,193-164-B,206-229-B,208-2449-B,227-1549-B,228-1601-B,229-2067-B,230-1429-B,249-2124-B,249-2255-B
pokojne	33-351-B,46-2110-B,67-2110-B,113-2057-B,128-2927-B,170-326-B,206-188-B,229-2079-B,229-2228-B,249-2297-B
pokojny	33-223-B,33-3258-B,46-2050-B,51-2368-B,67-2044-B,72-3065-B,78-1446-B,79-2500-B,79-2772-B,105-986-B,113-2017-B,128-2895-B,163-331-B,166-1510-B,166-1594-B,170-310-B,180-2551-B,180-2600-B,190-3258-B,193-425-B,206-123-B,207-681-B,208-2415-B,214-2867-B,219-1376-B,220-2180-B,226-1899-B,228-0-B,229-2093-B,242-455-B,249-2090-B,256-1786-B,257-3888-B,258-2399-B
pokolenie	98-2118-B,181-262-B,231-1376-B
pokora	111-1771-B,140-1590-B,234-146-B
pokorenie	2-1371-B,111-1725-B,147-199-B
pokorit	2-1319-B,111-1422-B,111-1685-B,147-293-B,179-2311-B
pokorny	111-1438-B,140-1541-B
pokosit	148-965-B,204-2260-B
pokovovat	170-1466-B
pokozka	216-1495-B
pokracovanie	50-1958-B,50-2004-B,50-2078-B,92-1399-B,117-3212-B,175-2880-B,177-1885-B,208-2006-B,208-2672-B
pokracovat	35-2322-B,50-2101-B,100-2918-B,101-106-B,175-2818-B,177-1781-B,179-1024-B,179-1766-B,193-2182-B,198-2309-B
pokraj	29-2823-B
pokrajat	56-1385-B,217-2142-B
pokrcit	55-1258-B,198-1962-B
pokrik	55-1599-B,213-642-B
pokrikovat	213-655-B
pokrm	67-107-B,139-1576-B,154-1809-B,190-928-B
pokrocily	8-730-B,94-914-B
pokrocit	8-489-B
pokrok	8-474-B,114-1077-B,176-1867-B
pokrokovy	8-710-B,94-895-B,176-1994-B
pokropit	24-1132-B,224-3136-B,225-900-B
pokrovec	35-1564-B
pokrstit	21-1743-B,40-376-B
pokrvny	26-779-B
pokryt	42-1505-B,53-1756-B,197-994-B,213-2391-B,235-1196-B,248-281-B
pokrytec	68-308-B,112-511-B
pokrytecky	112-530-B,200-1384-B,207-952-B
pokrytectvo	33-3446-B,200-1440-B,207-979-B,210-1822-B
pokrytie	42-3228-B
pokryty	43-59-B
pokryvat	53-1770-B,235-1212-B,248-293-B
pokryvka	25-2333-B,53-1787-B,53-1963-B,53-1982-B,211-1963-B,225-0-B
pokryvka hlavy	107-1520-B
pokus	18-1880-B,73-3546-B,79-134-B,81-3242-B,100-2834-B,226-645-B,251-319-B,252-1481-B
pokusanie sa	18-1932-B
pokusat	242-1009-B
pokusenie	242-1096-B
pokusit sa	18-1894-B
pokusitel	242-1160-B
pokusny	81-3259-B
pokuta	88-1524-B,93-1845-B,148-1973-B,166-3252-B
pokutny	20-1486-B
pokutovat	88-1536-B
pokyn	65-2362-B,118-416-B,153-488-B,214-1587-B,235-1590-B
pol	105-1041-B,171-2145-B
polahky	130-1020-B
polarita	171-2045-B
polarizacia	171-2063-B
polarizovat	171-2089-B
polarka	132-1165-B
polarny	15-2548-B,171-2011-B
polarogram	171-2111-B
polavil	2-1829-B
polavit	2-1637-B,71-1198-B,72-2675-B,72-2694-B,129-685-B,188-1902-B,188-2685-B,199-1972-B,216-2596-B
