submachine gun	samopal
submarine	podmorský
submarine	ponorka
submersible	ponorný
submission	odovzdanie
submission	podanie
submission	podrobenie
submission	pokora
submission	poslušnosť
submission	predloženie
submissiveness	poddajnosť
submit	odovzdať
submit	podať
submit	poddať sa
submit	postúpiť
submit	predložiť
submitter	navrhovateľ
subordinate	poddaný
subordinate	podriadený
subordinate	podriadiť
subordinate	podriaďovať
subordinate	vedľajší
subordinate	závislý
subordination	podriadenie
subordination	závislosť
subpoena	predvolanie
subprogram	podprogram
subrogate	nahradiť
subroutine	podprogram
subscriber	abonent
subscriber	predplatiteľ
subscript	index
subscription	podpis
subscription	poplatok
subscription	predplatné
subscription	schválenie
subscription	členský príspevok
subsequent	nasledujúci
subsequent	ďalší
subsequently	dodatočne
subsequently	neskôr
subsequently	potom
subserve	slúžiť
subservience	podlízavosť
subservient	podlízavý
subservient	podriadený
subset	podmnožina
subside	doznievať
subside	klesať
subside	opadať
subside	poklesnúť
subside	ustúpiť
subsidence	pokles
subsidiary	dodatočný
subsidiary	doplňujúci
subsidiary	podružný
subsidiary	pridružený
subsidiary	vedľajší
subsidy	podpora
subsidy	subvencia
subsist	byť
subsist	jestvovať
subsist	živiť sa
subsist	žiť
subsistence	bytie
subsistence	jestvovanie
subsistence	obživa
subsistence	výživa
subsistence	živobytie
substance	hmota
substance	imanie
substance	jadro
substance	látka
substance	majetok
substance	materiál
substance	podstata
substance	substancia
substance	substanica
substantial	dôležitý
substantial	hmotný
substantial	hojný
substantial	majetný
substantial	pevný
substantial	podstatný
substantial	reálny
substantial	rozhodný
substantial	silný
substantial	skutočný
substantial	solídny
substantial	veľký
substantial	výdatný
substantial	významný
substantial	výživný
substantial	značný
substantial	závažný
substantially	podstatne
substantially	značne
substantiate	dokázať
substantiate	doložiť
substantiate	odôvodniť
substantiate	uskutočniť
substantiation	odôvodnenie
substantiation	potvrdenie
substantiation	zdôvodnenie
substantive	materiálny
substantive	podstatný
substantive	reálny
substantive	skutočný
substantive	vecný
substantive	značný
substitute	nahradiť
substitute	nahradzovať
substitute	náhrada
substitute	náhradník
substitute	náhradný
substitute	výpomoc
substitute	zastúpiť
substitute	zástupca
substitution	nahradzovanie
substitution	náhrada
substitution	zámena
subsume	zahrnúť
subsume	zaraadiť
subsumption	zaradenie
subsystem	podsystém
subtenant	podnájomník
subterfuge	pasca
subterfuge	úskok
subterranean	podzemný
subterranean	skrytý
subtilize	zjemniť
subtitle	podtitul
subtitle	titulok
subtle	bystrý
subtle	chúlostivý
subtle	citlivý
subtle	detailný
subtle	drobný
subtle	jemný
subtle	nežný
subtle	ostrý
subtle	prenikavý
subtle	rafinovaný
subtle	tajomný
subtle	zákerný
subtle	ľahký
subtlety	bystrosť
subtlety	jemnosť
subtly	nepatrne
subtly	ľahko
subtract	odrátať
subtract	odčítať
subtrahend	menšiteľ
subtropical	subtropický
suburb	predmestie
suburban	obmedzený
suburban	predmestský
suburbia	predmestie
subvention	podpora
subvention	subvencia
subversion	zvrhnutie
subversive	podvratný
subversive	rozvratný
subvert	zničiť
subvert	zvrhnúť
subway	podchod
succeed	nasledovať
succeed	podariť sa
succeed	zdediť
succeeding	nasledujúci
success	výsledok
success	úspech
successful	podarený
successful	úspešný
successfully	úspešne
succession	následnosť
succession	poradie
succession	postupnosť
succession	rad
succession	rada
succession	sekvencia
succession	sled
successive	nasledujúci
successive	postupný
successively	postupne
successor	následník
successor	nástupca
succinct	jadrný
succinct	krátky
succinct	stručný
succinct	úsečný
succinctly	stručne
succor	pomoc
succour	podpora
succour	podporiť
succour	pomoc
succour	pomocník
succulent	šťavnatý
succumb	podriadiť sa
succumb	podľahnúť
