10th	1-14-B
11th	1-27-B
12th	1-43-B
13th	1-58-B
14th	1-73-B
16th	1-89-B
17th	1-106-B
18th	1-123-B
20th	1-139-B
3rd	1-154-B
4th	1-165-B
5th	1-178-B
6th	1-188-B
7th	1-200-B
8th	1-211-B
9th	1-221-B
a	2-30-B,2-39-B,2-49-B,2-68-B,235-62-S
a basket case	2-73-B,2-93-B
a bee in her bonnet	2-118-B
a bell	41-1872-S
a big shot	2-146-B
a biggie	69-716-S
a billion	2-167-B
a bit	2-186-B
a bit mental	2-199-B,2-226-B
a bit of fluff	2-252-B,2-274-B
a bit off	2-295-B
a blast	2-319-B
a block	39-2973-S
a blow	18-35-S
a boar	16-2461-S
a book	53-2625-S
a breath	239-3188-S
a brick	2-336-B
a c	2-816-B
a caution	2-350-B
a checkup	2-369-B
a close	29-2721-S
a cold	2-393-B
a couple of	2-408-B
a cut up	2-428-B
a different kettle of fish	2-444-B
a doodle doo	43-351-S
a drum	23-82-S
a falsehood	2-476-B
a far cry	2-497-B
a fault	247-1034-S
a feeling	2-515-B
a few	2-531-B
a fifth wheel	16-2422-S
a flash	114-1667-S
a good clip	18-55-S
a good deal	2-547-B
a gun	221-1450-S
a hassle	2-565-B
a hasty retreat	23-104-S
a hat	18-557-S
a limp	107-520-S
a little	2-583-B
a long time	92-2875-S
a lot	2-599-B
a lot of	2-609-B
a lying position	22-1722-S
a man of the cloth	2-624-B
a matter of fact	16-2210-S
a message	99-2770-S
a million	2-650-B
a moment s notice	18-78-S,18-105-S
a nuisance	22-1502-S
a number of	2-668-B
a nut case	2-685-B
a sack of hammers	16-2304-S
a sb of st	3-1124-S
a sequence	208-2743-S
a short time	92-2896-S
a skunk	16-2277-S
a speech	2-704-B
a steal	2-720-B
a summation of the terms in a sequence	208-2743-S
a tax	17-975-S
a time	18-136-S,158-1940-S
a trice	114-1687-S
a vis	264-2511-S,264-2528-S
a visit	166-1093-S
a wash out	2-735-B
a whole	16-2238-S
a window of opportunity	2-754-B
a wordsmith	2-793-B
aardvark	2-834-B
aback	2-853-B,2-865-B,2-883-B,239-3213-S
abacus	2-896-B
abacuses	2-915-B
abaft	2-936-B,2-949-B
abandon	2-958-B,2-975-B,2-995-B,2-1014-B,2-1032-B,2-1050-B
abandoned	2-1068-B,2-1088-B,2-1108-B,2-1126-B,2-1146-B,2-1165-B,2-1186-B
abandoning	2-1206-B,2-1227-B
abandonment	2-1253-B,2-1275-B
abase	2-1301-B,2-1319-B,2-1334-B
abased	2-1351-B
abasement	2-1371-B,2-1391-B
abash	2-1413-B,2-1429-B,2-1447-B
abashed	2-1465-B
abashing	2-1486-B,2-1508-B
abashment	2-1532-B,2-1550-B
abasic	2-1571-B
abate	2-1588-B,2-1604-B,2-1621-B,2-1637-B,2-1653-B,2-1667-B,2-1683-B,2-1699-B,2-1715-B,2-1731-B,2-1747-B,2-1765-B,2-1782-B,2-1798-B,2-1814-B
abated	2-1829-B,2-1845-B,2-1859-B,2-1873-B,2-1889-B,2-1907-B,2-1923-B,2-1939-B
abatement	2-1954-B,2-1975-B,2-1996-B,2-2017-B,2-2038-B,2-2058-B
abatements	2-2075-B,2-2096-B,2-2118-B
abbacy	2-2139-B
abbatial	2-2156-B
abbey	2-2174-B
abbot	2-2190-B
abbrevation	2-2202-B
abbreviate	2-2222-B,2-2244-B,2-2265-B
abbreviation	2-2289-B,2-2310-B
abdomen	2-2334-B,2-2349-B
abdomens	2-2366-B
abdominal	2-2383-B
abduct	2-2402-B
abducted	2-2417-B
abduction	2-2435-B
abductor	2-2451-B
abecedarian	2-2468-B,2-2490-B,2-2517-B
aberrance	2-2535-B
aberrant	2-2555-B
aberration	2-2576-B,2-2597-B,2-2618-B
abet	2-2638-B,2-2654-B
abetment	2-2671-B
abettor	2-2693-B
abeyance	2-2715-B
abhor	2-2731-B
abhorrence	2-2747-B
abide	2-2764-B,2-2780-B,2-2795-B,2-2809-B,2-2825-B,2-2840-B,2-2855-B,2-2869-B,2-2885-B,2-2900-B
abide by	2-2914-B
abiding	2-2937-B,2-2952-B,127-1780-S
abient	2-2968-B
ability	2-2986-B,2-3002-B,2-3021-B,2-3040-B,2-3062-B,2-3077-B,2-3095-B
abject	2-3114-B
abjection	2-3128-B,2-3150-B
abjectly	2-3171-B
abjuration	2-3187-B
abjure	2-3208-B,2-3227-B
ablate	2-3243-B
ablation	2-3258-B
ablaze	2-3280-B
able	1-1633-S,2-3296-B,2-3309-B,2-3326-B,2-3340-B,22-1528-S,22-1545-S,44-2505-S,44-2534-S,120-2970-S,244-1214-S,267-1707-S,274-1339-S,274-1361-S,274-1383-S
able bodied	2-3376-B,2-3397-B
able to	22-1561-S
able to pay	2-3353-B
ably	2-3416-B
abnegation	2-3429-B
abnormal	2-3454-B,2-3475-B,2-3496-B,2-3519-B,2-3539-B,2-3561-B,2-3583-B
abnormality	2-3602-B,2-3626-B,2-3648-B
abode	2-3670-B,3-0-B
abolish	3-16-B,3-34-B,3-54-B
abolishment	3-71-B,3-96-B
abolition	3-118-B,3-141-B
abominable	3-161-B,3-180-B,3-200-B
abomination	3-219-B,3-236-B
aboriginal	3-254-B,3-275-B
abort	3-294-B,3-310-B,3-327-B,3-345-B,3-359-B
abortion	3-374-B,3-390-B
abortive	3-411-B,3-433-B
abound	3-454-B
about	3-471-B,3-486-B,3-496-B,3-509-B,3-518-B,3-526-B,3-538-B,3-547-B,3-557-B,3-574-B,29-2410-S,29-2433-S,36-884-S,36-904-S,36-924-S,99-517-S,106-177-S,123-2832-S,125-1300-S,125-1317-S,141-2782-S,239-3235-S
about face	3-582-B
above	3-599-B,3-609-B,3-620-B,3-630-B,3-642-B,3-655-B,3-669-B
above all	3-681-B
above board	3-706-B
aboveboard	3-725-B,3-746-B,3-765-B
abrade	3-785-B,3-803-B
abrasion	3-817-B,3-837-B,3-855-B,3-878-B
abrasive	3-892-B,3-909-B,3-925-B
abrasiveness	3-941-B,3-963-B
abreact	3-985-B
abreaction	3-1005-B
abreast	3-1029-B,3-1049-B
abridge	3-1069-B,3-1087-B,3-1103-B
abridge a sb of st	3-1124-B
abridgement	3-1153-B,3-1175-B,3-1198-B
abridgment	3-1218-B,3-1240-B
abroad	3-1262-B,3-1275-B,95-1963-S
abrogate	3-1295-B,3-1314-B,3-1335-B
abrogated	3-1353-B
abrogation	3-1371-B
abrupt	3-1392-B,3-1414-B,3-1433-B,3-1447-B,3-1466-B,3-1481-B,3-1496-B,3-1510-B,3-1525-B
abruptly	3-1541-B
abruptness	3-1557-B,3-1579-B
