bordel	30-343-B
borovica	169-1988-B,169-2013-B,169-2234-B
bosoractvo	271-1779-B
bosorka	105-474-B,271-1711-B
bosy	21-2143-B
botanika	27-2347-B
box	28-956-B
boxer	28-921-B,178-1713-B
boxovat	28-737-B,222-1607-B
bozi	69-37-B,101-1061-B
bozk	125-147-B,148-100-B,218-2495-B
bozkanie	125-221-B,160-2972-B
bozkat	125-157-B
bozkavat	125-170-B,160-2952-B
bozsky	69-21-B,101-1006-B,107-3167-B
bozstvo	61-202-B,101-945-B
brada	39-2358-B
bradavica	152-2740-B,267-1619-B
bradavka	152-2757-B,247-633-B
bradavkovity	164-1705-B
bradla	164-2227-B
brak	198-894-B,212-1667-B,250-1694-B
bral	247-3035-B
bralo	196-2839-B
brana	69-2864-B,97-3236-B,98-20-B,101-562-B,172-864-B
branec	185-3325-B
branica	64-1997-B,142-1920-B,142-1937-B
branit	60-1277-B,105-2042-B,109-568-B,113-2305-B,135-1317-B,156-2284-B,174-3899-B,177-2516-B,193-1396-B
branit sa	60-1293-B,192-980-B
branka	32-1162-B,97-3248-B,101-574-B,218-2708-B,270-1682-B
brankar	101-620-B,101-636-B,101-668-B
brany	106-2770-B,172-919-B
brat	29-3038-B,30-358-B,105-1188-S,228-3286-S,239-2831-B
bratia	29-1130-B,30-451-B
bratranec	53-1510-B
bratsky	30-432-B,94-3386-B
bratstvo	30-411-B,86-1745-B,94-3405-B
brav	109-1852-B
bravcovy	172-691-B,172-730-B
brazda	96-1579-B,97-1532-B,199-243-B,218-1210-B,251-3398-B
brazdit	170-3241-B,170-3320-B
brblat	23-943-B,103-1889-B,103-2334-B,149-1484-B
brechat	21-2271-B,273-2638-B
breh	21-1392-B,22-2319-B,28-1299-B,42-3095-B,42-3106-S,212-2624-B,231-1868-B,268-419-B
breh rieky	196-1896-B
bremeno	31-42-B,38-1611-B,76-1660-B,131-2591-B,155-2980-B,158-2708-B,241-747-B,246-776-B,268-2628-B
brest	74-3799-B
breza	25-829-B
briadka	101-707-S
bridlica	210-1593-B,217-427-B
bridz	29-1379-B
briezdit sa	57-2912-B
brigada	29-1690-B
briketa	29-2836-B
briliant	29-2048-B
britva	183-2049-B
brko	180-2873-B
brloh	62-295-B,72-2225-B,109-2507-B,124-986-B,126-423-B,132-1183-B,151-3372-B
brnenie	15-3735-B,16-0-B,135-994-B,164-1011-B,175-576-B,246-2694-B
brnkat	253-1440-B
brod	93-720-B,266-364-B
brok	166-3050-B,218-1860-B
brokat	29-3436-B
brokolica	29-3452-B
brokovnica	202-1594-B,213-443-B
bronz	30-175-B
bronzovy	30-188-B
broskyna	166-1648-B
brosna	29-544-B,29-3047-B,30-205-B
brozura	27-1346-B,29-3471-B,164-201-B
brucha	2-2366-B,23-2813-B
bruchaty	172-3117-B
brucho	2-2334-B,23-2924-B,104-2572-B,142-1905-B,230-920-B,252-2514-B
bruneta	30-663-B
brus	269-2534-B
brusenie	103-1478-B,198-876-B,203-2100-B,211-359-B
brusic	103-1429-B
brusik	269-2550-B
brusit	103-1389-B,200-1677-B,211-254-B,269-2492-B
bruska	103-1445-B,103-1515-B,200-1753-B
brusko	252-2527-B
brusnica	26-1809-B,53-2163-B,53-3248-B
brusny	2-2383-B,3-892-B
brutalita	30-914-B
brutalny	22-3139-B,30-882-B,201-899-B
brutto	103-2111-B
brvno	21-202-B,21-1783-B,122-1928-B,132-1627-B,246-1795-B
brzda	28-1528-B,67-611-B
brzdar	28-1569-B
brzdit	28-1540-B,55-3205-B,156-2267-B,193-2732-B,233-1678-B
brzdovy	28-1554-B
bubenik	71-1846-B
bubienok	27-737-B,71-1754-B,71-1794-S,72-1880-S,219-2496-B,239-1753-B,240-1446-B
bublat	30-995-B,73-2989-B,104-2389-B
bublina	30-1010-B
bubnovanie	71-1826-B,71-1863-B,241-339-B
bubnovat	23-82-B,71-1768-B
bubon	21-2566-B,22-466-B,71-1783-B
bucat	133-1929-B,146-2034-B
buchat	21-1232-B,23-133-B,23-150-B,105-2023-B,125-1336-B,173-246-B,216-2909-B,217-62-B,245-2909-B,245-2979-B
buchnut	21-1128-B,216-2894-B,232-1101-B,238-2103-B,266-2388-B
buchnutie	21-1113-B,22-180-B,171-513-B,245-2893-B,245-3299-B
bud	220-805-B
buda	27-1743-B,31-3134-B,37-3275-B,111-3282-B,124-999-B,132-1195-B,179-3045-B,202-83-B,210-395-B,210-2347-B,211-1210-B,211-1239-B,211-2573-B
budem	112-936-B
budic	71-814-B
budik	9-3529-B,10-61-B
budit	19-3058-B,80-2510-B,198-147-B,266-1373-B,266-1428-B
budka	27-1755-B,28-750-B,31-3007-B
budova	30-1877-B,73-1473-B,83-293-B,110-3342-B,174-393-B,232-3264-B
budovanie	49-3351-B
budovat	30-1661-B,49-3249-B
budovatel	30-1840-B,49-3571-B
budu	244-1343-B,244-1359-B,270-2598-B
buduci	96-2125-B,108-1691-B,115-560-B,118-2365-B,152-995-B,177-2103-B,226-502-B,259-1868-B
buduci cas	96-2140-B
buducnost	96-2160-B,96-2199-B,108-1709-B
bufet	30-1516-B,32-1035-B,34-81-B,214-668-B
bujak	30-2365-B
bujnost	195-905-B
bujny	82-3850-B,131-2240-B,134-982-B,134-1247-B,134-1349-B,182-1460-B,195-653-B,266-3114-B
bujon	230-241-B
buk	23-917-B
bukovy	23-927-B
buldog	30-2386-B
buldozer	30-2401-B
bulharsky	1-705-B
bulletin	30-2466-B
bulva	83-32-B
bulvar	19-2422-B,27-2824-B,239-1694-B
bum	269-1622-B
bumerang	27-1515-B
bunda	13-1001-B,36-1682-B,121-859-B
bunicina	37-1190-B,178-2309-B,272-680-B
bunka	37-1052-B
bunker	211-2558-B
bunkovy	37-1133-B
buracanie	196-2138-B
buracat	196-2154-B,230-2701-B
burat	61-3536-B,239-3381-B,241-1545-B
burcovat	198-160-B
burgundske	31-483-B
burgundsky	1-726-B
buric	88-3104-B,196-765-B
buricsky	149-1410-B,184-1770-B,206-450-B
burina	268-2237-B
burit	194-3347-B,196-680-B,225-2279-B,230-2717-B
burka	96-3108-B,181-2797-B,225-2294-B,230-2731-B,230-2830-B,242-557-B,245-3179-B
burleska	31-534-B
burlivo	26-3288-B,182-699-B,245-3157-B,252-2621-B,259-1541-B
burlivy	26-2231-B,26-2252-B,26-2273-B,26-3229-B,73-1132-B,104-2542-B,182-676-B,197-2101-B,230-2844-B,242-606-B,252-2583-B,252-3165-B,259-1500-B,270-2186-B
burza	80-2228-B,230-444-B,230-465-B,230-484-B
burzoazia	28-357-B
burzoazny	28-295-B
bus	31-1229-B,31-1324-B,204-1007-B
busit	163-3110-B,173-160-B,245-1904-B,245-2924-B
busta	31-1648-B
butik	28-424-B
buzola	45-2981-B
bycek	228-2530-B
bydlisko	2-3670-B,69-2225-B,105-130-B,111-223-B,169-3237-B,170-191-B,192-107-B
byk	30-2376-B
byl	226-2566-B,228-2728-B
bylina	108-1563-B
bylinny	108-1575-B,108-1595-B
byrokracia	31-212-B,157-2919-B
byrokrat	31-235-B
byrokrati	31-312-B
byrokraticky	31-255-B,31-282-B
bystrina	248-919-B
bystrost	6-1858-B,6-2091-B,168-807-B,199-2122-B,211-413-B,213-1945-B,234-3033-B
bystrozraky	41-1978-B,41-2002-B,72-1797-B,107-841-B,211-182-B,211-206-B
bystry	6-1946-B,17-3733-B,29-1739-B,41-3001-B,56-2093-B,66-1129-B,85-709-B,100-2752-B,117-2238-B,124-211-B,152-2315-B,167-1336-B,168-785-B,180-2280-B,180-2350-B,199-2039-B,210-3059-B,211-233-B,213-1915-B,218-2942-B,234-2822-B
byt	14-125-B,22-1459-B,81-1503-B,90-767-B,105-150-B,132-1400-B,180-1559-B,192-126-B,234-1289-B,242-2517-B
byte	31-2965-B
bytie	23-2196-B,77-2121-B,77-3542-B,79-146-B,81-1560-B,234-1354-B
bytna	126-1406-B
bytost	23-2208-B,54-1128-B,77-3555-B
bytostny	96-762-B
bytovka	111-372-B
bytovy	115-3775-B,192-342-B
byva	72-1335-B,131-2410-B,192-422-B
byvajuci	192-250-B
byval	72-1348-B,132-1347-B
byvaly	80-271-B,93-3094-B,158-2193-B,165-2779-B,175-41-B,180-3378-B,221-1095-B
byvanie	105-165-B,111-240-B
byvat	22-1467-B,72-1255-B,131-2011-B,132-1207-B,180-1381-B,192-59-B,197-1102-B,228-1001-B
byvol	30-1429-B
bzucat	31-2354-B,111-983-B,215-1366-B
bzuciak	31-2419-B
bzukot	31-2342-B
c	31-2975-B,152-3149-B
cadic	21-2920-B
cadicovy	21-2935-B
caj	241-1006-B
cajka	104-1934-B
cajovna	241-1069-B,241-1796-B,241-1942-B
cajovy	241-1015-B
caka	266-1318-B
cakal	81-2407-B,266-1159-B
cakanie	266-1211-B
cakaren	266-1253-B
cakat	2-2900-B,19-2981-B,81-2281-B,266-1109-B
cakatel	81-2320-B
calun	240-2517-B
calunenie	259-777-B
calunnik	259-712-B
cap	24-3270-B,30-1080-B,101-688-B,104-1081-B,107-1108-B,169-3120-B,182-445-B,233-586-B,240-2347-B
capica	34-543-B,34-1733-B,106-3289-B
capik	260-1850-B
capikovy	260-1864-B
car	56-2809-B,252-1727-B,254-554-B
carbak	204-376-B
carbanica	203-2969-B
carbat	203-2987-B
caro	38-2228-B,100-314-B,134-744-B,134-3096-B,223-1033-B,271-1802-B
carodej	271-3142-B
carodejnica	76-679-B,105-486-B,221-2090-B,271-1741-B
carodejnice	105-503-B,108-714-B,271-1760-B,271-1842-B
carodejnictvo	221-2113-B,271-1817-B,271-3158-B
carodejnik	135-717-B,221-2068-B,267-737-B
carokrasny	133-1808-B
carovat	48-3009-B,108-2515-B
carovna	56-2819-B,252-1737-B,254-564-B
carovny	100-239-B,134-3108-B,134-3159-B
cas	57-2530-B,96-2140-S,242-2955-B,246-1981-B
casa	28-714-B,101-832-B,101-846-B,198-1868-B
casnicka	266-1296-B
casnik	172-3154-B,172-3436-B,229-715-B,266-1173-B
casomerac	246-2111-B
casopis	122-2677-B,134-2846-B,134-2914-B,152-923-B,167-2730-B
casovac	246-2286-B
casovanie	48-2778-B
casovany	246-2094-B
casovat	48-2758-B
casovy	242-863-B
cast	58-935-B,74-2789-B,117-3257-B,165-470-B,165-1512-B,169-810-B,172-1096-B,177-874-B,203-2503-B,205-2972-B,205-3136-B,206-2161-B,210-2936-B,214-636-B,217-2210-B,232-534-B
casti	165-1733-B,172-1149-B
castica	74-2772-B,165-945-B
casto	95-994-B,110-3315-B,148-1158-B,158-150-B,158-177-B
castokrat	158-195-B
castost	3-3747-B
casty	95-977-B,158-163-B
cata	170-1617-B,225-2115-B,241-1361-B
catar	208-2606-B
cech	1-877-B,53-2784-B,104-1588-B
cecok	247-646-B
ceder	37-511-B
cedidlo	43-2263-B,231-1717-B
cedula	246-26-B
cedulka	170-1413-B,239-2478-B,246-41-B
cela	37-1063-B
celad	84-2056-B
celenka	52-289-B,107-1447-B,107-1465-B
celistvost	77-3410-B,118-1747-B
celistvy	77-3288-B
celit	28-2147-B,48-1625-B,52-3511-B,78-1032-B,83-843-B,83-884-B,83-900-B,95-2225-B,159-2422-B,227-652-B,227-784-B
celkom	3-2163-B,10-1248-B,10-1415-B,11-978-B,16-2238-B,41-1101-B,46-1105-B,58-240-B,77-3364-B,95-3356-B,96-221-B,98-1812-B,123-2589-B,158-1703-B,161-2811-B,162-355-B,174-3571-B,180-3132-B,184-1327-B,211-1647-B,244-3238-B,245-2258-B,248-1583-B,260-1820-B,269-46-B,270-1301-B
celkovo	10-1433-B,98-1829-B,103-2181-B,162-370-B
celkovy	98-1400-B,100-1224-B,103-2124-B,162-386-B,248-1391-B,257-592-B
celne	107-1409-B
celny	95-2334-B
celo	30-480-B,83-856-B,93-1113-B,95-2239-B,107-1327-B
celodenny	10-1632-B,16-197-B,57-3090-B,58-16-B,197-2923-B,270-985-B
celofan	37-1113-B
celok	9-1033-B,10-1259-B,248-1406-B,257-284-B,270-933-B,270-1006-B
celorocny	273-3115-B
celostatny	150-1132-B,150-1516-B
celosvetovy	100-1240-B,272-2710-B
celozivotny	129-3269-B,129-3334-B
celuloid	37-1171-B
celuloza	37-1210-B
celust	121-2086-B,121-2099-B,121-2113-B,121-2156-B,123-0-B,136-2668-B,139-936-B
celuste	121-2174-B,136-2687-B
celustna kost	121-2130-B
celustny	139-955-B
cely	10-1269-B,10-1597-B,46-769-B,77-3305-B,197-2582-B,243-3460-B,243-3476-B,254-3575-B,270-945-B
cembalo	106-2749-B
cement	37-1246-B
cena	4-4135-B,19-3123-B,52-2438-B,57-311-B,87-1851-B,141-2202-B,175-293-B,175-457-B,175-2280-B,182-3041-B,243-1049-B,261-494-B,272-3450-B
cencul	112-1162-B
cengat	39-2385-B,122-519-B,246-2811-B
cengot	246-2826-B
cenit	175-1987-B,182-3051-B,261-505-B
cenit si	250-2571-B,261-518-B
cennik	36-1951-B,175-318-B,175-360-B,240-2811-B
cennost	195-923-B
cenny	195-665-B,261-321-B,261-658-B
cenny papier	27-435-B,205-3563-B
cenovka	239-2491-B,246-57-B
cent	37-1384-B,167-407-B
centimeter	37-1527-B,37-1549-B
centrala	107-1743-B
centralizacia	37-1707-B,37-1737-B
centralizovat	37-1767-B
centralny	37-1591-B
centrifuga	37-1933-B
centrovanie	37-1505-B,37-1979-B
centrum	37-1438-B,37-1818-B,111-678-B
ceny	79-2250-S
cenzor	37-1326-B
cenzura	37-1340-B
