disciplina	66-1347-B,79-2939-B
disident	68-474-B
disjunkcia	67-1048-B
disk	66-914-B,66-3388-B,67-1115-B
disketa	67-1138-B
diskoteka	66-2366-B
diskretnost	48-364-B,66-2917-B,66-3135-B,193-3024-B
diskretny	66-2880-B,66-3073-B,193-3140-B
diskriminacia	66-3272-B
diskriminant	66-3195-B
diskriminator	66-3359-B
diskriminovat	263-1859-B
diskusia	9-1575-B,58-1727-B,66-3491-B,239-343-B
diskutovat	15-2967-B,34-286-B,66-3400-B,67-3771-B,146-2519-B
diskvalifikacia	67-3856-B
diskvalifikovat	67-3946-B
dislokacia	85-1832-B
disonancia	68-928-B
dispecer	67-2315-B
dispecing	67-2336-B
disponovat	44-3151-B,67-3144-B
dispozicia	67-3003-B,67-3398-B,115-45-B
dispzicia	67-3024-B,67-3422-B,127-2693-B,175-3420-B,176-3398-B
distanc	68-970-B
distribucia	68-2464-B
distribuovat	68-2348-B
distributor	68-2541-B,191-3205-B
div	138-600-B,143-2622-B,272-248-B
divadelny	70-1827-B,202-1920-B,243-3557-B,244-1172-B,266-1970-B
divadlo	202-1731-B,213-940-B,223-60-B,226-1352-B,243-3495-B,243-3511-B
divak	132-3138-B,158-2427-B,223-208-B,263-2522-B
divan	209-1080-B,220-2068-B
divat sa	132-2792-B,187-1195-B
diviak	26-2292-B
dividenda	68-3933-B,69-530-B
divina	97-864-B
divit	237-1349-B,272-259-B
divizia	69-219-B
divoch	201-916-B
divocina	270-2214-B,270-2376-B
divoko	86-2415-B,87-1231-B,182-819-B,201-1209-B,270-2437-B
divokost	86-2459-B,87-1263-B,197-2438-B,201-1241-B,201-1323-B,252-316-B,264-1116-B,270-2451-B,272-1077-B
divoky	26-3250-B,86-2361-B,87-1185-B,105-535-B,121-2222-B,134-2483-B,197-2151-B,201-930-B,270-2201-B
divoska	247-2394-B
divy	96-1255-B,182-805-B,201-945-B,252-2604-B,270-2229-B
dizertacia	68-426-B,244-1124-B
dlaha	224-545-B
dlan	163-2872-B
dlanovy	163-2910-B
dlato	39-2644-B,96-2407-B
dlazba	166-886-B,166-921-B
dlazdenie	166-936-B,246-1775-B
dlazdica	246-1423-B
dlazka	91-813-B
dlh	58-1878-B,58-1888-B,58-1944-B,129-1403-B
dlho	9-594-B,92-2875-B,132-2248-B,132-2378-B
dlhodobo	114-2446-B
dlhodoby	132-2339-B,132-2358-B,132-2542-B,132-2750-B
dlhonohy	132-2421-B
dlhopis	27-454-B,27-602-B,58-1763-B,154-170-B,155-2999-B
dlhosrsty	132-2769-B
dlhotrvajuci	176-2707-B
dlhovat	162-3513-B,162-3554-B
dlhoveky	132-2443-B
dlhsi	132-2601-B
dlhsie	132-2586-B
dlhy	132-2258-B
dlzka	72-661-B,128-3106-B,132-2684-B,215-3415-B
dlznik	27-2188-B,58-1928-B
dlzny	162-3569-B
dnes	154-2306-B,247-1465-B
dnes vecer	247-2816-B
dnesny	50-833-B,145-1293-B,154-2271-B,247-1502-B
dnesok	247-1476-B
dni	58-35-B
dno	23-636-B,27-2656-B,91-828-B,103-2349-B
dnu	114-1611-B,120-1183-B
