trojhranny	251-490-B
trojica	245-1389-B,251-268-B,251-1808-B,251-2065-B,251-2435-B
trojity	243-1076-B,245-1299-B,250-3293-B,251-2028-B,251-2117-B
trojka	245-1243-B
trojkolka	251-1249-B
trojnasobne	245-1318-B
trojnasobny	245-1341-B,250-3309-B,251-2044-B,251-2134-B
trojnasobok	250-3330-B
trojnozka	251-2170-B,251-2455-B
trojrocny	251-1287-B
trojrohy	251-513-B
trojrozmerny	245-1267-B
trojstranny	251-1595-B,251-1946-B
trojuholnik	251-468-B,251-1575-B
trojuholnikovy	251-534-B
trolejbus	251-2692-B,251-2725-B
trom	245-1256-B
trombocyt	245-1974-B
tromf	252-661-B
tron	245-1996-B
tropicky	251-2872-B,251-2889-B
troska	40-1107-B,198-1413-B,216-2812-B,273-779-B
trpaslik	72-1159-B,100-2720-B,136-3695-B,142-1816-B,179-3381-B
trpel	235-840-B
trpezlivost	76-2730-B,93-0-B,140-1606-B,166-168-B
trpezlivy	76-2918-B,132-2516-B,140-1555-B,166-227-B,255-584-B
trpi	235-876-B,235-966-B
trpiet	2-2795-B,22-2677-B,48-3709-B,181-614-B,235-734-B,236-3217-B,237-3122-B
trpkost	5-1949-B,6-169-B
trpky	6-73-B,25-1442-B,71-2048-B,222-280-B
trpny rod	165-2666-B
trs	30-2972-B,252-2133-B
trst	183-979-B
trstenica	33-2773-B,197-113-B
trstie	186-2271-B
trstina	33-2788-B,186-2258-B
truba	215-110-B
trubac	252-727-B,271-284-B
trubica	33-1690-B,71-2546-B,215-2544-B,252-1942-B
trubit	248-63-B,248-211-B
truchliaci	24-732-B,103-1169-B,126-919-B,147-3401-B,221-2391-B,266-926-B
truchlit	24-1881-B,147-3369-B
truchlivost	147-3478-B
truchlivy	147-3437-B
trud	71-1076-B
trufalost	15-2493-B,39-357-B,94-1182-B,168-1252-B,174-3120-B
trufaly	26-2665-B,27-43-B,39-433-B,94-1013-B,168-1124-B,174-3097-B
trufat si	57-1549-B,262-1475-B
truhla	24-3307-B,35-3537-B,39-1135-B,43-1373-B
truhlar	32-145-B,122-1569-B
trulo	69-3004-B,155-492-B
trup	26-2824-B,248-1078-B,252-918-B
trup lietadla	96-1916-B
trva	117-2441-B
trvalost	228-1736-B
trvaly	2-2952-B,40-531-B,50-1918-B,76-2938-B,127-358-B,167-3041-B,209-1688-B,226-928-B,227-1451-B,228-1348-B,228-1951-B
trvanie	50-1984-B,50-2057-B,72-678-B,76-2753-B,81-1597-B,127-138-B,127-374-B,128-3132-B,168-109-B,168-249-B,198-2199-B,227-1468-B,246-1968-B
trvanlivost	72-577-B,76-2771-B,129-3029-B,129-3130-B,211-2212-B,268-1586-B
trvanlivy	72-624-B,127-390-B,221-62-B
trvat	50-2123-B,76-2872-B,101-125-B,117-2386-B,127-151-B,156-3866-B,189-417-B,227-590-B,239-3009-B,240-215-B,266-518-B
tryska	122-124-B
tryznit	263-771-B
trzba	194-1655-B,240-544-B
trznica	75-3470-B
tu	108-1683-B,108-1805-B
tuba	252-1955-B
tuberkuloza	49-4251-B,252-2001-B
tuberkulozny	49-4276-B,252-1976-B,252-2027-B
tucet	70-1233-B
tucko	85-1762-B,172-3138-B
tucniak	167-241-B
tucniet	85-1708-B
tucnota	52-633-B,244-1669-B
tucny	85-1142-B,85-1775-B,102-3433-B,103-2167-B,183-1764-B,244-1492-B
tuha	127-3028-B
tuhnut	48-1884-B,55-3255-B,89-411-B,221-202-B,229-1589-B
tuho	162-2078-B
tuhost	49-1441-B,49-1531-B,89-563-B,196-2808-B,229-538-B,229-1731-B,231-3257-B,232-922-B
tuhy	89-425-B,93-641-B,106-1344-B,195-2878-B,196-2690-B,221-79-B,229-379-B,229-1467-B,232-839-B,248-2272-B
tuk	26-1657-B,85-1134-B,102-3370-B,137-1935-S
tukovy	205-1038-B
tulak	91-227-B,109-1766-B,197-273-B,198-545-B,232-2871-B,249-1954-B,260-2592-B,260-2702-B,266-2739-B
