check list	zoznam
check up	overiť
check up	preveriť
check up	skontrolovať
check-up	prehliadka
checked	kockovaný
checked	kontrolovaný
checker	skúšač
checking	kontrolovanie
checking	overovanie
checkout	pokladna
checkout	preskúšanie
checksum	kontrolný súčet
checkup	preskúšanie
checkup	vyšetrovanie
cheek	bezočivosť
cheek	drzosť
cheek	líce
cheek	trúfalosť
cheek	tvár
cheekiness	drzosť
cheeks	tváre
cheeky	drzý
cheeky	trúfalý
cheer	potešiť
cheer	povzbudiť
cheer	povzbudzovať
cheer up	rozveseliť
cheerful	radostný
cheerful	spokojný
cheerful	veselý
cheerful	šťastný
cheerfulness	veselica
cheese	syr
chemical	chemický
chemical	chemikália
chemical	chemikálie
chemical	umelý
chemically	chemicky
chemicals	chemikálie
chemist	chemik
chemist	lekáreň
chemist	lekárnik
chemist's	drogéria
chemistry	chémia
cheque	zloženka
cheque	šek
chequered	kockovaný
chequered	pestrý
cherish	chovať
cherry	čerešne
cherry	čerešňa
cherub	anjelik
cherub	cherubín
chess	šach
chess	šachový
chess	šachy
chessboard	šachovnica
chest	bedňa
chest	bielizník
chest	debna
chest	hruď
chest	prsia
chest	skriňa
chest	truhla
chest of drawers	bielizník
chestnut	gaštan
chestnut	gaštanový
chew	premýšľať
chew	žuť
chew the rag	kecať
chewing gum	žuvačka
chic	elegantný
chic	módny
chic	vkus
chick	kura
chicken	kura
chicken	kurča
chicken	zbabelec
chicken-hearted	zbabelý
chicken-livered	zbabelý
chickenhearted	zbabelý
chickenpox	kiahne
chide	karhať
chief	generální
chief	hlavný
chief	náčelník
chief	prednosta
chief	predseda
chief	predák
chief	riaditeľ
chief	vedúci
chief	vodca
chief	šéf
chiefly	hlavne
chiefly	predovšetkým
chieftain	náčelník
chieftain	pohlavár
chilblain	omrzlina
child	detský
child	dieťa
child	potomok
childbirth	pôrod
childhood	detstvo
childish	detinský
childish	detský
childless	bezdetný
childlike	detský
childly	detinský
childly	detský
children	deti
children´s	detský
child´s	detský
chiliad	tisícročie
chill	chlad
chill	chladiť
chill	chladný
chill	mraziť
chill	nachladnutie
chill	ochladiť
chill	schladiť
chill	zima
chilly	chladný
chilly	mrazivý
chilly	studený
chilly	sychravý
chimaera	chiméra
chimaera	prízak
chime	vyzváňať
chime	zvonenie
chime	zvoniť
chimera	chiméra
chimera	prízak
chimera	prízrak
chimney	cylinder
chimney	komín
chimpanzee	šimpanz
chin	brada
china	porcelán
chink	cengať
chink	štrbina
chink	štrngať
chip	integrovaný obvod
chip	trieska
chip	íver
chip	úlomok
chip	žetón
chip off	useknúť
chipping	triesky
chippy	kurva
chirk	pískať
chirk up	rozveseliť
chiropody	pedikúra
chirp	cvrlikať
chirrup	štebotať
chisel	dláto
chivalrous	rytiersky
chivalrous	ušľachtilý
chivalry	rytierskosť
chivalry	rytierstvo
chive	pažítka
chivvy	otravovať
chloride	chlorid
chlorine	chlór
chlorite	chlorit
chlorite	chloritan
chloroform	chloroform
chlorophyl	chlorofyl
chlorophyll	chlorofyl
chlorous	chloritý
chock full	preplnený
chock up	napchať
chock-a-block	kompletný
chock-full	preplnený
chocolate	čokoláda
chocolate	čokoládový
choice	voľba
choice	vybraný
choice	výber
choir	chór
choke	dusiť
choke	dusiť sa
choke	sýtič
choke	upchať
choke	zapchať
choke	škrtiť
choke down	potlačiť
choke down	zhltnúť
choke up	udusiť
choke up	upchať
choke up	zaniesť
choking	škrtenie
choler	zlosť
cholera	cholera
choleric	cholerický
choose	voliť
choose	vyberať
choose	vybrať
choose	vybrať si
choose	zvoliť
