letterpress	129-1033-B
letting	129-1056-B
lettuce	129-1074-B
levant	129-1090-B
levee	129-1105-B
level	129-1119-B,129-1133-B,129-1153-B,129-1166-B,129-1180-B,129-1193-B,129-1207-B,129-1223-B,129-1240-B,129-1256-B,129-1275-B,129-1291-B,129-1306-B
level off	129-1321-B
levelling	129-1341-B
lever	129-1362-B,129-1376-B,129-1390-B
leverage	129-1403-B,129-1416-B,129-1436-B,129-1451-B
levy	129-1469-B,129-1483-B,129-1494-B,129-1508-B,129-1523-B,129-1536-B
lewd	129-1549-B
lexical	129-1565-B,129-1586-B
lexicon	129-1602-B
liability	129-1619-B,129-1639-B,129-1660-B,129-1679-B,129-1703-B,129-1722-B
liable	129-1742-B,129-1761-B
liaison	129-1780-B,129-1800-B
liar	129-1815-B,129-1828-B
lib	6-2189-S,6-2211-S,6-2232-S
libel	129-1840-B,129-1854-B,129-1872-B,129-1886-B,129-1902-B
liberal	129-1917-B,129-1933-B,129-1948-B,129-1967-B,129-1986-B,129-2004-B,129-2029-B,129-2049-B
liberalise	129-2066-B
liberality	129-2087-B
liberalness	129-2109-B
liberate	129-2132-B,129-2152-B
liberation	129-2175-B
liberator	129-2198-B
liberty	129-2221-B,129-2242-B,129-2258-B,129-2282-B,129-2298-B
librarian	129-2316-B
library	88-31-S,129-2337-B,129-2355-B,129-2373-B
licence	129-2386-B,129-2406-B,129-2423-B,129-2440-B,129-2457-B,129-2478-B,129-2497-B,129-2515-B
license	129-2532-B,129-2549-B,129-2566-B,129-2587-B
licentious	129-2605-B,129-2626-B
lick	129-2648-B,129-2661-B,129-2674-B,129-2690-B,129-2705-B,129-2720-B,129-2735-B
lickerish	129-2749-B,129-2768-B
lid	129-2789-B,129-2802-B,129-2811-B,129-2823-B
lido	129-2836-B
lie	129-2852-B,129-2864-B,129-2877-B,129-2889-B,129-2898-B
lieutenant	129-2915-B,129-2938-B,129-2959-B,205-1581-S
lieutenant colonel	129-2980-B
life	105-1340-S,129-3013-B,129-3029-B,129-3047-B,129-3059-B,129-3076-B,129-3091-B,184-363-S,184-383-S,208-3617-S,211-2212-S,229-2207-S,266-1784-S,272-2215-S
life cycle	129-3107-B
life expectancy	129-3130-B
life giving	129-3159-B
lifeblood	129-3185-B
lifeguard	129-3199-B
lifeless	129-3219-B,129-3235-B,129-3253-B
lifelong	129-3269-B,129-3292-B
lifespan	129-3313-B
lifetime	129-3334-B,129-3357-B,129-3377-B
lift	129-3398-B,129-3413-B,129-3427-B,129-3442-B,129-3459-B,130-0-B,130-13-B,130-24-B,130-40-B,216-872-S
lift off	130-54-B
lift up	130-74-B
lifter	130-93-B
lifting capacity	130-109-B
ligament	130-135-B
ligate	130-149-B
ligation	130-167-B
ligature	130-183-B
ligatures	130-199-B
