disguise	skryť
disgust	odpor
disgusting	odporný
dish	chod
dish	dievča
dish	jedlo
dish	misa
dish	nádoba
dish	pokrm
dish out	rozdeľovať
dish out	servírovať
dish up	servírovať
dishearten	skľúčiť
disheartenment	depresie
dishes	riad
dishevelled	neporiadny
dishonest	nečestný
dishonesty	nečestnosť
dishonor	zneuctiť
dishonorable	nečestný
dishonoring	zahanbujúci
dishonour	hanba
dishonour	zneuctiť
dishonourable	nečestný
dishonourable	potupný
dishpan	drez
dishwasher	umývačka riadu
disillusion	rozčarovať
disillusioned	rozčarovaný
disillusionment	sklamanie
disillusionment	vytriezvenie
disincentive	brzda
disincentive	prekážka
disinclination	nechuť
disinclined	neochotný
disinfect	dezinfikovať
disinfecting	dezinfekčný
disinherit	vydediť
disintegrate	rozkladať sa
disintegrate	rozložiť
disintegration	rozklad
disintegration	rozloženie
disintegration	rozpad
disinter	exhumovať
disinterest	ľahostajnosť
disinterested	nesebecký
disinterested	nezaujatý
disjoin	rozdeliť
disjoin	rozlúčiť
disjoint	rozpojiť
disjunction	disjunkcia
disjunction	oddelenia
disjunction	oddelenie
disk	disk
disk	kotúč
diskette	disketa
dislike	nechuť
dislike	nerád
dislike	odpor
dislodge	vyhnať
dislodge	vytlačiť
disloyal	neverný
dismal	skľúčený
dismantle	odstrániť
dismantle	rozmontovať
dismantle	rozobrať
dismantle	zbaviť
dismantle	zbúrať
dismantle	zničiť
dismay	hrôza
dismay	vydesiť
dismay	zdesenie
dismayed	zdrvený
dismember	rozobrať
dismemberment	rozdelenie
dismiss	odmietnuť
dismiss	prepustiť
dismiss	rozpustiť
dismiss	zamietnuť
dismissal	prepustenie
dismissals	výpovede
dismount	demontovať
disobedience	neposlušnosť
disobedient	neposlušný
disobey	neposlúchať
disobliging	neochotný
disorder	neporiadok
disorder	ochorenie
disorder	porucha
disorder	problémy
disorder	zmätok
disorderliness	neporiadok
disorderly	neporiadny
disorganise	rozložiť
disorganise	rozvrátiť
disorientate	zmiasť
disorientation	dezorientácia
disown	odriecť sa
disparage	znevažovať
disparity	nerovnosť
dispassionate	pokojný
dispassionate	triezvy
dispassionate	vecný
dispassionately	pokojne
dispatch	depeša
dispatch	expedícia
dispatch	odoslanie
dispatch	odoslať
dispatch	odpraviť
dispatch	odpísaný
dispatch	poslať
dispatch	vyslaný
dispatch	vyslať
dispatch	zabiť
dispatcher	dispečer
dispatching	dispečing
dispatching	odoslanie
dispel	rozptýliť
dispensable	postrádateľný
dispensary	lekáreň
dispensation	povolenie
dispense	vybrať
disperse	rozptýliť
disperse	roztrúsiť
dispersion	rozptyl
dispirit	skľúčiť
dispirited	skľúčený
displace	nahradiť
displace	premiestniť
displaced person	bezdomovec
displacement	posunutie
displacement	preloženie
displacement	premiestnenie
displacement	výtlak
display	nádhera
display	obrazovka
display	prejav
display	prejaviť
display	ukázať
display	vyložiť
display	vystaviť
display	výklad
display	výstava
display	zobraziť
display	zobrazovať
displeasure	nespokojnosť
disposable	jednorazový
disposal	dispozícia
disposal	dispzícia
disposal	likvidácia
disposal	odstraňovanie
disposal	odstránenie
disposal	odvoz
disposal	riadenie
dispose	disponovať
dispose	nariadiť
dispose	postaviť
dispose	rozmiestniť
dispose	rozostaviť
dispose	usporiadať
dispose	zariadiť
dispose	zneškodniť
dispose	zničiť
dispose of	vybaviť
dispose of	zbaviť sa
disposed	ochotný
disposed	pripravený
disposition	dispozícia
disposition	dispzícia
disposition	náklonnosť
disposition	povaha
disposition	rozmiestnenie
disposition	schopnosť
disposition	sklon
disposition	temperament
disposition	usporiadanie
disproof	vyvrátenie
disproportion	nepomer
disproportionate	neprimeraný
disprove	vyvrátiť
disputation	debata
disputatious	hádavý
dispute	bojovať
dispute	debata
dispute	diskutovať
dispute	hádať sa
dispute	hádka
dispute	spor
dispute	zápasiť
disqualification	diskvalifikácia
disqualification	vylúčenie
disqualification	vyradenie
disqualify	diskvalifikovať
disquiet	nepokoj
disquiet	znepokojovať
disquietude	nepokoj
disregard	prehliadať
disrepair	rozpad
disrepute	hanba
disrespect	neúcta
