tatter	fille
tattle	sladre
tattoo	tatovering
taunt	hån
taunt	spotte
taunt	spydighet
taut	spent
taut	stram
tavern	gjestgiveri
tavern	vertshus
tawdry	glorete
tax	beskatte
tax	byrde
tax	skatt
taxi	drosje
tea	te
teach	lære
teach	undervise
teacher	lærer
teaching	lære
teaching	undervisning
team	flokk
team	gruppe
team	lag
team	mannskap
team	spann
tear	fare
tear	rase
tear	revne
tear	rift
tear	rive
tear	rive i stykker
tear	slite
tear	spjære
tear	tåre
tease	erte
tease	plage
teaspoon	teskje
teat	brystvorte
teat	spene
teat	tåtesmokk
technical	teknisk
technician	tekniker
technique	teknikk
technology	teknologi
tedious	kjedelig
tedious	vidløftig
teem	kry
teem	myldre
teem	yre
teenager	tenåring
teeny	bitte liten
teeter	gynge
teeter	huske
teetotaller	avholdsmann
telegram	telegram
telephone	telefon
telephone	telefonere
teleprinter	fjernskriver
telescope	kikkert
television	fjernsyn
tell	befale
tell	by
tell	fortelle
tell	si
tell tales	sladre
temper	gemytt
temper	herde
temper	humør
temper	lune
temper	lynne
temper	sinn
temper	sinne
temper	stemning
temperament	temperament
temperance	edruelighet
temperance	måtehold
temperature	temperatur
tempest	storm
tempest	uvær
temple	tempel
temple	tinning
temporal	verdslig
temporary	kortvarig
temporary	midlertidig
tempt	forføre
tempt	friste
temptation	fristelse
ten	ti
ten	tier
tenable	holdbar
tenacious	hardnakket
tenacious	hårdnakket
tenacious	klebrig
tenacious	seig
tenant	beboer
tenant	forpakter
tend	betjene
tend	pleie
tend	røkte
tend	strebe
tendency	retning
tendency	tendens
tender	anbud
tender	bløt
tender	fin
tender	følsom
tender	mør
tender	sart
tender	sped
tender	tilbud
tender	tilby
tender	øm
tender	ømskinnet
tenderness	ømhet
tendon	sene
tenebrous	mørk
tenement	bolig
tenement	leilighet
tenon	tapp
tenor	forløp
tenor	gang
tenor	innhold
tenor	løp
tenor	tendens
tense	anspent
tense	spent
tense	tid
tension	spenning
tent	telt
tentacle	følehorn
tentative	foreløpig
tentative	forsøksvis
tentatively	forsøksvis
tenth	tiende
tenure	besittelse
tepid	lunken
tergiversation	utflukt
term	betingelse
term	frist
term	kvartal
term	ledd
term	ord
term	semester
term	termin
term	uttrykk
term	vilkår
terminate	avslutte
terminate	slutte
termination	avslutning
termination	ende
termination	endelse
termination	slutning
terminus	endestasjon
ternary	treer
terrace	altan
terrace	terrasse
terrain	terreng
terrestrial	jordisk
terrible	forferdelig
terrible	fæl
terrible	skrekkelig
terrific	enorm
terrific	fryktelig
terrify	skremme
territory	landområde
terror	redsel
terror	skrekk
terrorize	terrorisere
terse	konsis
tertiary	tredje
test	prøve
test	undersøke
test	undersøkelse
testament	testament
testify	bevitne
testify	vitne
testimonial	attest
testimonial	vitnemål
testimonial	vitnesbyrd
testimony	bevis
testimony	vitnemål
testimony	vitnesbyrd
testimony	vitneutsagn
testy	amper
tetanus	stivkrampe
tetchy	pirrelig
tether	binde
teuton	germaner
text	tekst
textbook	lærebok
textiles	tekstilvarer
textual	ordrett
texture	struktur
texture	vev
than	enn
thank	takke
thankful	takknemlig
thanks	takk
thanks to	takket være
