April	april
August	august
Christ	Kristus
Christian	kristen
Christianity	kristendom
Copenhagen	København
December	desember
Denmark	Danmark
Dutch	nederlandsk
Easter	påske
England	England
Europe	Europa
February	februar
Friday	fredag
God	gud
Greece	Hellas
January	januar
Japan	Japan
Japanese	japansk
July	juli
June	juni
Latin	latinsk
March	mars
May	mai
Monday	mandag
November	november
October	oktober
Portuguese	portugisisk
Roman	romersk
Scandinavia	Skandinavia
Scandinavian	skandinav
Scandinavian	skandinavisk
Scotch	skotsk
September	september
Sweden	Sverige
Whitsun	pinse
a	en
a	et
a	ett
a bit	litt
a lot	mange
a lot	mye
aback	bakover
abacus	abakus
abaft	akter
abandon	forlate
abandon	oppgi
abandoned	forlatt
abase	ydmyke
abate	avta
abate	forminske
abate	forringe
abate	minske
abattoir	slakteri
abbreviate	forkorte
abbreviation	forkortelse
abc	abc
abdomen	buk
abdomen	underliv
abduct	bortføre
abduct	kidnappe
abduction	bortføring
abductor	kidnapper
aberrance	avvik
aberration	avvik
abet	hjelpe
abhor	avsky
abhorrence	vemmelse
abhorrent	avskyelig
abhorrent	vemmelig
abide	utstå
ability	dyktighet
ability	evne
abject	foraktelig
abject	ussel
abject	ynkelig
able	dugelig
able	dyktig
able	habil
able	sterk
ably	dyktig
abnegate	nekte
abnormal	abnorm
abnormal	uregelmessig
abode	bolig
abode	bosted
abode	opphold
abolish	avskaffe
abominable	avskyelig
abominable	fæl
abomination	avsky
abort	avbryte
abortion	abort
abortive	mislykket
about	om
about	omkring
about	omtrent
about	på
about	ved
above	oppe
above	ovenfor
above	ovenpå
above	over
abrasion	slitasje
abridge	forkorte
abridgement	forkortelse
abroad	ute
abroad	utenfor
abrogate	oppheve
abrupt	bratt
abrupt	brå
abrupt	plutselig
abrupt	steil
abscess	byll
abscond	rømme
absence	fravær
absent	fraværende
absinth	malurt
absolute	absolutt
absolute	fullstendig
absolute	kategorisk
absolute	ubetinget
absolute	uinnskrenket
absolutism	enevelde
absorb	absorbere
absorb	oppta
absorb	sluke
absorption	absorpsjon
abstainer	avholdsmann
abstemious	måteholden
abstention	avholdenhet
abstract	abstrakt
abstract	stjele
abstract	utdrag
abstruse	dunkel
absurd	absurd
absurd	urimelig
abundance	overflod
abuse	misbruk
abyss	avgrunn
academic	akademiker
academic	akademisk
academy	akademi
accelerate	akselerere
accelerate	fremskynde
accent	aksent
accent	betone
accent	trykk
accent	uttale
accentuate	betone
accentuate	fremheve
accentuation	betoning
accept	godta
accept	ta imot
access	adgang
accessibility	tilgjengelighet
accessible	tilgjengelig
accession	tiltredelse
accession	tilvekst
accessories	tilbehør
accessory	ekstra
accident	slump
accident	tilfelle
accident	uhell
accident	ulykke
accidental	tilfeldig
accommodate	huse
accommodate	imøtekomme
accommodate	tillempe
accommodate	tilpasse
accommodate	tjene
accommodation	avtale
accompaniment	akkompagnement
accompaniment	ledsagelse
accompany	ledsage
accomplish	fullføre
accomplish	greie
accomplish	oppnå
accomplish	utføre
accord	enighet
accord	overenskomst
accord	overensstemmelse
accord	samsvar
accordance	overensstemmelse
according to	ifølge
accordion	trekkspill
account	beregning
account	beretning
account	forklaring
account	konto
account	redegjørelse
account	regning
account	regnskap
accountable	ansvarlig
accountant	bokholder
accountant	regnskapsfører
accountant	revisor
accounting	bokholderi
accredit	godkjenne
accumulate	lagre
