manslaughter	drap
manta	teppe
mantle	kappe
mantle	kåpe
mantle	teppe
manual	håndbok
manual	manuell
manufactory	fabrikk
manufacture	fabrikasjon
manufacture	fabrikkere
manufacture	fremstille
manufacture	fremstilling
manufacturer	fabrikant
manumission	frigivelse
manure	gjødsel
manure	gjødsle
manuscript	håndskrift
many	mange
map	bykart
map	kart
map	planlegge
maple	lønn
mar	skjemme
mar	spolere
mar	vansire
maraud	plyndre
marble	klinkekule
march	marsj
march	marsjere
mare	hoppe
mare	merr
marge	kant
marge	rand
margin	begrense
margin	bredd
margin	kant
margin	marg
margin	rand
mariner	sjømann
marital	ekteskapelig
marjoram	merian
mark	karakter
mark	kjennemerke
mark	markere
mark	merke
mark	skramme
mark	stempel
mark	tegn
market	avsetning
market	marked
market	markedsføre
market	selge
market	torg
marketing	markedsføring
marl	mergel
marmalade	marmelade
marquee	telt
marriage	bryllup
marriage	ekteskap
marriage	giftermål
marriage	vielse
married	gift
marrow	marg
marry	gifte seg
marry	vie
marsh	myr
marshal	ordne
marshal	stille opp
marshy	myrlendt
marten	mår
martial	krigersk
martin	svale
martyr	martyr
marvel	bli forbauset
marvel	under
marvel	vidunder
marvellous	vidunderlig
masculine	mandig
masculine	mannlig
masculine	maskulin
mash	knuse
mask	maske
mask	maskere
mason	murer
mason	steinhogger
mass	klump
mass	masse
mass	mengde
massacre	blodbad
massage	massasje
massage	massere
massive	massiv
massive	svær
mast	mast
mast	stang
master	beherske
master	bestyrer
master	herre
master	kaptein
master	leder
master	lærer
master	mester
master	mestre
masterful	mesterlig
masterly	mesterlig
mastery	herredømme
mat	matte
match	avpasse
match	fyrstikk
match	kamp
match	make
match	parti
match	tilpasse
matchbox	fyrstikkeske
matchless	makeløs
mate	forbinde
mate	kamerat
mate	kompis
mate	matt
material	emne
material	legemlig
material	materiale
material	materiell
material	stoff
maternal	moderlig
mathematics	matematikk
matrimonial	ekteskapelig
matrimony	ekteskap
matter	anliggende
matter	emne
matter	gjenstand
matter	grunn
matter	materiale
matter	materie
matter	puss
matter	sak
matter	sats
matter	stoff
matter	ting
matter	årsak
mattress	madrass
mature	moden
mature	modne
mature	modnes
maturity	modenhet
mauve	lilla
maw	svelg
may	kunne
maybe	kanskje
mayhap	kanskje
mayor	borgermester
maze	labyrint
me	meg
meadow	eng
meagre	fattig
meagre	mager
meagre	skrinn
meal	måltid
mean	bety
mean	gjennomsnittlig
mean	gjerrig
mean	knuslet
mean	ringe
mean	simpel
mean	tarvelig
mean	ussel
meander	bukt
meander	buktning
meaning	betydning
meaning	mening
meaningful	meningsfylt
means	middel
meanwhile	imidlertid
measles	meslinger
measure	bedømme
measure	forholdsregel
measure	mål
measure	måle
measure	måte
measure	takt
measured	avmålt
measurement	mål
measurement	måling
meat	kjøtt
mechanic	håndverker
mechanical	mekanisk
mechanics	mekanikk
medal	medalje
medical	medisinsk
medically	medisinsk
medicine	medisin
medieval	middelaldersk
mediocre	middelmådig
meditative	ettertenksom
medley	blanding
medulla	marg
meed	lønn
meet	dekke
meet	etterkomme
meet	honorere
