sjokart	14-1002-B
sjokk	51-817-B,86-2190-B
sjokkere	45-174-B,86-2202-B
sjokolade	14-2968-B
sjol	43-2585-B,44-334-B,50-2811-B
sjomann	57-577-B,61-964-B,82-2112-B,84-1282-B
sjonglere	51-1319-B
sjonglor	51-1336-B
sjorover	11-1214-B,68-2666-B
sjostjerne	92-2634-B
sjosyk	84-1573-B
sju	85-2370-B
sjuende	85-2418-B
sjuk	46-989-B
sjusket	37-605-B,88-2431-B,89-0-B,89-80-B
skabb	56-2645-B
skade	11-1034-B,21-927-B,23-2401-B,24-1480-B,42-1859-B,45-2412-B,48-2920-B,48-2982-B,53-2047-B,59-96-B,71-2080-B,102-121-B
skadedyr	68-276-B,106-838-B,106-1951-B
skadelig	7-730-B,23-2417-B,42-1881-B,48-2946-B,62-404-B,62-1828-B,71-2096-B
skadeserstatning	47-3298-B
skaffe	37-1740-B,63-1032-B,72-2864-B,73-3105-B,96-843-B
skaft	41-2542-B,42-792-B,85-3007-B,86-300-B
skake	51-828-B,51-864-B
skakk	63-252-B,88-475-B,110-2557-B
skal	10-1041-B,70-1781-B,83-703-B
skala	38-248-B,83-1343-B
skalde	9-490-B,83-1298-B
skalkeskjul	15-2387-B
skall	45-2550-B,67-325-B,67-373-B,80-2701-B,86-1412-B,88-680-B
skalldyr	86-1437-B
skalle	66-2059-B,88-948-B
skallet	7-270-B,7-283-B
skam	24-2580-B,24-2894-B,24-3147-B,86-192-B
skamfull	5-2422-B,86-218-B
skammel	93-2707-B
skammelig	24-2926-B,25-973-B,48-1076-B,48-2290-B,86-238-B
skandale	83-1414-B
skandinav	1-463-B
skandinavia	1-439-B
skandinavisk	1-486-B,83-1431-B
skane	90-2365-B
skanner	83-1457-B
skap	12-649-B,15-2779-B,55-618-B
skape	20-160-B,56-1650-B,86-423-B
skapelse	20-173-B
skaper	20-191-B
skapning	8-792-B,20-219-B
skar	14-2725-B,61-2453-B,62-1098-B,62-1109-B,86-463-B
skare	45-481-B,99-1833-B,102-1911-B
skarp	2-798-B,2-1312-B,13-1489-B,21-525-B,45-661-B,51-2067-B,67-860-B,74-1415-B,75-955-B,85-2581-B,86-693-B,87-519-B,87-640-B,97-2578-B,102-847-B
skarphet	2-1336-B,9-192-B,51-2078-B,68-2623-B,70-172-B,74-1357-B,86-780-B
skatt	21-1458-B,44-925-B,46-3363-B,53-2531-B,98-180-B,102-408-B
skattepliktig	76-622-B
skeptiker	83-1971-B
ski	88-522-B
skifer	88-1380-B
skift	86-1702-B
skifte	3-2504-B,14-132-B,30-1817-B,66-1023-B,86-1714-B,97-396-B,101-2327-B
skiftenokkel	90-2259-B
skiftevis	3-2558-B
skikk	21-158-B,32-1694-B,71-730-B,105-2335-B
skikk og bruk	18-2553-B,32-1708-B,105-2198-B,105-2345-B
skikkelig	21-2726-B,79-2278-B
skikkelse	11-1617-B,33-2181-B,36-75-B,36-1922-B,41-1625-B,86-435-B
skildre	23-168-B,65-1640-B,70-2149-B
skill	66-958-B
skille	25-1243-B,25-2535-B,25-2674-B,66-486-B,85-975-B,85-2460-B,95-3072-B
skillevegg	66-1040-B
skiloper	88-549-B
skilpadde	101-0-B,103-1277-B
skilsmisse	25-2689-B,85-1033-B
skilt	69-1120-B,87-1489-B
skingrende	87-653-B,94-1990-B
skinke	42-311-B
skinn	4-2532-B,16-593-B,37-1602-B,43-2755-B,49-2409-B,53-1172-B,67-336-B,86-149-B,86-1780-B,88-691-B
skinne	39-597-B,39-923-B,75-2136-B,86-1792-B,91-1592-B,101-1150-B
skinnebein	86-1739-B
skinnhellig	83-153-B
skinnsyke	51-63-B
skip	37-2840-B,61-902-B,82-2068-B,86-1869-B,106-2322-B
skipper	88-831-B
skipsfart	86-1961-B
skipsreder	86-1919-B
skipsverft	86-1980-B
skisse	88-445-B
skissere	23-1368-B,88-459-B,101-1013-B
skitt	24-1404-B,33-2624-B,36-1062-B,40-2765-B,60-1406-B,86-2063-B,89-1182-B,90-93-B,92-467-B
skitten	24-814-B,33-2648-B,36-1025-B,40-2799-B,41-877-B,60-1428-B,89-1204-B,90-141-B,90-1184-B,92-383-B,104-192-B
skive	23-3035-B,69-1132-B,81-2025-B,88-1809-B,97-2363-B
skjar	32-293-B,39-1543-B,86-1202-B,88-402-B,92-2747-B
skjare	13-507-B,21-325-B,56-1119-B,60-1334-B,66-93-B,76-1818-B,83-2608-B,88-1821-B
skjaringspunkt	50-186-B
skje	42-1317-B,63-1688-B,91-2126-B
skjebne	23-1844-B,26-0-B,32-1977-B,36-794-B,55-1605-B
skjebnesvanger	32-1956-B,32-1990-B
skjede	83-1245-B,86-1041-B
skjefte	42-805-B,93-2472-B
skjegg	7-2458-B
skjele	92-995-B
skjelett	36-1938-B,36-1995-B,88-384-B
skjell	83-1355-B,84-1051-B,86-1424-B
skjelle	83-2714-B
skjelmsk	5-791-B
skjelne	24-1954-B,24-2685-B,25-1635-B
skjeloyd	92-1009-B
skjelve	25-2957-B,51-454-B,65-2034-B,74-2874-B,75-464-B,75-1359-B,86-12-B,86-2098-B,102-669-B
skjema	36-90-B,83-2170-B
skjemme	19-433-B,57-373-B,70-1046-B,91-1833-B,107-990-B
skjemt	51-217-B,51-711-B,69-1747-B
skjenk	7-1041-B,11-1493-B
skjenke	8-1830-B,25-3359-B,28-2207-B,39-277-B,71-380-B
skjenn	76-847-B,83-2742-B
skjenne	83-2728-B
skjensel	24-2908-B,46-846-B,86-203-B
skjerf	60-1621-B,83-1726-B
skjerm	41-1199-B,84-622-B,85-2885-B,109-2304-B
skjerme	84-636-B
skjerpe	86-732-B,109-449-B
skjev	16-734-B,20-915-B,20-1095-B,53-890-B,55-1349-B,63-266-B,88-486-B,110-2567-B
skjodeslos	12-2705-B,61-1528-B,63-2283-B
skjodesloshet	61-1501-B
skjold	11-1319-B,29-2363-B,86-1624-B
skjoldbruskkjertel	99-2455-B
skjonn	8-43-B,8-94-B,24-2666-B,32-305-B,34-29-B,42-1008-B,51-1214-B
skjonne	5-143-B,84-2604-B,97-1559-B,104-1208-B
skjonnhet	8-150-B
skjonnlitteratur	33-1591-B
skjont	3-2620-B,99-1304-B
skjor	10-2064-B,11-515-B,36-1715-B
skjort	88-847-B
skjorte	86-2015-B
skjot	84-1260-B
skjul	19-1912-B
skjule	17-1309-B,43-2766-B
skjult	19-1925-B,52-2360-B,63-1487-B
skli	88-539-B,88-1923-B,88-2294-B,88-2505-B
sklie	88-1934-B
sko	86-2302-B
skodde	35-1014-B,59-738-B,87-937-B
skog	35-2516-B,110-825-B,110-883-B
skole	83-2352-B
skolegard	83-2439-B
skomaker	86-2311-B
skonnert	83-2461-B
skorpe	20-1675-B,80-2712-B,83-1222-B,89-54-B
skorstein	14-2575-B,37-1537-B,89-934-B,92-1238-B
skorte	52-992-B
skotsk	1-512-B,83-3007-B,83-3021-B
skotte	83-2995-B
skoyer	46-2187-B,81-882-B
skoyeraktig	59-142-B
skoyte	88-330-B
skra	63-280-B,88-497-B,88-1228-B,88-2627-B
skral	70-1453-B
skrale	7-2182-B
skralle	67-34-B
skramle	50-3116-B,76-939-B
skramme	57-686-B
skrammel	56-0-B,81-2574-B,95-120-B
skrane	24-919-B,47-1832-B
skrangle	15-1658-B,76-954-B,82-731-B
skranglet	84-251-B
skranglete	75-2740-B,84-461-B
skraning	22-368-B,40-515-B,47-1848-B,88-2611-B,97-1992-B
skranke	7-1052-B,7-1545-B,19-1076-B
skrap	51-1605-B,56-16-B,84-340-B,95-135-B,102-95-B
skrape	84-352-B,86-880-B
skrastrek	88-1330-B
skravering	41-2405-B
skravle	9-734-B,14-1287-B,37-2246-B,50-2901-B,51-20-B,71-950-B,97-1832-B
skred	6-1835-B,52-1616-B
skredder	97-1374-B
skreddersydd	97-1390-B
skrekk	37-96-B,83-1668-B,98-2515-B
skrekkelig	24-991-B,26-994-B,36-334-B,37-161-B,45-114-B,98-2409-B,102-723-B
skrell	67-387-B,80-2724-B
skrelle	45-2561-B,66-106-B,67-347-B,88-702-B
skremme	3-0-B,4-2178-B,21-1761-B,37-124-B,45-191-B,83-1681-B,93-196-B,98-2463-B
skremmende	83-1753-B
skrense	88-2304-B
skreve	94-479-B
skrift	84-777-B,101-1228-B,103-1988-B,110-2335-B,110-2395-B
skrifte	17-2552-B
skriftemal	87-608-B
skriftlig	47-818-B
