shrubbery	87-754-B
shrug	87-771-B
shuck	87-793-B
shudder	87-804-B,87-820-B
shuffle	87-833-B,87-848-B
shun	87-862-B,87-871-B
shut	87-883-B,87-894-B
shut down	87-906-B
shutter	87-922-B,87-937-B
shuttle	87-952-B,87-967-B,87-983-B
shy	87-1006-B,87-1015-B,87-1024-B
sibling	87-1032-B
sicilian	87-1048-B
sick	7-2282-S,87-1068-B
sickle	87-1077-B
sickly	87-1089-B,87-1105-B,87-1120-B
sickness	87-1133-B,87-1151-B,87-1167-B
side	87-1183-B,87-1193-B,87-1204-B
sideburns	87-1214-B
sidecar	87-1235-B
sidewalk	87-1252-B
siege	87-1268-B
sieve	87-1284-B,87-1299-B,87-1311-B,87-1321-B
sift	87-1332-B,87-1343-B
sigh	87-1353-B,87-1363-B
sight	87-1374-B,87-1386-B,87-1404-B,87-1415-B,87-1427-B,87-1437-B,87-1452-B
sighted	86-2673-S,86-2696-S
sign	87-1465-B,87-1476-B,87-1489-B,87-1500-B,87-1510-B,87-1526-B
signal	87-1536-B,87-1550-B
signalize	87-1569-B
signature	87-1587-B
significance	87-1609-B,87-1632-B
significant	87-1655-B,87-1678-B
signify	87-1697-B,87-1713-B
signpost	87-1726-B
silence	87-1744-B,87-1761-B
silent	87-1777-B,87-1791-B
silhouette	87-1803-B
silk	87-1823-B
sill	87-1834-B
silliness	87-1847-B
silly	87-1864-B
silt	87-1874-B,87-1886-B
silver	87-1896-B
simian	87-1909-B
similar	87-1920-B,87-1937-B
similitude	87-1949-B
simple	87-1967-B,87-1982-B,87-1998-B,87-2011-B,87-2023-B,87-2035-B
simplicity	87-2047-B,87-2067-B
simplification	87-2086-B
simplify	87-2112-B
simply	87-2130-B
simulate	87-2148-B,87-2165-B
simultaneous	87-2180-B
sin	87-2202-B,87-2211-B
since	87-2221-B,87-2236-B,87-2248-B
sincere	87-2260-B,87-2273-B
sinew	87-2291-B
sing	87-2302-B
singe	87-2313-B
singer	87-2323-B
singing	87-2337-B
single	87-2350-B,87-2364-B,87-2378-B,87-2395-B,87-2409-B
single breasted	87-2422-B
singly	87-2450-B
singular	87-2467-B,87-2488-B,87-2504-B,87-2525-B,87-2541-B,87-2559-B
sinister	87-2579-B,87-2592-B,87-2609-B
sink	87-2628-B,87-2644-B,87-2660-B,87-2671-B,87-2682-B,87-2693-B
sinner	87-2703-B
sip	87-2717-B,87-2726-B,87-2736-B
siphon	87-2745-B
sir	87-2759-B,87-2768-B
sire	87-2778-B
siren	87-2787-B
sis	87-2800-B
sister	87-2812-B
sister in law	87-2827-B
sit	88-0-B,88-9-B
site	88-19-B,88-36-B,88-47-B,88-57-B
sitting	88-67-B
sitting room	88-81-B
situated	88-105-B,88-125-B
situation	88-140-B,88-162-B,88-182-B
six	88-201-B,88-210-B
sixteen	88-223-B
sixth	88-239-B
sixty	88-252-B
size	88-265-B,88-280-B,88-292-B,88-301-B
sizzle	88-317-B
skate	88-330-B
skedaddle	88-344-B
skeleton	88-364-B,88-384-B
skerry	88-402-B
sketch	88-416-B,88-433-B,88-445-B,88-459-B
skew	88-475-B,88-486-B,88-497-B
skewer	88-508-B
ski	88-522-B
skid	88-530-B,88-539-B
skier	88-549-B
skilful	88-565-B
skill	88-580-B
skilled	88-596-B,88-611-B
skim	88-628-B
skin	88-640-B,88-650-B,88-661-B,88-670-B,88-680-B,88-691-B,88-702-B,88-715-B
skinny	88-726-B
skip	88-740-B,88-750-B,88-761-B,88-777-B,88-790-B,88-802-B
skipper	88-815-B,88-831-B
skirt	88-847-B
skittish	88-861-B,88-874-B
skittle	88-890-B
skulk	88-905-B
skull	88-917-B,88-934-B,88-948-B
skunk	88-961-B
sky	88-976-B
skylark	88-987-B
skyscraper	88-1001-B
slab	88-1023-B,88-1033-B,88-1044-B
slabber	88-1055-B
slack	88-1069-B,88-1080-B,88-1092-B,88-1104-B
slacken	88-1115-B,88-1130-B
slag	88-1145-B
slake	88-1156-B,88-1168-B
slam	88-1181-B
slander	88-1192-B,88-1208-B
slanting	88-1228-B
slap	88-1243-B,88-1253-B,88-1264-B,88-1276-B,88-1286-B,88-1296-B
slash	88-1307-B,88-1318-B,88-1330-B,88-1347-B
slat	88-1360-B,88-1370-B
slate	88-1380-B,88-1393-B
slaughter	88-1405-B
slaughterhouse	88-1423-B
slave	88-1447-B,88-1459-B
slaver	88-1471-B
slay	88-1484-B
sleazy	88-1495-B
sled	88-1507-B,88-1519-B
sledge	88-1530-B,88-1544-B
sleek	88-1557-B,88-1569-B,88-1581-B
sleep	39-1819-S,88-1594-B,88-1605-B
sleeper	88-1617-B
sleepy	88-1634-B
sleet	88-1649-B
sleeve	88-1661-B,88-1673-B
sleigh	88-1686-B
slender	88-1699-B,88-1713-B,88-1727-B,88-1741-B,88-1757-B,88-1773-B,88-1786-B
slice	88-1799-B,88-1809-B,88-1821-B,88-1835-B
slick	88-1848-B
slicker	88-1860-B
slide	88-1877-B,88-1887-B,88-1902-B,88-1912-B,88-1923-B,88-1934-B,88-1946-B,88-1958-B
slight	88-1970-B,88-1982-B,88-1995-B,88-2010-B,88-2022-B,88-2034-B
slim	88-2052-B,88-2063-B,88-2079-B,88-2092-B
slime	88-2102-B,88-2113-B,88-2124-B
slimy	88-2135-B
