amend	forbedre
amendment	tillegg
amends	erstatning
american	amerikansk
amiable	elskverdig
amicable	vennskapelig
amiss	feil
amnesia	hukommelsestap
among	imellom
amorous	forelsket
amount	beløp
amount	mengde
ample	fyldig
ample	rikelig
ample	stor
ample	vid
amplifier	forsterker
amplify	forsterke
amuse	more
amuse	underholde
amusement	underholdning
an	en
an	et
anaemia	anemi
anaemia	blodmangel
anaemic	blodfattig
anaesthesia	anestesi
anaesthetic	bedøvelse
analogous	analog
analogy	overensstemmelse
analyse	analysere
analysis	analyse
anatomy	anatomi
ancestry	byrd
ancestry	herkomst
anchor	anker
anchor	ankre
anchorage	ankerplass
anchorite	eremitt
anchovy	ansjos
ancient	gammel
and	og
anemone	anemone
anew	igjen
anew	på ny
angel	engel
anger	sinne
angle	hjørne
angle	vinkel
angry	sint
anguish	angst
anguish	kval
anguish	pine
angular	kantet
animal	dyr
animal	dyrisk
animate	livlig
aniseed	anis
ankle	ankel
annex	tilbygg
annex	tilføyelse
annex	tillegg
annexe	tilbygg
annihilate	tilintetgjøre
anniversary	årsdag
announce	forkynne
announce	kunngjøre
announce	melde
announcement	kunngjøring
announcement	melding
annoy	bry
annoy	ergre
annoy	irritere
annoy	plage
annoy	sjenere
annoyance	ergrelse
annoyance	irritasjon
annual	årlig
annul	oppheve
annulment	opphevelse
annunciate	forkynne
anodyne	smertestillende
anomalous	uregelmessig
anonymity	anonymitet
anonymous	anonym
answer	besvare
answer	svar
answer	svare
answer	svare til
answerable	ansvarlig
ant	maur
antagonist	motstander
antarctic	Antarktis
ante	foran
ante	før
antelope	antilope
antenna	antenne
anterior	tidligere
anthill	maurtue
anticipate	foregripe
anticipate	forutse
anticipation	forventning
antidote	motgift
antipathy	antipati
antipathy	motvilje
antique	antikk
antique	antikvitet
antique	gammeldags
antiquity	oldtid
antiseptic	antiseptisk
antithesis	motsetning
anvil	ambolt
anxiety	engstelse
anxiety	uro
anxious	engstelig
anxious	urolig
any	enhver
anybody	hvem som helst
anything	alt
anything	noe
apart	avsides
apart	avsondret
apartment	leilighet
apathy	sløvhet
ape	ape
ape	etterape
ape	herme
aperture	hull
aperture	åpning
apex	spiss
apex	topp
apology	unnskyldning
apostle	apostel
apothecary	apoteker
appal	forskrekke
appal	skremme
apparatus	apparat
apparatus	innretning
apparel	drakt
apparel	kledning
apparent	tilsynelatende
apparent	åpenbar
apparent	øyensynlig
apparently	tilsynelatende
apparition	tilsynekomst
appeal	anke
appeal	appell
appeal	appellere
appeal	behage
appeal	henvendelse
appealing	tiltalende
appear	opptre
appear	stå
appear	synes
appearance	opptreden
appearance	skinn
appearance	tilsynekomst
appearance	utseende
appease	berolige
appease	formilde
appease	forsone
append	henge på
append	tilføye
appendix	blindtarm
appertain	tilhøre
appetence	begjær
appetency	begjær
appetite	appetitt
appetite	lyst
appetizer	forrett
applaud	applaudere
applause	applaus
applause	bifall
apple	eple
applesauce	eplemos
appliance	innretning
appliance	redskap
applicable	anvendelig
application	anvendelse
application	søknad
apply	anbringe
apply	anvende
apply	bruke
apply	gjelde
appoint	ansette
appoint	bestemme
appoint	fastsette
appoint	tilsette
appoint	utnevne
appointment	avtale
appointments	utrustning
apportionment	fordeling
apposite	passende
apposition	tillegg
appraisal	vurdering
appraise	taksere
appraise	vurdere
appreciable	merkbar
appreciate	forstå
appreciate	sette pris på
