prow	baug
prowl	luske
proximity	nærhet
proxy	fullmakt
prudence	forsiktighet
prudence	klokskap
prudence	omtanke
prudent	forsiktig
prudent	klok
prudish	snerpet
prune	beskjære
prune	sviske
pry	snuse
psychiatrist	psykiater
psychic	psykisk
psychological	psykologisk
psychologist	psykolog
psychology	psykologi
psychopath	psykopat
psychosis	psykose
psychotic	psykotisk
pub	kro
puberty	pubertet
public	allmenn
public	alminnelig
public	offentlig
public	offentlighet
public	publikum
publican	krovert
publican	toller
publication	kunngjøring
publication	publikasjon
publicity	offentlighet
publicity	reklame
publish	bekjentgjøre
publish	kunngjøre
publish	offentliggjøre
publish	utgi
publisher	forlegger
pucker	rynke
pudding	pudding
puddle	sølepytt
puddle	virvar
puff	blaff
puff	blåse
puff	dampe
puff	drag
puff	pese
puff	puff
puff	pust
puffy	hoven
puffy	oppblåst
pugnacious	stridbar
puke	kaste opp
puke	spy
pule	klynke
pull	dra
pull	hale
pull	rive
pull	ro
pull	rykk
pull	trekk
pull	trekke
pull	trekking
pull down	rive
pulley	talje
pulley	trinse
pulp	knuse
pulp	mos
pulpiness	bløthet
pulpit	prekestol
pulsate	banke
pulsate	dunke
pulsation	slag
pulse	puls
pulse	slag
pulverize	pulverisere
pump	pumpe
pumpkin	gresskar
pun	ordspill
punch	slag
punch	slå
punctual	nøyaktig
punctual	punktlig
punctuate	avbryte
puncture	stikk
puncture	stikke hull i
puncture	stikke i
pungency	skarphet
pungent	besk
pungent	bitter
pungent	ram
pungent	skarp
punish	avstraffe
punish	straffe
punishment	straff
punt	vedde
puny	liten
pup	valp
pupil	elev
pupil	pupill
puppet	dukke
puppy	valp
purchase	anskaffelse
purchase	erverve
purchase	ervervelse
purchase	innkjøp
purchase	kjøp
purchase	kjøpe
purchaser	kjøper
pure	klar
pure	ren
purely	utelukkende
purgative	avføringsmiddel
purge	rense
purify	rense
puritan	puritansk
purloin	stjele
purloiner	tyv
purple	fiolett
purple	lilla
purpose	akte
purpose	formål
purpose	forsett
purpose	ha til hensikt
purpose	hensikt
purpose	mål
purpose	virkning
purposeful	besluttsom
purposeful	målbevisst
purposeless	hensiktsløs
purposely	med hensikt
purr	summe
purr	surre
purse	børs
purse	håndveske
purse	pung
pursuance	utførelse
pursue	drive
pursue	forfølge
pursuit	beskjeftigelse
pursuit	forfølgelse
pursuit	jakt
purvey	forsyne
purvey	levere
purveyor	leverandør
pus	materie
push	anstrengelse
push	drive
push	puff
push	puffe
push	skubb
push	skubbe
push	støt
push	støte
push	tak
push	trykk
push-up	armheving
put	anbringe
put	bringe
put	legge
put	putte
put	sette
put	stikke
put	stille
put	uttrykke
put off	utsette
put on	ta på
put on weight	legge på seg
putrefy	råtne
putrid	råtten
putty	kitt
putty	sparkle
puzzle	forbløffe
puzzle	forvirre
puzzle	gåte
pyelitis	nyrebekkenbetennelse
pyjamas	pyjamas
pyromaniac	pyroman
quadrangle	firkant
quadrangular	firkantet
quadrate	kvadratisk
quadruple	firedobbelt
quaff	drikke
quaint	original
quaint	underlig
quake	beve
quake	skjelve
qualification	forutsetning
qualification	kvalifikasjon
qualified	berettiget
qualified	betinget
qualified	egnet
qualified	utdannet
qualify	begrense
qualify	kvalifisere
qualify	utdanne
quality	beskaffenhet
quality	egenskap
quality	karakter
