biskop	8-2876-B
bismak	97-2065-B
bisp	8-2890-B
bispedomme	24-857-B
bissel	11-12-B
bista	5-3079-B
bistand	3-926-B,43-1951-B
bister	33-1763-B,40-2714-B
bit	9-23-B,9-54-B,59-2985-B
bite	9-63-B
bitende	2-784-B,9-131-B,13-1457-B,21-492-B,59-2845-B,61-2917-B,97-2565-B,102-829-B
bitt	9-73-B
bitte liten	98-696-B,100-914-B,108-2023-B,108-2099-B
bitter	9-146-B,40-2631-B,74-1388-B,86-589-B,90-1671-B
bitterhet	2-238-B,9-171-B
bivoks	8-449-B
bjeffe	7-1247-B,110-2602-B,111-189-B
bjelke	7-356-B,7-2376-B,39-113-B,100-419-B
bjelle	8-1003-B
bjork	8-2728-B
bjorn	7-2413-B
bjornebar	9-285-B,10-1510-B
blabar	8-2410-B,109-1381-B
blad	9-402-B,35-1240-B,53-685-B,65-2459-B,86-1241-B
blaff	74-756-B
blafre	34-2112-B,108-1421-B
blakk	11-683-B,15-1728-B
blande	9-946-B,58-2454-B,59-1013-B,59-1033-B
blande sammen	17-2874-B
blandet	59-37-B,59-1064-B
blanding	17-967-B,51-1378-B,57-2960-B,59-59-B,59-1078-B
blank	9-543-B,11-132-B,39-1464-B,86-1847-B,88-1557-B
blankett	35-2846-B
blare	9-387-B,9-895-B,9-1187-B,11-1187-B
blase	9-1622-B,74-767-B,107-1953-B
blase opp	9-1235-B,48-1693-B,96-3312-B
blasebelg	8-1086-B
blaser	9-1682-B
blasfemi	9-619-B
blast	9-664-B,109-2047-B
blaut	54-1451-B
bleie	23-3184-B,61-183-B
bleike	9-808-B
bleke	9-477-B,9-822-B
blekk	48-3020-B
blekke	75-1970-B
blekksprut	21-555-B,63-1732-B
blekne	31-3227-B,65-1827-B,107-2661-B
blemme	9-883-B,9-1172-B
blende	9-1084-B,21-1902-B,39-572-B
blendende	39-637-B
blender	23-3197-B
bli	8-252-B,32-554-B,38-2289-B,41-682-B,78-1239-B,93-764-B,103-958-B
bli borte	106-377-B
bli forbauset	57-1105-B
bli gammel	3-324-B
bli til	41-691-B
blid	9-505-B,38-1967-B,58-2021-B,69-474-B,89-2461-B,95-588-B
blidgjore	65-977-B,69-365-B
blikk	39-506-B,55-1124-B,77-2604-B,100-668-B,106-2980-B
blikkboks	100-678-B,100-743-B
blind	9-1097-B,105-400-B
blindgate	46-2322-B
blindtarm	4-2676-B
blindvei	20-1950-B
blingse	92-968-B
blink	34-1567-B
blinke	9-1127-B,34-1579-B,103-1739-B,109-2327-B
blo	9-907-B
blod	9-1377-B
