have	ha
haven	havn
hawk	bedrager
hawk	hauk
hawthorn	hagtorn
hay	høy
hayfever	høysnue
hazard	fare
hazard	tilfelle
hazard	treff
hazard	vågestykke
hazardous	risikabel
haze	dis
haze	tåke
hazel	hassel
hazelnut	hasselnøtt
hazy	disig
hazy	dunkel
he	den
he	det
he	han
head	forstand
head	hode
head	lede
head	leder
head	opphav
head	overhode
head	spiss
head	topp
head	vett
headache	bekymring
headache	hodepine
header	stup
heading	hode
heading	tittel
headland	nes
headlight	frontlys
headline	overskrift
headlong	hodekulls
headmaster	rektor
headquarters	hovedkvarter
headrest	nakkestøtte
headstone	gravstein
headwaiter	hovmester
headway	fremskritt
headwind	motvind
heal	bilegge
heal	helbrede
heal	kurere
heal	lege
health	helbred
health	helse
health	sunnhet
healthful	frisk
healthful	sunn
healthy	sunn
heap	bunke
heap	dynge
heap	haug
heap	hop
heap	masse
hear	erfare
hear	høre
hear	høre på
hearing	avhør
hearing	forhør
hearing	hørevidde
hearing	høring
hearing	hørsel
hearken	lytte
hearsay	rykte
heart	hjerte
heart	kjerne
heart	marg
heartbeat	hjerteslag
heartburn	halsbrann
heartfelt	inderlig
hearth	kamin
hearth	peis
heartily	hjertelig
heartily	kraftig
heartless	hjerteløs
heartrending	hjerteskjærende
hearts	hjerter
hearty	hjertelig
hearty	kraftig
hearty	sterk
heat	brunst
heat	hete
heat	varme
heat	varme opp
heated	oppvarmet
heater	fyrbøter
heater	ovn
heater	varmeapparat
heath	mo
heathen	hedensk
heathen	hedning
heather	lyng
heating	oppvarming
heave	heve
heave	hive
heave	løfte
heaven	himmel
heavenly	himmelsk
heavily	sterk
heaviness	tyngde
heavy	heftig
heavy	sterk
heavy	svær
heavy	tungvint
hebdomadal	ukentlig
heckle	avbryte
hectic	hektisk
hedge	hekk
hedgehog	pinnsvin
hedgerow	hekk
heed	ense
heel	hæl
heel	krenge
heft	tyngde
heft	vekt
hefty	svær
heifer	kvige
height	høyde
height	høydepunkt
height	lengde
height	toppunkt
heighten	forhøye
heighten	heve
heinous	avskyelig
heir	arving
heirloom	arvestykke
hell	helvete
helm	ror
helmet	hjelm
help	bistand
help	hjelp
help	hjelpe
help	hjelper
help	støtte
helper	hjelper
helpful	behjelpelig
helpful	hjelpsom
helping	porsjon
helpless	hjelpeløs
hem	fald
hem	falde
hem	kant
hem	kante
hem	søm
hemisphere	halvkule
hemp	hamp
hen	høne
hence	derfor
her	henne
herald	forkynne
herb	urt
herd	bøling
herd	flokk
herd	gjete
herdsman	gjeter
here	her
here	hit
hereafter	heretter
hereditary	arvelig
heredity	arvelighet
heresy	kjetteri
heretic	kjetter
heritable	arvelig
heritage	arv
hermetic	hermetisk
hermit	eremitt
hernia	brokk
hero	helt
heroic	heltemodig
heroic	heroisk
heroin	heroin
heroine	heltinne
herring	sild
herself	seg
herself	selv
herself	sjøl
hesitate	nøle
hew	hogge
hiatus	gap
hiatus	kløft
hiatus	åpning
hibernation	dvale
hibernation	vinterdvale
hiccough	hikke
hiccup	hikke
hide	gjemme
hide	hud
hide	skinn
hide	skjule
hideaway	gjemmested
hideous	heslig
hideout	gjemmested
hie	ile
