desinfeksjonsmiddel	24-3248-B
desinfisere	24-3226-B,37-1330-B
desperat	23-1681-B
dessert	23-1775-B,96-3213-B
dessuten	3-2399-B,8-1711-B,37-1929-B,47-604-B,59-2875-B,110-118-B
destillasjon	25-1473-B
destillere	25-1455-B
desto mindre	61-2018-S,62-1624-S
det	43-251-B,44-285-B,50-2645-B,99-17-B,99-88-B,99-1029-B
det forste	34-581-S,34-654-S
det hele tatt	38-1643-S
detalj	23-1949-B,66-684-B
detaljert	23-1963-B,37-1125-B,66-702-B
detaljhandel	79-3266-B
detektiv	23-2113-B
dets	50-2753-B
dette	32-563-B,99-1038-B
devaluere	23-2475-B
devaluering	23-2451-B
diabetiker	23-2957-B
diagnose	23-3000-B
diagnostisere	23-2977-B
diagram	14-977-B,23-3019-B,33-2107-B,40-1169-B
dialekt	23-3069-B,46-489-B,66-2308-B,106-1967-B
dialog	23-3103-B
diamant	23-3154-B
diameter	23-3136-B
diare	23-3236-B
die	62-2288-B,95-1916-B
diett	24-22-B,77-2801-B
diger	97-1914-B
dike	24-464-B
dikt	33-1508-B,70-125-B
dikter	70-147-B
diktere	23-3294-B
diktning	33-1521-B
dilemma	24-498-B
dilettant	3-2783-B
dilte	51-548-B,102-1949-B
dimensjon	24-653-B,88-265-B
dimme	24-572-B
din	99-739-B,99-2425-B,111-527-B
dingle	21-1270-B,97-276-B
diplom	24-940-B
direksjon	56-2353-B
direkte	24-1067-B
direktiv	24-1177-B
direktor	24-1309-B,40-182-B,56-2450-B
dirigent	59-1456-B
dirigere	24-1082-B,81-2127-B
dirk	68-1552-B
dirre	51-441-B,75-451-B,75-1333-B,85-3044-B,99-1670-B,102-655-B,106-2650-B,110-442-B
dis	35-1006-B,43-167-B,59-729-B
disig	43-221-B
disiplin	24-2061-B
disk	7-1009-B,19-1050-B
diskant	23-967-B,102-571-B
diskotek	24-2178-B,24-2374-B
diskresjon	24-2644-B,84-1911-B
diskusjon	24-2758-B
diskutabel	21-2339-B,25-780-B
diskutere	24-2724-B
disponent	56-2468-B
disponibel	6-1797-B,25-628-B
disposisjon	25-650-B
disse	99-520-B,99-1049-B
dissekere	25-1062-B
distanse	25-1340-B
distrahere	25-1771-B,25-2445-B
distraksjon	25-1831-B
distribuere	25-1946-B
distrikt	19-1218-B,25-2033-B,73-3161-B,111-788-B
dit	99-397-B,99-1075-B
ditt	99-749-B,99-2433-B,111-536-B
divan	25-2224-B
diverse	95-3086-B,106-802-B
dividere	25-2489-B
divisjon	25-2637-B
djerv	9-2419-B,42-1767-B
djevel	23-2733-B,33-1750-B
djevelsk	48-1411-B
do	9-2284-B,12-1510-B,15-2769-B,23-3408-B,52-2701-B,55-1117-B,66-1429-B,72-1901-B
dobbel	26-188-B,26-2329-B
doble	26-202-B
dod	21-1916-B,21-2297-B,21-2543-B,22-2775-B,28-1952-B,49-301-B
dodbringende	21-2031-B,32-1936-B
dodelig	21-2052-B,53-2201-B,59-2996-B,59-3034-B
dodelighet	59-3012-B
dodsfall	21-2308-B
dog	111-245-B
dogg	23-2891-B
dokk	25-2825-B
doktor	25-2879-B
dokument	2-846-B,14-1046-B,22-770-B,25-2918-B,49-1916-B,65-2470-B,77-596-B,83-1989-B
dokumentere	25-2936-B
dokumentmappe	11-81-B,70-1925-B
dolk	21-761-B,24-1384-B,70-1240-B
dolke	92-1119-B
dom	22-127-B,51-1200-B,85-849-B,106-1761-B
dominere	25-3287-B
domkirke	13-1213-B,58-2715-B
domme	17-2100-B,25-3436-B,51-1171-B,85-862-B
dommer	5-635-B,51-1158-B,51-1829-B,77-1642-B,77-1667-B,103-2311-B
dompap	11-1763-B
domstol	8-1259-B,19-1485-B,102-1044-B
donning	96-3329-B
donor	25-3412-B
dope	15-229-B
dor	26-28-B
dorapning	26-60-B
dorhandtak	26-38-B
dorme	26-432-B,26-1963-B,61-138-B
dorslag	16-1167-B,87-1284-B,94-1022-B
dorstokk	99-1575-B
dose	26-443-B,26-1976-B
dosere	26-132-B
dosig	26-2003-B,53-2217-B
dosis	26-119-B,26-144-B
dott	103-299-B,103-1324-B,107-1873-B
dov	21-2068-B
doven	46-530-B,53-444-B,78-1572-B,89-201-B,92-1720-B,106-484-B
dovenskap	46-647-B,53-425-B
dovhet	21-2116-B
dovne seg	55-1743-B
doyve	31-1945-B,78-899-B
dra	26-587-B,26-796-B,39-1738-B,42-2727-B,74-914-B
drag	26-805-B,32-2708-B,41-1760-B,54-1752-B,74-790-B,94-770-B,101-354-B,109-567-B
drage	52-200-B
drakt	4-2231-B,6-1150-B,19-665-B,26-1134-B,38-503-B,41-2329-B,95-2421-B,106-2428-B
dramatisk	26-718-B
drap	44-1880-B,51-2480-B,57-0-B,60-1954-B
drape	26-1541-B,26-1796-B
drapere	26-737-B
drapsmann	51-2548-B
drastisk	26-751-B
dreie	40-2834-B,80-1541-B,81-1558-B,91-998-B,103-981-B
dreiebenk	52-2374-B
dreiebok	84-742-B
dreieskive	103-1256-B
dreietapp	69-293-B
dreining	100-2641-B,103-992-B,103-1171-B,103-1827-B,106-1123-B
drepe	51-2490-B,88-1484-B
drepende	32-1921-B,51-2579-B
dress	95-2432-B
dressere	101-1760-B
dreven	6-434-B,15-2023-B,87-479-B,89-510-B
drift	49-1513-B,64-564-B,110-1324-B
drikk	8-2067-B,26-1451-B
drikke	26-1463-B,46-1682-B,74-2818-B,89-2005-B,96-0-B,100-1067-B
drikke ut	34-158-B
drikkepenger	7-118-B,7-141-B,40-1706-B,100-945-B
drikkevarer	26-1499-B
drikkfeldig	8-2209-B
drill	26-1343-B
drille	26-1355-B
dristig	6-1363-B,9-2430-B,21-1318-B,42-1779-B
dristighet	6-1381-B,21-1333-B,31-2868-B,42-1657-B
dritt	19-2689-B,86-2042-B
