klistre	66-1841-B,93-1582-B
klistremerke	93-1707-B
klo	15-1708-B,50-2688-B,61-2870-B,84-380-B
kloakk	85-2714-B
klode	39-1189-B,64-1326-B
kloe	50-2698-B
kloft	14-1146-B,15-1942-B,38-392-B,41-1676-B,43-2635-B,76-1090-B,80-2345-B,83-2638-B
klok	21-410-B,49-2559-B,51-1271-B,70-907-B,74-130-B,82-1944-B,82-1977-B,87-507-B,109-2555-B
klokke	8-1015-B,15-2457-B,39-2225-B,108-1073-B
klokkeslett	100-477-B
klokkespill	14-2518-B
klokketarn	8-918-B
klokskap	74-77-B,82-1959-B
klore	84-176-B,84-366-B
klosett	72-1925-B
kloss	9-1283-B,15-2496-B,15-2692-B,55-878-B
klosset	6-2457-B,16-279-B,38-1178-B,104-2309-B
kloster	15-2542-B,59-2050-B
klover	16-140-B,16-202-B,86-272-B
klovn	16-167-B
kloyve	25-2520-B,34-730-B,81-237-B,91-1687-B
klubb	6-140-B,16-179-B
klubbe	16-190-B,56-2136-B
klukke	15-428-B,16-215-B,41-1955-B
klump	15-2507-B,15-2805-B,16-254-B,16-665-B,25-3089-B,39-1897-B,45-1978-B,45-2126-B,56-95-B,57-1297-B,62-1953-B
klut	16-74-B,75-1991-B
klynge	16-266-B,16-320-B,45-1272-B
klynke	74-902-B,109-645-B,109-747-B
klype	15-2327-B,61-2835-B,68-2392-B,103-1440-B
klyve	15-1310-B,84-285-B
kna	52-364-B
knagg	67-517-B
knake	19-2233-B,20-39-B
knall	70-1466-B,78-3059-B
knalle	70-1476-B
knapp	12-272-B,70-1127-B,83-1473-B,83-1519-B,83-1541-B,86-2584-B,88-1699-B
knappenal	68-2297-B
knapphet	83-1499-B,83-1614-B,86-2719-B
knapt	83-1569-B
knase	20-1566-B
knaske	61-2226-B
kne	52-374-B
knebel	37-2402-B
kneble	37-2413-B
knegge	61-1652-B,109-772-B
kneipe	82-2468-B
kneise	101-858-B
knekk	19-2245-B,89-1306-B
knekke	19-2257-B
knekt	52-341-B
knele	52-400-B
knep	5-2157-B,38-2787-B,52-280-B,69-2411-B,86-1680-B,102-1087-B
knepp	89-1317-B
kneskal	52-383-B
knipe	44-1380-B,50-3064-B,60-2845-B,61-2845-B,68-1514-B,68-2404-B,103-1452-B
knipetang	68-2361-B
knipling	52-943-B
knippe	11-2026-B,16-335-B,32-1587-B,86-1005-B,102-2674-B
knirke	20-51-B,40-1466-B
knise	89-1565-B,89-1618-B,100-1351-B
knitre	19-2365-B,66-2425-B,82-1380-B
kniv	52-412-B
knoke	52-709-B
knokkel	9-2608-B
knoll	17-3314-B,62-727-B,66-2048-B
knop	52-566-B
knopp	11-1334-B
knott	10-524-B,52-482-B,70-1140-B,94-2827-B
knudret	52-493-B,82-367-B
knuge	64-1113-B
knurre	41-233-B,41-759-B,41-1002-B,89-1392-B
knuse	20-1612-B,21-1530-B,40-2846-B,57-1232-B,74-1040-B,86-821-B,89-641-B
knuslet	57-2404-B,93-2103-B
knute	52-576-B,62-265-B
knutepunkt	51-1529-B,62-276-B
knytte	6-841-B,52-587-B,100-103-B
ko	54-1585-B,75-908-B,97-1342-B
koagulere	16-438-B
kobber	18-3135-B
kobenhavn	1-86-B
kode	16-816-B
koffert	95-2547-B,102-2611-B
kokain	16-1145-B
koke	9-2326-B,84-2832-B,93-1516-B
kokeapparat	18-2878-B
kokekunst	18-2911-B
kokettere	34-2406-B
kokk	18-2843-B
kokospalme	16-769-B
koks	16-1157-B
kolbe	34-1674-B
koldbrann	38-334-B
kolikk	16-1262-B
kolje	41-2492-B
koll	52-555-B
kolle	7-1878-B,56-583-B,93-1608-B
kollega	6-81-B,11-893-B,33-379-B
kolon	16-1495-B
koloni	16-1522-B,85-2292-B
kolonisere	85-2155-B
kolonne	16-1639-B
kolossal	45-1370-B
koma	16-1682-B
kombinasjon	16-1763-B
komfort	16-1945-B
komfyr	18-2897-B,76-0-B,94-435-B
komiker	16-1873-B,16-2007-B
komma	16-2058-B,70-219-B
kommandere	16-2130-B
kommando	16-2149-B,16-2196-B,66-1218-B
kommandobru	10-2759-B
komme	16-1862-B
komme an pa	23-51-B
komme igjen	77-994-B,80-354-B
komme inn	29-145-B
komme ned	23-996-B
komme seg	18-2436-B,77-758-B,77-973-B
kommentar	16-2299-B
kommersiell	16-2349-B
kommisjon	9-1970-B,16-2414-B
kommode	11-2277-B
kommunal	16-2773-B,55-377-B,60-1902-B
kommune	16-2791-B,66-157-B
kommunikasjon	16-2851-B
kommunisere	16-2807-B
kommunist	16-2918-B
kompakt	16-2991-B
kompani	17-37-B
kompaniskap	66-1149-B
kompass	17-210-B
kompensere	17-378-B
kompis	11-1383-B,57-1761-B,65-1755-B
komplett	17-578-B,67-1634-B
komplettere	78-2899-B
kompliment	17-736-B
komplott	69-2325-B
komponere	17-850-B
kompost	17-921-B
kompromiss	17-1084-B
kompromittere	17-1106-B
kondisjon	34-911-B,36-35-B
konditori	17-2419-B
kondom	81-2485-B
konduktor	41-1169-B
kone	109-1696-B
konfekt	17-2400-B,17-2443-B
konferanse	97-1759-B
konferere	17-2485-B
konfirmant	17-2772-B
konfirmasjon	17-2819-B
konfirmere	17-2735-B
konfiskere	85-25-B
konge	52-74-B
kongedomme	81-2368-B
kongelig	46-2676-B,77-2546-B,81-2353-B
kongerike	52-85-B,76-1779-B
kongle	17-2342-B
kongress	18-2516-B
konisk	17-3192-B,17-3226-B
konjakk	10-1710-B
konjunktiv	95-727-B
konkav	17-1294-B,24-3093-B
konkret	17-2057-B
konkurranse	17-433-B,18-1541-B
konkurransedeltaker	18-1561-B
konkurransedyktig	17-457-B
konkurrent	17-487-B,81-220-B
konkurrere	17-400-B
konsekvens	18-0-B
konsekvent	18-44-B
konsentrasjon	17-1423-B
konsentrere	13-2142-B,17-1399-B
konsept	26-519-B
konsert	17-1796-B,76-2903-B
konservativ	9-1732-B,18-69-B
konservere	12-1546-B,71-3401-B
konservering	71-3226-B
konserveringsmiddel	71-3316-B
konsesjon	36-2049-B
konsis	17-1921-B,98-2551-B
konsistens	9-2225-B
konstabel	18-503-B
konstant	77-3154-B
konstatere	5-2357-B
konstitusjon	18-806-B
konstruere	18-906-B,23-1302-B
konstruksjon	23-1320-B
konsulat	18-926-B
konsulent	18-945-B,19-927-B
kontakt	18-1021-B
kontinent	18-1679-B
konto	1-3112-B
kontor	3-407-B,11-2292-B,63-2348-B,95-37-B
kontrakt	19-1678-B
kontroll	14-1463-B,18-2299-B,49-917-B,96-470-B
kontrollere	14-1478-B,18-2316-B,49-875-B
kontur	73-224-B
konveks	18-2708-B
konvertere	18-2657-B
konvolutt	19-1820-B,29-953-B
kopi	18-3219-B,72-1519-B,78-2969-B,78-2982-B,101-2235-B
kopiere	18-3229-B,27-331-B,72-1530-B,79-97-B
kople	19-1353-B
kople fra	24-2257-B,104-612-B
kopling	16-376-B
kopp	20-2237-B
kopper	18-3149-B,89-494-B,106-787-B
kor	15-12-B,15-218-B
korall	18-3258-B
kordfloyel	18-3358-B
korg	20-362-B
korint	20-2495-B
kork	18-3401-B,94-54-B
korke	18-3411-B
korketrekker	18-3422-B
korn	13-2248-B,18-3445-B,40-678-B
kornaker	18-3583-B
kornett	18-3568-B
korporlig	9-2143-B
korpulent	62-2709-B,70-2054-B
korrekt	73-1639-B
korrektur	73-1390-B
korridor	55-311-B,66-1553-B
korrigere	2-1916-B,19-193-B,77-923-B
korrupt	19-401-B
kors	20-1028-B,21-773-B
korsett	19-472-B
korsfestelse	20-1436-B
korstog	20-1596-B
korsvei	20-1138-B
kort	11-70-B,12-2550-B,86-2596-B
kort sagt	47-750-B
kortstokk	65-1052-B
kortsynt	86-2673-B
kortvarig	37-906-B,86-2607-B,86-2651-B,98-1217-B,101-2686-B
koselig	19-709-B,89-1926-B
kosmetisk	19-531-B
kost	9-1986-B,24-33-B,32-1317-B,35-1528-B,97-922-B
kostbar	19-650-B,21-2273-B,31-632-B,71-1227-B,72-858-B,95-2902-B,106-212-B
koste	11-1073-B,19-569-B
kosteskaft	11-824-B
kostnad	19-580-B,31-568-B
kostyme	19-679-B
kotelett	15-135-B,21-462-B
koye	11-2152-B
krabbe	19-2118-B,19-2848-B,84-191-B
krafse	84-207-B,84-393-B
kraft	28-2389-B,31-3213-B,35-2093-B,36-652-B,58-1872-B,71-105-B,71-565-B,107-142-B,107-637-B
kraftig	42-27-B,42-1547-B,43-1135-B,43-1235-B,56-416-B,71-626-B,92-1833-B,94-385-B,94-2508-B,95-461-B,95-1134-B
krage	16-1313-B,37-208-B
krageben	15-1690-B
krake	20-1241-B
krakk	19-2735-B,93-2695-B
krampe	19-2518-B,90-2475-B,92-2502-B
krangel	75-170-B,110-1756-B
krangle	10-1792-B,75-186-B
kranium	19-2591-B,88-934-B
krans	14-357-B,19-47-B,38-712-B,110-1914-B
krasj	19-2747-B
krasje	19-2759-B
krass	92-2713-B
kratt	11-1085-B,11-1124-B,84-833-B
krav	15-1258-B,22-2694-B,79-687-B,79-744-B
kravle	19-2861-B
kreditt	20-281-B,102-2703-B
kreft	12-1708-B,12-1844-B
krem	20-77-B
kremere	20-419-B
krenge	43-1712-B,54-2237-B
krenke	3-56-B,45-2400-B,48-2182-B,48-2906-B,60-24-B,63-2132-B,64-2956-B,101-396-B,107-384-B
krenkelse	48-2965-B,49-2198-B,59-3124-B,63-2082-B,107-399-B,110-1664-B
krepp	19-2700-B,20-1777-B
kreps	19-2820-B,19-2874-B
kresen	15-78-B,32-1857-B,66-762-B
krets	15-628-B,21-573-B,80-2815-B,81-1944-B,85-1814-B,108-76-B
kretse	15-641-B,109-178-B
kreve	5-1914-B,15-1269-B,22-2706-B,79-619-B,79-761-B,97-1526-B
krevende	30-1188-B
krible	100-783-B
krig	108-25-B
kriger	108-659-B
krigersk	8-1027-B,57-1061-B,108-269-B
kriminalitet	20-606-B
kriminell	20-625-B
kringkasting	75-1794-B
krise	20-705-B
kristelig	15-261-B
kristen	1-44-B,15-281-B
kristendom	1-62-B
kristtorn	44-1605-B,46-932-B
kristus	1-29-B
kriterium	20-741-B
kritiker	20-761-B
kritikk	76-2512-B
kritisk	20-1420-B
kritt	13-2709-B
kro	48-3156-B,74-364-B
krok	18-3542-B,20-874-B,44-2318-B,62-753-B,76-2750-B
kroke	8-1298-B,11-1291-B,45-2003-B
kroket	20-900-B,44-2340-B
krokket	20-1012-B
krokodille	20-817-B
krokus	20-838-B
kroll	20-2470-B
krolle	20-1550-B,20-2482-B,82-873-B,110-2254-B
krone	19-60-B,20-1377-B
kronike	15-357-B
kroning	19-73-B
kronisk	15-326-B
kronologisk	15-376-B
kropling	20-687-B
kropp	9-2241-B,102-2625-B
kroppsbygning	68-1335-B
kroppslig	19-92-B,68-1250-B
krotter	13-1278-B
krovert	74-475-B
krukke	20-804-B,30-1077-B,50-3206-B,51-1298-B,69-108-B,71-31-B
krum	44-2354-B
krumme	20-2851-B,45-1990-B
krumtapp	19-2607-B
krus	60-1636-B,93-1301-B
kruse	20-662-B,24-766-B,82-296-B
krusedull	35-217-B,84-791-B
krusning	80-3012-B
krutt	41-1897-B,71-461-B
kry	73-2959-B,96-2869-B,98-647-B
krybbe	20-559-B,56-2657-B
krydder	84-1662-B,91-821-B
kryddernellik	16-120-B
krydre	84-1602-B,91-835-B
krydret	84-1645-B
krykke	20-1688-B
krympe	87-700-B
krypdyr	79-205-B
krype	20-674-B,41-669-B,87-714-B,100-1474-B,102-2353-B
krypskytter	70-51-B
krypt	20-1748-B
krysning	20-1039-B,45-2676-B
kryss	20-1054-B,50-167-B,51-1549-B,86-636-B
krysse	20-1066-B,102-191-B
krystall	20-1760-B
kryste	92-682-B
ku	19-1974-B
