plua	13-2298-B,18-541-B
pludaurigi	43-2576-B
plue	23-2404-B,47-2099-B,62-3140-B
pluen	47-2066-B
plugebla	19-698-B
plugi	71-1726-B
plugilo	71-1739-B
pluki	70-2190-B,71-1768-B
plumba	57-2126-B
plumbo	57-2138-B
plumo	44-2127-B,69-2234-B,71-1832-B
pluraj	81-2286-B
plurfoje	77-785-B
plurnacia	63-2124-B
plurtaskplenumado	63-2202-B
plurtavola ligno	71-1929-B
plus	71-1900-B
pluskvamperfekto	71-1872-B
pluso	88-3154-B
pluto	7-1412-B
plutonio	71-1910-B
pluto¹	7-1424-B
pluvalidigi	43-2595-B
pluvbano	82-2039-B
pluvegi	72-1031-B
pluvero	75-743-B
pluveti	40-93-B,62-1144-B
pluveto	40-109-B
pluvi	75-682-B
pluvmantelo	75-722-B
pluvo	75-693-B
pluvombrelo	93-2285-B
pneumata fusilo	16-831-B
pneumatika matraco	16-655-B
pneumo	93-2149-B
pneumonio	71-1954-B
po	9-1442-B,20-1672-B,40-1536-B,69-2683-B
pobe	9-1526-B
pobo	71-2723-B,86-2286-B
podagro	49-655-B
podetalisto	78-142-B
podicipo	49-2250-B
podio	71-964-B,71-1988-B,85-3059-B
poemo	71-2001-B,80-342-S
poento	71-2063-B
poeto	71-2012-B
poezia	71-2023-B
poezio	71-2037-B
pogrande	97-1196-B
pojno	98-1186-B
pokalo	48-2972-B
pokero	71-2165-B
pola	7-1460-B
polekso	91-984-B
polemiko	33-740-B
polenado	71-2519-B
poleni	71-2502-B
policejo	71-2240-B
policisto	71-2264-B
polico	71-2226-B
policpatrolo	85-2504-B
poligonato	8-802-B
polinezia	7-1492-B
polineziano	7-1513-B
polinezio	7-1472-B
polipo	71-2557-B
poliso	71-2305-B
politika	71-2430-B
politikisto	71-2449-B
politiko	71-2319-B,71-2472-B
polivinilklorido	7-403-B
polko	71-2490-B
polmo	68-1634-B
polonio	71-2540-B
polpo	66-2052-B
polujo	7-1446-B
poluri	71-2347-B
polusa	71-2178-B
poluso	71-2202-B
polva	40-1157-B
polvo	40-1106-B
polvobroso	26-568-B
polvosucilo	94-2806-B
pomerio	7-1536-B
pomerujo	7-1554-B
pomkaco	18-3115-B
pomkompoto	18-3136-B
pomo	18-3104-B
pompa	77-3149-B
pompo	71-2590-B
pomtorto	18-3159-B
pomujo	18-3179-B
ponardo	35-1143-B
poneo	71-2636-B
ponto	25-2640-B
poplo	9-2957-S,71-2797-B
popolo	46-848-B,64-1262-B,69-2609-B
populacio	71-2877-B
populara	71-2838-B
por	14-2982-S,46-1410-B,71-1362-S,91-2145-B
por akompani	61-930-S
por ke	84-863-B
por orkestro	67-1525-S,67-1580-S,80-1545-S
poranonca gazeto	14-2853-B
porcio	81-3231-B
pordaperturo	39-1514-B
pordego	48-121-B,48-134-B,72-33-B
pordistino	39-1535-B
pordisto	72-68-B
pordo	21-1858-S,39-1503-B
porka	70-2543-B
porkaĵo	71-2945-B
porkejo	87-3081-B
porkido	70-2609-B
porkino	85-33-B
porko	52-809-B,70-2553-B,89-885-B
pormanĝilara lavmaŝino	38-2324-B
pornografaĵo	71-2984-B
pornografia	71-2959-B
pornografio	71-3010-B
portebla	72-0-B
porti	22-2951-B,27-2933-B,96-2149-B
portiko	71-2898-B,72-149-B
portilo	58-2532-B,87-1376-B
portisto	72-84-B
porti²	96-2160-B
porti¹	22-2962-B,27-2945-B
portreto	72-165-B
portugala	7-1594-B
portugala lingvo	7-1615-B
portugalo	7-1643-B
portugalujo	7-1573-B
posedanto	52-971-B
posedaĵo	72-389-B,73-2672-B
posedaĵoj	72-428-B
posedi	68-789-B,72-357-B
posedo	72-410-B
posejdono	7-1664-B
positiva	15-402-B
post	15-989-B,23-1122-B
post iom	49-947-S
post kiam	15-1000-B
post nelonge	84-2368-B
post tio	23-2824-B,65-365-B,90-2484-B,90-2654-B
posta	52-116-S,52-132-B,52-206-S,52-226-B
posta meditado	31-911-B
postaĵo	21-1966-B,25-860-B,79-1321-B
postbrilo	15-1199-B
postbruligilo	15-1173-B
poste	15-1405-B,46-922-S,65-379-B,88-365-B
postefiko	15-1092-B
posten	21-2265-B
posteno	56-637-B,66-2553-B,72-619-B
posteularo	66-2742-B
posteulo	66-2763-B,88-898-B
posteuloj	56-26-B,66-2782-B,72-739-B,73-1687-B
postgusto	15-1359-B
postgvardio	36-1312-B,75-2345-B,75-2446-B
postiri	46-894-B
postkuri	29-97-B
postlasaĵo	42-1807-B
postmanĝaĵo	37-1660-B
postmanĝo	37-1682-B
postmeti	13-2093-B,15-476-B
postmorta mondo	51-2333-B
postmorta vivo	15-1261-B
postoperacia kuracado	15-1115-B,46-940-B
postraza ŝmiraĵo	15-1329-B
postregiono	52-355-B
postresta pozicio	19-2360-B
postrestanta	21-2146-S,78-200-S
postrestanteco	21-2192-S
postrestanto	57-533-B,87-855-B
postresti	76-3392-B
postsekvoj	15-1286-B
postsigno	92-856-B
postsoni	77-2913-B
postsono	40-2384-B,77-2830-B
posttagmezo	15-1307-B
postuli	36-2838-B,42-2960-B,72-814-B,77-2118-B
postvango	26-2594-B
postveninta	88-342-B
postveninto	15-1380-B
postveturilo	92-1283-B
postzorgo	15-1016-B
postĝojo	15-1219-B
potaĵo	72-962-B
potenca	72-1168-B
potenco	72-1143-B
potentilo	29-2678-B
potisto	72-913-B
potkovrilo	34-268-B,58-926-B
poto	56-1308-B,72-846-B
povo	10-148-B,72-1157-B
povoscii	57-56-B
povra	71-2776-B
pozi	72-229-B
pozicidetermino	76-260-B
pozicio	19-2360-S,72-265-B,83-1106-B
pozistino	62-1354-B
pozisto	62-1370-B
pozitiva	72-299-B
pozitivo	72-317-B
pozo	72-239-B
poŝo	71-1975-B
poŝtaĵoj	59-2322-B
poŝtkarto	72-705-B
poŝtmarko	86-404-B
poŝto	59-2338-B,72-632-B
poŝtoficejo	72-644-B
poŝtrancilo	69-2256-B
pra	46-1610-B,49-2129-B
praavino	49-2081-B
praavo	49-2056-B
pragenepo	49-2146-B
prago	7-1683-B
prahistorio	72-2117-B
praktika	72-1251-B
praktikado	72-1340-B
praktikanto	72-1454-B
praktiki	43-952-B,72-1360-B
praktiko	72-1378-B
praloĝanta	54-1521-B,64-1505-B
praloĝanto	64-1524-B
pramo	44-2789-B
pranepino	49-2199-B
pranepo	49-2228-B
pranevino	49-1134-B
pranevo	49-1113-B
praonklino	49-2034-B
praonklo	49-2108-B
prapatro	46-1677-B
prapranepo	49-2172-B
pratipo	73-3453-B
prava	33-2322-B,78-1687-B,93-338-B
prazeodimo	72-1535-B
precipa	59-2387-B,72-1929-B,73-377-B
precipe	29-1508-B,42-1597-B,59-2431-B
preciza	12-1519-B,42-2974-B,72-1745-B
precize	42-3148-B,82-52-B
precizeco	12-1446-B,42-3095-B,42-3179-B,72-1801-B
precizigi	36-1559-B,37-2232-B
precizigo	36-1687-B
predikejo	74-1110-B
prediki	72-1602-B
predikisto	72-1617-B
prediko	81-1739-B
predikofico	23-1866-B
predo	73-78-B
prefere	72-2065-B,75-1468-B
preferi	29-2058-B,44-1860-B,72-2027-B
prefikso	72-2084-B
prelegi	57-2728-B
prelego	57-2744-B
preludo	68-698-B,72-2291-B
prema	26-1854-B,67-331-B
premado	72-3179-B
prembutono	74-2044-B
premfiksi	72-3074-B
premi	67-1015-B,72-3090-B,85-2709-B
premiero²	72-2379-B
premiero¹	72-2307-B
premio	72-2347-B,73-831-B
premita	67-1029-B
premiumo	72-2362-B
premo	72-3196-B
premsigno	53-3153-B,73-489-B
preni	48-1783-B,89-1995-B
preni juĝe	81-84-B
prenilo	91-2558-B
preno	20-2204-S,49-1568-B,81-138-S
prepara	72-2271-B,72-2465-B,73-619-B
preparado	72-2400-B
preparaĵo	72-2422-B
prepari	72-2485-B
preparo	72-2445-B
prepozicio	72-2532-B
prerio	72-1479-B
presi	73-505-B
presilo	72-3102-B
presisto	73-588-B
preskau	17-157-B,64-2123-B
preskautuŝe	83-1694-S
preskautuŝe super	83-1718-S
preskribo	76-2509-B
preslitero	93-1930-B
preso	73-517-B
presprovaĵo	73-2445-B
presprovo	73-2464-B
prestiĝa	72-3230-B
prestiĝo	48-2323-B,72-3211-B
preta	45-1248-B,75-2057-B,91-830-B
preteco	75-2039-B
