Aruba	Arubo
Aruban	aruba
Aruban	arubano
Aryan	arja
Aryan	arjo
Ascension	Ĉieliro
Asia	Azio
Asian	azia
Asian	aziano
Asiatic	azia
Assisi	Asizo
Assyria	Asirujo
Assyrian	asira
Assyrian	asiro
Asturias	Asturio
Asturias	Asturujo
Atalanta	Atalanto
Athena	Ateno¹
Athene	Ateno¹
Athenian	atena
Athenian	atenano
Athens	Ateno²
Atilla	Atilo
Atlantean	atlanta
Atlantean	atlantida
Atlantean	atlantidano
Atlantean	atlanto
Atlantic	Atlantiko¹
Atlantic	atlantika
Atlantis	Atlantido
Atlantis	Atlantio
Attic	atika
Attica	Atiko
Augeas	Aŭgio
August	aŭgusto
Aurora	Aŭroro¹
Australia	Aŭstralio
Australian	aŭstralia
Australian	aŭstraliano
Austria	Aŭstrujo
Austrian	aŭstra
Austrian	aŭstro
Azerbaijan	Azerio
Azerbaijan	Azerujo
Azerbaijan	azera
Azerbaijani	azero
Azoic	Azoiko
Azores	Acoroj
Azores	Azoroj
Aztec	asteka
Baal	Baalo
Babel	Babelo
Babel	Babilono
Babylon	Babilono
Babylonia	Babilonio
Babylonian	babilona
Bacchus	Bakĥo
Baghdad	Bagdado
Bahamian	bahama
Bahamian	bahamano
Bahraini	baĥrajna
Bahraini	baĥrajnano
Bahrein	Baĥrajno
Baku	Bakuo
Bali	Balio
Balinese	balia
Balinese	baliano
Balkans	Balkanoj
Baltic	Balto
Baltic	balta
Bangkok	Bankoko
Bangladesh	bangladeŝa
Bangladeshi	bangladeŝanino
Bangladeshi	bangladeŝano
Bantu	bantua
Bantu	bantuo
Barbadian	barbadosa
Barbadian	barbadosano
Barbary	Berberio
Barbery	Berberujo
Barcelona	Barcelono
Barnabas	Barnabaso
Barnabas	Barnabo
Basel	Bazelo
Basle	Bazelo
Basque	vaska
Basque	vaska lingvo
Basque	vasko
Batavia	Batavio
Batavian	batava
Batavian	batavo
Bavaria	Bavarujo
Bavarian	bavara
Bavarian	bavaro
Bechuanaland	Bocvano
Belgian	belga
Belgian	belgino
Belgian	belgo
Belgium	Belgujo
Belgrade	Beogrado
Belize	Belizo
Belizian	beliza
Belizian	belizanino
Belizian	belizano
Bellona	Belono
Ben	Benedikto
Benedict	Benedikto
Benelux	Benelukso
Bengal	Bengalio
Bengal	Bengalujo
Bengal	bengala
Beninese	benina
Beninese	beninano
Benjamin	Benjameno
Beotia	Beotio
Beotia	Beotujo
Berber	berbero
Berlin	Berlino¹
Berlin	berlina
Berliner	berlinanino
Berliner	berlinano
Berne	Berno
Bernese	berna
Bernese	bernano
Bessarabia	Besarabio
Bessarabia	Besarabujo
Beyrouth	Bajruto
Bhutanese	butana
Bhutanese	butanano
Bible	Biblio
Biscay	Biskajio
Biscay	Biskajujo
Bissau	Bisaŭo
Bloemfontein	Florfontano
Bluebeard	Blubarbulo
Boer	buro
Bohemia	Bohemio
Bohemia	Bohemujo
Bohemian	bohema
Bohemian	bohemo
Bois-le-Duc	Dukbosko
Bolivia	Bolivio
Bolivian	bolivia
Bolivian	boliviano
Bolshevik	bolŝevisto
Bombay	Bombejo
Borneo	Borneo
Bosnia	Bosnio
Bosnia	Bosnujo
Bosnia-Hercegovina	Bosnio-Hercegovino
Bosnian	bosna
Bosnian	bosno
Bosporus	Bosporo
Botswana	Bocvano
Botswanan	botsvana
Botswanan	botsvanano
Brabant	Brabanto
Brabantine	brabanta
Brabantine	brabantano
Bramaputra	Bramaputro
Brazil	Brazilo¹
Brazilian	brazila
Brazilian	brazilano
Breton	bretono
Britain	Britujo
British	brita
Briton	brito
Brittany	Bretonujo
Bruges	Bruĝo
Brunei	Brunajo
Brunei	Brunejo
Bruneian	bruneja
Bruneian	brunejano
Brunhild	Brunhildo
Brussels	Bruselo
Brussels	brusela
Brussels-sprouts	brusela brasiko
Bucharest	Bukureŝto
Budapest	Budapeŝto
Buddha	Budao
Buddhism	budaismo
Buddhist	budaisto
Bug	Bugo
Bulgar	bulgaro
Bulgaria	Bulgarujo
Bulgarian	bulgara
Bulgarian	bulgaro
Burgundian	burgunda
Burgundian	burgundo
Burgundy	Burgundio
Burgundy	Burgundujo
Burma	Birmo
Burmese	birma
Burmese	birmano
Burundi	Burundio
Burundian	burundia
Burundian	burundiano
Bushman	boŝmano
Bushman	buŝmeno
Byelorussia	Belorusujo
