Scylla	Skilo
Selene	Seleno
Semite	semido
Semitic	semida
Senegal	Senegalio
Senegal	Senegalo
Senegalese	senegalia
Senegalese	senegaliano
Seoul	Solo
September	septembro
Serb	serbo
Serbia	Serbujo
Seth	Seto
Seychelles	Sejĉeloj
Shanghai	Ŝanhajo
Shrove-Tuesday	Antaŭfasta Mardo
Siam	Siamo
Siamese	siama
Siberia	Siberio
Siberian	siberia
Siberian	siberiano
Sicilian	sicilia
Sicilian	siciliano
Sicily	Sicilio
Sikh	sikho
Sikh	siĥo
Silesia	Silezio
Silurian	Silurio
Singapore	Singapuro
Singaporean	singapura
Singaporean	singapurano
Singhalese	sinhalo
Sinhalese	sinhalo
Sioux	dakoto
Slav	slavo
Slavic	slava
Slavonia	Slavonio
Slavonia	Slavonujo
Slavonian	slavona
Slavonian	slavono
Slovak	slovaka
Slovak	slovako
Slovakia	Slovakujo
Slovene	sloveno
Slovenia	Slovenujo
Slovenian	slovena
Slovenian	sloveno
Sofia	Sofio
Solomon's-seal	poligonato
Somali	somala
Somali	somalo
Somalia	Somalujo
Somalian	somala
Somalian	somalo
Sotho	sota lingvo
Sotho	soto
Soviet	soveta
Spain	Hispanujo
Spaniard	hispano
Spanish	hispana
Spanish	hispana lingvo
Sparta	Sparto
Spartan	sparta
Spartan	spartano
Spitsbergen	Svalbardo
St.	S-ta
Stockholm	Stokholmo
Strasbourg	Strasburgo
Styria	Stirio
Styx	Stikso
Sudan	Sudano
Sudanese	sudana
Sudanese	sudanano
Sumatra	Sumatro
Sunday	dimanĉo
Surinam	Surinamo
Surinamer	surinamano
Surinamese	surinama
Surinamese	surinama lingvo
Surinamese	surinamano
Swabia	Ŝvabio
Swabia	Ŝvabujo
Swahili	svahila
Swahili	svahilo
Swazi	svazia
Swede	svedo
Sweden	Svedujo
Swedish	sveda
Swedish	sveda lingvo
Swiss	svisa
Swiss	sviso
Switzerland	Svisujo
Syracuse	Sirakuso¹
Syria	Sirio
Syrian	siria
Syrian	siriano
T-shirt	T-ĉemizo
T-square	ortilo
TV	televido
Tadzhik	taĝiko
Tadzhikistan	Taĝikio
Tadzhikistan	Taĝikujo
Tagus	Tago
Tahiti	Tahitio
Taiwan	Tajvano
Taiwanese	tajvana
Taiwanese	tajvanano
Talmud	Talmudo
Tangier	Tanĝero
Tantalus	Tantalo
Tanzania	Tanzanio
Tanzanian	tanzania
Tanzanian	tanzaniano
Tartar	tataro
Tashkend	Taŝkento
Tashkent	Taŝkento
Tasmania	Tasmanio
Tasmanian	tasmania
Tasmanian	tasmaniano
Tatar	tatara
Tertiary	Tertiaro
Teuton	ĝermano
Teutonic	ĝermana
Texan	teksasano
Texas	Teksaso
Thai	taja
Thai	taja lingvo
Thai	tajo
Thailand	Siamo
Thailand	Tajlando
Thames	Tamizo
Thor	Toro
Thrace	Tracio
Thracia	Tracio
Thursday	ĵaŭdo
Tiber	Tibero
Tiberius	Tiberio
Tibet	Tibeto
Tibetan	tibeta
Tibetan	tibetano
Tigris	Tigriso
Timor	Timoro
Tirana	Tirano
Titan	Titano
Togo	Togo
Togoland	Togo
Tokyo	Tokjo
Transkei	Transkejo
Transvaal	Transvalo
Transvaalian	transvala
Transylvania	Transilvanio
Treves	Triero
Triassic	Triaso
Trieste	Triesto
Tripoli	Tripolo
Triton	Tritono
Trojan	trojano
Tsonga	conga lingvo
Tsonga	congo
Tswana	tsvana lingvo
Tuesday	mardo
Tunis	Tuniso
Tunis	Tunizo
Tunisia	Tunizio
Tunisian	tunizia
Tunisian	tuniziano
Turin	Torino
Turk	turko
Turkey	Turkujo
Turkish	turka
Turkmenistan	Turkmenio
Turkmenistan	Turkmenujo
Turkoman	turkmeno
Twelfth-night	Epifanio
UFO	nedeterminita fluganta objekto
USA	Usono
USSR	Sovetio
USSR	Sovetunio
Uganda	Ugando
Ugandan	uganda
Ugandan	ugandano
Ukraine	Ukrainujo
Ukrainian	ukraina
Ukrainian	ukraino
Ulysses	Uliso
Ural	Uralo
Uranus	Urano¹
Uruguay	Urugvajo
Uruguayan	urugvaja
Uruguayan	urugvajano
Utopia	Utopio
Utrecht	Utreĥto
Uzbek	uzbeka
Uzbek	uzbekino
Uzbek	uzbeko
Uzbekistan	Uzbekio
Uzbekistan	Uzbekujo
VAT	aldonvalora imposto
VAT	valoraldona imposto
Valencia	Valencio¹
