frostotremi	82-1080-B
frostvundo	47-1020-B
frotado	47-521-B
froteti	87-1822-B
froti	79-672-B
froto	47-538-B
frotpuriga	10-2459-B
frotpurigi	79-682-B
frotpurigilo	10-2479-B
frua	40-1697-B
frue	40-1708-B
fruktarbejo	67-1472-B
fruktarbo	47-1187-B
frukto	47-1174-B
fruktodona	44-2817-B,47-1208-B
fruktoporta	47-1228-B
frunto	46-1742-B
frustri	47-1249-B
ftizo	32-3386-B,93-770-B
ftizulo	32-3404-B
fulgo	84-2386-B
fulgoro	45-1558-B
fulmi	58-1370-B
fulmo	58-1469-B
fumaĵi	84-208-B
fumaĵita	84-244-B
fumi	84-222-B
fumkupeo	84-261-B
fumo	84-233-B
fumtubo	29-1737-B,84-278-B
fundamenta	47-1632-B
fundamento	22-2044-B,41-716-B,46-2675-B
fundo	25-794-B,46-2697-B,49-2958-B
funebra	63-1344-B
funebri	63-1315-B
funebro	63-1376-B
funelo	47-1735-B
fungo	47-1690-B,63-2646-B
funkcianta	13-1048-B
funkcii	47-1538-B,67-562-B,79-1373-B,98-0-B
funkciigi	33-653-B,67-578-B,98-13-B
funkcio	47-1555-B
funkciulo	47-1587-B
funto	72-995-B
furioza	47-1825-B,97-1467-B
furiozeco	17-2213-B
furoro	34-1073-B,52-594-B
furzi	44-1222-B
furzo	44-1233-B
fusilo	16-831-S,50-1045-B,78-1622-B
futbalo	46-1267-B,46-1303-S,84-1066-B
futo	46-1246-B
futura helpverbo	48-2876-B,81-2899-B,97-1509-B
fuĝi	45-2761-B
fuĝo	46-57-B,79-1385-B
fuŝi	25-701-B,26-1710-B,85-1685-B
fuŝita	85-1730-B
fuŝpalpi	47-1427-B
fuŝrapide	26-1687-S
gabardino	47-2279-B
gabono	4-1408-B
gadolinio	47-2313-B
gaela	4-1421-B
gaja	29-814-B,48-407-B,61-1794-B
gajhumora	29-828-B,48-416-B,61-1805-B
gajiga	17-2323-B
gajlo	47-2505-B
gajni	40-1735-B,47-2405-B,97-1714-B
gajno	23-1905-B,47-2416-B,73-1611-B
galaksia	47-2487-B
galanto	84-692-B,84-709-S
galegio	4-1434-B
galegujo	4-1450-B
galeopso	51-2094-B
galerio	47-2526-B
galica	4-1500-B
galicio	4-1467-B
galicujo	4-1483-B
galileo	4-1516-B
galilio	4-1532-B
galilujo	4-1548-B
galino	46-2860-B
galinolo	62-2772-B
galio	23-436-B
galiumo	47-2542-B
galjono	47-2558-B,87-2152-B
galo	23-3112-B,47-2516-B
galopi	47-2574-B
galopo	47-2588-B
galoŝo	47-2602-B,68-527-B
gamao	47-2673-B
gamaŝo	47-2456-B
gambilando	4-1579-B
gambio	4-1597-B
gambo	57-2860-B
gamo	47-2704-B,56-1933-B,80-878-B
gana	4-1913-B
ganano	4-1927-B
gangstero	47-2753-B,52-1601-B
ganimedo	4-1627-B
gano	4-1902-B
ganto	48-2727-B,62-1091-B
ganĝeso	4-1611-B
gapi	47-2866-B,48-383-B
gapulo	58-2811-B
garantiaĵo	71-1630-B,80-3074-B
garantii	50-371-B,96-829-B
garantio	50-390-B,96-846-B
garantiulo	52-2469-B
garaĝi	39-1092-B
garaĝo	47-2876-B
garbo	82-319-B
gardanto	50-427-B
gardenio	47-2991-B
gardi	50-442-B,56-1727-B,72-2951-B
gardisto	50-454-B
gardo	50-469-B
gardostaranto	50-481-B,81-1274-B
gargari	47-3032-B,78-1975-B
garni	48-0-B,92-3228-B
garnizono	48-30-B
garolo	56-356-B
gaskono	4-1645-B
gasmovada scienco	14-3220-B
gaso	48-49-B
gaspedalo	11-1832-B
gastama	52-2356-B
gastameco	52-2394-B
gastamo	52-2416-B
gastejestrino	52-2519-B,57-883-B
gastejestro	52-2436-B,54-3368-B,57-906-B
gastejo	52-2504-B,54-3297-B,89-3119-B
gastigantino	52-2541-B
gastiganto	52-2453-B
gastigi	11-3564-B,42-286-B
gastloĝi	86-1345-B,87-339-B
gasto	50-657-B
gaula	4-1565-B,4-1699-B
gaulio	4-1660-B
gaulo	4-1687-B
gaulujo	4-1673-B
gazelo	48-464-B
gazetaro	72-3059-B
gazetistino	56-987-B
gazetisto	56-1010-B
gazeto	14-2853-S,48-479-B,65-310-B
gazo	48-372-B,63-193-S,63-227-S
gazonero	84-1284-B,93-1122-B
gazono	57-1773-B
geavo	49-1266-B
geavoj	49-1284-B
geedzeco	60-1435-B,60-2619-B
geedziĝa ceremonio	96-2352-B
geedziĝa festo	96-2380-B,96-2484-B
geedziĝi	60-1591-B
geedziĝinta	60-1512-B
geedziĝo	60-1453-B
geedzo	85-2075-B
geedzoj	33-3223-B
gefianciĝo	23-2632-B,41-3019-B
gefrato	82-2474-B
geheno	51-1770-B
gejŝo	48-634-B
geko	48-612-B
gelderlando	4-2398-B,4-2463-B
geldra	4-2519-B
geldrio	4-2422-B,4-2484-B
geldrujo	4-2442-B,4-2501-B
gemo	48-676-B,56-531-B
genciano	48-1106-B
genealogia	48-714-B
genealogia tabelo	69-2003-B
genealogio	48-760-B,69-2030-B
genealogo	48-738-B
genepo	49-1156-B
genera	48-1050-B
generacio	48-976-B
generalo	48-781-B
generi	23-779-B,48-943-B
genezo	4-1714-B
genia	54-2755-B
genio	48-1065-B
genisto	49-2368-B
geniulo	48-1078-B
geno	48-704-B
gento	4-1943-B,30-64-B,75-149-B,92-2866-B
genui	56-2549-B
genuiĝi	56-2561-B
genuo	56-2538-B
geografia	48-1432-B,48-1453-B
geografiisto	48-1388-B
geografio	48-1476-B
geografo	48-1412-B
geologia	48-1496-B
geologio	48-1534-B
geologo	48-1516-B
geometrio	48-1551-B
georgino	35-1171-B
gepatra	68-2707-B
gepatro	68-2692-B
gepatroj	46-2611-S,68-2765-B
geranio	34-1011-B
germana	4-1798-B
germana demokratia respubliko	4-1374-B
germana lingvo	4-1813-B
germanema	73-866-B
germaniumo	48-1615-B
germano	4-1835-B
germanujo	4-1884-B
gesti	48-1653-B,96-1761-B
gesto	48-1667-B
geumo	21-1089-B
gibono	48-2007-B
giceto	91-1205-B,97-1879-B
gideono	4-1977-B
giganto	48-1980-B
gilgameŝo	4-1992-B
gimnastiko	50-1213-B,70-2061-S
gipso	50-1235-B
girlando	47-3065-B,98-991-B
giroskopo	50-1248-B
gisto	98-1833-B
gitaro	50-935-B
glaceo	53-1181-B
glacero	48-2244-B
glacia	53-1280-B
glaciaĵo	53-1118-B,53-1162-B
glacibalaisto	89-314-B
glaciejo	48-2227-B
glaciigi	47-372-B
glaciiĝi	47-388-B
glacimonto	53-1143-B
glacio	53-1132-B
gladi	55-3460-B
gladilo	45-2573-B,55-3471-B
gladiolo	48-2272-B
glano¹	12-3233-B
glaso	48-2358-B
glata	45-2539-B,84-325-B
glatigi	84-338-B
glavingo	80-793-B
glavo	89-1112-B
glazuri	48-2428-B
glazuro	48-2442-B
glimo	61-2262-B
glisi	48-2456-B,71-384-B
glisilo	48-2495-B,79-2308-B
glita	83-2596-B
gliti	48-2468-B,83-2557-B
glitiga	83-2611-B
glitilo	83-1313-B
glitkuri	83-1327-B
glitkurilo	83-1342-B
glitpilko	52-753-B
glitveturilo	83-2235-B,83-2380-B
glitŝuo	83-1359-B
globeto	33-2233-B,60-918-B
globludado	25-1211-B
globludo	25-1230-B
globo	21-2944-B,48-2510-B
globskribilo	21-3211-B
globtrotulo	48-2557-B
glora	44-713-B,48-2640-B
glori	31-810-B,48-2626-B,57-1522-B,72-1494-B
glorkanto	68-1172-B
gloro	44-596-B,48-2655-B,77-482-B
glosaro	48-2691-B
gloso	48-2679-B
gluaĵo	48-2759-B
glueca	86-2611-B
glui	48-2772-B,86-2535-B
gluilo	13-2741-B
gluiĝi	86-2546-B
glumarko	86-2575-B
gluo	48-2782-B
gluteo	26-2579-B
gluti	89-74-B
gnomo	26-451-B,48-2855-B,48-2986-B
gnuo	48-2867-B,97-1493-B
gogo	4-2021-B
golejo	48-2925-B
golfeto	22-2659-B
golfludo	49-149-B
golfo	50-976-B
golgoto	3-284-B,4-2030-B
goliato	4-2065-B
golo	48-2937-B
gonoreo	30-142-B,49-163-B
gorda	4-2081-B
gorilo	49-550-B
gorĝo	91-728-B
gotaburgo	4-2105-B
goto	4-2095-B
gracia	49-859-B
gracieco	49-816-B,49-875-B
gracio	4-2126-B
graco	49-831-B
grado	36-1922-B
grafiko	49-1467-B
graflando	33-3206-B
grafo	33-2896-B,40-1667-B
grajno	49-1029-B,49-1378-B,70-3193-B
graki	28-971-B,34-1763-B
gralo	4-2139-B
gramatiko	49-1066-B
gramo	49-1084-B
gramofono	70-1758-B,76-751-B
gramonto	4-2151-B
granato	71-2570-B
granda	23-3074-B,44-274-S,49-2001-B,57-1154-B,91-1290-S
grandanima	59-2120-B
grandaĝa	41-470-B
grandeco	83-1275-B
grandega	41-3375-B,53-44-B,53-2146-B
grandege	42-18-B,43-3120-B
grandioza	49-1097-B,49-1228-B,59-2235-B,88-2070-B
grando	83-1289-B
grandvalora	33-2576-B,94-3016-B
granita	49-1318-B
granito	49-1334-B
grapolo	30-1671-B
grasa	44-1602-B,44-1779-B,49-1975-B
grasi	49-1949-B
graso	44-1612-B,49-1962-B
gratado	80-1633-B
grati	80-1716-B
gratuli	32-1543-B
gratulo	32-1564-B
gratvundo	80-1730-B
grava	53-2823-B,81-1709-B,96-2745-B
graveco	31-3692-B,96-2679-B
graveda	72-2100-B
gravediĝi	31-3538-B
gravito	49-1877-B
gravuraĵo	41-3126-B
gravuri	41-3110-B
grego	46-202-B,51-2281-B
greka	4-2184-B
greko	4-2196-B
grekujo	4-2169-B
grenado	49-2452-B
grendlo	4-2318-B
grenlanda	4-2228-B
grenlandano	4-2269-B
grenlando	4-2208-B
greno	49-1042-B
greso	49-1580-B
grifelo	87-3115-B
grilo	34-1556-B
grimaci	49-2626-B
grimaco	49-2642-B
grimpi	30-881-B
grincado	49-1672-B
grinci	34-1138-B,48-2792-B,49-1623-B,49-2658-B
grio	60-3040-B
gripo	46-515-B,54-2634-B
griza	49-2468-B
grizo	49-2479-B
grizuo	45-1465-B
groenlanda	4-2248-B
groenlandano	4-2293-B
groso	49-517-B
groteska	49-2912-B
groto	28-880-B,49-2931-B
groŝo	49-2896-B
grumbli	49-3242-B,50-320-B,63-3362-B
grumblulo	49-3163-B,50-336-B
grumo	49-2836-B,85-2875-B
grunda disfalo	57-967-B
grundi	87-1047-B
grundo	49-2971-B,84-1470-B
grundtavolo	57-1933-B
grupo	15-1607-S,49-3151-B
gruzo	49-1846-B,49-2766-B
gubernatoro	49-737-B
guberniestro	49-758-B
gubernio	74-0-B
gudri	89-2704-B
gudro	89-2714-B
gulaŝo	49-610-B,86-2334-B
guldeno	50-824-B,50-949-B
gulo	97-2745-B
gumi	42-1246-B
gumo	42-1257-B,50-1036-B
gurdisto	67-1873-B
gurdita	50-1345-B
gurdo	22-1578-B,53-508-B
gusti	89-2902-B
gustigi	45-2670-B,80-2521-B
gusto	89-2914-B
gustumi	89-2926-B
gustumo	89-2940-B
guteto	40-255-B
guti	39-3001-B
gutmalsekigi	22-2243-B
guto	39-3011-B,40-203-B
guverni	30-1765-B,93-1488-B
guvernistino	49-693-B
guvernisto	93-1502-B
gvajanio	4-2563-B
gvardiano	50-501-B
gvardio	50-517-B
gvatemala	4-2354-B
gvatemalano	4-2375-B
gvatemalo	4-2334-B
gvatsekvi	81-2735-B,89-1854-B
gvida	57-2216-B
gvidanto	50-683-B,57-2163-B
gvidi	32-556-B,38-745-B,50-698-B,51-771-B,57-2102-B
gvidilo	50-710-B,50-786-B
gvidisto	50-724-B
gvidlibro	50-739-B,50-804-B,50-2266-B
gvidmarki	22-2806-B
gvidmarkilo	22-2823-B
gvinea	4-2549-B
gvineo	4-2535-B
ha	15-3530-B,15-3552-B
ha lo	51-1813-B
haci	51-424-B,81-2654-B
hadeso	4-2600-B
hafnio	50-1424-B
haga	4-2613-B
haito	4-2624-B
hajlero	50-1467-B
hajlo	50-1456-B
haketi	29-2086-B,37-3019-B,61-3034-B
haki	29-2098-B,35-660-B,50-1318-B
hakilo	21-1567-B
haladza	47-1491-B
haladzi	47-1465-B
haladzo	47-1478-B
halebardo	50-1749-B
halo	50-1898-B
haloo	50-1922-B
haltejo	85-3045-B,87-354-B
halti	50-1944-B,87-367-B
haltigi	50-1955-B,52-912-B,87-378-B
haltostreko	25-2120-B
haltstreko	25-2138-B
hamako	50-2095-B
hamburgero	50-2007-B
hamburgo	4-2636-B
hanibalo	4-2653-B
hanojo	4-2671-B
hanso	4-2684-B
hanti	51-513-B
hararo	50-1485-B
hararzono	45-688-B
hardi	50-2855-B,90-751-B
haremo	50-3011-B
harfendado	50-1583-B
harfendemulo	50-1532-B,65-712-B,65-1599-B
harhava	50-1707-B
haringo	51-2574-B
harkovrita	50-1721-B,52-480-B
harmonia	51-0-B
harmonii	12-168-B,51-40-B
harmoniko	50-3167-B
harmonio	51-59-B
haro	50-1497-B
haroj	50-1507-B,50-1695-B
harpio¹	51-153-B
harpo	51-142-B
harstariga	40-3059-B,49-2733-B,50-215-B,59-1735-B
hasta	53-556-B
haste	51-398-B,53-570-B
hasto	51-386-B
hauli	39-1936-B
hauto	83-1805-B
hautveziketo	24-1712-B
havaĵo	73-2638-B
havebla	21-962-B
havema	13-119-B
haveno	50-2748-B,71-3052-B
havi	51-525-B,96-450-S
havi permeson	60-2850-B
havigi al si	26-2708-B,48-1737-B,73-1320-B
hazarda	11-2682-B,14-2340-B,28-2309-B,75-1060-B
hazardluda turbo	90-442-B
hazardo	11-2595-B,28-2324-B,51-630-B
haŝiŝo	51-369-B
he	51-2773-B,80-775-B
hebrea	4-2696-B,5-1440-B
hebrea lingvo	4-2710-B
hebreo	4-2731-B,5-1420-B
hebridoj	4-2745-B
hedero	56-147-B
hejma	39-1362-B
hejmeca	52-1366-B
hejmen	52-1252-B
hejmo	52-1264-B
hejmsidema	86-1384-B
hejmsopiro	52-1275-B
hejmveo	52-1299-B
hejmvesto	39-2834-B
hejtado	51-1434-B
hejtaĵo	47-1338-B
hejti	51-1327-B,87-71-B
hejtilo	51-1378-B
hekato	4-2763-B
