ahead	antaŭen
ahoy	hoj
ai	trifingra bradipo
aid	asistanto
aid	asisti
aid	asisto
aid	helpi
aid	helpistino
aid	helpisto
aid	helpo
aide-de-camp	adjutanto
aids	aideso
ail	esti al
aileron	alerono
ailing	malsanema
aim	alŝultriĝi
aim	celo
aim	ekceli
aim	klopodi
aim	peni
aimless	sencela
air	aero
air	ario
air-balloon	aerostato
air-conditioned	klimatizita
air-conditioning	klimatizo
air-cooled	aere malvarmigata
air-defence	aerdefendo
air-filter	aerfiltrilo
air-fleet	aerfloto
air-freight	aerŝarĝo
air-grid	aeruma krado
air-gun	aerpafilo
air-pollution	aermalpurigo
air-pressure	aerpremo
air-resistance	aera rezisto
air-squadron	aereskadro
air-valve	aerklapo
airbed	pneŭmatika matraco
airbrush	farbopistolo
airbus	aerbuso
aircraft	aviadilo
aircraft-carrier	aviadilŝipo
aircrew	aviadila homekipo
airdrome	aerodromo
airfield	aerodromo
airgun	pneŭmata fusilo
airily	facilanime
airily	malserioze
airily	senzorge
airiness	freŝeco
airless	malfreŝaera
airless	senaera
airless	senventa
airless	sufoka
airlift	aerponto
airline	aerlinio
airline-pilot	aerlinia piloto
airlock	aerkluzo
airmail	aerpoŝto
airman	aviadisto
airplane	aviadilo
airport	aerohaveno
airport	flughaveno
airs	imponeco
airscrew	aerhelico
airship	aerveturilo
airship	aerŝipo
airsick	aermalsana
airsickness	aermalsano
airspace	aerspaco
airspeed	aerrapido
airstrike	aeratako
airstrip	alteriĝa vojeto
airthreads	aŭtunaraneaĵo
airtight	hermetika
airwaves	radiondoj
airway	aerlinio
airway	aervojo
airway	spirkanalo
airwoman	pilotino
airworthy	flugtaŭga
airy	aeruma
airy	maldensa
airy-fairy	malserioza
airy-fairy	petola
aisle	flanknavo
aisle	irpasejo
ajar	malfermetita
akin	parenca
alabaster	alabastra
alabaster	alabastro
alacrity	avideco
alacrity	entuziasmo
alarm	alarmi
alarm	alarmilo
alarm	alarmo
alarm	alarmsignalo
alarm	ektimo
alarm	konsterni
alarm	konsterniĝo
alarm	konsterno
alarm	malkvieteco
alarm	maltrankviligi
alarm	timigi
alarm	vekhorloĝo
alarm-bell	tumultsonorilo
alarm-signal	alarmsignalo
alarmbell	alarmsonorilo
alarmclock	vekhorloĝo
alarmed	konsterna
alarming	alarma
alarming	maltrankviliga
alarmist	panikiganto
alas	bedaŭrinde
alas	ho ve
alb	albo
albatross	albatroso
albatross	diomedeo
albino	albino
album	albumo
albumen	albumeno
albuminous	proteinhava
alchemist	alĥemiisto
alchemy	alĥemio
alcohol	alkoholaĵo
alcohol	alkoholo
alcoholic	alkohola
alcoholic	alkoholaĵmaniulo
alcoholic	alkoholentenanta
alcoholic	alkoholisto
alcoholic	alkoholulo
alcoholic	drinkemulo
alcoholic	drinkulo
alcoholism	alkoholismo
alcoholism	drinkemo
alcove	alkovo
aldehyde	aldehido
alder	alna
alder	alno
alder-	alna
alderman	skabeno
alert	vigla
alexandrine	aleksandra verso
alexandrine	aleksandro
alga	algo
algebra	algebro
algebraic	algebra
algorithm	algoritmo
alias	alinome
alias	alinomite
alibi	alibio
alien	alilandano
alien	eksterlanda
alien	eksterlandano
alien	fremda
alien	kontraŭa
alien	naŭza
alike	egale
alike	same
alike	simila
alike	simile
alimony	alimento
alive	viva
alive	vivanta
alkali	alkalo
alkaline	alkala
alkaline	alkaleca
all	la tutan
all	ĉia
all	ĉio
all	ĉiom
all	ĉiuj
all-knowing	ĉioscia
all-powerful	ĉiopova
all-round	ĉiokapabla
allegedly	laŭdire
allegoric	alegoria
allegory	alegorio
allergic	alergia
allergy	alergio
alley	strateto
alliance	alianco
alligator	aligatoro
alliteration	aliteracio
allot	lotumi
allow	allasi
allow	lasi
allow	permesi
alloy	alojo
alloy	kunfandaĵo
allude	aludi
alluring	alloga
alluring	franda
allusion	aludo
alluvial	aluvia
alluvion	aluvio
alluvium	aluvio
almanac	almanako
almighty	ĉiopova
