biskajujo	2-2156-B
biskvito	24-546-B,33-1374-B
bismuto	24-579-B
bitmatrico	24-724-B
bito	24-608-B
bitoko	26-2982-B
bizanca	3-0-B
bizancano	3-18-B
bizanco	3-38-B
bizara	24-876-B,66-2098-B,96-2776-B
bizono	24-595-B,26-921-B,97-2298-S
blagi	56-2041-B
blanka	24-1197-B,97-983-B
blanka poplo	9-2957-B
blankigi	24-1162-B,97-1046-B
blanko	97-996-B
blankulo	4-781-B
blasfemanto	24-1295-B
blasfemi	24-1276-B,35-280-B,35-516-B,89-204-B
blasfemo	24-1318-B
blato	30-2179-B
blekegi	78-2427-B
bleki	23-1465-B,24-1464-B,25-1997-B,64-3059-B,78-2440-B,97-708-B
blinda	24-1623-B
blindeco	24-1658-B
blindigi	35-2465-B
blindumi	35-2481-B
blokadi	24-1801-B
blokado	24-1818-B
bloketo	24-617-B
bloki	24-1751-B,24-1835-B
bloko	24-1763-B,80-2976-S
blonda	24-1850-B,44-227-B
bloveksciti	24-2162-B,44-740-B
blovi	24-2179-B
blovinstrumento	97-1788-B
blua	24-2212-B
blubarbulo	2-2213-B
blufi	25-1614-B
bluo	24-2222-B
bluzo	24-2139-B
bo	1-89-B
boacosledo	76-2654-B,76-2681-B
boao	24-2420-B
boato	24-2560-B
bobeli	26-656-B
bobeni	97-1724-B
bobeno	24-2571-B,30-2468-B,85-1905-B
bocvano	2-1539-B,2-2545-B
bofilino	35-2243-B
bofilo	84-2219-B
bofratino	83-1007-B
bofrato	26-373-B
bogepatroj	68-2782-B
bohema	2-2277-B
bohemio	2-2244-B
bohemo	2-2293-B
bohemujo	2-2260-B
bojegi	22-1287-B,22-2648-B
boji	22-1299-B
boksi	25-1247-B
boksisto	25-1336-B
bokso	25-1372-B
boleti	83-364-B
boli	24-2647-B
boligi	24-2657-B
bolilo	56-1886-B
bolivia	2-2346-B
boliviano	2-2363-B
bolivio	2-2330-B
bolkruco	56-1900-B
bolŝevisto	2-2382-B
bombardado	82-626-B
bombardi	24-2877-B
bombardo	82-646-B
bombejo	2-2404-B
bombi	24-2855-B
bombo	24-2866-B
bombono	24-2894-B
bona	23-116-S,23-2451-S,23-2655-S,49-181-B,65-524-B,66-2893-B
bonaspekta	49-328-B
bone	45-2050-S,66-2903-B,96-2890-B
bone edukita	11-3815-B
boneco	49-443-B
bonega	45-950-B,49-1988-B
bonege	45-962-B
boneta	65-534-B
bonfara vendo	22-2702-B,56-1370-B
bonfarta	96-2900-B
bonfartanta	96-2914-B
bonfarto	96-2982-B
bongusta	65-546-B,89-2973-B
bongustaĵo	36-2392-B
bongustega	36-2467-B
bonhava	96-3187-B
bonhumora	48-393-B,61-1778-B
bonifiko	24-3002-B
bonkaraktera	49-257-B
bonkonduta	89-336-B
bonkora	49-283-B,56-2183-B
bonkvaliteco	95-2023-B
bonmaniera	34-0-B,71-2374-B,96-3100-B
bonmaniereco	76-1351-B
bono	49-191-B
bonodora	46-3118-B,49-352-B,66-370-B
bonstato	96-3002-B
bonvena	96-2828-B
bonvenigi	96-2844-B
bonvenigo	49-2399-B,79-2661-B
bonvenon	96-2862-B
bonvola	56-2196-B
bonvolo	14-3761-B
bonvolu	71-1470-B
bonŝance	46-2481-B
bonŝanco	59-1193-B
bopatrino	63-445-B
bopatro	44-1701-B
borakso	25-365-B
boratingi	25-441-B,25-3033-B,83-870-B,87-1758-B,89-2529-B
bordelo	26-343-B,97-1257-B
borderaĵo	47-725-B
bordero	25-379-B
bordkovraĵo	27-928-S,27-988-S,27-1044-S
bordo	7-2333-S,22-317-B,30-1926-B,82-1483-B
bori	25-456-B,39-2898-B
borilo	25-466-B
borneo	2-2419-B
boro	25-538-B
bosna	2-2500-B
bosnio	2-2433-B
bosnio hercegovino	2-2462-B
bosno	2-2514-B
bosnujo	2-2447-B
bosporo	2-2528-B
botaniko	25-685-B
botelo	25-738-B,27-1535-S,96-1439-S
boto	25-273-B
botsvana	2-2562-B
botsvanano	2-2581-B
bova	25-1087-B,34-468-B
bovaĵo	23-558-B
bovejo	26-2959-B,34-609-B,34-638-B
bovidaĵo	95-103-B
bovido	27-472-B
bovino	34-477-B
bovlo	25-1189-B
bovo	25-1099-B
bovorabanto	28-459-B,28-511-B
bovorabisto	28-485-B,28-538-B
boŝmano	2-3328-B
brabanta	2-2619-B
brabantano	2-2639-B
brabanto	2-2602-B
braceleto	25-1527-B
bradipo	16-24-S,83-2762-B
braka	19-1957-B,19-1983-B
brakapogilo	19-1967-B,19-1994-B
brakhorloĝo	96-1175-B,98-1198-B
brako	94-1994-S
brakseĝo	19-2069-B
bramaputro	2-2661-B
branceto	93-1648-B
branco	25-888-B,25-1744-B,82-2570-S
brancotrancilo	24-0-B,74-328-B
brancrivero	15-599-B
brancvojo	26-2881-B,82-2620-B
brando	25-1923-B
brankardo	87-1605-B
branko	48-2106-B
brasiko	2-2948-S,26-3061-B
braveco	33-3292-B
brazila	2-2700-B
brazilano	2-2718-B
brazilo¹	2-2683-B
braĝo	28-2964-B
breci	25-2008-B
breco	25-2022-B,47-2823-B
bredi	25-2419-B,56-1716-B,75-773-B,75-2312-B
bremsi	25-1679-B
bremso	25-1692-B
bretaro	26-3103-B
breto	82-558-B
bretono	2-2738-B
bretonujo	2-2796-B
bridi	25-2653-B,29-616-B,77-3472-B
brido	25-2666-B,29-628-B
brigado	25-2760-B
brika	25-2548-B
briketo	22-721-B
briko	25-2560-B,70-2433-B
brila	25-2776-B,25-2813-B
brili	82-959-B
brilianto	25-2829-B
brilo	48-2667-B,82-449-B
brita	2-2769-B
brito	2-2783-B
britujo	2-2753-B
brizo	25-2454-B
brodi	41-1496-B
brokanta	80-2743-B
brokolo	26-81-B
bronza	26-258-B
bronzi	26-272-B
bronzo	26-286-B
brosi	26-544-B
broso	26-556-B
brovo	26-396-B,43-3206-B
broŝura	68-2119-B
brua	65-1925-B
brufermi	22-243-B,83-1981-B
brulanta	15-810-B,26-2064-B
brulavertilo	45-1441-B,45-1536-B
brulaĵo	47-1324-B
brulego	45-1272-B
brulema	45-2373-B
brulgusta	26-2081-B
bruli	26-2012-B
bruligi	26-2023-B
bruliĝo	31-341-B
brulligno	45-1574-B
brulmarki	25-1841-B
brulo	45-1285-B
brulsigni	25-1857-B
brulstampi	25-1873-B
brulstampo	25-1890-B
brulvundi	26-2036-B
brulŝtiparo	43-3554-B
bruna	26-407-B
brunajo	2-2829-B
bruneja	2-2859-B
brunejano	2-2876-B
brunejo	2-2844-B
brunhara	26-526-B
