gold	oro
gold-coloured	orkolora
golden	ora
golden	orblonda
golden	orkolora
goldenrod	solidago
goldfinch	kardelo
goldfish	orfiŝo
goldsmith	oraĵisto
golf	golfludo
gonorrhea	gonoreo
good	bona
good	bono
good-for-nothing	sentaŭga
good-for-nothing	sentaŭgulo
good-hearted	bonkaraktera
good-hearted	bonkora
good-hearted	konsentema
good-looking	bonaspekta
good-smelling	bonodora
goodbye	adiaŭ
goodbye	adiaŭo
goodbye	ĝis revido
goodbye-	adiaŭa
goodness	boneco
goods	pakaĵoj
goods	sendaĵeroj
goods	varoj
goose	ansero
gooseberry	groso
gorge	montfendo
gorilla	gorilo
gospel	evangelio
gossip	klaĉi
gossip	klaĉo
goulash	gulaŝo
gourd	kalabaso
gourd	kukurbo
gout	podagro
govern	estri
govern	regi
governess	guvernistino
government	registaro
governor	gubernatoro
governor	guberniestro
gown	robo
grab	ekkapti
grab	ekpreni
grace	gracieco
grace	graco
grace	korfavoro
graceful	gracia
gracefulness	gracieco
grade	rango
gradual	iompostioma
gradual	laŭgrada
gradually	iom post iom
gradually	laŭgrade
graduate	diplomita
graduate	diplomiĝi
grain	grajno
grain	greno
grain	vejni
grammar	gramatiko
gramme	gramo
grand	grandioza
grand-nephew	pranevo
grand-niece	pranevino
grandchild	genepo
granddad	avoĉjo
granddaughter	nepino
grandfather	avo
grandiose	grandioza
grandmother	avino
grandparent	geavo
grandparents	geavoj
grandson	nepo
granite	granita
granite	granito
granny	avinjo
grant	koncedi
granule	grajno
grape	vinbero
grapefruit	pampelmo
grapevine	vito
graphic	prezentata klare
graphics	grafiko
grapple	ekteni
grapple	kapti
grasp	ekkapti
grasp	ekpreni
grasp	ekpreno
grasp	ekteni
grasp	preno
grass	greso
grass	herbo
grasshopper	akrido
grate	grinci
grate	knari
grate	krado
grate	raspi
grating	grincado
grating	kraketado
gratis	donace
gratis	senpage
gratitude	dankeco
gratitude	dankemo
gratitude	danko
grave	maltrankviliga
grave	tombo
grave-mound	tombomonteto
gravel	gruzo
graveyard	tombejo
gravity	gravito
gravy	saŭco
graze	paŝtiĝi
graze	senherbigi paŝtiĝe
grease	grasi
grease	graso
greasy	grasa
great	bonega
great	granda
great	superfantazia
great-aunt	praonklino
great-grandfather	praavo
great-grandmother	praavino
great-uncle	praonklo
greatgrand-	pra-
greatgrandchild	pragenepo
greatgrandchild	prapranepo
greatgranddaughter	pranepino
greatgrandson	pranepo
grebe	podicipo
grebe	tufgrebo
greediness	avideco
greediness	avido
greedy	avida
greedy	kaptema
green	verda
green	verdo
greenweed	genisto
greet	saluti
greeting	bonvenigo
greeting	salutado
greeting	saluto
grenade	grenado
grey	griza
grey	grizo
greyhound	leporhundo
grid	dieso
grid	krado
grief	afliktiĝo
grief	malgajeco
grief	malĝojo
grieve	tristigi
grill	krado
grim	malafablega
grimace	grimaci
grimace	grimaco
grind	grinci
grind	mueli
grip	ekkapti
gripped	fascinita
gripped	interesita
grisly	harstariga
grisly	tremiga
grit	gruzo
groan	dolorĝemi
groan	ĝemi
grocer	spicisto
groin	ingveno
groom	grumo
groom	ĉevalisto
grope	palpi
grope	palpi serĉe
groschen	groŝo
grotesque	groteska
grotto	groto
ground	bazo¹
ground	fundo
ground	grundo
ground	tereno
ground	terkonekti
ground	tero
ground-floor	teretaĝo
ground-nut	ternukso
grounding	terkonekto
groundless	senbaza
grounds	tereno
group	aro¹
group	bando
group	grupo
grouser	grumblulo
grow	fariĝi
grow	iĝi
grow	kreski
grow	kulturi
grow	pliiĝi
growl	grumbli
grown-up	plenaĝa
