a	20-1991-S,84-410-S
aarono	1-248-B
abandono	9-1732-B
abata	9-2349-B
abata jurisdikcio	9-2324-B
abateco	9-2438-B,9-2454-B
abateja	9-2364-B
abatejo	9-2396-B
abatino	9-2381-B
abato	9-2410-B
abdikado	9-2709-B
abdiki	9-2659-B,77-2592-B
abdiko	9-2729-B
abdomena	9-2797-B
abdomeno	9-2747-B
abduktoro	9-2886-B
abelejo	18-2112-B
abelisto	18-2094-B,23-483-B,23-527-B
abelkorbo	23-590-B
abelkulturo	23-503-B
abelo	23-473-B
abelujo	23-608-B
abelvakso	23-635-B
aberacii	37-2510-B
aberacio	9-3052-B
abio	45-1263-B
abiogenezo	10-197-B
abisena	1-371-B
abiseno	1-390-B
abisenujo	1-351-B
abismo	11-1235-B,29-139-B,50-964-B,72-1685-B
ablativo	10-408-B
abnegacii	10-583-B
abnegacio	10-619-B
abnorma	10-660-B
abnormaĵo	10-731-B,10-848-B
abnormeco	10-754-B,10-869-B
aboco	1-238-B,17-407-B,41-816-B,79-1070-B
aboli	10-1093-B,10-2825-B
abolicio	10-1107-B,10-2857-B
abolo	10-1126-B,10-2877-B
abomaso	77-358-B
abomena	9-3348-B,10-1229-B,21-1473-B,48-1859-B,50-178-B,51-2912-B,52-1966-B,64-972-B
abomenaĵo	10-1306-B,20-2011-B
abomeni	9-3247-B,10-1288-B,58-2879-B
abomeninda	9-3366-B,10-1248-B,21-1487-B,48-1875-B,50-195-B,51-2928-B,52-1983-B,64-986-B
abomenindaĵo	9-3261-B,10-1329-B,20-2031-B,52-2114-B
abomeno	9-3286-B,10-1355-B,52-2135-B
abonanto	88-283-B
abono	88-303-B
aborigena	10-1399-B
aborigeno	10-1420-B
abortigisto	10-1833-B
abortigo	10-1779-B
abrahamo	1-334-B
abreviacio	9-2557-B
abrikotarbo	19-421-B,19-477-B
abrikoto	19-441-B
abrikotujo	19-458-B,19-502-B
abrogacio	10-2894-B
abrupta	10-2952-B
abrupte	10-3026-B
absceso	10-3059-B
absciso	10-3075-B
absejli	10-3108-B
absido	19-543-B
absintaĵo	10-3377-B
absintlikvoro	10-3396-B
absinto	10-3418-B
absoluta	10-3452-B
absolute	10-3561-B
absolutismo	10-3688-B
absorba	11-0-B
absorbi	10-3711-B
absorbo	11-73-B
abstemia	11-145-B
abstinado	11-203-B
abstinanto	90-419-B
abstini	11-92-B
abstrakta	11-245-B
abstraktado	11-485-B
abstraktaĵo	11-509-B
abstrakti	11-264-B
absurda	11-636-B
absurdaĵo	11-682-B,65-2180-B,79-763-B
absurdeco	11-703-B
abunda	11-840-B,33-1534-B,71-1649-B,73-1672-B,78-1422-B
abunde	11-875-B
abundeco	11-766-B
abundi	10-1925-B
abundo	11-785-B,71-1666-B
abĥaza	1-298-B
abĥazio	1-261-B
abĥazo	1-316-B
abĥazujo	1-279-B
abĵuri	10-378-B,10-602-B
abĵuro	10-334-B
aca	79-249-B,93-2195-B
