quotation	citaĵo
quote	citilo
quotes	citiloj
quotes	citsignoj
rabbi	rabeno
rabbit	kuniklo
rabble	kanajlaro
rabid	rabia
rabies	rabio
raccoon	lavurso
race	gento
race	kuregi
race	raso
race	vetkuri
race-course	kurejo
racism	rasismo
rack	arako
radar	radaro
radiate	radii
radiate	trakti per radioterapio
radiation	radioterapio
radiator	radiatoro
radical	radikala
radical	radikalo
radical	radikalulo
radical	radikilo
radically	radikale
radio	radio²
radish	rafaneto
radish	rafano
radium	radiumo
radius	radio³
radius	radiuso
radon	radono
raffle	loterio
raft	floso
rag	ĉifono
ragout	raguo
ragpicker	ĉifonisto
ragwort	senecio
rail	relo
railing	balustrado
railroad	fervojo
railway	fervojo
rain	pluvi
rain	pluvo
rainbow	ĉielarko
raincoat	pluvmantelo
raindrop	pluvero
raise	altigi
raise	bredi
raise	eduki
raise	ekkanti
raise	kultivi
raise	levi
raise	starigi
rake	rasti
rake	rastilo
ram	virŝafo
rambutan	rambutano
rampart	remparo
ranch	bieno
ranch	ranĉo
rancher	bienisto
rancid	ranca
rancour	malpardonemo
rancour	rankoro
rancour	venĝemo
rand	montoĉeno
rand	rando²
random	hazarda
range	atingodistanco
range	atingopovo
range	pafdistanco
range	trafdistanco
rank	rango
rank	vico
ransom	elaĉeti
ransom	elaĉetsumo
rapid	rapida
rapier	spado
rare	malofta
rare	rara
rarefy	malkoncentri
rasp	raspi
raspberry	frambo
raspberry	frambujo
rat	rato
rat-poison	musveneno
rate	proporcio
rate	rango
rate	taksi
ratepayer	impostpaganto
rather	iom
rather	iomete
rather	meze
rather	pli ĝuste
rather	prefere
rather	relative
rather	sufiĉe
ratification	ratifado
ratification	ratifo
ratify	ratifi
ratify	sankcii
rational	racia
rattle	klaki
rattle	rinanto
rattlesnake	krotalo
ravage	elrabi
rave	frenezi
raven	korako
ravine	fendego
ravine	montfendo
ravine	ravino
raw	kruda
raw	nekuirita
ray	radio¹
ray	strio
razor	razilo
razor-blade	razklingo
re-	re-
re-create	rekrei
re-elect	reelekti
re-read	relegi
reach	atingi
reach	atingopovo
react	reagi
reaction	reago
reaction	reakcio
reactionary	reakcia
reactionary	reakciulo
read	finlegi
read	legi
read	teksti
reader	leganto
readiness	preteco
ready	preta
ready	servopreta
real	efektiva
real	fakta
real	reala
realist	realisto
reality	realaĵo
reality	realeco
reality	vero
realization	kompreno
realization	konscio
realize	kompreni
realize	konscii
really	efektive
really	reale
really	vere
realm	regno
rear	bredi
rear	malantaŭa parto
rear	postgvardio
rear-exit	malantaŭa elirejo
rear-lamp	malantaŭa lampo
rear-light	malantaŭa lampo
rearguard	postgvardio
reason	kaŭzo
reason	kialo
reason	motivo
reason	prudento
reason	racio
reasonable	aprobinda
reasonable	modera
reasonable	moderkosta
reasonable	moderpreza
reasonable	prudenta
reasonable	racia
rebate	rabati
rebate	rabato
rebel	ribelanto
rebel	ribeli
rebel	ribelulo
rebellion	ribelo
rebellious	ribelema
rebound	resalti
rebuff	forsendi ĝentile
rebuke	malaprobi
rebuke	mallaŭdi
rebuke	riproĉi
rebuke	skoldi
recall	memori
recall	memorigi
recall	rememori
recall	rememorigi
recapture	rekonkeri
recede	malprogresi
recede	malprosperi
receipt	kvitanci
receipt	kvitanco
receipt	ricevatesto
receive	akcepti vizitantojn
receive	ricevi
recent	freŝa
recently	antaŭ nelonge
recently	freŝdate
recently	lastatempe
