mortar	pistujo
morter	mortero¹
mortgage	hipoteko
mortician	enteriga entreprenisto
mortician	sepultentreprenisto
mosaic	mozaiko
moselle	mozelvino
mosque	moskeo
mosque	preĝejo
mosquito	moskito
mosquito-net	kontraŭmoskita gazo
mosquito-netting	kontraŭmoskita gazo
moss	musko
moss-green	muskverda
mossy	muska
most	plej
mostly	plejparte
motel	motelo
motet	moteto
moth	noktpapilio
moth	tineo
moth-eaten	tinedifektita
mother	patrini
mother	patrino
mother-in-law	bopatrino
motion	rezolucio
motionless	senmova
motivation	motivado
motivation	motiviteco
motivation	motiviĝo
motive	instiga kaŭzo
motive	instiga okazaĵo
motive	motivo
motor	motoro
motor-boat	motorboato
motor-car	aŭtomobilo
motor-launch	motorboato
motorcycle	motorciklo
motorial	mova
motoring	aŭtomobilismo
motorist	aŭtisto
motorist	aŭtostiranto
motorist	motoristo
motorize	motorizi
motorway	aŭtostrado
motorway	aŭtoŝoseego
motto	devizo
motto	moto
mould	modeli
mould	modli
mould	muldi
mould	muldilo
mould	ŝimo
mouldy	mucida
mouldy	ŝima
mount	munti
mountable	surgrimpebla
mountain	monto
mountain-ash	birda sorpujo
mountaineer	alpisto
mountaineer	montgrimpanto
mountaineering	alpismo
mountaineering	montgrimpado
mountaineering	varapo
mountainous	montriĉa
mounted	rajda
mounted	rajdanta
mounting	metalgarnaĵo
mounting	muntado
mounting	surgrimpado
mourn	funebri
mourn	priplori
mournful	funebra
mournful	morna
mourning	funebro
mouse	muso
mousepad	musmato
mousetrap	muskaptilo
moustache	liphararo
mouth	buŝego
mouth	buŝo
mouth	enfluejo
mouth	faŭko
mouthful	buŝpleno
mouthful	plenbuŝo
move	emocii
move	forŝovi
move	movi
move	moviĝi
move	transloki
move	translokiĝi
move	transloĝigi
move	transloĝiĝi
move	transloĝiĝo
movement	movado
movement	movo
movie	filmo
movie	kinofilmo
moving	emocia
mow	falĉi
mu	muo
much	multa
much	multe da
muck-water	sterkakvo
mucous	muka
mucus	muko
mud	koto
mud-stained	kotkovrita
muddy	kotkovrita
mudguard	kotŝirmilo
muezzin	muezino
mug	vizaĝaĉo
mulatto	mulatino
mulatto	mulato
mulberry-tree	morusujo
mule	babuŝo
mule	mulo
muleteer	mulpelisto
mullein	verbasko
multi-	mult-
multicoloured	bunta
multinational	multnacia
multinational	plurnacia
multiple	oblo
multiply	multipliki
multiply	multobligi
multitasking	plurtaskplenumado
multitude	amaso
multitude	homamaso
mummification	mumiigo
mummy	mumio
munition	municio
muntjac	muntiako
mural	murpentraĵo
murder	murdi
murder	murdo
murderer	murdinto
murderer	murdisto
murderess	murdintino
murk	mallumo
murmur	lirli
murmur	murmuri
murmur	murmuro
murmur	plaŭdeti
muscatel	moskatelo
muscatel	muskatvino
muscle	muskolo
muscular	muskola
muse	muzo
muser	revulo
museum	muzeo
mush	kaĉo
mushroom	agariko
mushroom	fungo
mushroom	ŝampinjono
music	muziko
music-book	muziklibro
music-box	muzikkesto
music-lesson	muzikleciono
music-lover	muzikamanto
music-stand	muzikportilo
musical	muzika
musical	muzika komedio
musical	muzikema
musical	muzikteatraĵo
musical-box	muzikkesto
musicality	muzikemo
musician	muzikisto
musicology	muzikologio
musk	mosko
musk-deer	moskulo
musk-ox	ovibovo
musk-rat	ondatro
musket	muskedo
musket	musketo
musketeer	musketero
musketeer	musketisto
muslin	muslino
musquash	ondatro
mussel	mitulo
mussel-bank	mitulejo
mussel-bed	mitulejo
must	devi
must	mosto
mustard	mustardo
mustard-gas	iperito
muster-roll	dungolisto
musty	mucida
mutation	mutacio
mute	muta
mute	mutulo
mutineer	ribelanto
mutiny	ribelo
mutter	grumbli
mutter	murmuri
mutton	ŝafaĵo
mutual	reciproka
mutually	reciproke
muzzle	buŝego
muzzle	buŝumi
