seek	serĉi
seem	ŝajni
seemingly	ŝajne
seemly	konvena
seize	ekkapti
seize	ekpreni
seize	preni juĝe
seize	rekvizicii
seizure	apopleksio
seizure	juĝa preno
seldom	malofte
selenium	seleno
self	mem
self-assurance	aplombo
self-assured	memfida
self-command	memregado
self-confidence	memfido
self-conscious	sinĝena
self-control	memregado
self-evident	memevidenta
self-heal	prunelo
self-interested	egoisma
self-interested	egoista
self-possessed	sinrega
self-possession	memregado
self-reliance	memfido
self-sufficiency	aŭtarkio
selfinterest	egoismo
selfish	egoisma
selfish	egoista
selfish	profitema
selfishness	egoismo
selfishness	profitemo
selfless	sindona
selfless	sindonema
selflessly	sindone
sell	vendi
semantics	semantiko
semicolon	punktokomo
send	sendi
sender	ekspedinto
sender	sendinto
seniority	servodaŭro
sensation	sensacio
sensation	sento
sensational	sensacia
sense	kompreno
sense	prudento
sense	senco
sense	senso
sense	sensorgano
sense	senti
sensible	prudenta
sensitive	delikata
sensitive	impresebla
sensitive	impresiĝema
sensitive	sentema
sensitive	sentiva
sensual	sensama
sensual	volupta
sensuous	sensama
sensuous	volupta
sentence	frazo
sentence	kondamni
sentence	propozicio
sentiment	sentemo
sentiment	sentimento
sentimental	sentimenta
sentimental	sentimentala
sentry	gardostaranto
separate	aparta
separate	apartigi
separate	disiri
separate	disiĝi
separate	dividi
separately	aparte
separately	dise
separation	apartigo
separation	izoleco
separation	izoliteco
separation	secesio
separatrix	suprenstreko
sepia	sepia
sepia	sepiaĵo
sepia	sepio²
septic	sepsa
serenade	serenado
serene	serena
serf	servitulo
serf	servutulo
serfdom	servuto
sergeant	serĝento
serial	felietono
serial	seria
series	serio
serious	grava
serious	serioza
sermon	prediko
serpent	serpento
serum	sero
serum	serumo
servant	servistino
servant	servisto
serve	antaŭmeti
serve	deĵori
serve	servi
serve	surtabligi
server	servilo
service	deĵoro
service	diservo
service	servado
service	servo
servitude	servuto
session	kunsido
session	sesio
set	aparato
set	aro¹
set	kliko
set	kompleto
set	serio
setting	muntumo
settle	finaranĝi
settle	findecidi
settle	kvitiĝi
settlement	kolonio
settlement	kvitiĝo
seven	sep
seventeen	dek sep
seventeenth	dek-sepa
seventh	sepa
seventh	sepono
seventy	sepdek
several	diversaj
several	pluraj
severe	rigora
severe	severa
severity	rigoreco
severity	severeco
sew	alkudri
sew	kudri
sewer	kloako
sewing-basket	kudrilarkorbo
sewing-box	kudrilarujo
sewing-class	kudrokurso
sewing-machine	kudromaŝino
sewing-machine	stebilo
sewing-things	kudrilaro
sewing-thread	kudrofadeno
sex	sekso
sex	seksumo
sexual	seksa
shack	kabano
shackle	kateni
shackle	kateno
shade	haĉi
shade	nuanco
shade	ombraĵo
shade	ombro
shade	ombrumi
shade	subombro
shadow	gvatsekvi
shadow	kruda skizo
shadow	ombro
shaft	stango
shaft	ŝafto
shaft	ŝakto
shaggy	vila
shah	ŝaho
shake	ekskui
shake	skui
shake	skuiĝi
shake	ŝanceli
shall	<futura helpverbo>
shallop	ŝalupo
shallow	malprofunda
shallowly	supraĵe
shaman	ŝamano
shame	fi
shame	honto
shameful	hontinda
shameful	malhonora
shameless	malĝentilega
shampoo	ŝampui
shampoo	ŝampuo
shamrock	trifolio
shape	formi
shape	formo
share	akcio
share	dividi
share	kunuzi
share	onigi
share	partopreni
share	parto¹
share	porcio
share	profitparto
share-capital	akciaro
shareholder	akcihavanto
shareholder	akciulo
shareholdership	akciuleco
shark	ŝarko
