sino	25-626-B
sinofero	10-640-B
sinrega	31-3001-B,77-3532-B,81-427-B
sinretenema	37-1993-B
sinsekve	32-2048-B
sinsekvo	67-1749-B
sintakso	89-1527-B
sinteno	20-2766-B,72-282-B
sintonizi	93-1020-B
sinĝena	9-2068-B,81-289-B,82-2398-B
sinĝenema	82-2411-B
sinĝeno	22-1942-B,82-2437-B,91-1646-B
sirakuso¹	8-1533-B
siria	8-1565-B
siriano	8-1578-B
siringo	58-1678-B
sirio	8-1553-B
siroko	83-977-B
siropo	89-1601-B
sistema	89-1652-B
sistemo	89-1614-B
sitelo	26-778-B,68-1270-B
situacio	29-2997-B,32-490-B,83-1124-B
situo	83-1049-B
siĥo	8-413-B
skabeno	16-2575-B
skabioso	80-811-B
skalo	80-889-B
skandalo	31-1328-B,80-973-B
skandi	80-944-B
skandinava	7-3312-B
skandinavio	7-3263-B
skandinavo	7-3336-B
skandinavujo	7-3287-B
skandio	80-990-B
skapolo	82-1825-B
skarabo	23-684-B
skatoleto	25-1267-B
skatolmalfermilo	91-1773-B
skatolo	25-1281-B
skeldo	7-3360-B
skeleto	83-1413-B
skemo	62-1384-B,69-1280-B,80-1250-B
skermi	44-2696-B
sketi	83-1385-B
skii	83-1456-B
skikuri	83-1465-B
skilio	39-1191-B,80-2219-B
skilo	8-0-B
skio	83-1477-B
skipo	65-1162-S,90-175-B
skismo	80-1263-B
skizi	71-358-B,83-1430-B
skizo	14-1672-S,37-1316-B,67-2848-B,81-2752-S,83-1443-B
sklavino	24-2924-B,83-2194-B
sklaviĝinta	13-2138-B
sklavo	83-2209-B
skoldi	75-2858-B,77-1685-B,77-1847-B,80-1500-B
skolo	80-1383-B
skolto	25-1423-B,80-1620-B
skombro	59-1863-B
skorpio	80-1571-B
skota	7-3437-B
skotino	7-3418-B
skoto	7-3375-B,7-3403-B
skotujo	7-3386-B
skrapgumo	79-746-B
skrapi	80-1702-B,80-1748-B
skrapvundo	10-2421-B,80-1763-B
skriba	98-1415-B
skriba ordono	96-863-B,98-1223-B
skribaĵo	98-1315-B
skribe	55-945-S,65-2798-S,88-1798-S
skribi	98-1242-B
skribisto	30-727-B
skribmarko	35-321-B
skribmaŝino	93-1984-B
skribo	80-1974-B,98-1333-B
skribtablo	37-1390-B,98-1365-B
skrupula	12-1536-B,80-1988-B
skrupuleco	12-1465-B
skui	15-2553-B,81-2859-B,82-1127-B
skuiĝi	81-2870-B
skulptaĵo	80-2064-B
skulpti	27-3009-B,80-2085-B
skulptisto	80-2044-B
skulpturo	80-2103-B
skurĝi	97-751-B
skusorbilo	82-1162-B
skutilo	80-1513-B
skvamo	80-901-B
slava	8-584-B
slavo	8-573-B
slavona	8-634-B
slavonio	8-597-B
slavono	8-652-B
slavonujo	8-615-B
sledo	83-2268-B,83-2400-B
sliparo	45-592-B
slipo	27-2060-B,83-2568-B
slovaka	8-670-B
slovako	8-685-B
slovakujo	8-700-B
slovena	8-754-B
sloveno	8-719-B,8-772-B
slovenujo	8-735-B
smeraldo	41-1512-B
smirga	10-2501-B
smirgi	10-2391-B
snoba	84-577-B
snobo	84-566-B
snufi	84-825-B
sobra	11-165-B,84-1035-B,86-38-B,90-819-B
socia	84-1081-B
sociala	84-1094-B
socialismo	84-1109-B
socialisto	84-1130-B
sociano	29-3155-B
societo	11-1493-B,29-2740-B,30-1632-B,84-1165-B
socio	84-1181-B
sociologio	84-1217-B
sociologo	84-1195-B
sofio	8-790-B
sofo	84-1338-B
soifa	91-108-B
soifo	91-95-B
sojlo	83-182-B,91-680-B
sola	17-270-B,67-301-B,67-365-B,83-767-B,84-1613-B,84-1855-B
solano	65-1397-B
soldata botelo	27-1535-B,96-1439-B
soldatejo	22-1515-B
soldato	84-1561-B
sole	17-281-B,56-1578-B,67-375-B,84-1634-B
soleca	59-116-B,84-1869-B
solena	28-1717-B,84-1646-B
solenado	28-1159-B
solenaĵo	28-1776-B
solene	96-2805-S
soleneco	28-1795-B,84-1682-B
soleni	28-1082-B
soleno	28-1813-B
soleo	84-1623-B
solida	45-1723-B,84-1746-B
solidago	49-75-B
solidareco	84-1759-B
solidaro	84-1781-B
solideco	95-2043-B
solisto	84-1912-B
solkanto	84-1885-B
solludo	84-1899-B
solo	8-135-B
solulo	83-779-B
solvaĵo	84-1928-B
solventeco	10-161-B
solvivanta	83-793-B
solviĝi	38-3573-B
solvo	84-1946-B
somala	8-828-B,8-873-B
somalo	8-842-B,8-889-B
somalujo	8-856-B
sombra	35-1992-B
somerdomo	88-1718-B
somero	88-1704-B
sonato	84-2260-B
sonforteco	95-2458-B
soni	84-2689-B,87-1866-B
sono	84-2700-B
sonora	84-2322-B,84-2338-B
sonorado	91-2443-B
sonori	69-1736-B,78-1936-B,84-2711-B
sonorilaristo	27-2587-B
sonorilaro	27-2541-B,29-1719-B
sonorilbutono	23-1298-B,23-1324-B
sonorilego	23-1255-B
sonorilo	23-1271-B
sonormartelo	30-166-B
sonĝi	39-2494-B
sonĝo	39-2507-B
sopira	59-186-B
sopiranta	18-1648-B
sopiri	12-2468-B,98-1803-B
sopiro	59-201-B
soprano	84-2439-B
sopranulino	84-2455-B
sorba	11-18-B
sorba papero	24-2118-B
sorbi	10-3741-B,83-941-B
sorca	59-2025-B,59-2067-B
sorcado	41-2167-B,59-2038-B,84-2494-B,97-2393-B,97-2710-B
sorci	23-2760-B
sorcinfluo	85-1057-B
sorcistino	97-2375-B
sorcisto	41-2125-B,59-2101-B,84-2475-B,96-688-B,97-2693-B
sorco	84-2511-B
sorcvortoj	10-2353-B
sorpujo	63-1055-S,79-575-S
sortbato	15-3088-B
sortimento	20-1069-B
sorto	37-1733-B,44-1662-B,46-2539-B,59-1221-B
sota lingvo	8-905-B
soto	8-923-B
sovaĝa	80-607-B,97-1480-B
soveta	8-934-B
sovetio	8-2909-B
sovetunio	8-2922-B
spaco	79-14-B,85-66-B
spado	75-1219-B
sparkado	53-1663-B
sparkilo	71-1780-B
sparko	85-244-B
sparta	8-1034-B
spartano	8-1049-B
sparto	8-1020-B
spasmo	85-290-B
speciala	69-36-B,85-389-B
speciale	69-56-B,85-467-B
specialisto	85-444-B
specifa	85-501-B
specifi	85-565-B
specifika	85-518-B
specifiki	85-581-B
specimenboteleto	79-2877-B
specimenkarto	79-2908-B
specimeno	79-2860-B,85-599-B
specio	85-486-B
speco	56-2239-B,84-2667-B
speguli	76-1444-B
spegulo	59-321-B,62-306-B
spektaklo	82-1964-B,85-618-B
spektanto	85-681-B
spekti	96-1239-B
spekulativa	85-747-B
spekulativi	85-701-B
spekulativo	85-723-B
spelto	85-1075-B
spergulo	85-2378-B
spermo	85-1126-B
sperta	11-3929-B,13-2510-B,43-1775-B,43-1991-B,83-1635-B
sperteco	43-1656-B
sperti	43-1676-B
sperto	43-1694-B
spertulo	43-2005-B
spezo	93-1379-B
spiceca	66-385-B
spici	45-2686-B,80-2550-B,85-1152-B
spicisto	49-2806-B
spico	85-1164-B
spiko	40-1635-B
spili	25-770-B
spinaco	85-1251-B
spino¹	85-1297-B
spioni	85-2462-B
spiono	85-2473-B
