knock	perkuti
knot	nodi
knot	nodo
knot	tubero
know	koni
know	povoscii
know	scii
know	scipovi
knowledge	kono
knowledge	scio
kopje	<izola monteto en Sudafriko>
krypton	kriptono
label	etikedo
laboratory	laboratorio
labour	akuŝi
labour-intensive	laborintensiva
labour-union	sindikato
labourer	laboristo
labourer	laborulo
lace	punto
lack	malhavi
lack	manko
lackey	lakeo
lacquer	laki
lacquer	lako
lad	knabo
ladder	ŝtupetaro
lady	damo
lady	damo¹
lady	sinjorino
lady-in-waiting	korteganino
ladylike	ĝentilhomeca
ladylike	ĝentlemanineca
laggard	postrestanto
lagoon	laguno
lake	lago
lamb	ŝafida
lamb	ŝafidaĵo
lamb	ŝafido
lambda	labdo
lame	lama
lament	lamenti
lamp	lampo
lamp-shade	lumŝirmilo
lance	lanco
land	albordiĝi
land	alteriĝi
land	lando
land	surteriĝi
land	tero
landing	alteriĝo
landing	surteriĝo
landing-stage	albordiĝejo
landing-stage	navighaltejo
landing-stage	varfo
landlady	gastejestrino
landlord	gastejestro
landmark	mejloŝtono
landscape	pejzaĝo
landslide	grunda disfalo
landslide	terŝoviĝo
lane	strateto
language	lingvo
lanky	altstatura
lantern	lanterno
lap	plaŭdi
lapse	refali
lapsed	kaduka
larch	lariko
larder	manĝaĵoŝranko
large	granda
lark	alaŭdo
larkspur	delfinio
larva	larvo
laryngitis	laringito
larynx	laringo
lass	knabino
lasso	lazo
last	daŭradi
last	daŭri
last	kontinui
last	lasta
last	pasinta
lasting	daŭra
lasting	kontinua
lasting	neŝanĝiĝema
late	malfrua
late	malfrue
lately	lastatempe
later	pli malfrue
latex	latekso
lath	lato
lathe	tornilo
lather	lesivakvo
latrine	latrino
laud	glori
laud	laŭdi
laugh	ridi
laugh	rido
laughter	ridado
launch	lanĉi
launch	ŝalupego
laundress	lavistino
laundress	lesivistino
laundry	lesivejo
laurel	laŭro
lava	lafa
lava	lafo
lavender	lavendo
law	juro
law	leĝo
lawless	senbrida
lawn	batisto
lawn	gazono
lawn	razeno
lawrencium	laŭrencio
lawsuit	proceso¹
lawyer	advokato
lawyer	juristo
laxative	laksigilo
lay	kuŝigi
lay	laika
lay	meti
lay-by	parkejo
layer	grundtavolo
layer	markoti
layer	markoto
layer	tavolo
layer	tertavolo
layman	laiko
laziness	maldiligenteco
lazy	maldiligenta
lazy	pigra
lead	alkonduki
lead	direkti
lead	gvidi
lead	konduki
lead	plumba
lead	plumbo
leader	estro
leader	gvidanto
leader	kondukanto
leading	direktanta
leading	gvida
leaf	folio
league	ligo
lean	apogi
lean	apogi sin
lean	magra
lean	maldika
leap	salti
leap	salto
leap-year	superjaro
learn	lerni
learned	klera
learnt	lernita
lease	farmi
lease	lukontrakto
least	malplej
leasurely	malrapide
leather	leda
leather	ledo
leave	ekveturi
leave	ekvojaĝi
leave	foriri
leave	forlasi
leave	forpermeso
leave	forvojaĝi
leave	heredigi
leave	lasi
leave	libertempo
leave	permeso
leaven	fermentilo
leavings	forĵetindaĵo
lectern	pupitro
lector	lektoro
lecture	lekcii
lecture	lekcio
lecture	prelegi
lecture	prelego
lecturer	lektoro
leech	hirudo
left	maldekstra
left	maldekstra flanko
left	maldekstren
left	restanta
leg	gambo
leg	kruro
legal	laŭleĝa
legal	leĝa
legation	legacio
legend	legendo
legendary	laŭlegenda
legendary	legenda
legging	tibiingo
legible	legebla
legion	legio
legitimize	legitimi
leisurely	kviete
leisurely	trankvila
