lye	59-1688-B
lynx	59-1699-B
lyra	6-215-B
lyre	59-1710-B
lyric	59-1722-B
m	9-1448-S
macabre	59-1735-B,59-1754-B,59-1770-B
macaroni	59-1786-B
macaw	59-1805-B
maccabees	6-226-B
macedonia	6-245-B,6-265-B,6-286-B,6-306-B
macedonian	6-327-B,6-347-B,6-367-B,6-387-B
mach	59-1816-B
machiavelli	6-407-B
machine	59-1827-B,81-2475-S,81-2503-S
machinery	59-1843-B
mackerel	59-1863-B
mad	59-1880-B,59-1892-B
madagascan	6-429-B
madagascar	6-452-B,6-475-B
madam	59-1902-B
madeira	6-496-B
madness	59-1918-B,59-1936-B
madonna	6-512-B
madrid	6-527-B
maestricht	6-542-B
maestro	59-1952-B
magazine	59-1968-B,59-1986-B
magic	59-2001-B,59-2013-B,59-2025-B,59-2038-B
magical	59-2053-B,59-2067-B
magician	59-2082-B,59-2101-B
magnanimous	59-2120-B
magnesium	59-2143-B
magnet	59-2162-B
magnetic	59-2177-B
magnetism	59-2194-B
magnetize	59-2215-B
magnificent	59-2235-B
magog	6-564-B
magpie	59-2257-B
magyar	6-577-B
maid	59-2269-B,59-2285-B
maidenhair	59-2303-B
mail	59-2322-B,59-2338-B
mailbox	59-2350-B
mailman	59-2369-B
main	59-2387-B,59-2400-B
mainland	59-2411-B
mainly	59-2431-B
maintain	59-2446-B,59-2465-B
maintenance	59-2483-B,59-2506-B,59-2527-B
maize	59-2549-B
majestic	59-2561-B
majesty	59-2578-B,59-2596-B,59-2612-B
major	59-2627-B,59-2640-B
majoram	59-2652-B
majorca	6-592-B
majority	59-2669-B,59-2689-B
make	59-2707-B,59-2724-B,59-2734-B,60-2288-S
make up	59-2743-B
maker	60-2305-S,60-2328-S
making	36-301-S,59-2759-B,59-2776-B
malacca	6-608-B
malaria	59-2792-B
malawi	6-623-B
malawian	6-638-B,6-655-B
malay	6-674-B,6-687-B
malaysia	6-700-B
malaysian	6-718-B,6-737-B
maldives	6-758-B
maldivian	6-777-B,6-796-B
male	59-2808-B,59-2820-B,59-2832-B,59-2842-B,59-2856-B
malfunction	59-2872-B,59-2898-B
mali	6-817-B
malian	6-828-B
malicious	59-2916-B
malines	6-841-B
mallow	59-2933-B
malt	59-2946-B
malta	6-858-B
maltese	6-870-B,6-884-B
mam	60-0-B
mammal	60-10-B,60-26-B
mammon	6-900-B
mammy	60-40-B
man	60-52-B,60-65-B,60-74-B
manage	60-83-B,60-103-B,60-118-B,60-134-B
manageability	60-146-B
manageable	60-172-B
management	60-195-B,60-220-B,60-244-B,60-271-B,60-298-B
manager	60-320-B,60-342-B,60-365-B,60-384-B,85-3111-S
manchuria	6-914-B,6-934-B,6-955-B
manchurian	6-975-B,6-994-B,6-1013-B
mandate	60-402-B
manganese	60-418-B
manger	60-436-B,60-453-B
mango	60-466-B
mango tree	60-478-B
mangosteen	60-497-B
manicure	60-519-B
manifacture	60-537-B,60-559-B
manifest	60-580-B,60-599-B
manila	6-1033-B
manipulate	60-618-B
mankind	60-638-B
manner	60-653-B
mannered	96-3100-S,96-3125-S
manoeuvre	60-668-B,60-686-B
mansion	60-704-B
mantel	60-719-B
mantelpiece	60-737-B
mantle	60-760-B
manufacture	60-775-B
manure	60-795-B
manuring	60-809-B
manuscript	60-827-B
many	60-850-B
maori	6-1047-B,6-1067-B
map	60-862-B,60-872-B
maple	60-881-B,60-893-B,60-905-B
marble	60-918-B,60-933-B,60-948-B
march	6-1080-B,60-963-B
marcus	6-1092-B
margarine	60-976-B
margin	60-996-B,60-1012-B
marguerite	60-1027-B,60-1046-B
marigold	60-1074-B
marijuana	60-1093-B
marionette	60-1114-B
maritime	60-1135-B
mark	60-1149-B,60-1160-B,60-1171-B,60-1184-B,60-1197-B,60-1210-B,60-1223-B,60-1234-B,60-1245-B,87-1581-S
market	60-1257-B,60-1282-B,60-1296-B,60-1309-B,60-1324-B
marketplace	60-1342-B
maroni	6-1105-B
marriage	60-1365-B,60-1381-B,60-1399-B,60-1418-B,60-1435-B,60-1453-B
married	60-1472-B,60-1493-B,60-1512-B
marry	60-1533-B,60-1546-B,60-1561-B,60-1577-B,60-1591-B,60-1607-B,60-1631-B
