coliseum	コロシアム
colitis	大腸炎 [だいちょうえん]
collaboration	ご協力 [ごきょうりょく]
collaboration	コラボレーション
collaboration	共力 [きょうりょく]
collaboration	共同 [きょうどう]
collaboration	共著 [きょうちょ]
collaboration	協力 [きょうりょく]
collaboration	協同 [きょうどう]
collaboration	協調主義 [きょうちょうしゅぎ]
collaboration	合作 [がっさく]
collaboration	御協力 [ごきょうりょく]
collaborative	コラボレイティブ
collaborator	コラボレーター
collaborator	共著者 [きょうちょしゃ]
collage	コラージュ
collapse	丸潰れ [まるつぶれ]
collapse	倒ける [こける]
collapse	倒れる [たおれる]
collapse	倒壊 [とうかい]
collapse	倒潰 [とうかい]
collapse	凹む [へこむ]
collapse	切れる [きれる]
collapse	参る [まいる]
collapse	崩れ [くずれ]
collapse	崩れる [くずれる]
collapse	崩れ去る [くずれさる]
collapse	崩壊 [ほうかい]
collapse	崩潰 [ほうかい]
collapse	崩落 [ほうらく]
collapse	決潰 [けっかい]
collapse	没落 [ぼつらく]
collapse	滅亡 [めつぼう]
collapse	潰える [ついえる]
collapse	画餅 [がへい]
collapse	画餅 [がべい]
collapse	落ち入る [おちいる]
collapse	衰亡 [すいぼう]
collapse	費える [ついえる]
collapse	転ける [こける]
collapse	陥る [おちいる]
collapse	陥入 [かんにゅう]
collar	胸倉 [むなぐら]
collar	胸座 [むなぐら]
collar	衿 [えり]
collar	襟 [えり]
collar	項領 [こうりょう]
collarbone	鎖骨 [さこつ]
collarless	カラーレス
collateral	付帯 [ふたい]
collateral	副 [ふく]
collateral	裏付 [うらづけ]
collateral	裏付け [うらづけ]
collateral	見返り [みかえり]
collation	校合 [きょうごう]
collation	校合 [こうごう]
collation	照合 [しょうごう]
colleague	仲間 [なかま]
colleague	傍輩 [ほうばい]
colleague	僚友 [りょうゆう]
colleague	同人 [どうじん]
colleague	同人 [どうにん]
colleague	同僚 [どうりょう]
colleague	同役 [どうやく]
colleague	同輩 [どうはい]
colleague	相役 [あいやく]
colleague	社友 [しゃゆう]
collect	コレクト
collect	取りまとめる [とりまとめる]
collect	取り立てる [とりたてる]
collect	取り纏める [とりまとめる]
collect	取り集める [とりあつめる]
collect	取纏める [とりまとめる]
collect	奮い起こす [ふるいおこす]
collect	奮い起す [ふるいおこす]
collect	寄せる [よせる]
collect	寄せ集める [よせあつめる]
collect	溜まる [たまる]
collect	溜る [たまる]
collect	纏める [まとめる]
collect	集まる [あつまる]
collect	集める [あつめる]
collect	集る [あつまる]
collecting	収金 [しゅうきん]
collecting	採取 [さいしゅ]
collecting	採集 [さいしゅう]
collection	収蔵 [しゅうぞう]
collection	収輯 [しゅうしゅう]
collection	収集 [しゅうしゅう]
collection	回収 [かいしゅう]
collection	徴収 [ちょうしゅう]
collection	拾集 [しゅうしゅう]
collection	蒐集 [しゅうしゅう]
collection	集 [しゅう]
collection	集まり [あつまり]
collective	集合的 [しゅうごうてき]
collectively	併せて [あわせて]
collectivism	コレクティビズム
collectivism	共産主義 [きょうさんしゅぎ]
collectivism	集散主義 [しゅうさんしゅぎ]
collector	コレクタ
collector	コレクター
collector	収集家 [しゅうしゅうか]
college	カレッジ
collider	クライダー
collie	コリー
collision	コリジョン
collision	衝突 [しょうとつ]
colloid	コロイド
colloid	膠状 [こうじょう]
colloidal	膠質 [こうしつ]
colloquialism	俗語 [ぞくご]
collusion	コリュージョン
collusion	内応 [ないおう]
collusion	内通 [ないつう]
collusion	気脈 [きみゃく]
collusion	結託 [けったく]
collusion	通謀 [つうぼう]
collusion	野合 [やごう]
collusion	馴れ合い [なれあい]
colon	大腸 [だいちょう]
colon	結腸 [けっちょう]
colon	重点 [じゅうてん]
colonel	大佐 [たいさ]
colonial	コロニアル
colonialism	植民地主義 [しょくみんちしゅぎ]
colonist	開拓者 [かいたくしゃ]
colonization	屯田 [とんでん]
colonization	拓殖 [たくしょく]
colonization	植民 [しょくみん]
colonization	植民地化 [しょくみんちか]
colonization	殖民 [しょくみん]
colony	コロニー
colony	植民地 [しょくみんち]
colophon	奥付け [おくづけ]
color	呈色 [ていしき]
color	呈色 [ていしょく]
color	隈取り [くまどり]
coloration	呈色 [ていしき]
coloration	呈色 [ていしょく]
coloration	彩り [いろどり]
coloratura	コロラチュラ
colorful	カラフル
colorless	カラーレス
colostrum	初乳 [しょにゅう]
colour	カラー
colour	彩る [いろどる]
colour	染める [そめる]
colour	色めく [いろめく]
colour	色取る [いろどる]
colour	色彩 [しきさい]
colour	色艶 [いろつや]
colouring	彩色 [さいしき]
colouring	彩色 [さいしょく]
colouring	着色 [ちゃくしょく]
colouring	色気 [いろけ]
colourless	無色 [むしょく]
colt	小馬 [こうま]
column	カラム
column	コラム
column	円柱 [えんちゅう]
column	囲み [かこみ]
column	桁 [けた]
column	縦列 [じゅうれつ]
columnist	コラムニスト
comb	櫛 [くし]
combat	コンバット
combat	実戦 [じっせん]
combat	戦う [たたかう]
combat	戦闘 [せんとう]
combat	闘う [たたかう]
combatant	戦士 [せんし]
combatant	戦闘員 [せんとういん]
combination	コンビ
combination	コンビネーション
combination	併有 [へいゆう]
combination	兼帯 [けんたい]
combination	兼用 [けんよう]
combination	取り合わせ [とりあわせ]
combination	合併 [がっぺい]
combination	合同 [ごうどう]
combination	団結 [だんけつ]
combination	組み合せ [くみあわせ]
combination	組み合わせ [くみあわせ]
combination	組合せ [くみあわせ]
combination	組合わせ [くみあわせ]
combination	結合 [けつごう]
combination	聯合 [れんごう]
combination	詰め合わせ [つめあわせ]
combination	配偶 [はいぐう]
combination	配合 [はいごう]
combine	コンツェルン
combine	コンバイン
combine	合する [がっする]
combine	合わす [あわす]
combine	合わせる [あわせる]
combine	組み合す [くみあわす]
combine	組み合わせる [くみあわせる]
combine	結びつける [むすびつける]
combine	結び付ける [むすびつける]
