飼い主 かいぬし	271-2407-B
飼い桶 かいおけ	182-3247-B
飼い葉 かいば	122-2852-B
飼い葉桶 かいばおけ	69-5705-B,182-3279-B
飼い馴らす かいならす	91-4762-B,302-3054-B
飼い鳥 かいどり	226-4225-B
飼う かう	168-756-B,240-1581-B
飼主 かいぬし	271-2441-B
飼料 しりょう	122-2881-B
飼育 しいく	36-87-B,240-1889-B,242-2150-B
飼養 しよう	36-115-B,240-1916-B
飽かす あかす	33-5360-B,133-2824-B,261-4099-B,309-390-B,330-4838-B
飽き あき	330-4495-B
飽きっぽい あきっぽい	41-5937-B,117-6122-B
飽き足らない あきたらない	320-5450-B
飽くことを知らない あくことをしらない	159-3399-B
飽くまで あくまで	218-1289-B,292-6041-B
飽く迄 あくまで	218-1330-B,292-6080-B
飽く迄も あくまでも	218-696-B,306-5531-B
飽和 ほうわ	261-5089-B
飽満 ほうまん	261-4164-B,298-4408-B
飽食 ほうしょく	133-3339-B,261-4129-B
飾り かざり	76-6207-B
飾りつける かざりつける	76-5895-B,88-4233-B
飾り付け かざりつけ	18-3911-B,76-6237-B
飾り付ける かざりつける	76-5941-B,88-4278-B
飾り気 かざりけ	7-4913-B
飾り気のない かざりけのない	221-4714-B
飾り気の無い かざりけのない	221-4763-B
飾り物 かざりもの	76-6279-B,118-3597-B,208-1451-B
飾る かざる	6-5542-B,76-5987-B,208-1488-B
飾付 かざりつけ	18-3954-B,76-6318-B
餅草 もちぐさ	195-905-B
養い やしない	201-1508-B,202-549-B,202-1075-B,242-2177-B
養い育てる やしないそだてる	125-1821-B,242-1928-B
養う やしなう	71-5673-B,181-1992-B,242-1976-B
養分 ようぶん	201-1542-B,202-913-B
養子 ようし	281-1424-B
養子縁組 ようしえんぐみ	6-4931-B
養成 ようせい	83-65-B,311-5858-B
養殖 ようしょく	72-65-B,72-733-B,240-1943-B
養殖場 ようしょくじょう	115-1259-B,202-96-B
養生 ようじょう	149-3891-B,245-576-B
養育 よういく	242-2207-B,321-1492-B
養蜂家 ようほうか	28-81-B
養護 ようご	202-432-B,234-5785-B
養魚場 ようぎょじょう	141-3631-B
餌 えさ	24-5286-B
餌食 えじき	230-494-B,325-4104-B
餓える うえる	287-4232-B,306-3700-B
餓鬼 がき	35-1796-B,131-5794-B
餓鬼大将 がきだいしょう	38-1952-B
館 かん	38-345-B,138-1995-B,139-2888-B,147-5170-B,148-63-B,159-452-B
館主 かんしゅ	182-2907-B
