救い主 すくいぬし	251-3484-B
救い出す すくいだす	126-2352-B,251-3193-B
救ける たすける	1-3122-B,143-4426-B,233-1237-B,247-2596-B,251-3231-B,261-5902-B
救世 きゅうせい	261-369-B
救世主 きゅうせいしゅ	188-1244-B
救出 きゅうしゅつ	78-6184-B,112-3036-B,244-929-B,251-3263-B
救助 きゅうじょ	9-2633-B,248-2012-B,251-3298-B
救助船 きゅうじょせん	175-353-B
救命ボート きゅうめいボート	175-396-B
救命艇 きゅうめいてい	175-448-B
救急車 きゅうきゅうしゃ	12-2068-B
救援 きゅうえん	247-2774-B,248-2044-B,251-3330-B
救援投手 きゅうえんとうしゅ	119-3345-B
救済 きゅうさい	9-2662-B,143-4456-B,248-2076-B,251-3362-B,261-404-B
救護 きゅうご	9-2691-B,248-2108-B
救難 きゅうなん	251-3394-B,261-336-B
敗る やぶる	77-3232-B,82-1130-B,278-3242-B,303-2681-B,326-1521-B
敗北主義 はいぼくしゅぎ	77-3519-B
敗戦 はいせん	77-3258-B
敗残 はいざん	77-3287-B
敗者 はいしゃ	178-4300-B
敗軍 はいぐん	77-3316-B
教え おしえ	91-2561-B,173-5783-B,227-4046-B
教える おしえる	157-7091-B,160-6859-B,303-1711-B
教え子 おしえご	86-2765-B,293-592-B
教会 きょうかい	49-4243-B
教会堂 きょうかいどう	46-3193-B,49-4275-B
教典 きょうてん	41-3108-B
教則本 きょうそくぼん	183-526-B
教化 きょうか	50-2161-B,72-580-B,97-3739-B
教区 きょうく	212-5188-B
教区民 きょうくみん	212-5279-B
教唆 きょうさ	160-5958-B
教唆者 きょうさしゃ	160-6101-B
教場 きょうじょう	50-5864-B
教壇 きょうだん	222-3226-B
教官 きょうかん	161-940-B,232-519-B,303-2002-B
教室 きょうしつ	50-5902-B
教導 きょうどう	161-383-B,303-2132-B
教徒 きょうと	5-5437-B,28-5246-B
教戒 きょうかい	6-4021-B,109-3664-B,227-3093-B
教授 きょうじゅ	161-420-B,232-554-B,303-2166-B
教授法 きょうじゅほう	215-3071-B
教授陣 きょうじゅじん	113-1180-B
教本 きょうほん	305-2860-B
教条 きょうじょう	91-3615-B,304-4462-B
教条主義 きょうじょうしゅぎ	91-3706-B
教派 きょうは	79-4503-B,265-3207-B
教父 きょうふ	133-5341-B
教理 きょうり	91-2589-B
教示 きょうじ	161-457-B,303-2200-B
教科 きょうか	72-3567-B,294-186-B
教程 きょうてい	72-3600-B,305-2894-B
教義 きょうぎ	69-4393-B,91-2620-B
教習 きょうしゅう	161-491-B,311-5176-B
教習生 きょうしゅうせい	293-625-B,311-4315-B
教職員 きょうしょくいん	113-1222-B
教育 きょういく	97-3771-B,311-5213-B
教育学 きょういくがく	215-3114-B
教育家 きょういくか	97-4064-B,303-2035-B
教育的 きょういくてき	97-3969-B,161-596-B
教育者 きょういくしゃ	97-4015-B
教育課程 きょういくかてい	72-3636-B
教訓 きょうくん	173-5809-B,227-4073-B
教訓を垂れる きょうくんをたれる	173-935-B
教訓的 きょうくんてき	161-642-B
教誨 きょうかい	6-4059-B,109-3701-B,227-3128-B
教諭 きょうゆ	303-2074-B
教養 きょうよう	71-5739-B,72-610-B,97-3806-B,245-5602-B
敢えない あえない	311-3575-B,311-3671-B
敢え無い あえない	311-3610-B,311-3710-B
敢え無く あえなく	260-1850-B,311-3749-B
敢為 かんい	74-2950-B
敢然 かんぜん	33-245-B
散々 さんざん	141-2309-B,269-4373-B,305-589-B,322-4058-B
散ける ばらける	320-3338-B
散らす ちらす	88-3053-B,90-613-B,262-4724-B
散る ちる	114-1318-B
散乱 さんらん	88-3258-B
散会 さんかい	6-254-B
散布 さんぷ	89-1801-B
散弾銃 さんだんじゅう	272-3028-B
散播く ばらまく	89-1625-B,262-4754-B
散散 さんざん	141-2339-B,269-4404-B,305-620-B,322-4088-B
散文 さんぶん	234-1971-B
散文的 さんぶんてき	234-1932-B
散歩 さんぽ	292-3015-B,328-2563-B
散歩道 さんぽみち	105-1385-B,232-6038-B,328-2587-B
散水 さんすい	165-1843-B
散漫 さんまん	82-2039-B,84-2035-B,178-3291-B,322-5999-B
散発 さんぱつ	262-5136-B,285-457-B
散発的 さんぱつてき	285-488-B
散策 さんさく	328-2869-B
散蒔く ばらまく	89-1662-B,262-4787-B
散財 さんざい	110-2029-B,112-1165-B
散開 さんかい	80-1827-B
散髪屋 さんぱつや	25-4444-B
敦朴 とんぼく	274-3729-B
敦樸 とんぼく	274-3758-B
敦煌 とんこう	274-4711-B
敦睦 とんぼく	7-5346-B
敬い うやまい	105-3642-B,146-5758-B,252-3492-B,254-4377-B,324-3116-B
敬う うやまう	147-52-B
敬する けいする	252-3522-B
敬意 けいい	147-81-B,252-3555-B
敬礼 けいれい	261-211-B
敬神 けいしん	220-1932-B,254-4409-B
敬虔 けいけん	83-1962-B,192-2217-B,220-4995-B
敬語 けいご	146-6057-B
数 かず	118-3370-B,201-5027-B
数 すう	118-3390-B,201-5047-B
数々 かずかず	183-1901-B
数える かぞえる	67-3084-B
数え上げる かぞえあげる	103-4015-B
数え切れない かぞえきれない	67-5463-B,154-461-B
数え立てる かぞえたてる	103-4062-B
数に入れる かずにいれる	67-3115-B
数価 すうか	323-1298-B
数係数 すうけいすう	53-2997-B
数列 すうれつ	232-3687-B
数取り かずとり	67-5400-B
数多 あまた	183-1928-B,195-150-B,195-2428-B
数多 すうた	183-1952-B,195-174-B,195-2457-B
数多い あまたい	183-1976-B
数奇 すうき	190-5754-B
数字 すうじ	118-3410-B,201-5231-B
数学 すうがく	18-41-B,184-5880-B
数学的 すうがくてき	184-5791-B
数学者 すうがくしゃ	184-5835-B
数数 かずかず	183-2006-B
数理 すうり	184-5914-B
数表示 すうひょうじ	201-5258-B
数詞 すうし	201-5297-B
数量 すうりょう	238-22-B,327-4221-B
整え ととのえ	18-3553-B,109-777-B,228-4848-B
整える ととのえる	6-515-B,18-2670-B,228-5269-B
整体 せいたい	48-5969-B
整備 せいび	6-843-B,58-69-B,62-4565-B
整備工場 せいびこうじょう	129-4395-B
整合 せいごう	6-873-B,60-6244-B,65-4797-B,161-3187-B
整合性 せいごうせい	62-3776-B,161-3641-B
整復 せいふく	250-4002-B
整数 せいすう	161-2952-B
整斉 せいせい	300-5354-B
整流 せいりゅう	245-222-B
整流器 せいりゅうき	245-333-B
整流子 せいりゅうし	56-2765-B
整然 せいぜん	4-948-B,207-1097-B,246-6554-B,314-3464-B
整然たる せいぜんたる	207-1127-B,301-3082-B
整然と せいぜんと	308-709-B
整理 せいり	6-906-B,18-3587-B,247-458-B,281-4777-B
整理統合 せいりとうごう	62-4598-B
整頓 せいとん	207-994-B
整風 せいふう	245-261-B
整骨師 せいこつし	208-3180-B
敵 かたき	101-4842-B,256-5306-B
敵 てき	101-4864-B,256-5328-B
敵う かなう	184-3708-B
敵対 てきたい	14-2693-B,147-4820-B,206-3246-B
敵対関係 てきたいかんけい	14-2726-B
敵意 てきい	13-4015-B,147-4852-B
敵愾心 てきがいしん	102-3250-B,147-4881-B
敵手 てきしゅ	101-4883-B,256-5347-B
敵討ち かたきうち	254-3349-B
敷き布団 しきぶとん	185-536-B
敷き皮 しきがわ	160-1519-B
敷き詰める しきつめる	172-288-B
敷き革 しきがわ	160-1551-B
敷地 しきち	275-3845-B
