遅遅 ちち	278-216-B
遅遅たる ちちたる	278-237-B,302-4392-B
遅鈍 ちどん	94-5406-B,293-3252-B
遇う あう	100-5289-B,186-3836-B
遇する ぐうする	102-6220-B,313-3860-B
遊び あそび	222-4775-B
遊び事 あそびごと	90-4450-B,129-3283-B,214-907-B,244-6986-B
遊び人 あそびにん	222-4202-B
遊び仲間 あそびなかま	222-4802-B
遊び場 あそびば	222-4622-B
遊び女 あそびめ	234-4639-B
遊び時間 あそびじかん	222-4888-B,243-4333-B
遊び相手 あそびあいて	222-4845-B
遊休 ゆうきゅう	114-2038-B,150-3056-B
遊冶郎 ゆうやろう	174-3687-B
遊君 ゆうくん	234-4675-B
遊女 ゆうじょ	141-113-B,234-4708-B
遊子 ゆうし	313-1550-B,328-3605-B
遊客 ゆうかく	222-4238-B,273-4666-B
遊山 ゆさん	108-6614-B,208-5656-B,220-396-B
遊惰 ゆうだ	156-5491-B
遊戯 ゆうぎ	129-3316-B,222-4023-B
遊戯的 ゆうぎてき	222-4479-B
遊撃 ゆうげき	240-153-B
遊星 ゆうせい	222-747-B
遊楽 ゆうらく	12-5077-B
遊歩 ゆうほ	232-6076-B,328-2752-B
遊歩道 ゆうほどう	105-1423-B,232-6105-B
遊歴 ゆうれき	310-4560-B
遊民 ゆうみん	150-3415-B
遊泳 ゆうえい	300-1789-B
遊牝む つるむ	184-4755-B
遊猟 ゆうりょう	149-1069-B
遊行 ゆうこう	328-3468-B
遊覧地 ゆうらんち	252-2719-B
遊覧客 ゆうらんきゃく	273-4698-B,310-4905-B
遊離 ゆうり	165-3663-B,268-2207-B
運 うん	125-1220-B,179-3737-B
運び はこび	43-460-B,210-4442-B,232-3659-B,286-2780-B,288-4449-B
運ぶ はこぶ	312-7004-B
運よく うんよく	179-3860-B
運動 うんどう	109-1896-B,194-2325-B
運動力 うんどうりょく	152-3936-B
運動員 うんどういん	41-285-B
運動選手 うんどうせんしゅ	21-2249-B
運動量 うんどうりょう	192-4961-B
運勢 うんせい	179-3755-B
運命 うんめい	115-5105-B
運命論 うんめいろん	115-4454-B
運命論者 うんめいろんしゃ	115-4546-B
運営 うんえい	6-1569-B,182-2085-B,205-5779-B
運営上 うんえいじょう	206-46-B
運営経費 うんえいけいひ	37-5040-B
運営者 うんえいしゃ	6-1687-B,182-2868-B
運営費 うんえいひ	37-5084-B
運悪く うんわるく	320-1681-B
運搬 うんぱん	43-488-B,312-7033-B
運搬人 うんぱんにん	43-729-B,65-1544-B
運搬作用 うんぱんさよう	313-108-B
運気 うんき	115-5132-B,125-1241-B
運河 うんが	41-1267-B,330-0-B
運漕 うんそう	271-4394-B
運用 うんよう	16-2971-B,164-4349-B
運算 うんざん	40-1952-B
運良く うんよく	179-3893-B
運行 うんこう	194-2354-B,255-1600-B
運賃 うんちん	115-583-B
運転 うんてん	94-602-B,194-2383-B,205-5811-B
運転士 うんてんし	184-4782-B
運転手 うんてんしゅ	47-3391-B,94-447-B
運輸 うんゆ	313-160-B
運輸業者 うんゆぎょうしゃ	43-768-B
運送 うんそう	271-4425-B
運送人 うんそうにん	43-816-B
運送料 うんそうりょう	43-1245-B
運送業者 うんそうぎょうしゃ	43-855-B
運送船 うんそうせん	126-4134-B
遍在 へんざい	205-723-B,316-5783-B
遍歴 へんれき	220-2799-B
遍路 へんろ	220-2589-B
過ぎ すぎ	8-773-B,214-422-B
過ぎる すぎる	98-2803-B,213-4069-B
過ぎ去った可能性 すぎさったかのうせい	189-1502-B
過ぎ去る すぎさる	213-4096-B
過ぎ行く すぎいく	213-4129-B
過ぎ行く すぎゆく	213-4162-B
過ごす すごす	213-4195-B,283-3826-B
過ち あやまち	104-5267-B,116-744-B,156-2924-B
過つ あやまつ	104-4731-B
過分 かぶん	108-3792-B,131-410-B
過剰 かじょう	108-3221-B
過剰生産 かじょうせいさん	210-1153-B
過労 かろう	210-3225-B,291-133-B
過勤 かきん	210-3253-B
過半数 かはんすう	181-3455-B
過多 かた	108-3250-B,297-569-B
過大 かだい	108-3821-B,320-4398-B
過大視 かだいし	209-5299-B
過大評価 かだいひょうか	209-5339-B
過失 かしつ	3-2683-B,32-1985-B,116-772-B
過小評価 かしょうひょうか	318-381-B,318-4402-B
過度 かど	108-3273-B
過当 かとう	108-3850-B,109-5449-B
過怠 かたい	42-5463-B,191-2208-B,198-1315-B
過振り かぶり	209-4949-B
過敏 かびん	198-3538-B
過敏症 かびんしょう	149-4522-B
過日 かじつ	243-3207-B
過渡 かと	70-5068-B,117-3172-B
過渡現象 かとげんしょう	312-4306-B
過渡的 かとてき	312-4739-B
過激 かげき	112-2055-B,239-4128-B
過疎 かそ	80-1966-B
過程 かてい	231-3531-B
過給機 かきゅうき	297-966-B
過般 かはん	243-3235-B
過言 かごん	107-4156-B
過誤 かご	116-797-B,191-2235-B
過酷 かこく	71-1803-B,141-2265-B,256-1304-B,269-4859-B
過酸化物 かさんかぶつ	217-5263-B
過重 かじゅう	210-2891-B
過量 かりょう	209-4760-B
道 みち	188-3336-B,257-437-B,291-4449-B,330-1345-B
道ならぬ みちならぬ	151-5644-B
道のり みちのり	89-3122-B,330-1362-B
道中 どうちゅう	166-5343-B
道具 どうぐ	152-4415-B,310-48-B
道具箱 どうぐばこ	310-108-B
道化 どうけ	37-5407-B
道化る どうける	166-1680-B
道化役者 どうけやくしゃ	52-4600-B
道化方 どうけがた	166-1710-B
道化者 どうけもの	166-1745-B
道学者 どうがくしゃ	193-5191-B
道徳上 どうとくじょう	193-5353-B
道徳的 どうとくてき	106-370-B,193-5109-B
道案内 みちあんない	138-2477-B,138-2917-B
道楽 どうらく	89-2509-B,145-5727-B,214-943-B
道楽者 どうらくもの	174-3725-B
道標 どうひょう	138-2954-B,274-721-B
道標 みちしるべ	138-2985-B,274-755-B
道理 どうり	242-3306-B,315-3743-B
道理で どうりで	155-4707-B
道破 どうは	76-3487-B
道程 どうてい	89-3156-B,165-5352-B,166-5376-B,231-3558-B
道程 みちのり	89-3187-B,165-5384-B,166-5406-B,231-3588-B
道端 みちばた	257-610-B,330-1510-B
道筋 みちすじ	165-5416-B,214-1685-B,258-3874-B
道義 どうぎ	193-5325-B
道路 どうろ	145-1240-B,257-455-B
道路封鎖 どうろふうさ	257-479-B
道路標識 どうろひょうしき	274-789-B
道辺 みちべ	257-641-B
道順 みちじゅん	165-5448-B,258-3902-B
達し たっし	201-815-B
達する たっする	241-3162-B
達人 たつじん	110-3444-B,184-2101-B
達弁 たつべん	99-1606-B
達意 たつい	161-4976-B,179-3418-B,218-3631-B
達成 たっせい	4-2394-B
達磨 だるま	234-4741-B
達磨船 だるません	25-5315-B,175-2353-B
達者 たっしゃ	276-1834-B
達見 たっけん	159-6191-B
達識 たっしき	159-6221-B
違い ちがい	84-591-B,87-148-B
違える ちがえる	46-2153-B
違例 いれい	317-6876-B
違反 いはん	35-3100-B,158-1718-B,312-3797-B
違命 いめい	88-898-B
違和感 いわかん	154-5366-B,181-4947-B
違式 いしき	158-414-B
違法 いほう	150-5270-B,150-5414-B,320-1431-B
違法性 いほうせい	150-5444-B
違法者 いほうしゃ	171-5246-B
違犯 いはん	35-3126-B,158-1750-B,312-3830-B
違犯者 いはんしゃ	204-433-B,326-1970-B
違犯行為 いはんこうい	204-734-B,326-1897-B
違算 いさん	190-2545-B
違約 いやく	77-2839-B
違背 いはい	312-3863-B,326-1941-B
遜色 そんしょく	157-3899-B
遠 とお	89-3508-B
遠い とおい	89-3529-B,114-5890-B
遠からず とおからず	281-2546-B
遠く とおく	89-3556-B
遠吠え とおぼえ	148-2263-B
遠回り とおまわり	82-5754-B
遠大 えんだい	115-130-B,135-2321-B
遠征 えんせい	41-254-B
遠心 えんしん	45-1364-B
遠心分 えんしんぶん	45-1226-B
遠心分離 えんしんぶんり	45-1312-B,45-1397-B
遠心分離機 えんしんぶんりき	45-1445-B
遠心機 えんしんき	45-1499-B
