水薬 すいやく	226-3790-B
水薬 みずぐすり	226-3819-B
水蝕 すいしょく	104-4471-B
水路 すいろ	17-1953-B,46-2465-B,329-6307-B
水辺 すいへん	329-5943-B
水辺 みずべ	329-5975-B
水道屋 すいどうや	223-2766-B
水道工事 すいどうこうじ	330-73-B
水道栓 すいどうせん	116-264-B,149-2938-B,302-3797-B
水酸化 すいさんか	149-3138-B
水酸化物 すいさんかぶつ	149-3615-B
水銀 すいぎん	187-4586-B
水陸両用 すいりくりょうよう	12-4298-B
水際 みずぎわ	27-525-B
水難 すいなん	121-4409-B,271-4456-B
水面下 すいめんか	318-4493-B
水頭症 すいとうしょう	149-3222-B
水食 すいしょく	104-4504-B
水飢饉 みずききん	94-2208-B
水鳥 すいちょう	329-5493-B
水鳥 みずとり	329-5528-B
水鳥 みずどり	329-5560-B
氷 こおり	149-5971-B
氷 ひ	139-1179-B,149-5991-B
氷る こおる	61-1279-B,126-3461-B
氷山 ひょうざん	149-6033-B
氷柱 つらら	149-6125-B
氷柱 ひょうちゅう	149-6151-B
氷河 ひょうが	132-3007-B
氷炭 ひょうたん	64-1028-B
氷結 ひょうけつ	126-3487-B,126-3859-B
氷解 ひょうかい	187-202-B
氷雨 ひさめ	139-1194-B
永々 えいえい	124-945-B
永い ながい	173-5029-B,178-1073-B
永の ながの	105-5230-B,178-1097-B
永らく ながらく	178-1121-B
永世 えいせい	105-6457-B,151-6335-B,217-3619-B,217-6038-B
永久 えいきゅう	106-0-B,151-6369-B,217-6071-B
永久 とこしえ	106-34-B,151-6406-B,217-6107-B
永久 とわ	106-65-B,151-6440-B,217-6140-B
永久に えいきゅうに	106-4700-B
永久に とこしえに	106-4745-B
永久凍土 えいきゅうとうど	217-3505-B
永久性 えいきゅうせい	217-3937-B
永代 えいたい	106-90-B,217-3652-B
永住者 えいじゅうしゃ	79-4286-B
永劫 えいごう	106-121-B,217-6167-B
永存 えいそん	95-1593-B,217-3685-B,217-6200-B
永存 えいぞん	95-1626-B,217-3718-B,217-6233-B
永永 えいえい	124-975-B
永生 えいせい	151-6468-B
永眠 えいみん	75-3055-B
永続 えいぞく	63-5599-B,217-3751-B
永続き ながつづき	63-5634-B,217-3784-B
永続性 えいぞくせい	217-3823-B,218-910-B
永遠 えいえん	106-152-B,151-6502-B,217-3865-B,217-6266-B
氾濫 はんらん	121-4437-B
汀 みぎわ	272-1477-B
汀線 ていせん	272-1702-B
汁 しる	37-1733-B,167-2246-B,261-3204-B,282-167-B
汁 つゆ	37-1752-B,167-2265-B,261-3221-B,282-185-B
汁気 しるけ	167-2284-B
汁液 じゅうえき	167-2309-B
汁物 しるもの	282-203-B
求む もとむ	251-1480-B,266-135-B,328-4664-B
求め もとめ	15-4701-B,50-2464-B,79-1264-B,251-1507-B
求める もとめる	39-3068-B,79-1290-B,251-1534-B,266-159-B,328-4688-B
求人者 きゅうじんしゃ	100-1899-B
求刑 きゅうけい	234-2064-B
求婚 きゅうこん	68-2586-B
求婚者 きゅうこんしゃ	296-2606-B
求心 きゅうしん	45-1571-B
求縁 きゅうえん	68-2621-B
求道者 きゅうどうしゃ	164-3907-B
汎愛 はんあい	219-2605-B
汎用 はんよう	10-3191-B,130-5949-B
汎神論 はんしんろん	211-5669-B
汎論 はんろん	208-6635-B
汐合い しおあい	46-220-B,206-1954-B
汗 あせ	218-3662-B,299-5463-B
汗をかく あせをかく	218-3723-B
汗を掻く あせをかく	218-3763-B,299-5482-B
汗水 あせみず	299-5519-B
汚い きたない	85-4056-B,118-4697-B,317-5049-B
汚す けがす	63-3359-B,87-5119-B,280-970-B,286-3891-B
汚す よごす	63-3390-B,87-5148-B,280-994-B,286-3916-B
汚らしい きたならしい	285-5410-B
汚らわしい けがらわしい	118-4726-B,318-7168-B
汚れ けがれ	87-3345-B,153-5424-B,317-5115-B
汚れ よごれ	85-3852-B,118-4574-B
汚名 おめい	87-5177-B,157-2313-B,289-2337-B
汚損 おそん	286-3941-B
汚染 おせん	63-3445-B,224-3473-B
汚染物質 おせんぶっしつ	63-3270-B,224-3362-B
汚染菌 おせんきん	63-3319-B
汚染除去 おせんじょきょ	76-5796-B
汚水 おすい	269-4964-B
汚濁 おだく	67-227-B,85-4084-B,135-1162-B
汚点 おてん	32-416-B,87-3373-B,121-867-B,286-3966-B
汚物 おぶつ	85-3876-B,95-2467-B,129-4720-B
汚職 おしょく	67-257-B
汚辱 おじょく	87-3401-B,148-5355-B,161-2275-B
汝 うぬ	336-5400-B
汝 なんじ	336-5417-B
江 え	27-26-B,159-96-B
江山 こうざん	170-4953-B
池 いけ	224-4684-B
汲々 きゅうきゅう	84-4797-B
汲み上げる くみあげる	93-1048-B
汲み取る くみとる	318-2031-B
汲む くむ	85-985-B,170-1282-B,236-2420-B,263-3443-B
汲汲 きゅうきゅう	84-4835-B
決 けつ	76-2188-B,327-5372-B
決して けっして	198-4850-B
決する けっする	76-1403-B,82-4818-B
決まって きまって	247-330-B
決まり きまり	59-4316-B,73-636-B,247-524-B,259-1855-B,269-1755-B
決まりきった きまりきった	203-3408-B
決まり手 きまりて	51-6004-B
決まり文句 きまりもんく	51-4572-B
決め きめ	9-1706-B,259-1882-B
決めつける きめつける	263-3244-B
決める きめる	76-1435-B
決め付ける きめつける	263-3284-B
決め所 きめどころ	71-358-B,216-5311-B
決め手 きめて	51-6041-B
決め込む きめこむ	20-6314-B,229-4704-B
決り文句 きまりもんく	51-4616-B
決別 けつべつ	115-855-B,268-2138-B
決定 けってい	76-2210-B,82-4642-B
決定的 けっていてき	59-4910-B,76-2669-B,77-5540-B,118-4947-B
決定論 けっていろん	82-4918-B
決心 けっしん	82-4678-B,252-2157-B
決意 けつい	76-2241-B,82-4714-B
決断 けつだん	76-2269-B,82-4747-B
決断力 けつだんりょく	76-2709-B
決済 けっさい	176-2206-B,269-1788-B
決潰 けっかい	54-1087-B,259-4094-B
決然 けつぜん	76-2816-B,252-1888-B
決然たる けつぜんたる	76-2752-B,252-1675-B
決着 けっちゃく	59-4349-B,76-2300-B,101-1761-B,269-1821-B
決裁 けっさい	17-443-B,261-1741-B
決裂 けつれつ	35-4414-B,259-4124-B
決議 けつぎ	76-2334-B,252-2190-B,327-5390-B
決議機関 けつぎきかん	44-1884-B
決闘 けっとう	94-4435-B
汽缶 きかん	32-5305-B
汽罐 きかん	32-5331-B
汽船 きせん	288-3103-B
沁みる しみる	216-218-B
沁み沁みと しみじみと	96-1703-B,128-677-B,142-4709-B,168-346-B,268-4445-B
沃地 よくち	202-1645-B
沈む しずむ	275-2759-B
沈める しずめる	275-2783-B,294-1646-B
沈下 ちんか	275-3004-B,294-3984-B
沈吟 ちんぎん	148-3100-B,186-2514-B
沈思 ちんし	63-3670-B,186-2547-B
沈殿 ちんでん	80-2955-B,227-4635-B
沈没 ちんぼつ	275-3031-B
沈渣 ちんさ	265-5264-B,278-823-B
沈滞 ちんたい	153-6264-B,286-3662-B
沈潜 ちんせん	63-3703-B
沈澱 ちんでん	80-2988-B,227-4671-B
沈澱物 ちんでんぶつ	265-5292-B
沈痛 ちんつう	216-2260-B
沈着 ちんちゃく	40-5210-B,58-3302-B
沈砂 ちんさ	137-1642-B
沈積 ちんせき	265-5414-B
沈降 ちんこう	227-4536-B,269-1272-B
沈静 ちんせい	94-5375-B,289-3252-B,312-1014-B
沈香 じんこう	11-1485-B
沈鬱 ちんうつ	80-4547-B,132-5825-B,186-5672-B
沈黙 ちんもく	253-5329-B,274-1035-B
沐浴 もくよく	26-3763-B
沓手鳥 ほととぎす	71-4843-B
沖仲仕 おきなかし	289-174-B
沖合 おきあい	53-1103-B
沖合い おきあい	53-1131-B
沖積 ちゅうせき	11-564-B
沖積層 ちゅうせきそう	11-598-B
沙汰 さた	7-4185-B,287-4842-B
沙漠 さばく	81-671-B
沙蚕 ごかい	179-4136-B
沙魚 はぜ	133-5090-B
沛然 はいぜん	310-2358-B
没 ぼつ	75-3083-B,86-1433-B
没する ぼっする	83-5814-B,323-3829-B
没個性的 ぼつこせいてき	152-2807-B
没後 ぼつご	226-915-B
没我 ぼつが	267-802-B
没我的 ぼつがてき	267-765-B
没落 ぼつらく	54-1118-B,114-1339-B,259-1299-B
没趣味 ぼつしゅみ	56-1430-B,160-1046-B,323-4296-B
沢 さわ	73-5573-B,183-5056-B,299-4583-B,323-1796-B
沢山 たくさん	183-2033-B,195-198-B
沮喪 そそう	78-2690-B
沮害 そがい	47-4731-B,145-2383-B,152-1933-B,203-2532-B
沮止 そし	47-4756-B,145-2412-B,203-2563-B
河 かわ	256-5689-B,291-3774-B
河の源 かわのみなもと	125-3524-B
河原鳩 かわらばと	220-1977-B
河口 かこう	105-4933-B
河口 かわぐち	105-4960-B
河岸 かがん	257-160-B
河岸 かし	257-189-B
河岸 かわぎし	257-215-B
河水 かすい	291-3794-B
河流 かりゅう	291-3820-B
河畔 かはん	257-247-B
河跡湖 かせきこ	30-2240-B
河馬 かば	145-3248-B
沸々 ふつふつ	274-3176-B
沸かす わかす	32-4853-B,142-5379-B
沸き上がる わきあがる	17-5888-B,266-572-B
沸き立つ わきたつ	117-2507-B,266-613-B
沸き起こる わきおこる	17-5928-B,39-139-B
沸き起る わきおこる	17-5968-B,39-179-B
沸き返る わきかえる	17-6005-B,266-648-B
沸く わく	32-4880-B
沸沸 ふつふつ	274-3205-B
沸騰 ふっとう	32-5380-B
油 あぶら	204-3782-B
油っ濃い あぶらっこい	116-27-B,136-1733-B,204-4047-B
油を引く あぶらをひく	204-3802-B
油単 ゆたん	204-3930-B
油壷 あぶらつぼ	204-3863-B
油差し あぶらさし	204-3895-B
油性 ゆせい	204-4086-B
油断 ゆだん	198-1153-B
油気 あぶらけ	136-1667-B,204-3958-B
油状 ゆじょう	204-4110-B
油脂 ゆし	115-3986-B
油虫 あぶらむし	53-2270-B,140-1735-B,212-3703-B
治す なおす	66-4051-B,72-2101-B,120-2362-B,142-2057-B,249-4264-B
治める おさめる	182-1058-B
