伝記 でんき	30-3751-B
伝記作者 でんきさくしゃ	30-3607-B
伝誦 でんしょう	311-2274-B
伝説 でんせつ	122-3557-B,173-2821-B,311-2309-B
伝送 でんそう	49-6070-B,56-2131-B,78-6308-B,84-2244-B,89-1732-B,233-4528-B,312-5822-B
伝送路 でんそうろ	175-5414-B,176-1105-B
伝道 でんどう	106-2718-B
伝道師 でんどうし	106-2787-B
伝道者 でんどうしゃ	106-2826-B
伝達 でんたつ	56-2167-B,78-6339-B
伝音器 でんおんき	186-4935-B
伯 はく	67-3034-B,317-4842-B
伯夫人 はくふじん	67-5329-B
伯母さん おばさん	22-5062-B
伯爵 はくしゃく	67-3053-B
伯父さん おじさん	317-4861-B
伯父貴 おじき	317-4895-B
估 こ	39-645-B,230-628-B,267-1268-B
伴 とも	56-3155-B,122-4632-B
伴う ともなう	3-4016-B
伴侶 はんりょ	56-3178-B,213-2800-B
伴奏者 ばんそうしゃ	3-3821-B
伴奏部 ばんそうぶ	3-3587-B
伶 れい	5-526-B
伶人 れいじん	190-725-B
伶俐 れいり	51-4132-B,260-2831-B
伶優 れいゆう	5-545-B
伸し上げる のしあげる	233-1006-B
伸し歩く のしあるく	299-4298-B
伸す のす	111-2139-B,165-0-B,285-2294-B,291-5714-B
伸ばす のばす	111-2162-B,173-4827-B,226-1460-B,232-5712-B,291-5738-B
伸び のび	108-3039-B,137-3628-B,226-1771-B,285-2317-B,298-5568-B
伸びやか のびやか	42-3125-B,55-998-B
伸びる のびる	111-2191-B,173-4858-B,285-2340-B
伸び上がる のびあがる	291-5768-B
伸び伸び のびのび	42-3162-B
伸び縮み のびちぢみ	98-2985-B,121-2105-B
伸展 しんてん	109-6592-B,111-2670-B
伸度 しんど	98-3027-B
伸張 しんちょう	99-1124-B,109-6624-B,111-2702-B
伸暢 しんちょう	99-1160-B,109-6659-B,111-2737-B
伸縮 しんしゅく	98-3057-B,121-2148-B
伸縮性 しんしゅくせい	98-3093-B
伸縮自在 しんしくじざい	98-2862-B,109-6410-B,121-2404-B
伸縮自在 しんしゅくじざい	98-2907-B,109-6458-B,121-2450-B
伸長 しんちょう	99-1196-B,109-6694-B,111-2772-B
伺い うかがい	40-2603-B,159-2631-B,238-2802-B,326-5733-B
伺い事 うかがいごと	159-2661-B
伺う うかがう	19-4179-B,142-2744-B,159-2516-B,326-5761-B
似せる にせる	65-5455-B,67-4202-B,124-1405-B,151-2501-B
似つかわしい につかわしい	16-6745-B,27-4581-B,296-2047-B
似て非なる にてひなる	67-4236-B
似る にる	251-4061-B
似付かわしい につかわしい	16-6797-B,27-4630-B,296-2096-B
似付く につく	27-4407-B,296-1303-B
似合い にあい	27-4679-B,296-2145-B
似合う にあう	27-4436-B,184-3456-B,296-1330-B
似合わしい にあわしい	27-4710-B,296-2176-B
似寄り により	274-2690-B
似寄る による	251-4086-B
似気ない にげない	320-1463-B
似気無い にげない	320-1498-B
似而非 えせ	114-2070-B
似非 えせ	114-2095-B,191-6086-B,235-4445-B,238-1982-B,270-2377-B,285-4514-B,335-5213-B
似非理屈 えせりくつ	281-3018-B
似非笑い えせわらい	278-4437-B
似非者 えせもの	67-4282-B,126-1940-B,153-284-B,270-2398-B
似顔 にがお	175-3590-B,225-3031-B
似顔画 にがおえ	175-3618-B
似顔絵 にがおえ	175-3652-B,225-3059-B
伽 とぎ	21-6663-B,22-530-B,102-6292-B,201-5624-B,202-243-B
伽芝居 とぎしばい	211-5818-B
伽藍 がらん	192-5381-B,304-1262-B
伽藍鳥 がらんちょう	215-5150-B
