太腿 ふともも	306-2799-B
太陰 たいいん	179-5131-B
太陽 たいよう	280-1272-B,296-4774-B
太陽光 たいようこう	296-5440-B
太陽光線 たいようこうせん	296-5480-B
太陽灯 たいようとう	296-5342-B
太陽黒点 たいようこくてん	297-313-B
太鼓 たいこ	94-2748-B,302-2889-B
太鼓持ち たいこもち	300-4121-B
太鼓腹 たいこばら	214-4830-B,226-3270-B
夫々 それぞれ	96-24-B,98-2095-B,106-5210-B,252-4602-B,269-3304-B
夫れ夫れ それぞれ	96-51-B,98-2124-B,106-5238-B,252-4637-B,269-3336-B
夫人 ふじん	180-2569-B,333-366-B
夫夫 それぞれ	96-84-B,98-2159-B,106-5272-B,252-4678-B,269-3374-B
夫婦 ふうふ	67-6192-B,211-2067-B
夫婦 みょうと	67-6218-B,211-2091-B
夫婦 めおと	67-6247-B,211-2118-B
夫婦別れ ふうふわかれ	91-885-B,268-2093-B
夫婦約束 ふうふやくそく	29-4256-B,102-33-B
夭 よう	40-942-B
失う うしなう	178-4075-B
失する しっする	124-1842-B,178-4102-B,191-569-B
失せる うせる	85-5480-B,323-3800-B
失せ去る うせさる	85-5512-B
失体 しったい	86-6932-B,87-3104-B,104-4968-B,113-2912-B,116-506-B,190-6574-B
失効 しっこう	1-1347-B,164-773-B,171-267-B
失命 しつめい	95-4674-B
失墜 しっつい	1-1022-B,114-1264-B,124-1356-B
失当 しっとう	153-3296-B,158-6148-B
失心 しっしん	113-3527-B,293-2349-B,300-3453-B,312-322-B
失念 しつねん	202-4703-B
失意 しつい	7-1723-B,81-3733-B,85-6566-B
失態 しったい	86-6964-B,87-3135-B,104-4996-B,113-2942-B,116-534-B,190-6610-B
失政 しっせい	190-5979-B
失敗 しっぱい	32-1727-B,113-2972-B,191-1887-B
失敬 しっけい	89-1257-B,152-3060-B,259-396-B,288-2413-B
失望 しつぼう	81-3760-B,86-0-B
失格 しっかく	89-822-B,99-483-B
失業 しつぎょう	318-5543-B
失権 しっけん	87-2664-B
失着 しっちゃく	191-1917-B,198-919-B
失神 しっしん	113-3555-B,293-2384-B,300-3481-B,312-351-B
失禁 しっきん	155-962-B
失策 しっさく	32-1757-B,104-5024-B,277-3823-B
失考 しっこう	191-3189-B
失職 しっしょく	318-5581-B
失脚 しっきゃく	114-2005-B
失見当 しつけんとう	88-1689-B
失読症 しつどくしょう	95-5193-B
失跡 しっせき	85-5959-B
失踪 しっそう	85-5995-B
失錯 しっさく	32-1787-B,104-5052-B,277-3850-B
失陥 しっかん	114-1291-B,299-56-B
夷 えびす	25-4004-B,261-5400-B
夷人 いじん	25-4030-B,83-565-B
夾竹桃 きょうちくとう	204-5041-B,258-107-B
夾雑物 きょうざつぶつ	6-3912-B,153-5381-B
奄々 えんえん	130-974-B
奄奄 えんえん	130-1004-B
奇々怪々 ききかいかい	31-1145-B
奇しくも くしくも	190-1772-B,196-1222-B,291-1226-B
奇っ怪 きっかい	196-869-B,291-517-B
奇なる きなる	96-5718-B,203-6138-B,291-550-B
奇体 きたい	72-2712-B,238-2448-B,291-580-B
奇奇怪怪 ききかいかい	31-1187-B
奇妙 きみょう	72-2739-B,238-2473-B,291-607-B
奇妙さ きみょうさ	291-1329-B
奇弁 きべん	281-3059-B
奇怪 きかい	196-905-B,209-1322-B,291-637-B,331-2255-B,334-4153-B
奇怪 きっかい	196-935-B,209-1352-B,291-664-B,331-2280-B,334-4182-B
奇想天外 きそうてんがい	31-1229-B
奇想曲 きそうきょく	41-5606-B
奇才 きさい	131-1462-B
奇抜 きばつ	96-5750-B,114-5589-B,201-1680-B,207-6103-B,291-694-B,292-1925-B
奇特 きとく	29-2307-B,55-3266-B,227-2126-B
奇特 きどく	29-2337-B,55-3297-B,227-2158-B
奇異 きい	203-6164-B,291-721-B,334-4214-B
奇矯 ききょう	96-5779-B
奇術 きじゅつ	180-3503-B
奇術師 きじゅつし	61-3101-B,167-2158-B,180-3723-B
奇警 きけい	207-6131-B,334-2955-B
奇貨 きか	72-2648-B
奇跡 きせき	183-5485-B,190-1457-B,334-3907-B
奇跡的 きせきてき	190-1661-B
奇蹟 きせき	183-5511-B,190-1484-B,334-3933-B
奇骨 きこつ	96-5811-B
奇麗 きれい	27-2965-B,51-68-B,113-4278-B,199-762-B,229-5650-B,308-852-B
奈何 いかん	148-1234-B
奈落 ならく	105-6253-B,143-3584-B
奈落の底 ならくのそこ	2-6395-B
奈辺 なへん	332-256-B
奉じる ほうじる	122-4228-B,202-2423-B
奉ずる ほうずる	77-399-B,122-4260-B,202-2453-B,268-5987-B
奉る たてまつる	204-1124-B,229-264-B,254-4045-B
奉る まつる	204-1155-B,229-297-B,254-4077-B
奉仕 ほうし	21-5932-B,269-75-B
奉仕女 ほうしめ	75-1086-B
奉公 ほうこう	16-5977-B,269-102-B
奉公人 ほうこうにん	100-1376-B,268-5463-B
奉加 ほうが	91-5561-B
奉呈 ほうてい	77-537-B,132-348-B,229-1179-B
奉唱 ほうしょう	275-1899-B
奉安 ほうあん	102-4698-B
奉拝 ほうはい	335-3921-B
奉持 ほうじ	27-1902-B
奉献 ほうけん	61-6009-B,77-570-B,229-1214-B
奉献頌 ほうけんしょう	204-1805-B
奉祀 ほうし	102-4729-B
奉祝 ほうしゅく	44-5261-B
奉納 ほうのう	77-603-B,202-3889-B,204-1675-B,229-1249-B
奉行 ぶぎょう	180-3950-B
奉迎 ほうげい	331-2575-B
奏する そうする	3-5191-B
奏功 そうこう	4-2258-B,127-5026-B,295-1479-B
奏効 そうこう	97-5832-B
奏曲 そうきょく	281-1554-B
奏法 そうほう	310-3779-B
奏者 そうしゃ	161-1099-B,222-4383-B
奏鳴曲 そうめいきょく	281-1586-B
契り ちぎり	82-210-B,223-715-B,233-277-B,327-5733-B
契る ちぎる	223-741-B,233-304-B,299-5369-B
契印 けいいん	302-2789-B
契合 けいごう	9-1286-B
契機 けいき	45-6423-B,206-1684-B
契約 けいやく	9-1318-B,56-2923-B,64-0-B
奔放 ほんぽう	112-1442-B,240-2629-B,333-723-B
奔走 ほんそう	5-253-B
奔騰 ほんとう	33-3721-B
奕 えき	171-816-B
奢侈 しゃし	112-1133-B,180-1156-B
奥 おく	162-4147-B
奥さん おくさん	180-2594-B,333-390-B
奥の手 おくのて	196-1407-B,265-1730-B
奥まって おくまって	159-678-B
奥ゆかしい おくゆかしい	148-4630-B,192-2050-B
奥付け おくづけ	54-4587-B
奥伝 おくでん	105-761-B
奥地 おうち	24-4290-B,145-3071-B,162-4169-B
奥地 おくち	24-4319-B,145-3101-B,162-4197-B
奥妙 おうみょう	265-1762-B
奥床しい おくゆかしい	134-4827-B,192-2094-B
奥底 おくそこ	80-4761-B
奥底 おくぞこ	80-4789-B
奥座敷 おくざしき	260-5613-B
奥方 おくがた	170-1441-B
奥書き おくがき	324-5062-B
奥様 おくさま	180-2625-B,333-420-B
奥深い おくふかい	77-1531-B,232-1880-B
奥深い おくぶかい	77-1564-B,232-1917-B
奥深さ おくふかさ	80-4817-B,232-2156-B
奥行 おくゆき	80-4851-B,173-4677-B
奥行き おくゆき	80-4879-B,173-4706-B
奥許し おくゆるし	85-1423-B,158-4555-B,265-1794-B
奨励 しょうれい	5-4140-B,100-6225-B,188-807-B,233-1864-B
奨励金 しょうれいきん	294-4227-B
奨学金 しょうがくきん	263-1859-B
奪い取る うばいとる	223-3833-B
奪い返す うばいかえす	243-706-B
奪う うばう	88-5987-B
奪取 だっしゅ	88-6017-B,322-2902-B
奪回 だっかい	243-750-B,244-6278-B,251-3077-B
奪掠 だつりゃく	220-3102-B,223-3872-B
奪略 だつりゃく	220-3135-B,223-3905-B
奪還 だっかん	243-782-B,244-6309-B,251-3106-B
奮い起こす ふるいおこす	54-2482-B,130-1887-B
奮い起す ふるいおこす	54-2527-B,130-1931-B
奮って ふるって	101-5135-B,142-4675-B,291-5204-B
奮激 ふんげき	160-3665-B,258-3466-B,289-5617-B
奮然 ふんぜん	252-1921-B
奮発 ふんぱつ	285-4786-B
奮起 ふんき	289-5927-B
女 おんな	334-3365-B
女 じょ	74-5025-B,132-1801-B,334-3387-B
女々しい めめしい	97-5319-B
女だてらに おんなだてらに	321-1088-B
女っぽい おんなっぽい	97-5358-B,117-1520-B,334-3636-B,334-3708-B
女に不自由 おんなにふじゆう	198-3014-B
女の人 おんなのひと	334-3406-B
女の子 おんなのこ	132-1819-B
女らしい おんならしい	117-1563-B,170-1686-B,334-3750-B
女主 おんなあるじ	170-4154-B,234-1476-B
女傑 じょけつ	144-3416-B
女優 じょゆう	5-858-B
女友達 おんなともだち	132-1930-B
女垂らし おんなたらし	219-2181-B
女女しい めめしい	97-5403-B
女嫌い おんなぎらい	190-6646-B
女子 おなご	132-1852-B,334-3443-B
女子 じょし	132-1876-B,334-3468-B
女学生 じょがくせい	263-2433-B
女将 おかみ	147-4592-B,170-4191-B,191-2628-B,234-1517-B
女将 じょしょう	147-4619-B,170-4219-B,191-2656-B,234-1549-B
女店員 じょてんいん	260-5285-B
女性 じょせい	334-3493-B
女性化 じょせいか	117-1925-B
女性器 じょせいき	72-1485-B
女性差別 じょせいさべつ	269-5513-B
女性的 じょせいてき	97-5442-B,117-1606-B
女性解放論 じょせいかいほうろん	117-1797-B
女房 にょうぼう	333-447-B
女房役 にょうぼうやく	20-5076-B
女振り おんなぶり	117-1646-B
女権拡張論者 じょけんかくちょうろんしゃ	117-1855-B
女流作家 じょりゅうさっか	22-6537-B
女王 じょおう	238-2202-B
女生 じょせい	263-2475-B
女生徒 じょせいと	263-2508-B
女神 じょしん	133-5220-B
女神 めがみ	133-5250-B
女給 じょきゅう	147-4652-B,328-2178-B
女色 じょしょく	180-436-B
女誑し おんなたらし	219-2227-B
女郎 じょろう	234-4285-B
女郎屋 じょろうや	37-1875-B
奴 やっこ	117-816-B,268-5502-B
奴 やつ	46-3093-B,117-839-B,138-5524-B
奴さん やっこさん	22-64-B,46-3111-B,117-859-B,123-2046-B,138-5541-B
奴婢 どひ	268-5526-B
奴婢 ぬひ	268-5550-B
奴等 やつら	306-1211-B
奴隷 どれい	268-5574-B,277-642-B
奴隷制度 どれいせいど	277-723-B
奸知 かんち	69-49-B,72-1053-B
奸計 かんけい	314-1748-B
好い加減 いいかげん	165-1686-B,192-876-B,240-2840-B,256-47-B,322-5962-B
好い気 いいき	206-4386-B
好き すき	122-5723-B,175-3712-B,179-219-B
好きだ すきだ	175-3101-B,179-240-B
好き好む すきこのむ	175-3128-B
好き嫌い すききらい	302-5683-B
好き者 すきもの	84-4194-B,173-629-B,202-1362-B
好く すく	175-3164-B,179-267-B
好ましい このましい	81-2001-B,175-3377-B,199-786-B
好み このみ	49-1033-B,175-3735-B,302-5720-B
好む このむ	175-3185-B,228-1262-B
好んで このんで	78-4049-B,162-77-B
好事 こうじ	72-2769-B,125-845-B
好事 こうず	72-2796-B,125-872-B
好事家 こうずか	84-4230-B
好個 こうこ	108-1992-B,119-1041-B,218-4396-B
好奇 こうき	159-3057-B
好奇心 こうきしん	72-2674-B,159-3092-B
好尚 こうしょう	114-5386-B,115-2358-B,302-5745-B
好意 こうい	68-1982-B,116-1082-B
好意的 こういてき	116-1477-B
好戦 こうせん	28-5580-B
好戦的 こうせんてき	28-5698-B
好手 こうしゅ	110-3107-B
好景気 こうけいき	33-3748-B
好機 こうき	46-0-B
好気 こうき	206-4419-B
好色 こうしょく	174-2007-B,180-466-B,267-6133-B
好色っ漢 こうしょっかん	173-661-B
好色漢 こうしょくかん	173-705-B
好評 こうひょう	225-639-B
好調 こうちょう	116-2422-B,233-668-B,261-4679-B
好運 こううん	125-899-B
好適 こうてき	120-1688-B,120-2076-B,150-704-B,296-2219-B
好都合 こうつごう	64-5865-B,110-1028-B,110-1312-B,116-1515-B
好餌 こうじ	24-5262-B,76-6467-B,180-21-B
如き ごとき	175-3209-B
如く ごとく	19-3014-B,175-3233-B
如く しく	108-1119-B
如し ごとし	175-3257-B
如何 いかが	148-1257-B
如何 いかん	148-1280-B
如何 どう	148-1303-B
如何して どうして	148-1323-B
如何しても どうしても	298-3405-B
如何に いかに	148-1603-B,331-5155-B
如何にも いかにも	155-4527-B,242-753-B
如何わしい いかがわしい	94-3898-B,320-4736-B,320-5708-B
如何様 いかさま	67-4384-B,126-1971-B,314-2342-B
如何様 いかよう	148-1355-B
如何様師 いかさまし	47-3903-B,300-2264-B
如何物 いかもの	114-538-B
如何程 いかほど	148-1633-B
如実 にょじつ	241-5761-B
如才 じょさい	6-5605-B,51-3418-B,270-5696-B,276-1679-B,277-2334-B
如才ない じょさいない	6-5634-B,44-3316-B,51-3447-B,273-0-B,278-2580-B,301-5238-B
如才無い じょさいない	6-5675-B,44-3359-B,51-3488-B,273-41-B,278-2620-B,301-5280-B
如是 にょぜ	279-3110-B,307-6131-B
妃 きさき	238-2230-B
妃 ひ	62-4904-B,230-3041-B
妃殿下 ひでんか	230-3060-B
妄りに みだりに	17-2174-B,156-3095-B,244-193-B,320-2152-B
妄信 ぼうしん	69-4176-B
妄信 もうしん	69-4208-B
妄想 ぼうそう	79-657-B
妄想 もうそう	79-688-B
妄想症 もうそうしょう	212-3317-B
妄用 ぼうよう	2-5573-B,191-3555-B
妄語 もうご	114-2416-B,174-5368-B
妄説 ぼうせつ	114-1702-B
妄説 もうせつ	114-1732-B
妊む はらむ	59-351-B
妊娠 にんしん	59-1124-B,228-1802-B
妊娠中絶 にんしんちゅうぜつ	1-5576-B
妓楼 ぎろう	37-1911-B
妖しい あやしい	92-2685-B,94-3943-B,299-3752-B
妖女 ようじょ	100-4498-B,323-3093-B
妖婆 ようば	139-939-B
妖婦 ようふ	100-4532-B
妖怪 ようかい	15-4165-B,79-3020-B,131-5489-B,133-5006-B,193-3019-B,219-855-B,283-1516-B
