確率 かくりつ	231-1922-B
確立 かくりつ	105-3232-B
確言 かくげん	20-1666-B,60-4978-B
確認 かくにん	7-6266-B,60-5013-B
確認書 かくにんしょ	45-3469-B
碾き臼 ひきうす	238-2600-B
磁力 じりょく	180-4665-B
磁力計 じりょくけい	180-4790-B
磁器 じき	225-1600-B
磁土 じど	167-5939-B
磁性 じせい	180-4697-B
磁気 じき	180-4726-B
磁石 じしゃく	180-4608-B
磁鉄鉱 じてっこう	180-4752-B
磐 いわ	69-652-B,257-2742-B
磐石 ばんじゃく	119-5561-B
磔刑 たっけい	71-586-B
磔刑 はりつけ	71-620-B
磨き みがき	153-4071-B,224-2446-B
磨く みがく	37-3173-B,153-3570-B,224-2472-B,245-5414-B,271-3593-B
磨ぐ とぐ	137-938-B,146-4444-B,224-2498-B,263-4844-B,271-312-B
磨り出す すりだす	224-2521-B
磨り消す すりけす	97-4356-B,104-3693-B
磨り減らす すりへらす	1-6362-B
磨り潰す すりつぶす	77-2120-B,183-5664-B
磨る する	45-4218-B,118-3867-B,258-4778-B
磨れる すれる	45-4240-B,330-4183-B
磨滅 まめつ	2-198-B
磨石 とぎいし	137-1248-B,332-483-B
磨耗 まもう	2-226-B
磯 いそ	27-759-B,264-4961-B,272-1605-B
磯波 いそなみ	298-3661-B
磯辺 いそべ	27-778-B,264-4983-B
磯鷸 いそしぎ	261-2627-B
礎 いしずえ	66-2216-B
礎石 そせき	66-2247-B
礦石 こうせき	189-5516-B,207-3156-B
示し しめし	86-3279-B,254-2665-B
示し合わせる しめしあわせる	62-5878-B
示す しめす	79-4635-B,155-7010-B,272-4232-B
示唆 しさ	145-2939-B,296-723-B
示威 しい	79-3271-B
示威 じい	79-3301-B
示度 しど	156-60-B
示教 しきょう	303-2231-B
礼を言う れいをいう	305-3464-B
礼儀 れいぎ	68-2168-B,106-998-B
礼儀作法 れいぎさほう	68-2196-B,106-1027-B
礼典 れいてん	106-1071-B,256-5010-B
礼式 れいしき	106-1103-B
礼拝 れいはい	6-5291-B
礼法 れいほう	68-2239-B,106-1135-B
礼物 れいもつ	132-612-B
礼状 れいじょう	4-3345-B
礼節 れいせつ	76-6399-B,224-2905-B,234-1741-B
礼讃 らいさん	6-5323-B,133-953-B,227-1323-B,335-4152-B
礼賛 らいさん	6-5355-B,133-989-B,227-1352-B,335-4182-B
礼金 れいきん	146-5955-B,255-2232-B
社 しゃ	56-4575-B
社交性 しゃこうせい	279-4596-B
社交的 しゃこうてき	279-4851-B
社会 しゃかい	235-6670-B,279-5546-B
社会主義 しゃかいしゅぎ	279-4929-B
社会化 しゃかいか	279-5069-B
社会学 しゃかいがく	279-5668-B
社会性 しゃかいせい	279-5028-B
社会生物学 しゃかいせいぶつがく	279-5606-B
社会的 しゃかいてき	279-4891-B
社債権者 しゃさいけんしゃ	33-1379-B
社友 しゃゆう	54-2207-B
社団 しゃだん	20-5918-B,66-3156-B
社団法人 しゃだんほうじん	66-3190-B
社説 しゃせつ	97-3565-B
社長 しゃちょう	85-3145-B,182-2631-B
祈とう きとう	227-2700-B
祈り いのり	227-2729-B,297-5703-B
祈る いのる	227-2604-B,334-493-B
祈念 きねん	227-2755-B
祈祷 きとう	227-2781-B
祈誓 きせい	202-1724-B,223-822-B,327-5779-B
祈請 きせい	103-3176-B,227-2807-B
祈願 きがん	227-2833-B
祉福 しふく	140-2954-B,234-3232-B
祐筆 ゆうひつ	12-365-B
祓い はらい	109-5852-B,237-1067-B
祓い清める はらいきよめる	109-5608-B,237-1367-B
祖 そ	13-287-B,232-2454-B
祖先 そせん	13-306-B
祖先伝来 そせんでんらい	144-1640-B
祖国 そこく	115-5644-B
祖国愛 そこくあい	214-3273-B
祖型 そけい	235-129-B
祖母 そぼ	135-3306-B
祖父 そふ	135-2902-B
祝い いわい	44-5372-B,117-4213-B
祝う いわう	44-5132-B,61-1848-B
祝する しゅくする	44-5161-B,61-1880-B
祝とう しゅくとう	29-1117-B,31-4524-B
祝儀 しゅうぎ	44-5403-B,308-5532-B
祝典 しゅくてん	44-5437-B
祝杯 しゅくはい	309-1302-B
祝祷 しゅくとう	29-1157-B,31-4561-B
祝福 しゅくふく	31-4595-B
祝賀 しゅくが	44-5474-B
祝賀会 しゅくがかい	44-5508-B
神 かみ	133-5177-B
神々しい こうごうしい	90-6317-B,280-2263-B,294-1334-B
神の下し給うた物 かみのくだしたもうたもの	133-5740-B
神出鬼没 しんしゅつきぼつ	99-2307-B,219-1002-B
神勅 しんちょく	206-5345-B
神化 しんか	15-3707-B
神変 しんぺん	190-1511-B
神妙 しんみょう	113-5847-B,186-3532-B,238-5895-B
神学 しんがく	305-5503-B
神学者 しんがくしゃ	305-5461-B
神性 しんせい	91-104-B
神憑り かみがかり	114-5225-B
神懸かり かみがかり	114-5261-B
神掛けて かみかけて	2-2264-B
神政 しんせい	305-5299-B
神明 しんめい	78-2291-B
神格 しんかく	91-135-B
神格化 しんかくか	78-2192-B
神業 かみわざ	190-1541-B
神様 かみさま	133-5194-B
神権政治 しんけんせいじ	305-5331-B
神殿 しんでん	304-1536-B
神気 しんき	91-166-B,189-5213-B,284-970-B
神父 しんぷ	1-1625-B
神神しい こうごうしい	90-6358-B,280-2304-B,294-1376-B
神秘 しんぴ	196-1572-B
神秘主義 しんぴしゅぎ	196-1748-B
神秘性 しんぴせい	196-1840-B
神秘的 しんぴてき	196-1109-B
神童 しんどう	231-4921-B
神符 しんぷ	12-4865-B
神経 しんけい	198-3115-B,267-5859-B
神経が鋭い しんけいがするどい	267-5460-B
神経の鈍い しんけいのにぶい	159-4360-B
神経の鋭い しんけいのするどい	267-5516-B
神経外科 しんけいげか	198-4296-B
神経学 しんけいがく	198-4066-B
神経核 しんけいかく	198-4168-B
神経炎 しんけいえん	198-3980-B
神経症 しんけいしょう	198-4253-B
神経痛 しんけいつう	198-3939-B
神経科 しんけいか	198-4107-B
神経科医 しんけいかい	198-4020-B
神経節 しんけいせつ	129-3562-B
神経細胞 しんけいさいぼう	198-4206-B
神経質 しんけいしつ	198-3458-B
