条件づけ じょうけんづけ	60-648-B
条件付き じょうけんつき	60-519-B
条件付け じょうけんづけ	60-698-B
条例 じょうれい	207-1392-B
条文 じょうぶん	305-2772-B
条款 じょうかん	19-828-B,50-6063-B,235-1901-B,289-5375-B
条片 じょうへん	292-2485-B
条理 じょうり	242-2691-B
条痕 じょうこん	2-133-B,263-5883-B,291-3584-B
条目 じょうもく	19-861-B,50-6095-B,289-5412-B
条約 じょうやく	210-5774-B,313-4910-B
条虫 じょうちゅう	302-3988-B
条規 じょうき	289-5449-B
条項 じょうこう	19-894-B,50-6127-B
来す きたす	44-2639-B,156-5638-B,231-5182-B
来たす きたす	44-2664-B,156-5664-B,231-5209-B
来たる きたる	18-5550-B,55-199-B
来る きたる	18-5579-B,55-226-B
来る くる	16-6584-B,18-5605-B,27-4529-B,131-5056-B,137-3461-B
来世 らいせ	226-822-B
来世 らいせい	226-851-B
来会 らいかい	21-5962-B
来会者 らいかいしゃ	21-5995-B
来光 らいこう	102-5546-B
来冦 らいこう	164-1426-B,239-6071-B
来場 らいじょう	21-6037-B
来場 らいば	21-6073-B
来客 らいかく	40-3185-B,327-562-B
来客 らいきゃく	40-3214-B,327-592-B
来復 らいふく	254-1774-B
来援 らいえん	20-4433-B,298-489-B
来攻 らいこう	164-1457-B
来歴 らいれき	42-2926-B,145-4491-B
来由 らいゆ	44-2692-B,207-5390-B
来着 らいちゃく	18-5393-B
来聴 らいちょう	21-6103-B
来臨 らいりん	7-1325-B,21-6139-B,55-1914-B,228-6641-B,326-5895-B
来襲 らいしゅう	21-4817-B,164-1488-B,239-6098-B
来訪 らいほう	40-3026-B,326-5923-B
来訪者 らいほうしゃ	40-3246-B,51-4953-B,327-625-B
来談 らいだん	163-2318-B
来賓 らいひん	138-1866-B,327-664-B
来遊 らいゆう	326-5951-B
来遊者 らいゆうしゃ	310-4740-B,327-694-B
杭 くい	220-125-B,286-4221-B
杯洗 はいせん	275-2732-B
東 あずま	96-3969-B
東 ひがし	96-3990-B
東屋 あずまや	17-3185-B,34-4611-B
東航 とうこう	96-4011-B
東行 とうこう	96-4043-B
東雲 しののめ	74-5643-B,75-90-B
杵 きね	181-5857-B,218-6078-B,226-4354-B
松明 たいまつ	120-3397-B,310-1845-B
松柏 しょうはく	95-2839-B,106-4665-B
松楓 しょうふう	183-2138-B
松脂 まつやに	316-1782-B
板 いた	32-2951-B,222-909-B
板前 いたまえ	48-928-B,65-2162-B
板囲い いたがこい	32-3186-B
板張り いたばり	32-3223-B
板目 いため	334-4906-B
板紙 いたがみ	42-2143-B
板金屋 ばんきんや	223-2730-B
枕 まくら	33-474-B,220-3418-B
枕元 まくらもと	27-5336-B
枕席 ちんせき	27-4949-B
枕木 まくらぎ	277-1510-B
枕許 まくらもと	27-5369-B
枕辺 まくらべ	27-5402-B
枕頭 ちんとう	27-5432-B
林 はやし	123-6099-B
林学 りんがく	124-335-B
林業 りんぎょう	124-366-B
林檎 りんご	16-2008-B
枚挙 まいきょ	103-4190-B
果して はたして	242-887-B
果たして はたして	242-919-B
果たし合い はたしあい	94-4396-B
果たす はたす	3-5299-B,4-2057-B,127-5944-B
果てし はてし	101-1605-B,112-2812-B,115-4922-B,175-4233-B,253-3174-B
果てしがない はてしがない	34-3038-B,101-2808-B,105-5134-B,115-5784-B
果てしが無い はてしがない	34-3088-B,101-2856-B,105-5182-B,115-5835-B
果てしない はてしない	34-3138-B,101-2904-B
果てし無い はてしない	34-3182-B,101-2946-B
果てし無く はてしなく	105-5532-B,162-5087-B
果てる はてる	83-5739-B,101-1631-B,217-3106-B
果ない はかない	100-2944-B,103-5528-B,117-5773-B,121-1769-B,190-4505-B,192-4497-B,312-4055-B,323-891-B
果報 かほう	140-2893-B,179-3689-B
果実 かじつ	29-2940-B,127-4707-B,202-734-B
果実酒 かじつしゅ	49-4673-B,333-4227-B
果敢 かかん	33-57-B,252-1619-B
果敢ない はかない	100-2975-B,103-5563-B,117-5805-B,121-1803-B,190-4540-B,192-4532-B,312-4090-B,323-921-B
果敢無い はかない	100-3009-B,103-5601-B,117-5840-B,121-1840-B,190-4578-B,192-4570-B,312-4128-B,323-954-B
果断 かだん	76-2641-B,93-790-B,252-1647-B
果樹園 かじゅえん	206-6085-B
果無い はかない	100-3043-B,103-5639-B,117-5875-B,121-1877-B,190-4616-B,192-4608-B,312-4166-B,323-987-B
果物 くだもの	127-4732-B
果糖 かとう	127-4439-B
枝 えだ	34-4434-B,35-1220-B,175-3880-B,316-2527-B
枝分かれ えだわかれ	35-1240-B
枝切り えだきり	235-4412-B
枝族 しぞく	314-1128-B
枝葉 えだは	122-3356-B
枝葉 しよう	122-3383-B
枝道 えだみち	84-3726-B
枠 わく	125-5380-B,277-2437-B
枠を付ける わくをつける	125-5399-B
枠内 わくない	125-5865-B
枠番連勝 わくばんれんしょう	34-6074-B
枠組 わくぐみ	125-5442-B,125-5897-B
枠組み わくぐみ	125-5470-B,125-5929-B
枢要 すうよう	152-5429-B
枢軸 すうじく	24-853-B,221-2376-B
枯れる かれる	334-2251-B
枯死 こし	95-4758-B
枯葉剤 かれはざい	78-63-B
架 か	239-3123-B
架かる かかる	140-1521-B
架ける かける	140-1548-B
架台 かだい	2-6367-B,125-5501-B,287-105-B
架空 かくう	7-3483-B,114-5336-B,118-423-B,209-5913-B
架設 かせつ	38-233-B,63-940-B
柄 え	137-1576-B,139-5526-B
柄 がら	81-1554-B,214-4557-B
柄 つか	139-4446-B
柄杓 ひしゃく	85-1642-B,170-1254-B,263-3415-B
柄頭 つかがしら	224-4453-B
柏 かしわ	202-1469-B
柏 はく	202-1489-B
柏槙 びゃくしん	167-3501-B
某 ぼう	45-2616-B,205-1725-B
某々 ぼうぼう	279-3182-B
某某 ぼうぼう	279-3214-B
染まる そまる	95-4205-B
染み しみ	285-1030-B,286-3792-B
染みる しみる	217-4444-B
染みを付ける しみをつける	32-371-B,279-154-B,286-3814-B
染み出る しみでる	112-3229-B,205-3424-B,216-4762-B
染み渡る しみわたる	216-177-B,218-4647-B,285-2706-B
染み込む しみこむ	217-4475-B
染め そめ	230-4825-B
染める そめる	54-4972-B,95-4231-B
染め出す そめだす	95-4257-B
染め物屋 そめものや	95-4398-B
染め粉 そめこ	95-4289-B
染め込む そめこむ	95-4315-B
染物屋 そめものや	95-4434-B
染筆 せんぴつ	211-1851-B,336-2285-B
染色 せんしょく	286-3860-B,286-3991-B
染色体 せんしょくたい	49-2855-B
柔らか やわらか	131-2078-B,175-4975-B,186-3469-B,280-108-B,304-4151-B
柔らかい やわらかい	175-5005-B,280-138-B,304-4183-B
柔和 にゅうわ	131-2779-B,186-3649-B,189-2315-B
柔弱 にゅうじゃく	97-5280-B,101-5761-B,330-3100-B
柔軟 じゅうなん	121-2598-B,176-3844-B
柔軟性 じゅうなんせい	57-480-B,98-3330-B,280-648-B
柔道 じゅうどう	167-2027-B
柔順 じゅうじゅん	91-1906-B,131-2110-B,186-3499-B,202-2119-B,294-2232-B
柩車 きゅうしゃ	142-3651-B
柱 はしら	220-3299-B,225-6363-B
柱石 ちゅうせき	66-2179-B,220-3322-B
柱礎 ちゅうそ	223-1407-B
柳 やなぎ	277-3396-B,333-2346-B
柳葉魚 ししゃも	278-3869-B
柴 しば	37-3198-B,119-3857-B
柵 さく	117-2129-B
査問 さもん	142-3120-B,159-2835-B
査定 さてい	20-1864-B,22-4438-B,164-3491-B,255-90-B
査証 さしょう	326-4930-B
査読 さどく	251-3610-B
査閲 さえつ	107-4461-B,160-2248-B
柿 かき	218-302-B
柿色 かきいろ	245-1322-B
栄え さかえ	133-1641-B,234-2893-B
栄え はえ	133-1666-B,234-2923-B
栄える さかえる	121-5525-B,234-2662-B
栄える はえる	271-3503-B
栄え有る はえある	133-1227-B,284-2977-B
栄光 えいこう	133-1688-B
栄典 えいてん	45-2450-B
栄冠 えいかん	129-5394-B
栄爵 えいしゃく	215-4630-B
栄耀 えいよう	180-1182-B,234-2950-B,284-3808-B
栄耀栄華 えいようえいが	180-1211-B,234-2983-B
栄華 えいが	133-1716-B,180-1255-B,181-2993-B,284-3840-B
栄誉 えいよ	147-107-B
栄転 えいてん	233-2173-B
栄進 えいしん	7-864-B,233-2205-B
栄達 えいたつ	7-898-B,89-4835-B,114-3547-B,256-3658-B
栄養 えいよう	201-1372-B,202-1043-B
栄養不足 えいようふそく	181-5914-B
栄養分 えいようぶん	201-1406-B,202-944-B
栄養剤 えいようざい	202-799-B
栄養士 えいようし	202-1107-B
栄養失調 えいようしっちょう	181-5964-B
栄養学者 えいようがくしゃ	84-53-B
栄養素 えいようそ	202-839-B
栓 せん	66-1375-B,290-2477-B,290-3010-B
栓抜き せんぬき	66-1507-B
栖息 せいそく	177-173-B
栗 くり	48-2185-B
栗石 くりいし	53-1765-B
栗鼠 りす	286-1418-B
栞 しおり	33-3067-B,138-3114-B
校 こう	233-3707-B
校友 こうゆう	11-5885-B,263-2651-B
校合 きょうごう	54-1814-B
校合 こうごう	54-1849-B
校定 こうてい	255-118-B
校庭 こうてい	41-858-B
校正係 こうせいがかり	233-4015-B
校訂 こうてい	255-149-B
校長 こうちょう	142-1734-B,230-3521-B
校閲 こうえつ	255-180-B
株 かぶ	270-4982-B,290-187-B
株主 かぶぬし	270-5029-B,290-535-B
株屋 かぶや	290-419-B
株式仲買人 かぶしきなかがいにん	290-450-B
株式会社 かぶしきがいしゃ	66-3070-B
核 かく	168-1283-B,201-4216-B
核子 かくし	201-4000-B
核心 かくしん	66-1234-B,168-1303-B
核質 かくしつ	168-1062-B
根 ね	257-5035-B
根こそぎ ねこそぎ	306-5074-B
根っこ ねっこ	257-5050-B,292-5201-B,293-2128-B
根っ子 ねっこ	257-5077-B,292-5228-B,293-2156-B
根の良い こんのよい	101-4655-B
根ほり葉ほり ねほりはほり	218-1183-B,306-5113-B
根付く ねづく	292-1710-B
根元 こんげん	26-1705-B,125-2489-B,207-5416-B,230-4167-B,257-5104-B,282-558-B
根元 ねもと	26-1732-B,125-2522-B,207-5445-B,230-4199-B,257-5131-B,282-587-B
根刮ぎ ねこそぎ	306-5164-B
根城 ねじろ	50-1186-B,292-4045-B
根基 こんき	239-4068-B
根太 ねだ	166-3813-B
根太板 ねだいた	121-4803-B
根子 ねっこ	257-5155-B,292-5255-B,293-2184-B
根幹 こんかん	26-2920-B,201-4237-B
根底 こんてい	26-2948-B,125-2552-B,257-5179-B
根引き ねびき	245-1397-B,321-3148-B
根性 こんじょう	197-1748-B,284-678-B,304-215-B
根性のすわった こんじょうのすわった	116-3517-B
根拠 こんきょ	26-2976-B,125-2585-B
根拠のない こんきょのない	26-1883-B,137-2725-B
根掘り葉掘り ねほりはほり	218-1236-B,306-5200-B
根方 ねかた	257-5206-B
根暗 ねくら	92-2964-B,133-2716-B,161-1625-B,193-4055-B,218-5725-B
根本 こんぽん	26-1756-B,125-2618-B,207-5471-B,230-4228-B,257-5230-B,282-613-B
根本 ねもと	26-1783-B,125-2651-B,207-5500-B,230-4260-B,257-5257-B,282-642-B
根本主義 こんぽんしゅぎ	128-2296-B
根本的 こんぽんてき	26-2448-B,128-2136-B
根柢 こんてい	125-2681-B,257-5281-B
根気 こんき	101-5452-B
根源 こんげん	207-5526-B,257-5308-B,282-668-B
根無し ねなし	137-2776-B,257-5335-B
根絶 こんぜつ	104-3458-B,111-4371-B
根絶やし ねだやし	104-3492-B,111-4407-B
根茎 こんけい	255-3129-B
格 かく	43-2347-B,46-4105-B,288-833-B
格下げ かくさげ	79-3553-B
格付け かくずけ	10-5146-B,50-5263-B,135-129-B,241-1093-B
格付け かくづけ	10-5182-B,50-5303-B,135-162-B,241-1125-B
格別 かくべつ	108-2678-B
格外 かくがい	112-579-B,200-1873-B,282-5301-B
格好 かっこう	15-5770-B,124-3636-B,182-5407-B,226-2874-B,270-4348-B,296-1874-B
格好いい かっこいい	22-2763-B,134-626-B,293-4431-B
格好いい かっこういい	22-2805-B,134-670-B,293-4470-B
格好のいい かっこうのいい	22-2850-B,134-717-B,293-4512-B
格好の悪い かっこうのわるい	317-0-B,317-2119-B
格好よい かっこうよい	22-2901-B,134-770-B,293-4560-B
格好よい かっこよい	22-2946-B,134-817-B,293-4602-B
格好悪い かっこうわるい	317-48-B,317-2175-B
格子 こうし	171-3488-B
格子縞 こうしじま	221-3696-B
格子造り こうしづくり	171-3515-B
格安 かくやす	47-3590-B,242-3515-B
格差 かくさ	88-2102-B
格段 かくだん	108-2712-B,248-4834-B,282-5331-B
格納 かくのう	290-3229-B
格言 かくげん	15-2798-B
格調 かくちょう	199-4282-B
栽 さい	222-2206-B
栽培 さいばい	71-5776-B
栽培所 さいばいじょ	222-1768-B
桁 けた	27-1278-B,54-5406-B,84-2856-B
桁外れ けたはずれ	112-615-B,155-2723-B
桁違い けたちがい	154-5284-B
桂月 けいげつ	193-4399-B
桂皮 けいひ	49-5088-B
桃 もも	215-1939-B
案 あん	222-0-B
案じる あんじる	224-4852-B
案ずる あんずる	62-1294-B,116-3171-B,222-18-B
案件 あんけん	294-246-B
案価 あんか	47-3780-B
案内 あんない	138-2297-B,158-961-B,172-3358-B
案内嬢 あんないじょう	322-1486-B
案内書 あんないしょ	138-3140-B
案出 あんしゅつ	64-2906-B
案外 あんがい	318-6825-B
案山子 かかし	118-3462-B,262-3938-B
案文 あんぶん	92-4399-B
案文 あんもん	92-4427-B
案配 あんばい	18-3618-B
桜 さくら	271-3230-B
桜草 さくらそう	230-2682-B
桟敷 さじき	34-5041-B,129-1923-B
