burp	げっぷ
burr	毬 [いが]
burst	はち切れる [はちきれる]
burst	バースト
burst	劈 [へき]
burst	劈く [つんざく]
burst	沸き起こる [わきおこる]
burst	沸き起る [わきおこる]
burst	裂ける [さける]
bursting	パンク
bury	埋め込む [うめこむ]
bury	葬る [ほうむる]
bus	乗合自動車 [のりあいじどうしゃ]
bush	かん木 [かんぼく]
bush	ブッシュ
bush	灌木 [かんぼく]
bush	藪 [やぶ]
bushy	むしゃくしゃ
bushy	もしゃもしゃ
busily	齷齪 [あくせく]
business	ビジネス
business	事 [こと]
business	事務 [じむ]
business	事業 [じぎょう]
business	估 [こ]
business	務め [つとめ]
business	勤め [つとめ]
business	取り引き [とりひき]
business	取引 [とりひき]
business	商い [あきない]
business	商売 [しょうばい]
business	商業 [しょうぎょう]
business	商法 [しょうほう]
business	営業 [えいぎょう]
business	営為 [えいい]
business	実業 [じつぎょう]
business	役目 [やくめ]
business	所用 [しょよう]
business	業務 [ぎょうむ]
business	業界 [ぎょうかい]
business	渡世 [とせい]
business	用 [よう]
business	用件 [ようけん]
business	用務 [ようむ]
business	稼業 [かぎょう]
business	経済 [けいざい]
business	職業 [しょくぎょう]
business	賑やかさ [にぎやかさ]
business	関知 [かんち]
businesslike	ビジネスライク
businesslike	事務的 [じむてき]
businessman	ビジネスマン
businessman	事業家 [じぎょうか]
businessman	営業マン [えいぎょうマン]
businessman	実業家 [じつぎょうか]
bust	上半身 [じょうはんしん]
bust	半身像 [はんしんぞう]
bust	懐 [ふところ]
bustle	倉皇 [そうこう]
bustle	取り込み事 [とりこみごと]
bustle	繁華 [はんか]
bustle	腰当て [こしあて]
bustle	賑わい [にぎわい]
busy	ビジー
busy	多忙 [たぼう]
busy	多用 [たよう]
busy	忙しい [いそがしい]
busy	忙しい [せわしい]
busy	慌しい [あわただしい]
busy	慌ただしい [あわただしい]
busy	煩忙 [はんぼう]
busy	繁忙 [はんぼう]
busy	賑やか [にぎやか]
but	けど
but	けれど
but	けれども
but	たった
but	だって
but	でも
but	ならでは
but	但し [ただし]
but	併し [しかし]
but	然し [しかし]
but	然るに [しかるに]
butadiene	ブタジエン
butane	ブタン
butcher	屠る [ほふる]
butcher	殺 [さつ]
butcher	肉屋 [にくや]
butler	執事 [しつじ]
butler	家令 [かれい]
butler	家従 [かじゅう]
butter	バター
butter	乳酪 [にゅうらく]
butter	牛酪 [ぎゅうらく]
butterfat	乳脂肪 [にゅうしぼう]
butterfly	バタフライ
butterfly	胡蝶 [こちょう]
butterfly	蝴蝶 [こちょう]
butterfly	蝶 [ちょう]
butterfly	蝶々 [ちょうちょう]
butterfly	蝶蝶 [ちょうちょう]
button	抓み [つまみ]
buttonhole	ボタンホール
buxom	肉付き [にくづき]
buy	召 [しょう]
buy	召す [めす]
buy	戴く [いただく]
buy	求める [もとめる]
buy	買い上げる [かいあげる]
buy	買い取る [かいとる]
buy	買い求める [かいもとめる]
buy	買う [かう]
buy	購入 [こうにゅう]
buy	購買 [こうばい]
buy	頂く [いただく]
buyer	バイヤー
buyer	買い [かい]
buyer	買い主 [かいぬし]
buyer	買い手 [かいて]
buyer	買い方 [かいかた]
buyer	買主 [かいぬし]
buyer	買手 [かいて]
buyer	購買者 [こうばいしゃ]
buying	買い [かい]
buying	買いつけ [かいつけ]
buying	買い上げ [かいあげ]
buying	買い付け [かいつけ]
buying	買い入れ [かいいれ]
buying	買付 [かいつけ]
buying	買付け [かいつけ]
buying	買収 [ばいしゅう]
buzz	ぶんぶん
buzz	バズ
buzz	唸る [うなる]
buzz	羽音 [はおと]
buzzer	ブザー
buzzword	キーワード
buzzword	流行言葉 [はやりことば]
buzzword	流行語 [りゅうこうご]
by	の辺りに [のほとりに]
by	バイ
by	以て [もって]
by	沿って [そって]
by	迄に [までに]
by-blow	巻き添え [まきぞえ]
by-blow	巻添え [まきぞえ]
by-line	バイライン
bye	バイ
bye-bye	バイバイ
bypass	バイパス
bypass	抜け裏 [ぬけうら]
byproduct	副産物 [ふくさんぶつ]
byroad	脇道 [わきみち]
byroad	裏街道 [うらかいどう]
bystander	傍人 [ぼうじん]
bystander	傍観者 [ぼうかんしゃ]
bystander	岡目 [おかめ]
byway	抜け裏 [ぬけうら]
byway	裏街道 [うらかいどう]
byword	笑い種 [わらいぐさ]
byword	笑い草 [わらいぐさ]
cabal	徒党 [ととう]
cabaret	キャバレー
cabbage	キャベツ
cabbage	玉菜 [たまな]
cabin	キャビン
cabin	ケビン
cabin	小屋 [こや]
cabin	船室 [せんしつ]
cabinet	キャビネット
cabinet	内閣 [ないかく]
cabinet	収納家具 [しゅうのうかぐ]
cabinet	筐体 [きょうたい]
cabinetmaker	建具屋 [たてぐや]
cabinetmaker	指し物師 [さしものし]
cabinetmaker	梓匠 [ししょう]
cable	ケーブル
cable	索条 [さくじょう]
cable	鉄索 [てっさく]
cable	鋼索 [こうさく]
cabman	御者 [ぎょしゃ]
cabman	馭者 [ぎょしゃ]
cacao	カカオ
cache	隠し場所 [かくしばしょ]
cackle	けらけら笑う [けらけらわらう]
cacophony	噪音 [そうおん]
cactus	カクタス
cactus	サボテン
cactus	シャボテン
cactus	仙人掌 [さぼてん]
cactus	覇王樹 [さぼてん]
cactus	覇王樹 [はおうじゅ]
cadaver	屍体 [したい]
caddie	キャディー
caddy	キャディー
caddy	球拾い [たまひろい]
cadence	カデンツ
cadence	歩調 [ほちょう]
cadenza	カデンツァ
