控除額 こうじょがく	1-1414-B
推し測る おしはかる	61-2544-B,138-1065-B,298-5030-B
推し計る おしはかる	61-2586-B,138-1102-B,298-5069-B
推し量る おしはかる	61-2628-B,138-1139-B,298-5108-B
推す おす	59-3586-B,157-3319-B,298-294-B
推力 すいりょく	234-1837-B,307-5455-B
推参 すいさん	259-427-B
推奨 すいしょう	227-1204-B,244-3014-B
推定 すいてい	20-6412-B,105-4299-B,229-4299-B
推察 すいさつ	61-2670-B,138-1176-B,298-5147-B
推挙 すいきょ	244-3054-B
推敲 すいこう	153-3929-B
推断 すいだん	77-1104-B,157-3341-B
推服 すいふく	6-2416-B
推測 すいそく	61-2703-B,138-1204-B
推理 すいり	157-3373-B,242-3783-B
推称 すいしょう	6-2449-B,227-1236-B
推移 すいい	46-1625-B,312-4608-B
推移的 すいいてき	312-4777-B
推算 すいさん	105-4332-B
推考 すいこう	283-2197-B
推薦 すいせん	244-3091-B
推薦者 すいせんしゃ	245-4515-B
推薬 すいやく	233-4733-B
推計 すいけい	105-3969-B,105-4365-B
推論 すいろん	77-1136-B,157-3402-B
推賞 すいしょう	6-2485-B,227-1268-B
推進 すいしん	234-1873-B
推進器 すいしんき	233-4831-B
推進機 すいしんき	233-4869-B
推進者 すいしんしゃ	172-2203-B
推量 すいりょう	138-1232-B
掩護 えんご	24-3519-B,68-3437-B,234-5539-B,248-1905-B
措いて おいて	108-2193-B
措く おく	108-2222-B
措定 そてい	20-6445-B,298-1802-B
措止 そし	28-3837-B
措置 そち	185-4230-B,288-4245-B
措辞 そじ	83-5124-B,219-5146-B,334-5544-B
措辞法 そじほう	301-1891-B
掬う すくう	263-3390-B
掲げる かかげる	146-200-B,230-4503-B
掲揚 けいよう	88-3681-B,122-2067-B
掲示 けいじ	38-1260-B,200-5645-B
掲示板 けいじばん	52-241-B
掴まえる つかまえる	18-4931-B,44-340-B,266-1784-B
掴まる つかまる	135-4804-B
掴み つかみ	137-1468-B
掴み合う つかみあう	135-4437-B
掴み所 つかみどころ	137-1492-B,146-432-B,224-50-B
掴む つかむ	44-377-B,134-4401-B,135-4835-B,137-1528-B,146-468-B,266-1821-B
掻い摘まむ かいつまむ	296-3323-B
掻い摘む かいつまむ	296-3367-B
掻い撫で かいなで	297-1142-B
掻き乱す かきみだす	90-2113-B
掻き交ぜる かきまぜる	49-4488-B,191-4260-B,263-5129-B,289-5668-B
掻き切る かききる	73-2046-B,277-4613-B
掻き口説く かきくどく	57-3470-B,218-5893-B
掻き合せる かきあわせる	6-424-B,18-2592-B
掻き合わせる かきあわせる	6-468-B
掻き回す かきまわす	49-4528-B,90-2152-B,240-3592-B
掻き寄せる かきよせる	299-5804-B
掻き毟る かきむしる	223-2218-B
掻き消える かききえる	85-5594-B
掻き消す かきけす	104-3625-B
掻き混ぜる かきまぜる	49-4565-B,191-4298-B,263-5172-B,289-5707-B
掻き立てる かきたてる	18-1974-B
掻き鳴らす かきならす	292-5050-B,307-5369-B
掻く かく	210-5882-B
掻っ払い かっぱらい	220-2446-B
掻っ攫う かっさらう	196-1975-B,279-1257-B
掻爬 そうは	72-2430-B
掻痒 そうよう	165-4681-B
揃い そろい	269-699-B,296-1501-B,319-3405-B
揃う そろう	130-2153-B
揃える そろえる	18-2637-B
揃わない そろわない	154-6457-B,203-6184-B,318-5834-B,318-5873-B
揆 き	221-5954-B,259-1789-B
揉み合い もみあい	166-4899-B,292-4853-B
揉み合う もみあう	166-4934-B
揉み消す もみけす	71-2674-B
揉み療治 もみりょうじ	184-926-B
揉む もむ	53-128-B,184-968-B,258-4608-B,311-4107-B,336-767-B
揉め もめ	89-201-B,238-811-B,315-282-B
揉める もめる	85-4571-B,89-225-B
揉め事 もめごと	89-255-B,238-835-B,315-306-B
揉事 もめごと	89-288-B,238-868-B,315-339-B
描き出す えがきだす	78-5750-B,93-967-B,111-105-B,151-1781-B
描く えがく	80-1245-B,80-6536-B,93-1003-B,211-1139-B,275-5782-B
描く かく	80-1271-B,80-6564-B,93-1027-B,211-1164-B,275-5808-B
描写 びょうしゃ	80-1320-B,81-343-B,225-3500-B
描出 びょうしゅつ	81-380-B
描画 びょうが	93-1741-B,211-1792-B
提供 ていきょう	204-1251-B,304-4119-B
提出 ていしゅつ	118-3999-B,229-1450-B,294-2055-B
提出期限 ていしゅつきげん	75-1290-B
提出物 ていしゅつぶつ	109-2913-B
提出者 ていしゅつしゃ	229-1771-B,234-1014-B
提唱 ていしょう	7-3009-B,234-235-B
提唱者 ていしょうしゃ	7-3262-B
提携 ていけい	65-4600-B,308-1633-B
提案 ていあん	234-269-B,234-1193-B,296-564-B
提案者 ていあんしゃ	233-6247-B
提琴 ていきん	326-3098-B
提督 ていとく	6-2035-B,55-6167-B
提示 ていじ	50-1309-B,109-2955-B,229-1488-B,296-0-B
提要 ていよう	57-1067-B,208-6362-B,296-3540-B
提言 ていげん	194-2244-B,234-300-B
提議 ていぎ	194-2273-B,234-331-B
揚がる あがる	256-3631-B
揚げる あげる	127-5337-B,175-1216-B
揚げ句 あげく	118-5506-B
揚げ句の果て あげくのはて	118-5536-B
揚句 あげく	118-5584-B
揚句の果て あげくのはて	118-5611-B
揚揚 ようよう	88-5411-B
揚言 ようげん	231-4178-B,232-147-B
揚陸 ようりく	170-3801-B
換える かえる	108-4632-B,162-1482-B,250-1221-B,294-5994-B
換わる かわる	248-2355-B
換喩 かんゆ	188-3702-B
換気 かんき	324-3575-B
換気口 かんきこう	324-3409-B
換気装置 かんきそうち	324-3818-B
換物 かんぶつ	236-6136-B
換算 かんさん	46-1651-B,65-590-B,108-4663-B
換算 かんざん	46-1680-B,65-623-B,108-4694-B
換金 かんきん	242-490-B
握り にぎり	137-1552-B,139-5500-B
握りつぶす にぎりつぶす	1-304-B
握り屋 にぎりや	190-4101-B
握り潰す にぎりつぶす	1-349-B
握る にぎる	135-4860-B,266-1846-B
握手 あくしゅ	140-356-B
揣摩憶測 しまおくそく	283-2231-B
揮う ふるう	109-1958-B
揮毫 きごう	93-1771-B,211-1823-B,336-1928-B
揮発度 きはつど	327-3568-B
揮発性 きはつせい	327-3531-B
援兵 えんぺい	248-1931-B
援助 えんじょ	9-2561-B,20-4400-B,298-318-B
援引 えんいん	245-4872-B
援用 えんよう	50-2436-B,164-5532-B,239-2144-B
援護 えんご	24-3546-B,68-3465-B,234-5569-B,248-1960-B
援軍 えんぐん	247-2738-B
揶揄 やゆ	25-3424-B,240-321-B,255-5033-B,303-3234-B
揶揄う からかう	255-5058-B,303-3256-B
揺 ゆり	121-2801-B,313-5868-B,325-2829-B
揺さぶり ゆさぶり	270-2049-B
揺さぶる ゆさぶる	166-4617-B,257-2538-B,270-1451-B,300-2625-B
揺すぶる ゆすぶる	166-4650-B,257-2571-B,270-1485-B,300-2659-B
揺する ゆする	166-4683-B,270-1519-B,300-2693-B
揺らぐ ゆらぐ	270-1547-B,299-5111-B,300-2721-B,313-5180-B
揺らす ゆらす	257-2604-B,270-1575-B,300-2749-B
揺らめく ゆらめく	121-2741-B,239-1472-B,299-5138-B,330-663-B
揺ら揺ら ゆらゆら	121-2825-B,299-5300-B
揺り ゆり	121-2864-B,313-5888-B,325-2852-B
揺りかご ゆりかご	68-6026-B
揺り動かす ゆりうごかす	270-1603-B,299-5171-B,300-2777-B,330-325-B
揺り動く ゆりうごく	237-5240-B,300-2820-B
揺り篭 ゆりかご	68-6061-B
揺り籠 ゆりかご	68-6093-B
揺り返し ゆりかえし	8-1335-B
揺る ゆする	166-4710-B,270-1646-B,300-2857-B
揺る ゆる	166-4734-B,270-1671-B,300-2882-B
揺るがす ゆるがす	270-1693-B,271-5352-B,299-5213-B,300-2904-B
揺るぎない ゆるぎない	119-4487-B,280-3596-B,288-2007-B
揺るぎ無い ゆるぎない	119-4526-B,280-3636-B,288-2048-B
揺るぐ ゆるぐ	270-1727-B,313-5210-B,330-697-B
揺れ ゆれ	121-2891-B,313-5911-B,325-2878-B
揺れる ゆれる	270-1755-B,299-5246-B
揺れ動く ゆれうごく	313-5240-B
揺動 ようどう	270-2085-B,300-3040-B
揺曳 ようえい	122-1838-B,176-574-B
揺篭 ゆりかご	68-6125-B
揺籃 ようらん	68-6154-B
揺籃の地 ようらんのち	30-5018-B
揺籃期 ようらんき	157-2494-B
損 そん	85-4406-B,178-4496-B
損う そこなう	74-0-B,141-386-B,149-1875-B,158-5275-B
